EntryID,GeoID,NaicsCode,Year,Establishments,Employees,Payroll,IndustryLevel
36216118,97707,00,2021,224,1777,61232,2
36216119,97750,00,2021,6,42,1427,2
36216120,97753,00,2021,82,247,11740,2
36216121,97756,00,2021,1376,12711,639675,2
36216122,97914,00,2021,510,7161,280613,2
36216123,98001,00,2021,1298,27500,1835582,2
36216124,98015,00,2021,15,31,1912,2
36216125,98019,00,2021,276,1575,73358,2
36216126,98023,00,2021,659,3437,142817,2
36216127,97524,00,2021,258,1563,60042,2
36216128,97531,00,2021,11,99,3674,2
36216129,97532,00,2021,54,362,17199,2
36216130,97541,00,2021,22,33,1345,2
36216131,97543,00,2021,7,222,9329,2
36216132,97544,00,2021,37,305,12105,2
36216133,97754,00,2021,519,5262,263474,2
36216134,97830,00,2021,19,104,3752,2
36216135,97833,00,2021,19,30,778,2
36216136,98012,00,2021,1297,9936,466871,2
36216137,97504,00,2021,1636,26451,1519651,2
36216138,97601,00,2021,620,8413,457706,2
36216139,97834,00,2021,29,140,3723,2
36216140,98007,00,2021,986,14256,1188080,2
36216141,98025,00,2021,5,39,2213,2
36216142,98026,00,2021,874,7520,433726,2
36216143,97480,00,2021,4,37,1039,2
36216144,97481,00,2021,8,20,461,2
36216145,97484,00,2021,4,5,179,2
36216146,97486,00,2021,7,40,1622,2
36216147,97487,00,2021,149,1402,40471,2
36216148,97534,00,2021,7,26,567,2
36216149,97535,00,2021,122,956,36144,2
36216150,97603,00,2021,703,7209,262827,2
36216151,97835,00,2021,4,6,275,2
36216152,97836,00,2021,59,576,25346,2
36216153,97502,00,2021,806,8670,427831,2
36216154,97838,00,2021,630,11169,528951,2
36216155,97864,00,2021,5,27,1504,2
