,RandomForestClassifier,Training Accuracy before tuning:  0.9743475151948516
1,RandomForestClassifier,Test Set Accuracy before tuning:  0.7847758081334724
2,,                         importance
3,Population,                 0.082814
4,Education,                  0.076172
5,Poverty,                    0.075106
6,Work_Experience,            0.073866
7,Poverty_18to65,             0.069906
8,Working_Fulltime,           0.069701
9,Poverty_Under18,            0.063606
10,JobsTotal,                  0.063493
11,Poverty_Over65,             0.059189
12,JobsConstruction,           0.050845
13,JobsProfessional,           0.046254
14,JobsHealthcare,             0.041671
15,JobsTrade,                  0.039552
16,JobsTransport,              0.037882
17,JobsManufacturing,          0.037844
18,Working_Fulltime_Poverty,   0.031415
19,JobsEntertainment,          0.031386
20,JobsRealestate,             0.031348
21,JobsAgriculture,            0.017950
