zcta,latitude,longitude,JobsTotal,JobsAgriculture,JobsAutomotive,JobsEntertainment,JobsConstruction,JobsHealthcare,JobsManufacturing,JobsProfessional,JobsRealestate,JobsTrade,JobsTransport
1001,42.06,-72.63,472,,,12,58,45,46,55,12,38,11
1002,42.36,-72.46,588,1,,30,27,81,15,118,33,8,3
1003,42.39,-72.52,21,,,3,,3,,2,,2,1
1005,42.42,-72.11,95,2,,,16,7,4,16,3,1,6
1007,42.28,-72.4,229,1,,3,36,30,7,31,5,15,4
1008,42.19,-72.95,21,,,3,6,1,,2,,,
1009,42.21,-72.34,18,,,,3,,1,2,,2,1
1010,42.13,-72.21,75,1,,2,22,2,2,8,10,1,4
1011,42.29,-72.97,11,,,1,2,,1,,2,,
1012,42.38,-72.86,10,,,,3,3,1,,,1,
1013,42.15,-72.6,334,,,7,30,29,27,33,12,18,11
1020,42.17,-72.56,563,,,17,66,59,19,49,24,17,13
1022,42.2,-72.54,58,,,,2,3,17,4,1,5,5
1026,42.47,-72.92,19,,,1,1,2,,1,1,1,1
1027,42.3,-72.75,416,,,13,55,36,31,55,15,11,9
1028,42.06,-72.5,516,,,14,51,65,27,93,25,25,6
1029,42.19,-73.04,14,,,,1,,3,1,1,,
1030,42.07,-72.69,209,,,6,33,20,6,32,8,7,4
1031,42.33,-72.2,20,,,1,1,1,2,,,,2
1032,42.46,-72.81,27,,,1,7,2,1,1,,1,
1033,42.24,-72.5,122,1,,2,33,4,5,11,5,2,1
1034,42.09,-72.96,31,2,,1,8,2,3,3,,,2
1035,42.36,-72.57,308,,,12,25,34,10,42,6,6,2
1036,42.07,-72.42,116,1,,2,28,6,4,9,3,2,
1037,42.38,-72.2,18,,,1,6,,2,2,2,,
1038,42.38,-72.6,61,,,3,14,5,3,2,1,7,6
1039,42.4,-72.69,28,,,1,8,1,1,2,,,
1040,42.21,-72.64,915,,,22,52,146,56,109,38,21,14
1050,42.29,-72.87,33,,,,5,5,,1,,1,
1053,42.36,-72.71,28,,,4,2,8,3,2,1,2,
1054,42.47,-72.48,33,,,1,8,3,,6,3,1,
1056,42.18,-72.46,404,,,10,81,32,34,47,11,6,12
1057,42.09,-72.32,144,1,,3,37,6,9,12,3,6,7
1060,42.32,-72.63,790,,,44,30,125,18,144,25,21,10
1062,42.32,-72.7,196,1,,8,20,40,9,23,9,9,4
1063,42.32,-72.64,4,,,1,,,,,,,
1066,42.41,-72.66,9,,,3,1,,1,1,,,
