zcta,latitude,longitude,JobsTotal,JobsAgriculture,JobsAutomotive,JobsEntertainment,JobsConstruction,JobsHealthcare,JobsManufacturing,JobsProfessional,JobsRealestate,JobsTrade,JobsTransport
1068,42.35,-72.04,29,,,1,12,1,,3,,1,2
1069,42.19,-72.31,272,1,,10,38,19,24,29,6,16,12
1070,42.52,-72.92,8,,,1,1,,,,,,
1071,42.16,-72.87,20,1,,,6,1,1,,1,1,
1072,42.46,-72.42,19,,,2,6,,2,5,,,
1073,42.23,-72.74,129,1,,8,30,7,6,15,3,4,4
1074,42.39,-72.09,10,,,,,,,,1,1,
1075,42.26,-72.58,313,,,7,46,33,8,49,9,11,6
1077,42.05,-72.78,219,3,,11,35,13,16,18,5,8,11
1079,42.19,-72.33,14,,,,4,1,1,3,,,1
1080,42.19,-72.36,38,,,,3,3,6,8,,1,
1081,42.06,-72.23,14,1,,,4,,1,,,,1
1082,42.3,-72.28,158,1,,4,12,11,11,17,,4,8
1083,42.2,-72.19,32,1,,,6,1,4,4,2,,2
1084,42.39,-72.88,5,,,,2,,,,,,
1085,42.15,-72.77,865,,,21,107,98,82,103,35,41,32
1086,42.13,-72.79,16,,,1,3,1,4,,,,1
1088,42.39,-72.65,31,,,1,4,2,3,4,1,2,1
1089,42.13,-72.65,989,,,26,82,108,58,130,38,58,23
1092,42.19,-72.24,16,,,1,3,,1,2,,1,
1093,42.44,-72.66,31,,,,5,2,5,1,,3,2
1094,42.36,-72.14,3,,,,,,2,,,,
1095,42.14,-72.42,290,1,,4,28,41,7,55,10,13,5
1096,42.4,-72.76,53,,,1,7,4,6,8,1,1,3
1097,42.18,-72.83,2,,,,,,,,,,
1098,42.39,-72.94,19,,,4,2,2,1,3,1,1,
1103,42.1,-72.59,544,,,19,10,71,6,238,25,8,5
1104,42.13,-72.57,567,,,11,33,104,28,44,22,54,28
1105,42.1,-72.58,272,,,22,10,42,5,33,14,14,9
1106,42.05,-72.57,275,,,12,13,55,1,62,19,7,4
1107,42.12,-72.61,151,,,2,6,69,6,7,6,5,1
1108,42.08,-72.56,276,,,4,16,34,9,20,21,8,13
1109,42.12,-72.55,313,,,7,17,45,10,25,8,8,11
1118,42.09,-72.53,130,,,3,15,29,1,13,3,2,2
1119,42.12,-72.51,147,,,6,8,18,,12,9,,2
1128,42.09,-72.49,52,,,,8,7,1,9,,,
1129,42.12,-72.49,158,,,4,6,13,4,11,2,4,1
1151,42.15,-72.51,146,,,2,12,10,22,14,6,7,8
1199,42.12,-72.6,5,,,,,3,,,,,
1201,42.45,-73.27,1321,1,,57,129,222,50,193,38,55,27
1220,42.62,-73.12,159,1,,2,33,10,8,16,4,4,4
1222,42.06,-73.32,17,,,1,4,,4,,,2,
1223,42.31,-73.11,42,,,4,12,,1,2,,,1
1224,42.51,-73.2,3,,,,1,,1,,,,
1225,42.56,-73.15,54,,,,14,2,1,2,2,,2
1226,42.48,-73.14,127,,,4,26,9,7,17,10,4,
1229,42.28,-73.33,3,,,,,,,1,,,
1230,42.17,-73.32,421,1,,26,39,44,12,60,13,11,4
1235,42.43,-73.06,49,,,1,18,2,2,2,1,,1
1236,42.27,-73.38,43,,,1,10,2,4,5,,,
1237,42.54,-73.27,123,1,,5,19,6,3,5,3,2,1
1238,42.3,-73.23,282,,,8,26,12,6,25,5,6,3
1240,42.37,-73.27,248,,,13,13,20,5,35,8,7,2
1242,42.33,-73.25,17,,,,3,1,,1,2,,1
1243,42.35,-73.02,6,1,,,2,,1,,1,,
1244,42.12,-73.26,3,,,,1,1,,1,,,
1245,42.19,-73.22,24,,,4,6,2,1,2,,,
1247,42.7,-73.08,330,,,15,31,41,15,32,11,7,9
1253,42.21,-73.11,33,,,2,12,3,,1,2,,
1254,42.38,-73.37,30,1,,1,9,2,,5,,2,
1255,42.11,-73.12,20,1,,1,6,1,,1,,,1
1256,42.59,-73.02,5,,,,2,1,2,,,,
1257,42.09,-73.37,110,,,4,22,2,13,8,1,2,4
1258,42.11,-73.46,33,,,1,7,2,,5,1,1,
1259,42.08,-73.23,25,,,2,7,,,2,1,2,
1260,42.3,-73.34,12,,,1,1,,2,2,1,1,
1262,42.29,-73.32,78,2,,10,7,5,2,9,1,1,
1264,42.23,-73.2,1,,,1,,,,,,,
1266,42.31,-73.39,44,,,,12,,1,5,2,,
1267,42.67,-73.25,213,1,,17,13,24,4,36,4,1,3
1270,42.52,-73.03,8,,,,6,,,,,,
1301,42.63,-72.6,578,,,24,32,103,32,82,19,21,5
1330,42.51,-72.82,36,,,2,4,,6,4,3,1,
1331,42.56,-72.19,211,,,6,21,33,8,20,12,6,7
1337,42.69,-72.58,47,,,2,13,2,3,,1,2,2
1338,42.57,-72.82,13,,,,4,1,,2,,,2
1339,42.6,-72.89,31,,,3,5,,,2,,,2
1340,42.69,-72.71,18,,,,4,,5,,,1,
1341,42.49,-72.71,26,,,3,6,3,2,2,,,
1342,42.54,-72.61,27,,,2,3,1,3,1,1,1,
1343,42.66,-72.98,1,,,,1,,,,,,
1344,42.61,-72.43,21,,,1,2,1,2,3,1,,1
1346,42.69,-72.82,5,,,,1,,,,,,
1347,42.56,-72.52,1,,,,1,,,,,,
1349,42.56,-72.48,7,,,,2,,2,,,,
1350,42.73,-72.99,3,,,,,,,1,,,1
1351,42.54,-72.52,30,,,,5,1,1,6,1,3,1
1354,42.62,-72.51,22,,,1,6,2,,1,,,3
1355,42.46,-72.33,20,1,,3,2,1,2,2,,,1
1360,42.68,-72.45,47,2,,1,12,2,4,4,,2,1
1364,42.61,-72.29,134,1,,4,8,14,20,10,3,6,7
1366,42.48,-72.19,30,,,2,5,2,1,5,2,,
1367,42.7,-72.91,6,,,,1,,,1,,,
1368,42.68,-72.18,9,,,,3,,,1,,,
1370,42.59,-72.73,114,,,11,8,8,8,20,4,3,2
1373,42.48,-72.62,143,,,3,19,15,8,20,1,9,6
1375,42.47,-72.55,54,,,3,4,3,,9,5,1,
1376,42.6,-72.56,97,,,3,2,21,10,9,2,4,
1378,42.67,-72.35,5,,,,1,,,,,,
1379,42.56,-72.41,12,,,,3,1,,2,,1,1
1420,42.58,-71.82,765,,,15,63,116,51,82,30,34,21
1430,42.66,-71.92,91,,,2,20,7,7,13,1,3,2
1431,42.68,-71.83,60,1,,1,20,2,4,5,1,,3
1432,42.56,-71.57,233,,,5,26,18,25,28,9,13,18
1434,42.54,-71.61,77,,,3,1,9,14,12,5,8,3
1436,42.6,-72.09,34,,,1,9,6,1,1,,1,
1438,42.56,-72.03,19,,,1,2,,3,2,,1,2
1440,42.59,-71.99,403,,,15,20,67,34,42,9,6,9
1450,42.61,-71.56,224,1,,9,37,29,8,38,5,10,3
1451,42.5,-71.57,132,3,,8,15,20,5,37,8,5,2
1452,42.5,-72,49,2,,1,15,5,2,8,2,2,
1453,42.52,-71.76,1127,,,30,114,124,92,147,39,40,31
1460,42.54,-71.49,318,1,,19,54,22,19,58,9,22,3
1462,42.58,-71.72,212,,,8,53,13,5,28,16,6,2
1463,42.67,-71.6,208,,,3,58,16,6,28,8,5,7
1464,42.57,-71.64,121,1,,1,22,3,19,18,5,13,3
1467,42.49,-71.61,9,,,,1,,2,,,,
1468,42.54,-72.07,61,,,2,13,3,5,10,2,2,3
1469,42.66,-71.7,129,,,7,28,4,3,15,3,3,
1473,42.55,-71.91,177,5,,3,31,16,10,13,7,12,5
1474,42.67,-71.75,27,,,,11,1,1,,1,,
1475,42.67,-72.06,143,,,3,22,11,14,9,2,9,2
1501,42.2,-71.85,597,1,,13,59,62,19,71,23,47,9
1503,42.38,-71.63,81,2,,1,18,2,3,6,6,5,2
1504,42.04,-71.53,132,,,1,42,9,2,8,2,7,3
1505,42.36,-71.72,123,,,10,26,2,5,23,10,3,8
1506,42.18,-72.11,42,,,,8,4,5,2,1,2,1
1507,42.13,-71.97,262,,,12,58,21,13,31,3,11,12
1510,42.41,-71.69,244,,,3,34,14,20,31,9,14,4
1515,42.21,-72.04,43,,,3,3,,,6,1,2,3
1516,42.05,-71.75,127,,,4,38,8,9,13,4,2,5
1518,42.13,-72.12,63,,,2,4,2,1,11,1,2,
1519,42.2,-71.68,101,2,,5,17,9,1,17,2,6,2
1520,42.34,-71.85,280,,,4,41,39,7,50,11,8,2
1521,42.05,-72.18,19,1,,1,4,,,1,1,,1
1522,42.38,-71.87,33,,,2,4,3,2,5,1,,1
1523,42.48,-71.68,124,,,7,19,19,4,21,3,11,2
1524,42.25,-71.92,108,,,6,28,11,3,13,,3,1
1525,42.11,-71.63,22,,,,3,4,1,3,1,,
1527,42.19,-71.78,301,1,,13,41,16,30,24,1,15,8
1529,42.04,-71.58,30,,,1,5,3,3,5,,2,
1531,42.33,-72.13,18,,,,5,,1,1,1,1,2
1532,42.32,-71.65,503,,,12,55,59,16,99,12,33,10
1534,42.14,-71.64,71,1,,6,14,8,9,3,2,,1
1535,42.27,-72.07,76,,,4,14,8,3,11,1,5,2
1536,42.23,-71.69,144,,,3,21,18,12,19,4,1,6
1537,42.16,-71.9,66,,,3,7,1,7,6,3,5,9
1540,42.12,-71.86,236,,,6,42,15,22,26,5,15,7
1541,42.45,-71.88,70,1,,3,7,6,4,15,4,3,2
1542,42.2,-71.91,34,,,1,8,3,2,1,,1,
1543,42.39,-71.97,117,1,,3,32,8,3,9,3,3,4
1545,42.28,-71.71,801,,,20,71,76,29,139,47,50,35
1550,42.06,-72.03,317,,,10,25,54,24,28,9,17,4
1560,42.18,-71.67,60,,,2,5,5,5,8,1,5,1
1561,42.44,-71.69,27,,,,3,2,2,9,,1,
1562,42.25,-71.99,220,1,,5,42,17,13,27,8,3,7
1564,42.45,-71.78,195,1,1,7,41,17,17,24,4,13,3
1566,42.1,-72.08,237,,,5,18,28,13,50,7,5,5
1568,42.18,-71.6,159,,,5,46,9,9,19,3,6,4
1569,42.06,-71.63,283,1,,8,49,12,16,28,7,24,13
1570,42.05,-71.85,375,,,8,45,39,19,37,20,19,11
1571,42.05,-71.94,161,,,4,35,7,14,16,3,5,5
1581,42.27,-71.61,933,2,,44,52,98,42,238,33,56,14
1583,42.37,-71.79,240,,,3,38,27,11,32,7,14,5
1585,42.24,-72.16,82,,,1,14,11,10,5,3,3,4
1588,42.12,-71.67,213,1,,5,20,25,5,37,9,6,5
1590,42.13,-71.75,162,1,,4,29,11,11,29,4,9,1
1602,42.27,-71.85,306,,,9,26,50,4,41,18,10,8
1603,42.24,-71.84,410,,,9,30,48,28,35,15,15,13
1604,42.25,-71.77,715,,,11,75,79,35,54,29,41,17
1605,42.29,-71.79,637,,,19,36,151,21,117,21,30,17
1606,42.32,-71.8,454,,,28,35,48,26,60,17,22,12
1607,42.23,-71.79,142,,,,16,8,7,14,6,9,6
1608,42.26,-71.8,533,,,13,8,85,7,217,19,14,7
1609,42.29,-71.83,526,,,17,17,119,5,117,24,13,5
1610,42.25,-71.81,365,,,9,25,43,25,22,18,24,16
1611,42.24,-71.88,32,,,1,6,1,3,1,3,2,1
1612,42.3,-71.93,73,,,4,12,10,2,13,2,3,
1701,42.32,-71.44,1216,1,,56,94,120,20,281,60,66,25
1702,42.28,-71.44,909,,,34,113,153,24,123,26,37,15
1718,42.52,-71.43,3,,,1,,,,,,1,
1719,42.49,-71.52,128,,,9,17,9,9,40,4,10,2
1720,42.48,-71.44,712,1,,39,51,68,24,170,21,34,5
1721,42.26,-71.47,411,,,6,70,28,17,72,9,20,10
1730,42.5,-71.28,543,,,32,48,50,26,138,17,33,12
1731,42.46,-71.28,35,,,,,1,,24,1,3,1
1740,42.44,-71.6,125,2,,5,18,9,5,39,6,7,
1741,42.54,-71.36,107,,,10,14,8,6,39,5,3,1
1742,42.46,-71.36,771,1,,54,37,130,23,201,39,24,6
1745,42.29,-71.5,17,,,1,2,2,,6,,1,1
1746,42.2,-71.45,396,2,,9,64,27,37,63,8,34,2
1747,42.12,-71.53,150,,,4,20,24,14,15,6,12,7
1748,42.22,-71.54,463,,,22,61,43,16,121,15,36,7
1749,42.39,-71.55,543,,,17,79,30,64,66,17,34,11
1752,42.35,-71.55,1458,,,59,131,140,68,271,48,97,27
1754,42.43,-71.46,272,,,13,38,15,6,62,12,11,5
1756,42.09,-71.54,139,,,5,30,5,5,17,7,7,3
1757,42.16,-71.52,822,,1,25,115,123,28,112,20,33,12
1760,42.28,-71.35,1329,,,57,99,120,35,250,46,57,16
1770,42.23,-71.37,102,3,,6,15,9,2,27,2,4,
1772,42.3,-71.53,344,,,18,29,21,12,108,10,27,9
1773,42.43,-71.31,148,,,8,11,17,2,42,11,3,
1775,42.43,-71.51,154,1,,11,32,10,5,29,4,9,1
1776,42.38,-71.42,542,,,34,44,65,9,139,17,37,3
1778,42.36,-71.36,348,2,,23,30,39,4,89,10,14,1
1801,42.49,-71.15,2135,,,85,231,166,135,430,90,215,63
1803,42.5,-71.2,1487,,,124,92,106,30,337,42,79,12
1810,42.65,-71.16,1029,,,65,67,113,27,292,40,59,11
1821,42.55,-71.25,738,,1,24,154,41,38,115,22,54,33
1824,42.59,-71.36,832,,,31,95,118,45,153,20,37,15
1826,42.68,-71.3,546,1,,13,124,51,12,62,22,14,15
1827,42.68,-71.5,46,1,,,19,2,,6,,1,1
1830,42.8,-71.05,514,1,,19,53,105,12,71,20,13,6
1832,42.79,-71.13,315,,3,7,39,19,28,35,9,14,8
1833,42.73,-70.98,207,1,,7,38,18,14,29,3,12,2
1834,42.75,-71.02,123,1,,5,32,6,7,17,2,7,2
1835,42.75,-71.09,304,1,,15,37,18,43,29,15,25,9
1840,42.71,-71.16,353,,,13,13,74,32,29,10,16,9
1841,42.71,-71.16,401,,,3,27,52,18,17,14,14,16
1843,42.69,-71.16,475,,,16,28,48,40,45,18,27,19
1844,42.74,-71.18,914,,1,25,118,118,37,114,35,47,31
1845,42.67,-71.09,889,1,,29,86,130,33,225,30,46,9
1850,42.66,-71.3,110,,,2,12,6,2,8,4,1,3
1851,42.63,-71.34,457,,,22,56,32,24,51,21,16,7
1852,42.63,-71.3,767,1,,26,40,121,44,107,32,25,15
1854,42.65,-71.35,302,,,5,20,58,7,28,15,9,3
1860,42.84,-71.01,90,,,1,19,9,4,13,3,3,3
1862,42.58,-71.3,375,1,,8,67,18,43,34,7,52,18
1863,42.63,-71.39,220,,,6,21,31,11,37,6,12,9
1864,42.58,-71.08,523,,,24,90,45,5,104,11,25,13
1867,42.54,-71.11,540,,,20,76,73,8,108,23,10,10
1876,42.61,-71.23,735,1,1,17,136,76,31,94,27,35,25
1879,42.67,-71.43,317,,,17,74,10,13,45,15,21,4
1880,42.5,-71.07,897,,,33,115,95,30,206,35,35,13
1886,42.59,-71.44,620,,,32,66,58,24,148,16,31,15
1887,42.56,-71.16,826,1,,31,149,58,77,100,24,94,39
1890,42.45,-71.14,562,,,25,42,102,9,145,30,11,5
1901,42.46,-70.95,285,,,16,4,56,9,42,13,9,3
1902,42.47,-70.94,437,,,8,67,71,9,38,20,8,14
1904,42.49,-70.97,283,,,7,34,40,7,30,4,7,6
1905,42.47,-70.98,342,,,8,55,20,12,16,13,16,20
1906,42.47,-71.01,772,1,,34,106,62,18,75,21,13,16
1907,42.47,-70.91,325,,,10,46,39,3,52,21,9,6
1908,42.43,-70.93,46,,,4,8,3,1,5,1,3,
1913,42.85,-70.96,423,,,19,51,52,29,71,10,28,5
1915,42.57,-70.87,1296,7,,64,114,180,68,242,42,52,15
1921,42.68,-71.03,158,2,,4,36,16,3,45,8,5,2
1922,42.76,-70.91,62,1,,4,10,1,2,14,5,1,2
1923,42.57,-70.95,1100,2,,51,87,150,59,203,26,37,15
1929,42.64,-70.77,153,1,,8,31,7,14,13,4,8,1
1930,42.62,-70.68,916,27,2,38,108,86,49,111,30,46,25
1937,42.59,-70.98,4,,,,,,,,,1,
1938,42.68,-70.84,384,4,,15,54,22,38,55,11,17,1
1940,42.53,-71.04,396,,,9,47,29,2,110,18,17,9
1944,42.58,-70.77,175,1,,8,17,18,,46,9,9,1
1945,42.5,-70.86,556,1,,27,68,44,14,112,16,21,7
1949,42.61,-71.01,324,1,,14,58,13,19,50,13,16,4
1950,42.81,-70.89,763,,,46,55,84,57,156,22,40,10
1951,42.77,-70.85,79,1,,8,13,3,2,9,5,3,4
1952,42.84,-70.84,276,,,21,39,16,11,12,10,11,7
1960,42.53,-70.97,1475,1,,35,176,162,59,173,44,61,52
1966,42.64,-70.62,191,2,,8,28,10,4,23,4,5,3
1969,42.72,-70.89,214,3,,3,33,13,19,21,3,17,8
1970,42.52,-70.87,1147,,,47,86,134,39,206,43,40,19
1982,42.63,-70.86,156,4,,11,16,21,1,37,6,6,1
1983,42.64,-70.94,241,,,12,32,17,13,62,9,23,1
1984,42.6,-70.88,87,1,,7,11,6,1,16,6,5,
1985,42.8,-70.96,71,3,,1,17,4,1,15,2,3,
2019,42.08,-71.47,407,,,16,63,16,21,35,5,19,15
2021,42.18,-71.13,946,1,,30,115,95,45,169,32,85,28
2025,42.24,-70.81,281,,,23,23,23,2,53,10,9,1
2026,42.25,-71.18,937,,,35,88,112,10,171,38,33,18
2030,42.23,-71.29,120,1,,5,17,13,1,42,7,3,
2032,42.16,-71.22,135,,,3,22,8,5,22,5,7,3
2035,42.06,-71.25,610,,,39,67,52,17,104,25,48,19
2038,42.08,-71.41,840,2,,29,100,67,52,140,34,65,31
2043,42.22,-70.88,861,,,36,65,85,16,222,32,54,12
2045,42.29,-70.92,155,,,11,15,9,1,24,5,5,8
2047,42.13,-70.69,6,,,,1,,,1,2,,
2048,42.02,-71.22,595,1,,19,50,46,26,108,21,48,16
2050,42.12,-70.71,560,2,,29,78,54,12,84,21,23,14
2052,42.18,-71.31,303,1,,10,36,33,7,67,10,20,2
2053,42.16,-71.43,309,1,,16,41,30,17,48,6,13,4
2054,42.17,-71.36,195,1,,10,32,12,5,19,8,9,2
2056,42.11,-71.34,239,,,8,53,19,6,48,4,13,6
2061,42.16,-70.82,611,,,27,62,75,9,161,20,26,7
2062,42.19,-71.2,1252,,,38,105,252,50,211,37,74,23
2066,42.2,-70.76,375,1,,21,59,34,8,59,11,10,8
2067,42.11,-71.18,380,,,17,24,57,8,107,17,26,8
2071,42.1,-71.27,16,,,,9,1,,,1,,
2072,42.12,-71.1,900,,,17,126,81,36,146,34,76,35
2081,42.15,-71.27,600,1,1,17,98,49,28,104,9,44,11
2090,42.22,-71.22,486,,,11,57,51,7,114,30,35,8
2093,42.05,-71.36,420,,,9,52,26,10,45,10,14,6
2108,42.36,-71.06,1162,,,58,8,43,15,460,51,27,2
2109,42.37,-71.05,1380,1,,72,16,30,10,686,82,26,7
2110,42.36,-71.05,1856,1,,107,14,46,13,1066,102,51,14
2111,42.35,-71.06,1032,,,56,8,105,19,301,44,29,13
2113,42.37,-71.06,185,,,7,4,8,7,17,5,2,
2114,42.36,-71.07,699,,,46,9,98,5,194,46,19,2
2115,42.34,-71.11,608,,,41,3,43,1,71,67,8,2
2116,42.35,-71.08,2081,1,,116,26,131,10,626,183,32,6
2118,42.34,-71.07,809,,,29,24,91,18,170,61,72,10
2119,42.32,-71.09,453,,,14,31,104,9,39,26,17,10
2120,42.33,-71.1,176,,,2,4,54,2,15,24,,4
2121,42.31,-71.09,189,,,3,12,32,2,12,17,1,5
2122,42.29,-71.04,543,,,17,66,88,9,60,30,8,10
2124,42.29,-71.07,570,,,10,59,98,5,44,30,7,14
2125,42.32,-71.06,456,,1,22,40,52,8,47,27,9,7
2126,42.27,-71.1,206,,,7,18,34,1,19,7,,3
2127,42.33,-71.04,676,,,33,58,41,21,128,37,36,21
2128,42.36,-71.01,775,,,19,46,45,16,57,38,17,130
2129,42.38,-71.06,492,,,33,29,34,20,116,34,20,27
2130,42.31,-71.11,664,2,,31,27,114,14,83,39,10,10
2131,42.28,-71.13,425,,,15,40,52,7,40,21,9,4
2132,42.28,-71.16,521,,,13,50,73,10,88,23,6,6
2134,42.36,-71.13,537,,,29,19,48,15,64,53,14,12
2135,42.35,-71.15,688,1,,35,54,93,8,93,45,16,22
2136,42.26,-71.13,463,,,13,61,59,20,41,18,22,20
2138,42.38,-71.14,1201,,,68,29,151,24,282,50,31,5
2139,42.36,-71.1,1124,,,68,23,109,21,347,76,29,4
2140,42.39,-71.13,516,,,39,9,55,8,148,28,9,5
2141,42.37,-71.08,467,,,40,10,32,11,112,18,16,6
2142,42.36,-71.08,539,,,53,2,21,10,276,22,33,
2143,42.38,-71.1,653,,1,37,38,72,42,97,35,26,15
2144,42.4,-71.12,441,,,18,26,51,7,105,23,6,3
2145,42.39,-71.09,412,,,10,50,39,13,44,19,10,8
2148,42.43,-71.06,972,,,33,102,113,32,102,49,42,26
2149,42.41,-71.05,766,,1,9,105,53,41,71,25,53,43
2150,42.4,-71.03,702,,,13,44,82,32,53,34,83,57
2151,42.42,-71,809,1,,14,109,80,14,76,21,24,50
2152,42.37,-70.97,268,,,12,42,31,2,31,14,6,12
2155,42.42,-71.11,1175,,,31,165,122,36,193,39,45,31
2163,42.37,-71.12,29,,,2,,1,1,6,1,,1
2169,42.25,-71,1571,1,,62,161,231,29,311,64,51,34
2170,42.27,-71.02,262,1,,6,40,23,3,33,18,8,1
2171,42.29,-71.02,407,,,19,38,31,5,83,26,16,6
2176,42.46,-71.06,520,,,13,66,83,9,102,26,7,2
2180,42.47,-71.1,610,2,,19,81,93,17,110,19,14,15
2184,42.21,-71,1513,,,55,152,118,23,325,70,69,41
2186,42.24,-71.08,451,,,21,82,71,1,99,21,7,7
2188,42.2,-70.96,295,,,10,38,35,9,38,13,17,5
2189,42.21,-70.93,407,,,10,80,44,17,49,12,30,9
2190,42.17,-70.95,371,,,4,43,77,2,48,12,6,8
2191,42.24,-70.94,144,,,4,26,8,,13,3,3,2
2199,42.35,-71.08,252,,,8,2,4,1,90,17,6,
2203,42.36,-71.06,18,,,1,,1,,9,,2,
2210,42.35,-71.04,991,,,65,23,26,23,390,59,92,27
2215,42.35,-71.1,575,,,26,3,51,7,74,43,3,6
2301,42.08,-71.04,1378,,,36,79,231,51,187,48,48,40
2302,42.09,-71,399,,,13,53,63,12,19,8,20,19
2322,42.13,-71.05,238,,,4,38,14,23,19,10,36,14
2324,41.97,-70.98,510,,,12,100,35,14,81,17,22,17
2330,41.88,-70.75,199,1,,7,44,25,5,15,4,10,7
2332,42.04,-70.71,357,2,,17,43,45,6,74,17,25,4
2333,42.04,-70.94,253,,,5,48,20,12,30,7,7,7
2338,42,-70.86,113,,,2,34,8,1,9,3,4,4
2339,42.12,-70.86,647,1,,19,81,56,26,92,18,26,6
2341,42.05,-70.87,183,,,2,42,10,11,22,2,9,7
2343,42.14,-71,260,,,2,41,19,20,20,9,15,14
2346,41.88,-70.87,546,,,5,105,54,23,71,12,21,21
2347,41.83,-70.96,290,,,10,53,27,10,55,14,17,8
2351,42.12,-70.96,348,,,15,49,25,10,40,13,10,10
2356,42.06,-71.12,306,,,13,44,44,6,44,16,11,5
2357,42.05,-71.08,3,,,,,,,,,1,
2359,42.07,-70.81,534,1,,18,103,29,32,64,13,34,6
2360,41.88,-70.63,1567,1,1,65,193,203,44,250,57,48,29
2364,41.99,-70.74,393,,1,17,54,35,11,40,9,19,3
2366,41.85,-70.65,11,,,,3,,1,,2,,
2367,41.96,-70.8,67,2,,1,16,6,5,7,2,5,2
2368,42.18,-71.05,618,,,16,66,90,24,61,20,46,30
2370,42.13,-70.91,470,1,,12,83,24,31,69,15,41,15
2375,42.01,-71.08,405,1,,22,58,30,24,68,19,24,19
2379,42.02,-71.03,368,1,,6,55,27,29,36,12,32,25
2382,42.08,-70.94,241,,,5,41,11,15,23,5,11,5
2420,42.46,-71.22,500,1,,25,22,84,5,142,17,10,2
2421,42.44,-71.24,553,,,35,28,88,10,189,26,25,3
2445,42.33,-71.14,490,,,21,19,99,6,112,29,14,1
2446,42.34,-71.12,756,,,36,15,181,8,128,69,12,2
2451,42.4,-71.26,1289,,,91,61,114,26,331,44,69,14
2452,42.39,-71.21,449,,,29,37,47,11,84,21,17,8
2453,42.37,-71.24,874,,,39,98,86,58,123,33,32,14
2457,42.3,-71.27,18,,,1,,,,,,1,
2458,42.35,-71.19,509,1,,33,39,66,12,132,27,18,8
2459,42.31,-71.19,722,,,39,28,116,4,198,44,32,17
2460,42.35,-71.21,268,,,12,23,30,8,69,7,10,5
2461,42.32,-71.21,262,,,17,10,37,4,55,13,7,3
2462,42.33,-71.26,114,,,,2,50,,35,6,2,
2464,42.31,-71.22,264,,,14,15,35,3,59,11,14,3
2465,42.35,-71.23,320,,,15,26,38,7,66,11,14,5
2466,42.34,-71.25,278,,,22,16,31,4,84,15,17,4
2467,42.31,-71.15,518,,,25,12,84,5,86,39,12,4
2468,42.33,-71.23,99,,,2,8,19,,31,7,4,
2472,42.37,-71.18,1028,,,76,104,119,48,178,44,32,22
2474,42.42,-71.16,485,,,22,54,64,5,92,16,11,4
2476,42.42,-71.18,416,,,22,35,66,4,77,24,9,7
2478,42.4,-71.18,601,,,26,59,90,9,128,23,12,10
2481,42.31,-71.28,725,,,20,20,133,5,312,44,17,5
2482,42.29,-71.3,438,,,18,18,47,4,135,20,16,1
2492,42.28,-71.24,541,,,20,41,90,16,137,24,19,2
2493,42.36,-71.3,329,,,17,27,48,5,101,21,13,3
2494,42.3,-71.23,696,,,57,46,66,20,227,42,45,8
