zcta,JobsTotal1000,JobsAgriculture1000,JobsEntertainment1000,JobsConstruction1000,JobsHealthcare1000,JobsManufacturing1000,JobsProfessional1000,JobsRealestate1000,JobsTrade1000,JobsTransport1000,population,poverty,poverty_under18,poverty_18to65,poverty_over65,education,work_experience,working_fulltime,working_fulltime_poverty,y
1001,28,0,0,3,2,2,3,0,2,0,16706,1462,276,910,276,12445,13961,1691,15,0
1002,23,0,1,1,3,0,4,1,0,0,24777,8351,658,7486,207,13143,21645,1990,210,0
1003,328,0,46,0,46,0,31,0,31,15,64,54,0,54,0,45,64,9,0,0
1005,18,0,0,3,1,0,3,0,0,1,5122,230,0,174,56,3573,4275,356,0,0
1007,15,0,0,2,2,0,2,0,1,0,14769,1410,302,956,152,9985,11838,808,34,0
1008,17,0,2,5,0,0,1,0,0,0,1194,49,14,32,3,928,1051,121,0,0
1009,75,0,0,12,0,4,8,0,8,4,237,105,34,12,59,203,214,24,0,0
1010,20,0,0,5,0,0,2,2,0,1,3676,95,0,69,26,2753,3123,291,0,0
1011,7,0,0,1,0,0,0,1,0,0,1505,110,30,72,8,1088,1232,111,0,1
1012,18,0,0,5,5,1,0,0,1,0,528,60,15,45,0,385,434,35,0,0
1013,14,0,0,1,1,1,1,0,0,0,22291,4233,1445,2374,414,14997,17820,2323,83,0
1020,18,0,0,2,1,0,1,0,0,0,30500,3166,678,1904,584,22545,25590,2773,30,0
1022,22,0,0,0,1,6,1,0,1,1,2528,644,145,448,51,1776,2375,575,0,0
1026,18,0,0,0,1,0,0,0,0,0,1014,45,0,28,17,785,856,64,0,0
1027,23,0,0,3,2,1,3,0,0,0,17798,1774,296,1186,292,13740,15330,1905,20,0
1028,33,0,0,3,4,1,5,1,1,0,15634,677,205,351,121,11136,12593,666,0,0
1029,18,0,0,1,0,3,1,1,0,0,760,96,21,72,3,589,666,117,0,0
1030,18,0,0,2,1,0,2,0,0,0,11183,1124,390,610,124,8024,9261,717,18,1
1031,16,0,0,0,0,1,0,0,0,1,1192,268,44,208,16,849,1028,136,9,1
1032,45,0,1,11,3,1,1,0,1,0,590,15,0,11,4,463,504,25,0,1
1033,19,0,0,5,0,0,1,0,0,0,6243,290,70,183,37,4660,5304,507,0,0
1034,13,0,0,3,0,1,1,0,0,0,2311,230,46,164,20,1670,1993,155,20,0
1035,59,0,2,4,6,1,8,1,1,0,5193,384,56,259,69,3965,4488,511,20,0
1036,22,0,0,5,1,0,1,0,0,0,5088,256,66,143,47,3693,4303,190,12,1
1037,29,0,1,9,0,3,3,3,0,0,619,86,0,86,0,505,592,74,0,0
1038,21,0,1,4,1,1,0,0,2,2,2853,157,7,93,57,2274,2504,292,0,1
1039,23,0,0,6,0,0,1,0,0,0,1194,78,13,65,0,937,1059,85,5,0
1040,23,0,0,1,3,1,2,0,0,0,39248,11227,4316,5911,1000,25490,30792,3065,14,0
1050,14,0,0,2,2,0,0,0,0,0,2335,221,86,131,4,1691,1912,182,0,1
1053,19,0,2,1,5,2,1,0,1,0,1448,251,27,216,8,1105,1185,136,11,0
1054,16,0,0,4,1,0,3,1,0,0,1972,84,13,51,20,1466,1635,135,3,0
1056,19,0,0,3,1,1,2,0,0,0,20667,1124,283,672,169,15318,17105,1423,0,0
1057,16,0,0,4,0,1,1,0,0,0,8716,496,101,327,68,6281,7218,708,0,0
1060,60,0,3,2,9,1,11,1,1,0,13090,2258,246,1775,237,9797,11419,2114,107,1
1062,18,0,0,1,3,0,2,0,0,0,10561,1445,602,729,114,7486,8519,1054,5,0
1066,750,0,250,83,0,83,83,0,0,0,12,0,0,0,0,12,12,0,0,0
1068,15,0,0,6,0,0,1,0,0,1,1821,62,0,56,6,1276,1485,115,3,0
1069,32,0,1,4,2,2,3,0,1,1,8435,591,102,443,46,6198,7115,697,0,0
1070,14,0,1,1,0,0,0,0,0,0,562,60,22,34,4,443,489,65,0,0
1071,15,0,0,4,0,0,0,0,0,0,1271,17,1,16,0,971,1053,96,0,0
1072,12,0,1,3,0,1,3,0,0,0,1533,187,63,108,16,1094,1299,129,5,0
1073,21,0,1,4,1,0,2,0,0,0,6081,251,49,171,31,4500,5088,402,50,0
1074,43,0,0,0,0,0,0,4,4,0,228,0,0,0,0,155,155,0,0,0
1075,20,0,0,3,2,0,3,0,0,0,15321,1524,234,992,298,11659,13119,1309,23,0
1077,22,0,1,3,1,1,1,0,0,1,9591,554,210,299,45,6868,7766,542,0,0
1079,17,0,0,4,1,1,3,0,0,1,811,74,14,60,0,573,612,73,0,1
1080,15,0,0,1,1,2,3,0,0,0,2452,773,243,505,25,1603,1991,311,28,0
1081,7,0,0,2,0,0,0,0,0,0,1815,100,30,63,7,1268,1419,97,0,1
1082,15,0,0,1,1,1,1,0,0,0,10528,1434,441,684,309,7418,8678,811,19,1
1083,10,0,0,1,0,1,1,0,0,0,3148,245,68,177,0,2184,2465,229,0,0
1084,32,0,0,12,0,0,0,0,0,0,154,0,0,0,0,137,144,6,0,0
1085,22,0,0,2,2,2,2,0,1,0,38788,3679,1164,2101,414,26383,32084,3247,125,0
1088,71,0,2,9,4,6,9,2,4,2,433,33,0,22,11,382,405,109,6,0
1089,34,0,0,2,3,2,4,1,2,0,28357,3733,1195,2307,231,19522,22951,2787,21,0
1092,13,0,0,2,0,0,1,0,0,0,1191,176,99,76,1,894,1038,151,0,1
1093,107,0,0,17,6,17,3,0,10,6,289,16,8,8,0,239,267,32,0,0
1094,8,0,0,0,0,5,0,0,0,0,347,26,0,9,17,274,288,22,0,0
