,RandomForestClassifier,Training Accuracy before tuning:  0.9769148174659986
1,RandomForestClassifier,Test Set Accuracy before tuning:  0.8276617954070982
2,,                         importance
3,Population,                 0.081903
4,Education,                  0.077457
5,Work_Experience,            0.076390
6,Poverty,                    0.076038
7,Poverty_18to65,             0.073089
8,Working_Fulltime,           0.070897
9,JobsTotal,                  0.064279
10,Poverty_Under18,            0.063259
11,Poverty_Over65,             0.060503
12,JobsConstruction,           0.049536
13,JobsHealthcare,             0.042996
14,JobsProfessional,           0.042044
15,JobsTrade,                  0.039703
16,JobsTransport,              0.037210
17,JobsManufacturing,          0.035675
18,JobsRealestate,             0.030626
19,Working_Fulltime_Poverty,   0.028818
20,JobsEntertainment,          0.028791
21,JobsAgriculture,            0.020785
