zcta,latitude,longitude,JobsTotal,JobsAgriculture,JobsAutomotive,JobsEntertainment,JobsConstruction,JobsHealthcare,JobsManufacturing,JobsProfessional,JobsRealestate,JobsTrade,JobsTransport
1001,42.06,-72.63,453,,,7,47,43,48,63,11,44,10
1002,42.36,-72.46,602,2,,30,29,81,10,118,31,8,6
1003,42.39,-72.52,15,,,2,,2,,1,,1,
1005,42.42,-72.11,94,1,,1,11,7,3,16,3,1,6
1007,42.28,-72.4,217,1,,5,27,27,8,29,5,17,5
1008,42.19,-72.95,18,,,2,5,,,2,,,
1009,42.21,-72.34,16,,,,3,,1,2,,2,1
1010,42.13,-72.21,78,,,1,22,2,2,10,10,1,4
1011,42.29,-72.97,16,,,1,4,1,3,,2,,
1012,42.38,-72.86,10,,,,2,3,1,,,2,
1013,42.15,-72.6,314,,,6,31,25,27,41,9,18,7
1020,42.17,-72.56,548,,,12,65,47,22,52,26,14,19
1022,42.2,-72.54,64,,,,1,8,21,3,5,4,5
1026,42.47,-72.92,18,,,,1,,1,2,,1,1
1027,42.3,-72.75,370,1,,10,48,36,31,41,12,12,6
1028,42.06,-72.5,506,,,14,58,58,28,87,17,28,4
1029,42.19,-73.04,13,,,,2,,3,2,,,
1030,42.07,-72.69,195,1,,5,35,19,6,26,9,8,1
1031,42.33,-72.2,18,,,1,1,,2,,,,2
1032,42.46,-72.81,22,,,1,4,2,1,2,,,
1033,42.24,-72.5,121,3,,3,30,5,5,12,3,2,5
1034,42.09,-72.96,27,1,,,7,,2,2,,,1
1035,42.36,-72.57,295,,,11,24,29,8,39,6,4,1
1036,42.07,-72.42,109,1,,3,28,4,2,12,2,2,1
1037,42.38,-72.2,13,,,1,4,,2,2,1,,
1038,42.38,-72.6,59,,,2,13,3,3,3,2,6,5
1039,42.4,-72.69,34,,,2,8,2,2,4,,,
1040,42.21,-72.64,927,,,26,46,139,63,122,35,28,12
1050,42.29,-72.87,30,,,,8,2,,1,,,1
1053,42.36,-72.71,32,,,4,1,9,3,5,,3,
1054,42.47,-72.48,34,,,1,8,4,,6,2,3,
1056,42.18,-72.46,416,,,10,79,29,36,45,15,7,10
1057,42.09,-72.32,144,1,,3,36,6,10,11,3,6,6
1060,42.32,-72.63,802,1,,45,32,129,18,146,27,19,7
1062,42.32,-72.7,186,,,8,18,38,7,19,9,10,4
1063,42.32,-72.64,2,,,1,,,,,,,
1066,42.41,-72.66,8,,,3,2,,,1,,,
1068,42.35,-72.04,26,,,1,11,1,1,2,1,1,1
1069,42.19,-72.31,266,,,8,33,17,25,32,5,18,10
1070,42.52,-72.92,8,,,1,1,,,,,,
1071,42.16,-72.87,21,1,,,7,1,2,,,1,
1072,42.46,-72.42,16,,,2,4,,1,3,,,
1073,42.23,-72.74,111,,,6,26,6,4,13,3,5,3
1074,42.39,-72.09,9,,,,,,1,,,1,
1075,42.26,-72.58,289,,,9,45,31,9,42,9,10,6
1077,42.05,-72.78,222,3,,11,37,12,18,20,5,6,7
1079,42.19,-72.33,12,,,,4,,1,1,,,1
1080,42.19,-72.36,43,,,,5,5,6,9,2,,
1081,42.06,-72.23,12,1,,,4,,1,,1,,1
1082,42.3,-72.28,176,1,,4,19,24,10,19,1,5,6
1083,42.2,-72.19,40,,,2,5,1,3,6,3,,2
1084,42.39,-72.88,3,,,,1,,,,,,
1085,42.15,-72.77,857,,,19,95,97,89,100,31,52,34
1086,42.13,-72.79,16,,,1,3,1,3,,,1,1
1088,42.39,-72.65,28,,,1,2,2,3,5,1,2,1
1089,42.13,-72.65,970,,,24,81,99,59,136,32,61,23
1092,42.19,-72.24,24,,,1,4,,2,3,,1,
1093,42.44,-72.66,30,,,,7,1,4,1,,4,1
1094,42.36,-72.14,2,,,,,,2,,,,
1095,42.14,-72.42,299,1,,7,37,36,7,57,11,14,8
1096,42.4,-72.76,49,,,,8,2,7,7,2,,1
1098,42.39,-72.94,25,,,4,7,1,1,2,1,1,
1103,42.1,-72.59,605,,,20,10,73,8,282,23,6,6
1104,42.13,-72.57,579,,,9,32,109,35,47,20,56,29
1105,42.1,-72.58,260,,,19,9,38,5,32,12,20,6
1106,42.05,-72.57,281,,,11,17,55,3,68,18,11,2
1107,42.12,-72.61,154,,,3,6,70,5,8,3,4,2
1108,42.08,-72.56,270,,,3,22,32,9,19,16,9,8
1109,42.12,-72.55,312,,,6,15,53,11,19,9,8,8
1118,42.09,-72.53,140,,,3,18,30,1,11,4,4,3
1119,42.12,-72.51,147,,,5,9,16,,12,7,2,
1128,42.09,-72.49,48,,,,4,5,,9,,1,1
1129,42.12,-72.49,173,,,5,5,18,4,15,3,4,2
1151,42.15,-72.51,146,,,2,15,7,20,16,5,7,7
1199,42.12,-72.6,2,,,,,2,,,,,
1201,42.45,-73.27,1331,2,,59,115,234,50,209,39,55,24
1220,42.62,-73.12,167,1,,2,29,11,12,16,4,5,4
1222,42.06,-73.32,12,,,1,1,,3,,,3,
1223,42.31,-73.11,48,,,2,13,,1,4,,1,2
1224,42.51,-73.2,4,,,,1,,1,,,,
1225,42.56,-73.15,55,,,1,16,2,2,4,2,,3
1226,42.48,-73.14,129,1,,5,31,12,8,17,3,5,1
1229,42.28,-73.33,3,,,,,,,1,,,
1230,42.17,-73.32,427,2,,22,35,45,14,72,9,10,4
1235,42.43,-73.06,46,,,2,17,2,2,2,,,1
1236,42.27,-73.38,36,,,1,6,2,5,5,1,,
1237,42.54,-73.27,148,1,,6,17,6,3,9,4,3,3
1238,42.3,-73.23,294,,,9,34,14,7,25,5,7,3
1240,42.37,-73.27,249,,,13,11,17,6,35,7,6,2
1242,42.33,-73.25,18,,,,4,1,,1,2,,1
1243,42.35,-73.02,5,1,,,1,,1,,1,,
1244,42.12,-73.26,2,,,,1,,,,,,
1245,42.19,-73.22,24,,,3,7,2,1,3,,,
1247,42.7,-73.08,344,,,20,34,53,15,40,13,6,9
1253,42.21,-73.11,29,,,2,10,1,,1,2,,
1254,42.38,-73.37,33,1,,1,12,3,,3,2,1,
1255,42.11,-73.12,22,2,,1,6,2,,1,,,
1256,42.59,-73.02,6,,,,2,1,2,,,,
1257,42.09,-73.37,114,,,5,24,1,11,9,1,3,4
1258,42.11,-73.46,37,,,3,7,1,,5,2,1,
1259,42.08,-73.23,25,,,2,10,,,2,1,2,
1260,42.3,-73.34,15,,,2,2,,2,2,1,1,
1262,42.29,-73.32,79,2,,9,9,7,1,7,1,1,
1264,42.23,-73.2,1,,,1,,,,,,,
1266,42.31,-73.39,52,,,1,10,,2,8,3,,
1267,42.67,-73.25,218,,,17,14,22,3,38,4,2,3
1270,42.52,-73.03,8,,,,5,1,,,,,
1301,42.63,-72.6,594,,,24,31,105,28,94,17,26,6
1330,42.51,-72.82,34,,,2,7,,5,2,3,1,
1331,42.56,-72.19,207,,,7,18,30,10,24,10,8,8
1337,42.69,-72.58,48,,,3,15,3,2,,1,2,1
1338,42.57,-72.82,12,,,,4,1,,1,,,2
1339,42.6,-72.89,31,,,3,4,1,,2,1,1,1
1340,42.69,-72.71,15,,,,2,1,3,1,,1,
1341,42.49,-72.71,27,,,3,6,1,2,3,,2,
1342,42.54,-72.61,28,,,2,4,1,2,1,,2,1
1343,42.66,-72.98,1,,,,1,,,,,,
1344,42.61,-72.43,17,,,1,1,1,1,2,1,,1
1346,42.69,-72.82,3,,,,1,,,,,,
1347,42.56,-72.52,1,,,,1,,,,,,
1349,42.56,-72.48,8,,,,,,2,,,,
1350,42.73,-72.99,3,,,,,,,1,,,1
1351,42.54,-72.52,29,,,,6,2,2,3,2,3,
1354,42.62,-72.51,25,,,1,9,3,,2,,,3
1355,42.46,-72.33,17,1,,3,2,,2,1,,,1
1360,42.68,-72.45,47,1,,1,13,2,5,3,,1,1
1364,42.61,-72.29,128,2,,8,8,11,18,11,3,7,5
1366,42.48,-72.19,27,1,,3,3,2,1,3,,,
1367,42.7,-72.91,8,,,1,1,,,,,,1
1368,42.68,-72.18,8,,,,2,,,1,,,
1370,42.59,-72.73,118,,,6,9,9,7,21,1,3,4
1373,42.48,-72.62,152,,,3,21,14,9,21,1,11,7
1375,42.47,-72.55,53,,,2,4,2,1,11,2,1,
1376,42.6,-72.56,103,,,2,3,26,9,9,2,5,
1378,42.67,-72.35,4,,,,1,,,,,,
1379,42.56,-72.41,11,,,,1,2,,2,,1,1
1420,42.58,-71.82,751,,,13,67,113,58,75,29,34,17
1430,42.66,-71.92,95,,,1,24,8,6,13,2,4,2
1431,42.68,-71.83,51,1,,2,14,3,4,3,1,1,3
1432,42.56,-71.57,234,,,9,23,22,32,26,8,13,18
1434,42.54,-71.61,69,,,2,1,7,13,12,4,9,3
1436,42.6,-72.09,28,,,,5,6,1,2,,,
1438,42.56,-72.03,22,,,1,2,1,2,2,,1,2
1440,42.59,-71.99,411,,,13,25,71,35,46,8,6,7
1450,42.61,-71.56,208,1,,11,28,28,6,34,6,7,4
1451,42.5,-71.57,149,4,,8,14,22,4,44,5,7,1
1452,42.5,-72,52,2,,,11,6,4,6,2,2,2
1453,42.52,-71.76,1109,,,26,100,121,87,154,41,46,25
1460,42.54,-71.49,317,1,,19,54,27,23,61,6,24,2
1462,42.58,-71.72,201,,,8,37,13,5,29,13,10,2
1463,42.67,-71.6,198,,,4,46,13,10,27,5,6,6
1464,42.57,-71.64,117,,,,22,4,14,20,5,13,3
1467,42.49,-71.61,9,,,,1,,2,1,,,
1468,42.54,-72.07,47,,,2,8,4,4,5,1,3,2
1469,42.66,-71.7,122,1,,7,23,5,5,14,1,3,2
1473,42.55,-71.91,157,5,,4,24,15,11,13,4,9,5
1474,42.67,-71.75,26,,,,9,,1,,1,,2
1475,42.67,-72.06,146,1,,2,19,13,16,10,2,11,2
1501,42.2,-71.85,588,2,,13,50,60,23,71,18,53,7
1503,42.38,-71.63,81,2,,1,18,4,2,9,5,7,1
1504,42.04,-71.53,131,,,1,32,9,2,10,3,8,6
1505,42.36,-71.72,132,,,9,22,7,7,26,7,5,9
1506,42.18,-72.11,47,1,,,8,4,4,3,1,3,1
1507,42.13,-71.97,251,,,11,54,17,12,32,6,10,13
1510,42.41,-71.69,262,,,5,35,20,23,31,8,11,5
1515,42.21,-72.04,43,,,4,5,1,,5,1,2,1
1516,42.05,-71.75,119,,,4,36,6,8,12,4,3,4
1518,42.13,-72.12,56,,,1,4,3,2,10,,3,
1519,42.2,-71.68,86,1,,3,13,9,2,16,,6,1
1520,42.34,-71.85,279,,,5,36,38,7,54,11,10,2
1521,42.05,-72.18,24,1,,2,4,,,2,1,,2
1522,42.38,-71.87,28,,,2,6,2,1,4,1,1,1
1523,42.48,-71.68,117,,,6,19,19,3,19,2,14,1
1524,42.25,-71.92,107,,,6,23,8,5,10,1,4,3
1525,42.11,-71.63,20,,,,3,3,1,2,,,
1527,42.19,-71.78,291,,,12,34,16,31,24,2,16,7
1529,42.04,-71.58,36,,,,8,4,3,5,,2,
1531,42.33,-72.13,14,,,,5,,1,2,,,1
1532,42.32,-71.65,478,,,15,48,45,17,94,14,40,13
1534,42.14,-71.64,60,1,,6,12,4,8,4,2,,
1535,42.27,-72.07,73,1,,3,12,8,5,10,3,2,1
1536,42.23,-71.69,147,,,3,22,13,8,19,6,3,5
1537,42.16,-71.9,56,,,3,3,1,5,5,1,7,5
1540,42.12,-71.86,220,,,7,31,11,20,30,5,13,7
1541,42.45,-71.88,68,2,,3,7,5,6,13,3,5,2
1542,42.2,-71.91,36,,,1,6,2,2,2,2,2,1
1543,42.39,-71.97,106,,,1,23,9,2,9,3,5,4
1545,42.28,-71.71,801,,,24,83,67,32,138,42,61,35
1550,42.06,-72.03,342,,,10,28,61,25,31,9,20,4
1560,42.18,-71.67,60,,,,7,4,4,11,,5,3
1561,42.44,-71.69,30,,,,4,3,3,9,,1,
1562,42.25,-71.99,217,1,,9,45,15,16,28,5,3,6
1564,42.45,-71.78,187,2,1,4,38,14,19,21,3,15,2
1566,42.1,-72.08,241,,,5,14,31,13,44,8,7,6
1568,42.18,-71.6,151,,,4,46,8,7,16,2,8,1
1569,42.06,-71.63,276,2,,6,49,9,13,27,5,25,14
1570,42.05,-71.85,359,,,12,41,37,22,39,22,21,7
1571,42.05,-71.94,158,,,4,33,10,13,14,4,6,4
1581,42.27,-71.61,925,1,,44,42,95,37,253,31,55,14
1583,42.37,-71.79,233,,,3,36,21,13,32,6,12,6
1585,42.24,-72.16,87,,,2,14,13,11,8,3,3,2
1588,42.12,-71.67,209,,,3,18,28,9,38,11,10,3
1590,42.13,-71.75,159,1,,5,26,8,12,24,2,9,3
1602,42.27,-71.85,279,,,10,22,50,3,34,11,10,8
1603,42.24,-71.84,380,,,4,29,34,26,32,13,21,13
1604,42.25,-71.77,728,,,10,70,124,32,61,23,45,22
1605,42.29,-71.79,610,,,15,31,148,23,111,22,26,9
1606,42.32,-71.8,433,,,23,34,45,30,58,16,19,10
1607,42.23,-71.79,132,,,,12,7,7,10,6,12,6
1608,42.26,-71.8,527,,,14,10,80,6,223,15,19,7
1609,42.29,-71.83,520,,,13,12,113,5,127,23,15,4
1610,42.25,-71.81,346,,,6,24,35,31,27,17,24,10
1611,42.24,-71.88,28,,,,5,1,4,1,2,2,1
1612,42.3,-71.93,68,,,6,13,8,2,12,3,4,
1701,42.32,-71.44,1164,,,58,66,113,23,296,56,68,15
1702,42.28,-71.44,815,,,31,70,150,29,120,22,42,8
1718,42.52,-71.43,2,,,,,,,,,2,
1719,42.49,-71.52,142,,,12,18,9,7,46,5,9,3
1720,42.48,-71.44,713,1,,38,52,69,28,178,16,39,5
1721,42.26,-71.47,392,,,8,54,26,22,69,10,25,8
1730,42.5,-71.28,528,1,,31,45,54,34,140,13,31,7
1731,42.46,-71.28,33,,,,,1,,20,,,1
1740,42.44,-71.6,112,2,,7,15,7,4,31,5,7,1
1741,42.54,-71.36,109,1,,11,13,8,6,40,6,4,1
1742,42.46,-71.36,778,3,,53,39,138,24,206,30,30,7
1745,42.29,-71.5,21,,,1,1,3,,5,,1,2
1746,42.2,-71.45,387,3,,9,57,29,40,63,7,33,4
1747,42.12,-71.53,145,,,5,19,22,14,16,3,16,3
1748,42.22,-71.54,419,,,20,57,36,18,118,12,39,7
1749,42.39,-71.55,536,,,13,80,25,71,70,16,43,8
1752,42.35,-71.55,1349,1,,67,91,107,66,262,49,96,30
1754,42.43,-71.46,263,,,14,32,16,9,56,12,9,3
1756,42.09,-71.54,144,,,4,30,4,7,17,6,9,2
1757,42.16,-71.52,782,,,26,79,116,25,123,20,33,15
1760,42.28,-71.35,1320,,,57,90,121,26,228,36,61,15
1770,42.23,-71.37,112,2,,6,16,10,1,35,3,5,
1772,42.3,-71.53,329,,,15,23,23,14,102,10,28,9
1773,42.43,-71.31,144,,,9,9,18,4,46,10,4,
1775,42.43,-71.51,150,1,,9,28,7,5,30,3,13,2
1776,42.38,-71.42,507,,,29,39,54,10,147,16,34,3
1778,42.36,-71.36,346,2,,23,30,37,3,88,15,17,2
1801,42.49,-71.15,2024,,1,76,197,155,136,420,80,237,55
1803,42.5,-71.2,1450,,,109,89,94,37,337,40,87,18
1810,42.65,-71.16,1026,,,59,63,106,28,306,35,72,9
1821,42.55,-71.25,692,,1,20,134,35,37,103,24,56,33
1824,42.59,-71.36,805,,,33,83,112,55,152,16,39,10
1826,42.68,-71.3,539,,,13,130,53,15,61,18,17,11
1827,42.68,-71.5,45,1,,1,23,2,,5,,1,1
1830,42.8,-71.05,556,1,,14,49,111,15,82,23,13,7
1832,42.79,-71.13,295,,2,7,34,20,26,36,7,15,5
1833,42.73,-70.98,191,2,,5,39,18,11,27,3,12,2
1834,42.75,-71.02,119,1,,4,28,6,7,15,3,6,3
1835,42.75,-71.09,287,2,,15,27,22,43,27,16,25,10
1840,42.71,-71.16,354,,,11,13,66,29,41,14,18,7
1841,42.71,-71.16,321,,,1,13,58,18,15,11,13,11
1843,42.69,-71.16,435,,,13,24,42,42,51,17,29,14
1844,42.74,-71.18,890,,1,22,106,115,41,131,34,39,26
1845,42.67,-71.09,855,,,29,70,131,29,231,26,40,9
1850,42.66,-71.3,107,,,,12,6,2,7,4,1,2
1851,42.63,-71.34,437,,,13,47,33,27,57,15,21,6
1852,42.63,-71.3,766,1,,26,36,110,43,117,31,28,18
1854,42.65,-71.35,299,,,6,21,69,3,28,14,11,
1860,42.84,-71.01,79,,,1,17,11,3,11,2,2,4
1862,42.58,-71.3,379,,,8,52,19,53,42,4,52,14
1863,42.63,-71.39,222,,,8,24,34,15,36,4,11,5
1864,42.58,-71.08,478,,,20,82,28,8,100,11,30,17
1867,42.54,-71.11,513,,,17,65,69,12,102,19,11,8
1876,42.61,-71.23,710,1,1,17,123,67,30,94,24,37,23
1879,42.67,-71.43,312,,,15,72,13,16,41,12,21,4
1880,42.5,-71.07,885,,,30,108,90,31,212,25,43,11
1886,42.59,-71.44,577,,,26,67,47,27,142,17,38,12
1887,42.56,-71.16,756,,,19,125,54,72,101,22,101,33
1890,42.45,-71.14,568,,,26,46,103,9,147,27,15,5
1901,42.46,-70.95,269,,,12,2,54,8,44,9,11,4
1902,42.47,-70.94,395,,,7,46,77,7,37,20,8,10
1904,42.49,-70.97,269,,,9,24,42,8,34,5,5,5
1905,42.47,-70.98,294,,,10,34,18,12,18,13,17,13
1906,42.47,-71.01,760,1,,32,88,62,20,77,16,19,16
1907,42.47,-70.91,311,,,10,41,40,3,54,12,10,1
1908,42.43,-70.93,52,1,,3,8,6,1,6,1,1,1
1913,42.85,-70.96,403,,,15,45,47,34,63,10,23,7
1915,42.57,-70.87,1247,7,,67,95,172,58,253,39,56,18
1921,42.68,-71.03,145,2,,7,33,13,4,41,7,6,3
1922,42.76,-70.91,62,1,,1,7,3,2,18,3,5,1
1923,42.57,-70.95,1098,2,,48,81,137,67,215,29,47,12
1929,42.64,-70.77,140,1,,8,23,6,13,14,3,8,1
1930,42.62,-70.68,902,27,,41,88,86,47,117,29,54,26
1937,42.59,-70.98,5,,,,,,,,,1,
1938,42.68,-70.84,385,4,,12,50,27,39,58,10,20,2
1940,42.53,-71.04,342,,,7,52,28,2,116,11,21,9
1944,42.58,-70.77,186,,,8,15,16,2,46,10,11,2
1945,42.5,-70.86,535,1,,32,56,47,13,118,15,22,6
1949,42.61,-71.01,273,1,,8,45,13,17,41,10,14,2
1950,42.81,-70.89,766,,,48,44,94,65,150,22,47,13
1951,42.77,-70.85,73,1,,9,11,4,3,10,1,4,2
1952,42.84,-70.84,272,1,,16,42,13,16,14,9,14,8
1960,42.53,-70.97,1441,2,,30,156,155,59,169,40,67,41
1966,42.64,-70.62,193,3,,5,25,8,5,27,5,5,4
1969,42.72,-70.89,202,5,,3,31,13,24,22,3,16,4
1970,42.52,-70.87,1125,,,42,76,139,34,226,42,40,21
1982,42.63,-70.86,155,4,,8,18,15,,36,7,7,1
1983,42.64,-70.94,255,,,10,35,20,14,58,10,27,1
1984,42.6,-70.88,86,1,,7,16,5,1,11,5,5,
1985,42.8,-70.96,77,2,,3,17,6,1,25,2,3,1
2019,42.08,-71.47,368,,,15,57,14,24,43,6,16,10
2021,42.18,-71.13,892,1,,27,116,67,56,155,28,93,21
2025,42.24,-70.81,260,,,20,22,25,2,47,9,8,3
2026,42.25,-71.18,885,,,35,84,88,11,170,31,33,14
2030,42.23,-71.29,112,,,8,13,13,1,27,3,6,1
2032,42.16,-71.22,115,,,2,16,7,6,15,1,8,3
2035,42.06,-71.25,595,,,36,54,48,19,94,20,41,15
2038,42.08,-71.41,811,2,,25,84,60,53,140,29,59,24
2043,42.22,-70.88,847,,,34,66,78,20,224,29,54,13
2045,42.29,-70.92,157,,,11,14,8,1,24,3,6,8
2047,42.13,-70.69,13,,,,5,1,,2,1,,
2048,42.02,-71.22,578,1,,20,49,49,24,108,20,50,17
2050,42.12,-70.71,547,2,,31,77,63,15,88,22,27,9
2052,42.18,-71.31,309,1,,10,38,32,6,71,10,21,2
2053,42.16,-71.43,283,1,,14,37,33,15,40,4,12,4
2054,42.17,-71.36,175,1,,9,29,10,5,24,7,11,1
2056,42.11,-71.34,215,,,8,50,14,5,48,5,13,6
2061,42.16,-70.82,529,,,26,57,53,13,139,22,27,5
2062,42.19,-71.2,1270,,,54,104,225,52,195,44,106,24
2066,42.2,-70.76,368,1,,20,47,34,8,64,12,16,7
2067,42.11,-71.18,386,,,21,26,57,6,112,13,30,7
2071,42.1,-71.27,17,,,,8,1,,,,,
2072,42.12,-71.1,867,1,,19,105,75,43,144,31,80,28
2081,42.15,-71.27,585,1,1,21,95,49,27,94,16,48,9
2090,42.22,-71.22,430,,,9,51,48,9,106,21,32,9
2093,42.05,-71.36,417,,,6,49,23,10,48,11,15,7
2108,42.36,-71.06,1130,,,53,9,47,12,473,33,33,2
2109,42.37,-71.05,1299,1,,49,15,33,7,619,88,23,14
2110,42.36,-71.05,1714,1,,97,13,40,9,997,86,48,12
2111,42.35,-71.06,916,,,40,8,94,16,264,33,27,11
2113,42.37,-71.06,184,,,4,4,10,8,17,3,,
2114,42.36,-71.07,659,,,49,11,81,7,189,42,13,2
2115,42.34,-71.11,605,,,41,3,46,,69,48,6,3
2116,42.35,-71.08,1977,1,,128,14,122,8,562,155,26,7
2118,42.34,-71.07,750,,,27,22,88,21,162,45,78,9
2119,42.32,-71.09,404,,,12,29,94,6,29,21,19,12
2120,42.33,-71.1,155,,,2,1,47,2,15,16,3,3
2121,42.31,-71.09,176,,,3,19,32,1,8,18,,4
2122,42.29,-71.04,458,,,10,56,64,9,54,20,6,5
2124,42.29,-71.07,543,,,11,51,102,7,48,27,6,7
2125,42.32,-71.06,426,,1,18,31,52,9,33,25,12,7
2126,42.27,-71.1,210,,,4,13,37,1,15,6,,7
2127,42.33,-71.04,622,,,32,53,42,20,102,26,31,24
2128,42.36,-71.01,698,,,11,40,45,12,53,32,15,130
2129,42.38,-71.06,453,,,24,22,26,18,120,23,17,25
2130,42.31,-71.11,636,1,,21,31,119,15,88,25,14,14
2131,42.28,-71.13,409,,,6,34,58,7,40,19,9,4
2132,42.28,-71.16,484,,,11,37,76,8,84,24,8,2
2134,42.36,-71.13,535,,,25,25,46,13,73,47,15,21
2135,42.35,-71.15,720,1,,35,45,108,7,100,46,16,29
2136,42.26,-71.13,428,,,6,67,54,20,29,18,25,18
2138,42.38,-71.14,1156,,,64,21,137,21,279,50,26,5
2139,42.36,-71.1,1039,,,67,28,101,18,293,65,24,5
2140,42.39,-71.13,486,,,28,11,57,8,127,16,10,2
2141,42.37,-71.08,473,,,38,12,28,15,129,13,11,6
2142,42.36,-71.08,500,,,57,3,16,7,261,15,22,1
2143,42.38,-71.1,582,,1,24,29,65,32,78,28,24,17
2144,42.4,-71.12,415,,,25,19,44,8,107,21,7,2
2145,42.39,-71.09,327,,,4,47,38,14,37,11,10,11
2148,42.43,-71.06,937,,,24,81,105,39,108,48,38,31
2149,42.41,-71.05,703,,1,10,79,47,46,72,22,51,32
2150,42.4,-71.03,658,,,8,43,78,35,52,31,87,60
2151,42.42,-71,703,,,15,75,72,12,77,17,27,42
2152,42.37,-70.97,253,,,13,37,31,2,32,12,6,9
2155,42.42,-71.11,1132,,,40,141,121,39,175,32,46,32
2163,42.37,-71.12,29,,,3,,1,1,6,1,,
2169,42.25,-71,1516,1,,60,135,233,32,328,49,54,21
2170,42.27,-71.02,237,,,5,39,22,4,22,15,6,2
2171,42.29,-71.02,364,,,14,38,37,6,68,21,13,4
2176,42.46,-71.06,484,1,,11,56,81,9,97,20,5,5
2180,42.47,-71.1,607,1,,14,80,103,15,107,16,18,13
2184,42.21,-71,1489,,,60,126,107,27,320,70,77,38
2186,42.24,-71.08,418,,,20,63,65,3,108,23,10,3
2188,42.2,-70.96,299,,,9,30,35,10,41,10,14,5
2189,42.21,-70.93,405,,,9,77,47,19,57,13,31,4
2190,42.17,-70.95,364,,,5,36,80,3,44,13,11,7
2191,42.24,-70.94,123,,,3,21,10,1,12,5,1,1
2199,42.35,-71.08,258,,,12,,5,1,86,17,4,
2203,42.36,-71.06,14,,,,,1,,5,,,
2210,42.35,-71.04,830,,,67,17,16,31,326,33,92,25
2215,42.35,-71.1,579,,,35,3,51,8,79,34,3,8
2301,42.08,-71.04,1332,,,29,60,222,53,210,38,47,34
2302,42.09,-71,372,,,8,39,67,16,14,12,20,16
2322,42.13,-71.05,229,,,7,33,12,24,18,8,37,17
2324,41.97,-70.98,465,,,10,87,28,16,74,19,22,13
2330,41.88,-70.75,181,1,,4,36,20,6,19,4,12,6
2332,42.04,-70.71,331,2,,16,35,44,6,81,10,23,4
2333,42.04,-70.94,241,,,7,32,19,15,26,9,9,9
