zcta,latitude,longitude,JobsTotal,JobsAgriculture,JobsAutomotive,JobsEntertainment,JobsConstruction,JobsHealthcare,JobsManufacturing,JobsProfessional,JobsRealestate,JobsTrade,JobsTransport
1001,42.06,-72.63,457,,,6,55,46,45,55,11,40,9
1002,42.36,-72.46,594,1,,30,28,81,12,119,39,9,5
1003,42.39,-72.52,18,,,3,,3,,2,,2,1
1005,42.42,-72.11,94,1,,,14,7,3,17,2,1,6
1007,42.28,-72.4,223,1,,5,30,30,7,29,5,15,5
1008,42.19,-72.95,18,,,2,5,1,,2,,,
1009,42.21,-72.34,16,,,,3,,1,2,,2,1
1010,42.13,-72.21,75,1,,2,20,2,2,8,10,2,4
1011,42.29,-72.97,13,,,1,3,,1,,2,,
1012,42.38,-72.86,11,,,,1,3,1,1,,2,
1013,42.15,-72.6,312,,,5,28,28,28,34,10,19,11
1020,42.17,-72.56,551,,,16,63,53,20,50,26,18,14
1022,42.2,-72.54,60,,,,2,2,18,4,2,5,6
1026,42.47,-72.92,23,,,1,1,1,1,2,1,1,1
1027,42.3,-72.75,402,,,11,56,40,28,48,12,9,6
1028,42.06,-72.5,500,,,13,56,66,29,89,20,27,6
1029,42.19,-73.04,14,,,,1,,3,1,1,,
1030,42.07,-72.69,202,1,,7,31,19,5,28,10,9,4
1031,42.33,-72.2,18,,,1,,1,2,,,,2
1032,42.46,-72.81,23,,,1,5,2,1,1,,,
1033,42.24,-72.5,129,1,,2,33,5,5,11,5,2,1
1034,42.09,-72.96,31,1,,1,9,1,2,3,,,2
1035,42.36,-72.57,300,,,13,23,31,9,43,6,4,1
1036,42.07,-72.42,122,1,,2,31,7,3,10,2,2,1
1037,42.38,-72.2,17,,,1,6,,2,2,1,,
1038,42.38,-72.6,68,1,,3,20,5,3,2,2,6,6
1039,42.4,-72.69,32,,,2,8,2,1,3,,,
1040,42.21,-72.64,917,,,23,48,145,60,113,38,23,11
1050,42.29,-72.87,32,,,,8,4,,1,,1,
1053,42.36,-72.71,29,,,3,2,9,4,3,,2,
1054,42.47,-72.48,32,,,1,7,2,,7,3,1,
1056,42.18,-72.46,409,,,10,83,32,34,42,11,6,10
1057,42.09,-72.32,138,1,,4,34,6,9,12,3,5,5
1060,42.32,-72.63,786,,,44,31,127,16,147,22,21,8
1062,42.32,-72.7,190,1,,6,17,40,10,22,10,9,5
1063,42.32,-72.64,4,,,1,,,,,,,
1066,42.41,-72.66,9,,,3,1,,,1,,,
1068,42.35,-72.04,26,,,1,11,1,,3,,1,2
1069,42.19,-72.31,263,1,,9,34,22,23,27,5,16,11
1070,42.52,-72.92,7,,,1,,,,,,,
1071,42.16,-72.87,20,1,,,6,1,1,,1,1,
1072,42.46,-72.42,19,,,2,6,,2,5,,,
1073,42.23,-72.74,123,,,7,30,7,5,14,3,4,3
1074,42.39,-72.09,9,,,,,,,,1,1,
1075,42.26,-72.58,304,,,7,45,31,7,44,10,10,5
1077,42.05,-72.78,216,3,,11,39,13,16,19,5,8,9
1079,42.19,-72.33,11,,,,4,,1,1,,,1
1080,42.19,-72.36,40,,,,4,4,6,8,,1,
1081,42.06,-72.23,14,1,,,4,,1,,,,2
1082,42.3,-72.28,164,1,,4,12,17,11,17,,5,6
1083,42.2,-72.19,32,,,,5,1,4,4,2,,2
1084,42.39,-72.88,4,,,,2,,,,,,
1085,42.15,-72.77,865,,,21,104,97,86,100,31,45,32
1086,42.13,-72.79,17,,,1,3,1,4,,,,1
1088,42.39,-72.65,28,,,1,2,2,3,4,1,2,
1089,42.13,-72.65,996,,,23,83,110,61,134,36,62,22
1092,42.19,-72.24,18,,,1,4,,1,2,,1,
1093,42.44,-72.66,32,,,,6,1,4,1,,4,2
1094,42.36,-72.14,2,,,,,,2,,,,
1095,42.14,-72.42,299,1,,6,29,40,5,60,9,14,8
1096,42.4,-72.76,51,,,1,6,3,6,8,2,,3
1098,42.39,-72.94,20,,,4,2,2,1,2,1,1,
1103,42.1,-72.59,555,,,20,9,70,5,247,24,9,6
1104,42.13,-72.57,557,,,9,29,101,30,50,19,52,28
1105,42.1,-72.58,270,,,23,10,39,5,31,16,14,7
1106,42.05,-72.57,283,,,13,15,59,1,59,20,7,3
1107,42.12,-72.61,149,,,5,6,69,5,5,5,6,2
1108,42.08,-72.56,278,,,4,23,34,8,20,20,6,9
1109,42.12,-72.55,296,,,7,15,45,10,21,8,6,6
1118,42.09,-72.53,129,,,2,13,29,1,13,3,3,3
1119,42.12,-72.51,141,,,4,7,15,,13,8,,2
1128,42.09,-72.49,52,,,,5,7,1,7,,,
1129,42.12,-72.49,162,,,4,4,13,5,12,3,4,2
1151,42.15,-72.51,147,,,2,12,9,22,16,4,7,8
1199,42.12,-72.6,3,,,,,3,,,,,
1201,42.45,-73.27,1321,1,,56,127,224,50,200,40,54,29
1220,42.62,-73.12,153,1,,2,30,11,8,16,4,3,5
1222,42.06,-73.32,15,,,1,,,4,,,3,
1223,42.31,-73.11,38,,,4,12,,1,2,,,1
1224,42.51,-73.2,4,,,,1,,1,,,,
1225,42.56,-73.15,54,,,,12,2,1,3,2,,4
1226,42.48,-73.14,120,,,4,23,9,7,16,8,4,
1229,42.28,-73.33,3,,,,,,,1,,,
1230,42.17,-73.32,414,1,,24,37,45,11,59,12,12,4
1235,42.43,-73.06,46,,,1,17,2,2,2,,,1
1236,42.27,-73.38,42,,,,9,2,4,5,,,
1237,42.54,-73.27,129,1,,5,20,6,3,4,3,2,2
1238,42.3,-73.23,276,,,6,31,11,7,24,3,6,3
1240,42.37,-73.27,249,,,11,10,21,6,34,8,8,2
1242,42.33,-73.25,16,,,,2,1,,1,2,,1
1243,42.35,-73.02,5,1,,,1,,1,,1,,
1244,42.12,-73.26,3,,,,1,1,,1,,,
1245,42.19,-73.22,22,,,4,5,2,1,2,,,
1247,42.7,-73.08,333,,,17,33,42,14,36,13,6,9
1253,42.21,-73.11,31,,,2,10,3,,1,2,,
1254,42.38,-73.37,30,1,,,9,3,,5,,2,
1255,42.11,-73.12,21,1,,1,6,1,,1,,,1
1256,42.59,-73.02,5,,,,2,,2,,,,
1257,42.09,-73.37,108,,,4,21,1,11,9,1,2,2
1258,42.11,-73.46,35,,,2,7,1,,5,2,1,
1259,42.08,-73.23,24,,,2,8,,,2,,2,
1260,42.3,-73.34,12,,,1,2,,2,2,1,1,
1262,42.29,-73.32,79,2,,11,7,5,2,9,1,1,
1264,42.23,-73.2,1,,,1,,,,,,,
1266,42.31,-73.39,46,,,,13,,1,7,2,,
1267,42.67,-73.25,215,1,,17,16,23,4,36,2,2,3
1270,42.52,-73.03,8,,,,6,,,,,,
1301,42.63,-72.6,566,,,23,29,101,27,82,16,24,4
1330,42.51,-72.82,37,,,2,4,,7,4,3,1,
1331,42.56,-72.19,208,,,6,19,33,8,21,12,5,8
1337,42.69,-72.58,48,,,2,16,2,3,1,1,2,2
1338,42.57,-72.82,15,,,,4,1,2,1,,,2
1339,42.6,-72.89,29,,,3,4,1,,2,1,,2
1340,42.69,-72.71,18,,,,3,,5,1,,1,
1341,42.49,-72.71,23,,,3,6,1,2,2,,,
1342,42.54,-72.61,29,,,2,4,1,3,2,1,1,
1343,42.66,-72.98,1,,,,1,,,,,,
1344,42.61,-72.43,20,,,1,3,1,1,2,1,,1
