Commodity,Location,TotalCommodityOutput,Jobs
"Fresh soybeans, canola, flaxseeds, and other oilseeds",US,42262000000,3595
"Fresh wheat, corn, rice, and other grains",US,91529000000,43141
"Fresh vegetables, melons, and potatoes",US,14340000000,90886
Fresh fruits and tree nuts,US,25459000000,166429
"Greenhouse crops, mushrooms, nurseries, and flowers",US,18552000000,90462
"Tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops",US,17399000000,28573
Dairies,US,36406000000,93668
Cattle ranches and feedlots,US,77600000000,49001
Poultry farms,US,37164000000,35996
Animal farms and aquaculture ponds (except cattle and poultry),US,39722000000,71869
Timber and raw forest products,US,17682000000,47032
Wild-caught fish and game,US,8641000000,9067
Agriculture and forestry support,US,27706000000,414903
Unrefined oil and gas,US,289816998800,91707
Coal,US,43953999400,60210
"Copper, nickel, lead, and zinc",US,11120984100,12186
"Iron, gold, silver, and other metal ores",US,21652000000,25291
Dimensional stone,US,12635000000,30007
"Sand, gravel, clay, phosphate, other nonmetallic minerals",US,14219000000,32952
Well drilling,US,47556000000,89895
Other support activities for mining,US,126975000000,347441
Electricity,US,428823888700,475894
Natural gas,US,94040982300,133304
Drinking water and wastewater treatment,US,69567980800,251394
Health care buildings,US,46153000000,226065
Schools and vocational buildings,US,81565000000,376220
Nonresidential building repair and maintanence,US,176174988900,957914
Residential building repair and maintanence,US,73167000000,567695
"Commercial structures, including farm structures",US,80889000000,433115
Multifamily homes,US,27740000000,130625
Other residential structures,US,168976000000,613014
Manufacturing buildings,US,48817000000,197039
Other nonresidential structures,US,93707000000,458134
Utilities buildings and infrastructure,US,113571000000,831686
Single-family homes,US,132995000000,701952
"Highways, streets, and bridges",US,122037000000,471113
Lumber and treated lumber,US,25908998500,89225
Plywood and veneer,US,16902000000,66593
"Wooden windows, door, and flooring",US,17283000000,76651
"Veneer, plywood, and engineered wood",US,18952997300,85834
Clay and ceramic products,US,7139000000,28492
Glass and glass products,US,22934998800,79434
Cement,US,5702000000,11504
Ready-mix concrete,US,19913000000,73743
"Concrete pipe, bricks, and blocks",US,5336999400,22662
Other concrete products,US,8404986800,46697
Lime and gypsum products,US,5914998800,13700
Abrasive products,US,4743000000,9775
Cut stone and stone products,US,3549000000,26225
Ground or treated minerals and earth,US,3230000000,5796
Mineral wool,US,4859989500,14826
Other nonmetallic mineral products,US,3955000000,11830
"Primary iron, steel, and ferroalloy products",US,126882872500,131428
Secondary steel products,US,9517000000,25902
Primary aluminum,US,12379988600,14251
Secondary aluminum,US,24669000000,42118
"Copper, gold and silver concentrates",US,26482000000,23495
Secondary copper products,US,21734000000,29817
Other secondary nonferrous metal products,US,12651000000,13291
Cast iron and steel,US,18824000000,71819
Nonferrous metal casts,US,12553000000,50732
Custom metal rolls,US,8224000000,6867
"All other forging, stamping, and sintering",US,15188979900,41431
"Lids, jars, bottle caps, other metal closures and crowns",US,11486000000,50722
Cutlery and handtools,US,9099000000,36525
Metal structural products,US,37913912100,136010
"Metal windows, doors, and architectural products",US,35212665500,171323
Power boilers and heat exchangers,US,6841935500,20775
Heavy gauge metal tanks,US,9015993700,34447
"Light gauge metal cans, boxes, and containers",US,18170996700,34034
"Metal hinges, keys, lock, and other hardware",US,7256986200,22436
Springs and wires,US,5831986500,26641
Machine shops,US,39892997900,268887
"Screws, nuts, and bolts",US,27538997000,80468
"Metal coatings, engravings, and heat treatments",US,27314000000,139322
"Metal plumbing drains, faucets, valves, and other fittings",US,3236997000,9030
Valve and fittings (except for plumbing),US,25765948400,75818
Ball and roller bearings,US,6787975400,26124
Fabricated pipe and pipe fittings,US,8105000000,40593
"Ammunition, arms, ordnance, and related accessories",US,13625000000,34261
Misc. fabricated metal products,US,14463957100,66658
Farm machinery and equipment,US,34299952300,81691
Lawn and garden equipment,US,7162000000,15921
Construction machinery,US,38713904900,89691
Mining and oil/gas field machinery,US,31215961600,107820
Semiconductor machinery,US,9956000000,21250
"Machinery for the paper, textile, food or other industries (except semiconductor machinery)",US,20923000000,68911
Optical instruments and lenses,US,5059000000,19181
Photography and photocopying equipment,US,1842000000,6701
Other commercial and service industry machinery,US,17289000000,48748
Heating equipment other than warm air furnaces,US,4753961900,16597
"Air conditioning, refrigeration, and warm air heating equipment",US,29410901000,84804
Air purification and ventilation equipment,US,5926906100,24735
Industrial molds,US,6500000000,35864
"Special tools, dies, jigs, and fixtures",US,8317000000,54952
Metal cutting and forming machine tools,US,7516000000,42063
"Cutting and machine tool accessory, rolling mill, and other metalworking machines",US,8338000000,35532
Turbines and turbine generator sets,US,17943974800,34325
"Speed changers, industrial high-speed drives, and gears",US,4524910900,15309
Mechanical power transmission equipment,US,4318833500,13402
Other engine equipment,US,28672985600,52349
Air and gas compressors,US,9754000000,23447
Pumps and pumping equipment,US,15781993100,33042
Material handling equipment,US,29214786100,87669
Power tools,US,3709000000,11049
Packaging machinery,US,5384000000,19342
Industrial process furnaces and ovens,US,2602000000,10167
"Welding and Soldering Equipment, Scales and Balances, and other general purpose machinery",US,20411999700,56088
"Hydraulic pumps, motors, cylinders and actuators",US,10670000000,34457
Computers,US,8274000000,39151
Computer storage device readers,US,8673000000,19817
Computer terminals and other computer peripheral equipment,US,11452967300,34815
Telephones,US,9536000000,12836
Wireless communications,US,28612989800,30952
Communications equipment,US,4733997600,16459
Semiconductors,US,47168000000,139363
Printed circuit and electronic assembly,US,16719000000,49969
"Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)",US,24763998800,103123
Electromedical appartuses,US,27675000000,51337
Navigation instruments,US,45633000000,109838
Automatic controls for HVAC and refrigeration equipment,US,2594992200,16085
Industrial process variable instruments,US,10459972400,56508
Fluid meters and counting devices,US,6604819700,12934
Signal testing instruments,US,12411000000,39503
Analytical laboratory instruments,US,13653994300,28139
Irradiation apparatuses,US,8611000000,9472
"Watches, clocks, and other measuring and controlling devices",US,11593000000,35796
Audio and video equipment,US,2927000000,18829
"External hard drives, CDs, other storage media",US,3051999700,14734
Light bulbs,US,1801000000,9453
Light fixtures,US,10146938200,35700
Small electrical appliances,US,3172000000,10106
Home cooking appliances,US,4407000000,11736
Home refrigerators and freezers,US,3506000000,10864
Home laundry machines,US,3612000000,11080
"Major home appliances (except ovens, stoves, refrigerators and laundry machines)",US,4410000000,12576
Specialty transformers,US,5726000000,26586
Motors and generators,US,10931991900,40434
Switchgear and switchboards,US,10705996700,32112
Relay and industrial controls,US,9709996700,45610
Storage batteries,US,6276895000,16579
Primary batteries,US,4404000000,14768
Communication and energy wire and cable,US,14791999700,20933
Wiring devices,US,11827000000,32903
Carbon and graphite products,US,3313992200,7059
other miscellaneous electrical equipment and components,US,9808000000,24060
Automobiles,US,55463000000,130791
"Pickup trucks, vans, and SUVs",US,174069995500,51207
Heavy duty trucks,US,34516000000,46573
Vehicle bodies,US,6989000000,26776
Truck trailers,US,7894000000,30249
Motor homes,US,2430000000,10137
Travel trailer and campers,US,9986979300,35264
Vehicle engines and engine parts,US,27400895300,50592
Vehicle electrical and electronic equipment,US,18517981100,45871
Transmission and power train parts,US,36011969700,76383
Vehicle seating and interior trim (upholstery),US,22258000000,52434
Vehicle metal stamping,US,27958000000,62198
Other vehicle parts,US,53459830500,112473
"Motor vehicle steering, suspension components (except spring), and brake systems",US,21805952900,50104
Aircraft,US,104985000000,195109
Aircraft engines and parts,US,39815000000,66247
Other aircraft parts,US,34123000000,97417
Guided missiles and space vehicles,US,17923000000,45415
Propulsion units and parts for space vehicles and guided missiles,US,5294000000,13210
Railroad rolling stock,US,15927000000,24242
Ships and ship repair,US,21685000000,130394
Boats,US,6729000000,32502
"Motorcycle, bicycle, and parts",US,5877000000,9466
Military armored vehicles and tanks,US,5793000000,8229
Other transportation equipment,US,6887992800,12188
