,RandomForestClassifier,Training Accuracy before tuning:  0.9746161078031965
1,RandomForestClassifier,Test Set Accuracy before tuning:  0.6879047420096094
2,,importance
3,Population,0.081018
4,Poverty,0.076513
5,Work_Experience,0.071714
6,Education,0.071255
7,Poverty_18to65,0.069708
8,Working_Fulltime,0.068838
9,JobsTotal,0.063323
10,Poverty_Under18,0.063314
11,Poverty_Over65,0.058833
12,JobsConstruction,0.049527
13,JobsProfessional,0.043767
14,JobsHealthcare,0.042725
15,JobsManufacturing,0.041729
16,JobsTransport,0.039878
17,JobsTrade,0.038139
18,JobsEntertainment,0.034780
19,JobsRealestate,0.034222
20,Working_Fulltime_Poverty,0.030832
21,JobsAgriculture,0.019885
