zcta,latitude,longitude,JobsTotal,JobsAgriculture,JobsAutomotive,JobsEntertainment,JobsConstruction,JobsHealthcare,JobsManufacturing,JobsProfessional,JobsRealestate,JobsTrade,JobsTransport
1001,42.06,-72.63,439,,,6,45,44,46,57,11,41,11
1002,42.36,-72.46,598,1,,29,30,83,8,122,32,7,5
1003,42.39,-72.52,15,,,2,,2,,1,,2,
1005,42.42,-72.11,97,1,,1,9,8,3,15,4,1,7
1007,42.28,-72.4,221,1,,7,29,25,9,29,5,16,5
1008,42.19,-72.95,18,,,2,5,,,2,,,
1009,42.21,-72.34,16,,,,3,,1,2,,2,1
1010,42.13,-72.21,73,,,1,19,2,2,9,9,1,5
1011,42.29,-72.97,13,,,1,3,1,2,,1,,
1012,42.38,-72.86,10,,,,2,3,1,,,2,
1013,42.15,-72.6,318,,,6,31,24,28,37,8,19,12
1020,42.17,-72.56,558,,,16,65,50,25,53,29,16,17
1022,42.2,-72.54,63,,,,1,6,21,4,4,4,4
1026,42.47,-72.92,19,,,,2,,1,2,,1,1
1027,42.3,-72.75,372,1,,11,46,39,29,41,12,11,6
1028,42.06,-72.5,503,,,16,53,64,28,84,16,28,4
1029,42.19,-73.04,12,,,,1,,3,1,,,
1030,42.07,-72.69,202,1,,5,36,20,5,25,9,9,3
1031,42.33,-72.2,20,,,1,,1,2,,,,2
1032,42.46,-72.81,19,,,,4,2,1,1,,,
1033,42.24,-72.5,131,3,,2,32,4,5,12,6,2,4
1034,42.09,-72.96,28,1,,,8,,2,2,,,1
1035,42.36,-72.57,309,,,13,24,31,9,48,6,6,1
1036,42.07,-72.42,108,1,,2,27,6,2,10,2,2,2
1037,42.38,-72.2,14,,,,4,,2,2,1,,
1038,42.38,-72.6,64,1,,3,16,4,3,3,2,6,5
1039,42.4,-72.69,33,,,2,7,2,2,4,,,
1040,42.21,-72.64,940,,,26,48,143,62,122,37,27,11
1050,42.29,-72.87,33,,,,8,3,,1,,1,1
1053,42.36,-72.71,34,,,4,3,9,3,5,,2,
1054,42.47,-72.48,36,,,1,10,3,,6,3,3,
1056,42.18,-72.46,413,,,10,85,30,37,42,14,7,9
