zcta,HouseCount,HouseMedianIncome,IncomeUnder25K,IncomeOver100K,JobCount,JobsAgriculture,JobsArtsRec,JobsAutomotive,JobsConstruction,JobsHealthcare,JobsManufacturing,JobsRetail,latitude,longitude
11742,4554,94595,7.4,38.4,324,,3,,60,23,15,,40.81,-73.04
11742,4554,94595,7.4,38.4,324,,3,,60,23,15,,40.81,-73.04
601,5818,11757,74.3,1.8,,,,,,,,,18.18,-66.75
602,12719,16190,66.0,2.2,,,,,,,,,18.36,-67.18
603,19009,16645,64.0,3.0,,,,,,,,,18.46,-67.12
603,19009,16645,64.0,3.0,,,,,,,,,18.46,-67.12
603,19009,16645,64.0,3.0,,,,,,,,,18.46,-67.12
606,1959,13387,74.0,2.1,,,,,,,,,18.16,-66.93
610,9120,18741,63.3,1.5,,,,,,,,,18.3,-67.13
641,9104,16292,64.8,1.6,,,,,,,,,18.26,-66.71
612,23037,17744,63.6,1.6,,,,,,,,,18.4,-66.71
612,23037,17744,63.6,1.6,,,,,,,,,18.4,-66.71
612,23037,17744,63.6,1.6,,,,,,,,,18.4,-66.71
616,3606,14918,68.4,2.8,,,,,,,,,18.42,-66.67
617,8079,17157,66.2,1.7,,,,,,,,,18.45,-66.56
622,2330,16727,61.8,5.8,,,,,,,,,17.99,-67.15
623,14165,16401,65.7,2.4,,,,,,,,,18.08,-67.15
624,7690,16832,65.1,1.3,,,,,,,,,18.06,-66.72
627,11571,17579,64.6,2.6,,,,,,,,,18.41,-66.86
631,615,9632,76.7,6.7,,,,,,,,,18.19,-66.83
680,18602,14500,69.6,2.3,,,,,,,,,18.18,-67.15
637,7568,15736,66.3,2.3,,,,,,,,,18.08,-66.95
638,6033,14448,72.2,0.8,,,,,,,,,18.3,-66.52
641,9104,16292,64.8,1.6,,,,,,,,,18.26,-66.71
646,12075,29160,45.7,9.5,,,,,,,,,18.43,-66.29
647,1866,13071,85.0,2.2,,,,,,,,,17.96,-66.95
650,5051,16095,69.1,1.6,,,,,,,,,18.35,-66.58
652,1335,20564,63.1,7.8,,,,,,,,,18.45,-66.59
653,3662,12236,76.9,1.6,,,,,,,,,17.99,-66.89
656,6566,14966,70.1,1.7,,,,,,,,,18.05,-66.79
659,14443,17770,62.6,3.7,,,,,,,,,18.41,-66.81
660,6271,19674,60.4,2.1,,,,,,,,,18.13,-67.12
662,14482,16771,65.9,2.0,,,,,,,,,18.47,-67.02
664,4850,15401,71.4,2.1,,,,,,,,,18.21,-66.59
667,8153,13843,72.9,1.0,,,,,,,,,18,-67.04
669,9727,12996,71.2,1.2,,,,,,,,,18.28,-66.87
670,3006,14456,66.2,2.1,,,,,,,,,18.24,-66.99
674,15726,18032,61.5,3.6,,,,,,,,,18.42,-66.49
676,13035,13416,71.0,1.5,,,,,,,,,18.38,-67.08
677,5092,18333,61.5,2.5,,,,,,,,,18.33,-67.23
678,9179,15730,68.7,1.7,,,,,,,,,18.43,-66.93
680,18602,14500,69.6,2.3,,,,,,,,,18.18,-67.15
680,18602,14500,69.6,2.3,,,,,,,,,18.18,-67.15
682,11718,15315,64.5,3.6,,,,,,,,,18.22,-67.16
683,11368,15043,67.8,2.7,,,,,,,,,18.11,-67.04
685,14338,14128,71.2,1.5,,,,,,,,,18.33,-66.96
687,10129,18739,65.4,1.5,,,,,,,,,18.32,-66.42
688,4244,15918,67.7,1.1,,,,,,,,,18.38,-66.63
690,2313,18491,66.1,4.0,,,,,,,,,18.5,-67.1
692,11756,18076,61.6,3.3,,,,,,,,,18.41,-66.34
693,18246,18971,60.5,2.6,,,,,,,,,18.42,-66.4
694,46,14375,100.0,50,,,,,,,,,18.48,-66.39
698,10713,14487,68.5,1.9,,,,,,,,,18.06,-66.86
703,8642,16532,66.5,2.0,,,,,,,,,18.25,-66.13
704,2803,13960,76.0,1.5,,,,,,,,,17.97,-66.22
705,8529,18207,62.6,2.2,,,,,,,,,18.13,-66.27
707,3958,17489,65.8,1.4,,,,,,,,,18.01,-65.92
714,6091,15820,69.2,1.3,,,,,,,,,18,-66.05
715,1300,12440,80.2,1.5,,,,,,,,,18.01,-66.56
716,11256,18514,61.0,4.6,,,,,,,,,17.99,-66.61
717,6686,11269,69.8,2.0,,,,,,,,,18,-66.61
718,8284,18998,63.3,1.4,,,,,,,,,18.23,-65.76
719,8887,18401,62.0,1.4,,,,,,,,,18.29,-66.25
720,6676,14533,70.4,1.8,,,,,,,,,18.22,-66.43
745,16178,22909,53.6,2.9,,,,,,,,,18.35,-65.82
723,6519,14554,72.2,1.6,,,,,,,,,18.04,-66.02
725,30699,20374,57.7,3.9,,,,,,,,,18.22,-66.04
725,30699,20374,57.7,3.9,,,,,,,,,18.22,-66.04
727,20122,30797,42.6,7.5,,,,,,,,,18.22,-66.07
728,13450,18097,62.5,2.0,,,,,,,,,17.99,-66.66
729,16482,20508,56.5,2.5,,,,,,,,,18.32,-65.88
730,12051,15367,66.7,3.0,,,,,,,,,18.03,-66.62
731,4482,16389,62.8,2.0,,,,,,,,,18.11,-66.64
730,12051,15367,66.7,3.0,,,,,,,,,18.03,-66.62
730,12051,15367,66.7,3.0,,,,,,,,,18.03,-66.62
730,12051,15367,66.7,3.0,,,,,,,,,18.03,-66.62
735,4594,18947,60.8,3.9,,,,,,,,,18.25,-65.68
736,17409,20166,59.2,3.9,,,,,,,,,18.1,-66.15
736,17409,20166,59.2,3.9,,,,,,,,,18.1,-66.15
738,11823,19284,59.0,1.7,,,,,,,,,18.31,-65.74
739,11876,20619,57.7,4.6,,,,,,,,,18.18,-66.16
740,613,12934,78.9,6.7,,,,,,,,,18.33,-65.63
741,1573,22766,53.5,3.3,,,,,,,,,18.16,-65.75
735,4594,18947,60.8,3.9,,,,,,,,,18.25,-65.68
718,8284,18998,63.3,1.4,,,,,,,,,18.23,-65.76
745,16178,22909,53.6,2.9,,,,,,,,,18.35,-65.82
751,8296,16188,67.8,1.6,,,,,,,,,18,-66.25
754,13633,18594,62.3,2.4,,,,,,,,,18.15,-65.98
757,7759,16816,64.1,2.4,,,,,,,,,18,-66.39
765,2473,16149,65.0,2.0,,,,,,,,,18.13,-65.44
766,7907,19595,59.3,1.8,,,,,,,,,18.13,-66.48
767,11997,15573,66.7,1.0,,,,,,,,,18.07,-65.9
769,13706,19215,59.4,2.7,,,,,,,,,18.1,-66.36
771,12385,20332,58.2,2.8,,,,,,,,,18.19,-65.87
772,6768,15032,67.9,1.4,,,,,,,,,18.44,-65.91
773,6636,19377,60.8,2.3,,,,,,,,,18.34,-65.72
775,512,23092,55.7,8,,,,,,,,,18.33,-65.31
777,12850,18684,62.1,1.3,,,,,,,,,18.22,-65.91
778,15181,32708,40.3,11.0,,,,,,,,,18.26,-65.98
780,4081,21834,56.8,7.8,,,,,,,,,18.1,-66.57
782,5635,13073,74.8,1.2,,,,,,,,,18.23,-66.22
783,10847,14476,67.1,1.8,,,,,,,,,18.3,-66.33
784,14568,15653,67.8,1.6,,,,,,,,,18.01,-66.13
784,14568,15653,67.8,1.6,,,,,,,,,18.01,-66.13
786,96,-,66.7,34,,,,,,,,,18.16,-66.23
791,16797,18595,61.8,3.3,,,,,,,,,18.14,-65.82
791,16797,18595,61.8,3.3,,,,,,,,,18.14,-65.82
794,9122,15667,66.9,1.8,,,,,,,,,18.2,-66.31
795,15299,20430,59.2,2.6,,,,,,,,,18.06,-66.5
901,2696,16929,58.9,10.6,,,,,,,,,18.47,-66.1
901,2696,16929,58.9,10.6,,,,,,,,,18.47,-66.1
906,68,101346,20.6,101.4,,,,,,,,,18.46,-66.09
907,8780,32601,40.2,13.1,,,,,,,,,18.45,-66.08
907,8780,32601,40.2,13.1,,,,,,,,,18.45,-66.08
909,2452,17959,61.5,5.0,,,,,,,,,18.44,-66.07
909,2452,17959,61.5,5.0,,,,,,,,,18.44,-66.07
911,3805,30978,41.6,11.9,,,,,,,,,18.45,-66.06
912,2528,21744,54.7,5.2,,,,,,,,,18.45,-66.06
913,3470,5902,85.3,3.2,,,,,,,,,18.45,-66.04
911,3805,30978,41.6,11.9,,,,,,,,,18.45,-66.06
915,11214,14048,75.4,1.1,,,,,,,,,18.44,-66.05
915,11214,14048,75.4,1.1,,,,,,,,,18.44,-66.05
917,8273,15508,67.2,3.7,,,,,,,,,18.42,-66.05
918,8208,23333,51.7,10.1,,,,,,,,,18.42,-66.07
918,8208,23333,51.7,10.1,,,,,,,,,18.42,-66.07
920,6874,25433,49.4,3.5,,,,,,,,,18.41,-66.09
921,13599,18690,59.3,2.4,,,,,,,,,18.39,-66.09
968,1825,45811,34.4,16.6,,,,,,,,,18.41,-66.1
923,10045,14041,69.5,2.1,,,,,,,,,18.41,-66.04
924,19373,19303,57.7,4.0,,,,,,,,,18.4,-66.01
925,3178,9903,77.8,1.7,,,,,,,,,18.4,-66.05
926,37216,33624,40.6,10.9,,,,,,,,,18.35,-66.05
927,5831,32932,39.7,12.1,,,,,,,,,18.39,-66.07
925,3178,9903,77.8,1.7,,,,,,,,,18.4,-66.05
924,19373,19303,57.7,4.0,,,,,,,,,18.4,-66.01
923,10045,14041,69.5,2.1,,,,,,,,,18.41,-66.04
925,3178,9903,77.8,1.7,,,,,,,,,18.4,-66.05
918,8208,23333,51.7,10.1,,,,,,,,,18.42,-66.07
934,25,-,0,111.8,,,,,,,,,18.41,-66.12
936,0,-,0,0,,,,,,,,,18.4,-66.07
936,0,-,0,0,,,,,,,,,18.4,-66.07
979,7713,34284,37.5,10.8,,,,,,,,,18.44,-66.03
918,8208,23333,51.7,10.1,,,,,,,,,18.42,-66.07
909,2452,17959,61.5,5.0,,,,,,,,,18.44,-66.07
949,25855,26032,48.0,3.9,,,,,,,,,18.43,-66.21
950,0,-,0,0,,,,,,,,,18.46,-66.23
951,0,-,0,0,,,,,,,,,18.43,-66.25
952,2988,15434,67.8,2.8,,,,,,,,,18.43,-66.18
953,21798,29837,42.7,8.5,,,,,,,,,18.36,-66.25
953,21798,29837,42.7,8.5,,,,,,,,,18.36,-66.25
921,13599,18690,59.3,2.4,,,,,,,,,18.39,-66.09
956,25459,23322,53.0,2.2,,,,,,,,,18.32,-66.17
957,14764,24438,51.1,4.5,,,,,,,,,18.37,-66.19
957,14764,24438,51.1,4.5,,,,,,,,,18.37,-66.19
959,18297,29737,44.2,4.6,,,,,,,,,18.39,-66.16
960,0,-,0,0,,,,,,,,,18.42,-66.14
961,11349,28455,46.0,8.5,,,,,,,,,18.41,-66.16
962,7005,16135,64.6,3.3,,,,,,,,,18.44,-66.15
