zcta,HouseCount,HouseMedianIncome,IncomeUnder25K,IncomeOver100K,JobCount,JobsAgriculture,JobsArtsRec,JobsAutomotive,JobsConstruction,JobsHealthcare,JobsManufacturing,JobsRetail,latitude,longitude
962,7005,16135,64.6,3.3,,,,,,,,,18.44,-66.15
965,2748,15369,69.7,1.7,,,,,,,,,18.43,-66.11
966,6208,51318,28.8,19.6,,,,,,,,,18.4,-66.12
968,1825,45811,34.4,16.6,,,,,,,,,18.41,-66.1
969,15099,51604,28.1,19.9,,,,,,,,,18.37,-66.11
969,15099,51604,28.1,19.9,,,,,,,,,18.37,-66.11
971,9503,20604,57.2,6.0,,,,,,,,,18.32,-66.12
917,8273,15508,67.2,3.7,,,,,,,,,18.42,-66.05
976,21413,30801,41.2,6.9,,,,,,,,,18.34,-65.99
976,21413,30801,41.2,6.9,,,,,,,,,18.34,-65.99
976,21413,30801,41.2,6.9,,,,,,,,,18.34,-65.99
979,7713,34284,37.5,10.8,,,,,,,,,18.44,-66.03
979,7713,34284,37.5,10.8,,,,,,,,,18.44,-66.03
982,6014,25935,49.4,2.8,,,,,,,,,18.41,-65.99
983,14156,27149,47.8,3.7,,,,,,,,,18.42,-65.97
983,14156,27149,47.8,3.7,,,,,,,,,18.42,-65.97
985,12677,24834,50.5,2.9,,,,,,,,,18.41,-65.95
985,12677,24834,50.5,2.9,,,,,,,,,18.41,-65.95
987,21665,32967,37.9,6.6,,,,,,,,,18.34,-65.94
987,21665,32967,37.9,6.6,,,,,,,,,18.34,-65.94
1001,7460,57694,21.8,25.4,472,,6,,58,45,46,,42.06,-72.63
1002,9976,52379,28.3,22.5,588,1,14,,27,81,15,,42.36,-72.46
1003,31,"2,500-",83.9,55.3,21,,,,,3,,,42.39,-72.52
1002,9976,52379,28.3,22.5,588,1,14,,27,81,15,,42.36,-72.46
1005,1785,70325,11.8,33.5,95,2,,,16,7,4,,42.42,-72.11
1007,5558,86165,9.9,36.3,229,1,1,,36,30,7,,42.28,-72.4
1008,548,62750,9.7,26.0,21,,2,,6,1,,,42.19,-72.95
1009,157,59440,35.7,45.9,18,,,,3,,1,,42.21,-72.34
1010,1465,86523,17.3,34.9,75,1,2,,22,2,2,,42.13,-72.21
1011,572,75263,14.5,29.1,11,,1,,2,,1,,42.29,-72.97
1012,233,70114,18.0,26.1,10,,,,3,3,1,,42.38,-72.86
1013,9273,39868,30.9,11.2,334,,3,,30,29,27,,42.15,-72.6
1013,9273,39868,30.9,11.2,334,,3,,30,29,27,,42.15,-72.6
1020,12491,58780,21.1,22.3,563,,7,,66,59,19,,42.17,-72.56
1020,12491,58780,21.1,22.3,563,,7,,66,59,19,,42.17,-72.56
1022,1223,43349,20.4,17.1,58,,,,2,3,17,,42.2,-72.54
1026,459,51442,17.4,19.8,19,,1,,1,2,,,42.47,-72.92
1027,7871,63699,16.0,23.3,416,,7,,55,36,31,,42.3,-72.75
1028,5978,85221,14.7,34.3,516,,8,,51,65,27,,42.06,-72.5
1029,316,50750,26.0,13.4,14,,,,1,,3,,42.19,-73.04
1030,4290,71716,17.2,33.0,209,,6,,33,20,6,,42.07,-72.69
1031,531,41875,35.2,19.1,20,,1,,1,1,2,,42.33,-72.2
1032,251,78011,12.4,38.7,27,,1,,7,2,1,,42.46,-72.81
1033,2457,89965,12.7,41.2,122,1,1,,33,4,5,,42.24,-72.5
1034,878,87045,10.0,36.1,31,2,,,8,2,3,,42.09,-72.96
1035,2316,58953,13.2,26.0,308,,6,,25,34,10,,42.36,-72.57
1036,1976,81304,10.6,30.6,116,1,1,,28,6,4,,42.07,-72.42
1037,238,92750,2.9,42.9,18,,,,6,,2,,42.38,-72.2
1038,1337,67096,7.7,25.7,61,,2,,14,5,3,,42.38,-72.6
1039,526,80000,14.5,26.8,28,,1,,8,1,1,,42.4,-72.69
1040,15403,37954,36.6,14.4,915,,15,,52,146,56,,42.21,-72.64
1040,15403,37954,36.6,14.4,915,,15,,52,146,56,,42.21,-72.64
1050,925,68869,17.4,25.3,33,,,,5,5,,,42.29,-72.87
1053,562,62222,11.4,21.6,28,,3,,2,8,3,,42.36,-72.71
1054,818,87174,10.8,32.3,33,,1,,8,3,,,42.47,-72.48
1056,8086,67715,13.8,27.9,404,,6,,81,32,34,,42.18,-72.46
1057,3495,78986,12.2,29.5,144,1,1,,37,6,9,,42.09,-72.32
1002,9976,52379,28.3,22.5,588,1,14,,27,81,15,,42.36,-72.46
1060,6563,57485,25.0,20.7,790,,17,,30,125,18,,42.32,-72.63
1060,6563,57485,25.0,20.7,790,,17,,30,125,18,,42.32,-72.63
1062,4281,73438,18.1,31.5,196,1,4,,20,40,9,,42.32,-72.7
1063,0,-,0,0,4,,1,,,,,,42.32,-72.64
1066,9,-,0,100,9,,,,1,,1,,42.41,-72.66
1068,679,85938,8.3,35.6,29,,1,,12,1,,,42.35,-72.04
1069,3630,59211,20.8,29.9,272,1,5,,38,19,24,,42.19,-72.31
1070,272,57000,18.0,20.0,8,,1,,1,,,,42.52,-72.92
1071,499,67132,11.6,29.0,20,1,,,6,1,1,,42.16,-72.87
1072,636,72000,17.5,31.7,19,,2,,6,,2,,42.46,-72.42
1073,2422,89423,14.6,37.4,129,1,6,,30,7,6,,42.23,-72.74
1074,134,61603,0,22.7,10,,,,,,,,42.39,-72.09
1075,6745,66681,18.7,25.3,313,,5,,46,33,8,,42.26,-72.58
1077,3750,76737,13.5,31.4,219,3,10,,35,13,16,,42.05,-72.78
1079,256,27105,37.5,7.4,14,,,,4,1,1,,42.19,-72.33
1080,911,49844,29.4,14.6,38,,,,3,3,6,,42.19,-72.36
1081,734,50465,25.8,19.4,14,1,,,4,,1,,42.06,-72.23
1082,4455,51768,20.7,21.5,158,1,3,,12,11,11,,42.3,-72.28
1083,1115,65547,26.6,24.6,32,1,,,6,1,4,,42.2,-72.19
1084,74,90625,12.2,38.0,5,,,,2,,,,42.39,-72.88
1085,15542,62423,14.8,23.4,865,,12,,107,98,82,,42.15,-72.77
1086,0,-,0,0,16,,1,,3,1,4,,42.13,-72.79
1088,211,51406,14.2,24.6,31,,1,,4,2,3,,42.39,-72.65
1089,11971,51735,23.7,18.3,989,,15,,82,108,58,,42.13,-72.65
1089,11971,51735,23.7,18.3,989,,15,,82,108,58,,42.13,-72.65
1092,445,75799,19.8,45.5,16,,,,3,,1,,42.19,-72.24
1093,141,103750,12.1,47.7,31,,,,5,2,5,,42.44,-72.66
1094,190,21250,63.1,10.6,3,,,,,,2,,42.36,-72.14
1095,5266,104128,10.7,41.2,290,1,3,,28,41,7,,42.14,-72.42
1096,1034,77083,12.3,32.4,53,,,,7,4,6,,42.4,-72.76
1097,17,-,58.8,74.6,2,,,,,,,,42.18,-72.83
1098,556,76563,14.3,29.2,19,,3,,2,2,1,,42.39,-72.94
1104,8989,30053,44.6,9.3,567,,2,,33,104,28,,42.13,-72.57
1104,8989,30053,44.6,9.3,567,,2,,33,104,28,,42.13,-72.57
1103,1418,16720,59.7,11.8,544,,5,,10,71,6,,42.1,-72.59
1104,8989,30053,44.6,9.3,567,,2,,33,104,28,,42.13,-72.57
1105,4831,17569,61.6,4.2,272,,3,,10,42,5,,42.1,-72.58
1106,5822,111231,9.5,37.3,275,,7,,13,55,1,,42.05,-72.57
1107,3825,26772,47.4,10.1,151,,,,6,69,6,,42.12,-72.61
1108,9899,38499,35.7,11.9,276,,3,,16,34,9,,42.08,-72.56
1109,9591,35191,39.5,9.2,313,,3,,17,45,10,,42.12,-72.55
1109,9591,35191,39.5,9.2,313,,3,,17,45,10,,42.12,-72.55
1103,1418,16720,59.7,11.8,544,,5,,10,71,6,,42.1,-72.59
1106,5822,111231,9.5,37.3,275,,7,,13,55,1,,42.05,-72.57
1118,5701,61112,19.3,24.8,130,,2,,15,29,1,,42.09,-72.53
1119,4822,47439,25.1,15.2,147,,1,,8,18,,,42.12,-72.51
1128,1097,65977,12.8,24.6,52,,,,8,7,1,,42.09,-72.49
1129,2787,63895,20.1,25.1,158,,2,,6,13,4,,42.12,-72.49
1108,9899,38499,35.7,11.9,276,,3,,16,34,9,,42.08,-72.56
1109,9591,35191,39.5,9.2,313,,3,,17,45,10,,42.12,-72.55
1103,1418,16720,59.7,11.8,544,,5,,10,71,6,,42.1,-72.59
1151,3243,40360,32.1,12.0,146,,1,,12,10,22,,42.15,-72.51
1151,3243,40360,32.1,12.0,146,,1,,12,10,22,,42.15,-72.51
1199,0,-,0,0,5,,,,,3,,,42.12,-72.6
1201,19953,47614,27.5,18.1,1321,1,34,,129,222,50,,42.45,-73.27
1201,19953,47614,27.5,18.1,1321,1,34,,129,222,50,,42.45,-73.27
1201,19953,47614,27.5,18.1,1321,1,34,,129,222,50,,42.45,-73.27
1220,3768,49777,23.3,18.1,159,1,2,,33,10,8,,42.62,-73.12
1222,348,74583,6.0,27.3,17,,1,,4,,4,,42.06,-73.32
1223,1028,77857,12.4,31.6,42,,2,,12,,1,,42.31,-73.11
1224,124,38446,38.7,24.2,3,,,,1,,1,,42.51,-73.2
1225,1404,61512,18.0,20.4,54,,,,14,2,1,,42.56,-73.15
1226,2970,61063,17.1,18.5,127,,3,,26,9,7,,42.48,-73.14
1226,2970,61063,17.1,18.5,127,,3,,26,9,7,,42.48,-73.14
1229,48,29000,43.7,44.4,3,,,,,,,,42.28,-73.33
1230,3398,65214,14.6,25.5,421,1,16,,39,44,12,,42.17,-73.32
1235,1196,63000,11.4,21.8,49,,1,,18,2,2,,42.43,-73.06
1236,427,57014,8.0,32.0,43,,,,10,2,4,,42.27,-73.38
1237,970,84615,11.4,34.0,123,1,4,,19,6,3,,42.54,-73.27
1238,2351,67708,17.3,27.9,282,,4,,26,12,6,,42.3,-73.23
1240,2201,68948,16.6,28.6,248,,9,,13,20,5,,42.37,-73.27
1242,173,81172,0,42.5,17,,,,3,1,,,42.33,-73.25
1243,164,71979,14.0,38.7,6,1,,,2,,1,,42.35,-73.02
1244,62,55556,32.2,28.2,3,,,,1,1,,,42.12,-73.26
1245,405,69821,10.9,34.5,24,,3,,6,2,1,,42.19,-73.22
1247,6848,40928,31.0,13.2,330,,6,,31,41,15,,42.7,-73.08
1230,3398,65214,14.6,25.5,421,1,16,,39,44,12,,42.17,-73.32
1253,365,74554,11.0,32.1,33,,1,,12,3,,,42.21,-73.11
1254,471,92083,11.8,32.6,30,1,,,9,2,,,42.38,-73.37
1255,326,68636,11.6,31.0,20,1,1,,6,1,,,42.11,-73.12
1256,321,55375,20.9,17.9,5,,,,2,1,2,,42.59,-73.02
1257,1014,59500,17.7,34.5,110,,4,,22,2,13,,42.09,-73.37
1258,195,57917,13.3,20.2,33,,1,,7,2,,,42.11,-73.46
1259,262,62727,7.6,30.0,25,,1,,7,,,,42.08,-73.23
1260,131,112756,10.7,66.2,12,,,,1,,2,,42.3,-73.34
1262,557,36042,26.7,20.1,78,2,9,,7,5,2,,42.29,-73.32
1262,557,36042,26.7,20.1,78,2,9,,7,5,2,,42.29,-73.32
1264,76,80000,22.4,38.0,1,,,,,,,,42.23,-73.2
1266,583,74107,14.4,26.7,44,,,,12,,1,,42.31,-73.39
1267,2405,78068,14.9,32.8,213,1,12,,13,24,4,,42.67,-73.25
1270,342,80000,11.1,35.5,8,,,,6,,,,42.52,-73.03
1301,7995,48477,26.4,16.4,578,,14,,32,103,32,,42.63,-72.6
1301,7995,48477,26.4,16.4,578,,14,,32,103,32,,42.63,-72.6
1330,632,74167,7.2,25.7,36,,1,,4,,6,,42.51,-72.82
1331,5403,53733,21.6,22.3,211,,3,,21,33,8,,42.56,-72.19
1337,1101,66085,17.2,23.7,47,,2,,13,2,3,,42.69,-72.58
1338,73,57750,8.2,44.0,13,,,,4,1,,,42.57,-72.82
1339,601,55313,19.6,16.9,31,,3,,5,,,,42.6,-72.89
1340,722,53125,20.1,15.1,18,,,,4,,5,,42.69,-72.71
1341,692,101023,4.9,41.1,26,,1,,6,3,2,,42.49,-72.71
1342,563,106146,14.4,51.5,27,,2,,3,1,3,,42.54,-72.61
1343,25,85781,24,69.6,1,,,,1,,,,42.66,-72.98
1344,602,70109,14.3,19.6,21,,1,,2,1,2,,42.61,-72.43
1346,189,60208,14.7,26.3,5,,,,1,,,,42.69,-72.82
1347,78,52647,28.2,34.3,1,,,,1,,,,42.56,-72.52
1349,462,61630,18.0,30.4,7,,,,2,,2,,42.56,-72.48
1350,47,31458,31.9,59.8,3,,,,,,,,42.73,-72.99
1351,999,82548,15.6,32.2,30,,,,5,1,1,,42.54,-72.52
1354,583,69226,9.5,25.9,22,,1,,6,2,,,42.62,-72.51
1355,392,70313,14.3,30.7,20,1,2,,2,1,2,,42.46,-72.33
1360,1214,69028,16.4,30.0,47,2,,,12,2,4,,42.68,-72.45
1364,3185,43413,28.8,17.4,134,1,3,,8,14,20,,42.61,-72.29
1366,493,65529,13.5,24.3,30,,,,5,2,1,,42.48,-72.19
1367,231,55469,24.3,22.1,6,,,,1,,,,42.7,-72.91
1368,528,72813,14.4,27.3,9,,,,3,,,,42.68,-72.18
1370,1853,54036,23.7,19.4,114,,7,,8,8,8,,42.59,-72.73
1373,1850,74022,14.0,27.3,143,,1,,19,15,8,,42.48,-72.62
1375,1597,54886,21.8,22.5,54,,1,,4,3,,,42.47,-72.55
1376,2375,43750,36.9,11.1,97,,2,,2,21,10,,42.6,-72.56
1378,338,57885,16.8,21.4,5,,,,1,,,,42.67,-72.35
1379,384,43500,30.7,12.7,12,,,,3,1,,,42.56,-72.41
1379,384,43500,30.7,12.7,12,,,,3,1,,,42.56,-72.41
1420,14828,51412,25.6,19.8,765,,8,,63,116,51,,42.58,-71.82
1430,2024,85064,9,37.0,91,,,,20,7,7,,42.66,-71.92
1431,1106,95833,8.1,41.8,60,1,,,20,2,4,,42.68,-71.83
1432,3387,79750,14.0,34.7,233,,1,,26,18,25,,42.56,-71.57
1434,191,50547,5.8,37.2,77,,2,,1,9,14,,42.54,-71.61
1436,1229,60156,19.2,29.1,34,,1,,9,6,1,,42.6,-72.09
1438,229,74142,3.5,41.6,19,,1,,2,,3,,42.56,-72.03
1440,8254,48915,27.0,15.9,403,,8,,20,67,34,,42.59,-71.99
1473,2832,100071,7.5,46.1,177,5,2,,31,16,10,,42.55,-71.91
1450,4101,123918,10.5,40.2,224,1,5,,37,29,8,,42.61,-71.56
1451,1645,143625,7.2,42.0,132,3,4,,15,20,5,,42.5,-71.57
1452,1682,93387,10.5,39.2,49,2,,,15,5,2,,42.5,-72
1453,16563,57610,22.8,22.1,1127,,16,,114,124,92,,42.52,-71.76
1460,3440,119177,12.3,42.3,318,1,4,,54,22,19,,42.54,-71.49
1462,4171,97775,14.6,41.4,212,,4,,53,13,5,,42.58,-71.72
1463,4346,90029,12.9,35.9,208,,,,58,16,6,,42.67,-71.6
1464,2426,67541,16.2,26.0,121,1,1,,22,3,19,,42.57,-71.64
1467,163,98036,28.8,52.5,9,,,,1,,2,,42.49,-71.61
1468,1891,64872,10.2,24.1,61,,1,,13,3,5,,42.54,-72.07
1469,2683,84489,7.9,35.4,129,,4,,28,4,3,,42.66,-71.7
1450,4101,123918,10.5,40.2,224,1,5,,37,29,8,,42.61,-71.56
1450,4101,123918,10.5,40.2,224,1,5,,37,29,8,,42.61,-71.56
1450,4101,123918,10.5,40.2,224,1,5,,37,29,8,,42.61,-71.56
1473,2832,100071,7.5,46.1,177,5,2,,31,16,10,,42.55,-71.91
1474,715,84851,8.0,35.9,27,,,,11,1,1,,42.67,-71.75
1475,3889,64539,18.4,29.2,143,,2,,22,11,14,,42.67,-72.06
1501,6642,74576,13.4,30.9,597,1,8,,59,62,19,,42.2,-71.85
1503,1151,97417,11.0,37.6,81,2,1,,18,2,3,,42.38,-71.63
1504,3438,80260,12.0,34.8,132,,,,42,9,2,,42.04,-71.53
1505,1713,97074,8.2,34.0,123,,7,,26,2,5,,42.36,-71.72
1506,1421,64219,12.4,27.5,42,,,,8,4,5,,42.18,-72.11
1507,4889,93921,10.1,38.9,262,,6,,58,21,13,,42.13,-71.97
1507,4889,93921,10.1,38.9,262,,6,,58,21,13,,42.13,-71.97
1507,4889,93921,10.1,38.9,262,,6,,58,21,13,,42.13,-71.97
1510,5586,68362,13.3,28.5,244,,2,,34,14,20,,42.41,-71.69
1515,828,80234,11.8,33.2,43,,3,,3,,,,42.21,-72.04
1516,3151,94531,10.3,44.5,127,,3,,38,8,9,,42.05,-71.75
1518,1397,58438,17.8,35.1,63,,2,,4,2,1,,42.13,-72.12
1519,2468,106250,10.1,38.0,101,2,2,,17,9,1,,42.2,-71.68
1520,5420,99674,9.7,37.8,280,,1,,41,39,7,,42.34,-71.85
1521,951,78348,8.2,32.6,19,1,1,,4,,,,42.05,-72.18
1522,1239,104508,7.0,50.7,33,,2,,4,3,2,,42.38,-71.87
1523,2245,104630,8.0,48.0,124,,5,,19,19,4,,42.48,-71.68
1524,2597,64135,19.6,29.6,108,,3,,28,11,3,,42.25,-71.92
1525,94,-,35.1,42.9,22,,,,3,4,1,,42.11,-71.63
1590,3341,101315,6.5,42.1,162,1,1,,29,11,11,,42.13,-71.75
1527,5330,74713,14.9,34.6,301,1,5,,41,16,30,,42.19,-71.78
1529,1158,90500,10.5,42.0,30,,,,5,3,3,,42.04,-71.58
1531,425,84432,8.4,33.3,18,,,,5,,1,,42.33,-72.13
