Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2310359427652,2.3 Trillion,8845754,8.8 Million
Housing,RoUS,2294476026865,2.3 Trillion,378220,378.2 K
Wholesale trade,RoUS,2040222794343,2.0 Trillion,5481112,5.5 Million
State and local general government,RoUS,1898213772699,1.9 Trillion,4215996,4.2 Million
Construction,RoUS,1854980879268,1.9 Trillion,7534397,7.5 Million
Other real estate,RoUS,1396973473746,1.4 Trillion,1341397,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1345126898515,1.3 Trillion,2413851,2.4 Million
Hospitals,RoUS,1140982040049,1.1 Trillion,6729914,6.7 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1122249886856,1.1 Trillion,7603400,7.6 Million
Other retail,RoUS,1095097248093,1.1 Trillion,6594074,6.6 Million
Administrative and support services,RoUS,1026236548351,1.0 Trillion,7928874,7.9 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,946793856159,946.8 Billion,2394831,2.4 Million
Food and beverage and tobacco products,RoUS,945950632600,946.0 Billion,1970951,2 Million
"Other services, except government",RoUS,868644093440,868.6 Billion,4759302,4.8 Million
Food and beverage establishments,RoUS,862574341658,862.6 Billion,10614486,10.6 Million
"Radio, TV, telecommunication",RoUS,740764029410,740.8 Billion,775222,775.2 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,720556055985,720.6 Billion,801306,801.3 K
Federal general government (defense),RoUS,694373963072,694.4 Billion,550046,550 K
"Financial investments, exchanges, and advising",RoUS,689627198563,689.6 Billion,986197,986.2 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,680646308095,680.6 Billion,943753,943.8 K
Company and enterprise management,RoUS,651222510479,651.2 Billion,2223445,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,615508002258,615.5 Billion,870498,870.5 K
Computer programming and systems design,RoUS,579072718342,579.1 Billion,2575736,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,468640047607,468.6 Billion,866251,866.3 K
Federal general government (nondefense),RoUS,458057456445,458.1 Billion,1101483,1.1 Million
Educational institutions and services,RoUS,402081234305,402.1 Billion,10224940,10.2 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,384499488305,384.5 Billion,785312,785.3 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,379097636124,379.1 Billion,114678,114.7 K
Legal services,RoUS,370215758462,370.2 Billion,1123708,1.1 Million
Truck transport,RoUS,367170488030,367.2 Billion,1440837,1.4 Million
"Media, literature, and software",RoUS,351099771334,351.1 Billion,608825,608.8 K
Machinery (except computers),RoUS,344432121786,344.4 Billion,948129,948.1 K
"Data processing, internet publishing, and other information services",RoUS,341143328335,341.1 Billion,595832,595.8 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,334152521331,334.2 Billion,1284802,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,315525728859,315.5 Billion,880850,880.9 K
"Couriers, messengers, transportation for leisure activities",RoUS,283841097933,283.8 Billion,1735636,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,256080524868,256.1 Billion,3361679,3.4 Million
Food and beverage stores,RoUS,252301016925,252.3 Billion,2735549,2.7 Million
General merchandise stores,RoUS,243679414498,243.7 Billion,2746407,2.7 Million
"Child day care, community food services, housing services, and other relief services",RoUS,236748756969,236.7 Billion,3996262,4 Million
Vehicles and parts sales,RoUS,236171129793,236.2 Billion,1363996,1.4 Million
Plastics and rubber products,RoUS,234099246722,234.1 Billion,674166,674.2 K
Primary and secondary ferrous and nonferrous metals,RoUS,213181265482,213.2 Billion,352016,352 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,212597455068,212.6 Billion,645941,645.9 K
Unrefined oil and gas,RoUS,203697308201,203.7 Billion,99934,99.9 K
"Funds, trusts, and financial vehicles",RoUS,190710191271,190.7 Billion,81453,81.5 K
Paper products and paper production facilities,RoUS,183992376470,184.0 Billion,350553,350.6 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,173012729413,173.0 Billion,542427,542.4 K
Warehouses,RoUS,157353397227,157.4 Billion,1465022,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,154898454563,154.9 Billion,1449175,1.4 Million
Hotels and campgrounds,RoUS,144486247803,144.5 Billion,1411177,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,129010444891,129.0 Billion,378142,378.1 K
Waste management and remediation services,RoUS,128051246618,128.1 Billion,498663,498.7 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,128037051993,128.0 Billion,380841,380.8 K
"Performing arts, spectator sports, museums, and related activities",RoUS,126097215349,126.1 Billion,561185,561.2 K
Air transport,RoUS,124883501794,124.9 Billion,457263,457.3 K
Film and sound-based entertainment,RoUS,124784300623,124.8 Billion,275564,275.6 K
"Wood products (e.g. plywood, veneer)",RoUS,113111462088,113.1 Billion,396282,396.3 K
Other state and local government enterprises including transit and utilities,RoUS,110505586601,110.5 Billion,46806,46.8 K
Well drilling and support activities for mining,RoUS,88328605643,88.3 Billion,228977,229 K
Passenger ground transport,RoUS,82769095212,82.8 Billion,618915,618.9 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,77206829786,77.2 Billion,136644,136.6 K
Federal electric utilities and postal service,RoUS,70459912825,70.5 Billion,503513,503.5 K
Rail transport,RoUS,69348619263,69.3 Billion,766,766
Furniture and shelving,RoUS,67145856355,67.1 Billion,345149,345.1 K
Print media and printing support,RoUS,64302426858,64.3 Billion,309817,309.8 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,61922624778,61.9 Billion,456730,456.7 K
Pipeline transport,RoUS,59320929257,59.3 Billion,56773,56.8 K
Textiles and textile-dervied products (except clothes),RoUS,45356513702,45.4 Billion,183732,183.7 K
"Water transport (boats, ships, ferries)",RoUS,39859942225,39.9 Billion,66114,66.1 K
Food and beverage and tobacco products,US-KS,21500367400,21.5 Billion,35041,35 K
Clothing and leather,RoUS,21362529799,21.4 Billion,122922,122.9 K
Wholesale trade,US-KS,19403205657,19.4 Billion,54956,55 K
Housing,US-KS,19283973135,19.3 Billion,2151,2.2 K
State and local general government,US-KS,18330227301,18.3 Billion,794,794
Construction,US-KS,14508120732,14.5 Billion,65353,65.4 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-KS,14503952393,14.5 Billion,6871,6.9 K
"Miscellaneous professional, scientific, and technical services",US-KS,13823572348,13.8 Billion,74030,74 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-KS,11557511695,11.6 Billion,11339,11.3 K
"Insurance agencies, carriers, and brokerages",US-KS,11543101485,11.5 Billion,25611,25.6 K
Hospitals,US-KS,10314959951,10.3 Billion,71772,71.8 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-KS,9235544932,9.2 Billion,28609,28.6 K
Other retail,US-KS,9142751907,9.1 Billion,60165,60.2 K
"Healthcare professions, laboratories, and ambulances",US-KS,9042113144,9.0 Billion,57798,57.8 K
Administrative and support services,US-KS,8308451649,8.3 Billion,68467,68.5 K
"Scrap, used and secondhand goods",RoUS,8261094290,8.3 Billion,22561,22.6 K
"Other services, except government",US-KS,7711906560,7.7 Billion,39086,39.1 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-KS,7599363876,7.6 Billion,2301,2.3 K
Food and beverage establishments,US-KS,6822658342,6.8 Billion,97901,97.9 K
Company and enterprise management,US-KS,6536489521,6.5 Billion,21970,22 K
Federal general government (defense),US-KS,6103036928,6.1 Billion,5320,5.3 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-KS,5480691905,5.5 Billion,9033,9 K
Other real estate,US-KS,5096526254,5.1 Billion,10119,10.1 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-KS,4966944015,5.0 Billion,9818,9.8 K
"Radio, TV, telecommunication",US-KS,4768970590,4.8 Billion,7000,7 K
Truck transport,US-KS,4378511970,4.4 Billion,16624,16.6 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-KS,4273143841,4.3 Billion,23608,23.6 K
Machinery (except computers),US-KS,4250878214,4.3 Billion,16436,16.4 K
Computer programming and systems design,US-KS,3643281658,3.6 Billion,20039,20 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-KS,3532997742,3.5 Billion,5383,5.4 K
Fabricated metal products (e.g. architectural and structural metal products),US-KS,3268478669,3.3 Billion,15205,15.2 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3238415708,3.2 Billion,7787,7.8 K
Federal general government (nondefense),US-KS,2911543555,2.9 Billion,1593,1.6 K
Rail transport,US-KS,2857380737,2.9 Billion,0,0.0
General merchandise stores,US-KS,2817585502,2.8 Billion,25660,25.7 K
Food and beverage stores,US-KS,2792983075,2.8 Billion,25430,25.4 K
"Nursing, community, mental health, and substance abuse facilities",US-KS,2707475132,2.7 Billion,38125,38.1 K
"Couriers, messengers, transportation for leisure activities",US-KS,2573902067,2.6 Billion,16454,16.5 K
Plastics and rubber products,US-KS,2551753278,2.6 Billion,8559,8.6 K
"Financial investments, exchanges, and advising",US-KS,2427801437,2.4 Billion,6611,6.6 K
"Funds, trusts, and financial vehicles",US-KS,2320808729,2.3 Billion,37,37.0
Educational institutions and services,US-KS,2140765695,2.1 Billion,108248,108.2 K
Warehouses,US-KS,1951602773,2.0 Billion,18903,18.9 K
"Child day care, community food services, housing services, and other relief services",US-KS,1939243031,1.9 Billion,36038,36 K
Vehicles and parts sales,US-KS,1488870207,1.5 Billion,12908,12.9 K
"Media, literature, and software",US-KS,1486228666,1.5 Billion,4918,4.9 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-KS,1377948007,1.4 Billion,4830,4.8 K
Legal services,US-KS,1369241538,1.4 Billion,6928,6.9 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-KS,1364271141,1.4 Billion,7604,7.6 K
Print media and printing support,US-KS,1344573142,1.3 Billion,5287,5.3 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-KS,1106545437,1.1 Billion,13459,13.5 K
