Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2311457648093,2.3 Trillion,8859792,8.9 Million
Housing,RoUS,2300463124199,2.3 Trillion,378790,378.8 K
Wholesale trade,RoUS,2054127693907,2.1 Trillion,5516628,5.5 Million
State and local general government,RoUS,1902055039323,1.9 Trillion,4236114,4.2 Million
Construction,RoUS,1859804940231,1.9 Trillion,7544521,7.5 Million
Other real estate,RoUS,1398599680361,1.4 Trillion,1345883,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1352294196033,1.4 Trillion,2428942,2.4 Million
Hospitals,RoUS,1145282324325,1.1 Trillion,6765714,6.8 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1125755895998,1.1 Trillion,7611999,7.6 Million
Other retail,RoUS,1099175373088,1.1 Trillion,6617008,6.6 Million
Administrative and support services,RoUS,1030278512432,1.0 Trillion,7959203,8 Million
Food and beverage and tobacco products,RoUS,964839962825,964.8 Billion,1997019,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,949396803020,949.4 Billion,2408886,2.4 Million
"Other services, except government",RoUS,871981673874,872.0 Billion,4774772,4.8 Million
Food and beverage establishments,RoUS,864209006314,864.2 Billion,10644532,10.6 Million
"Radio, TV, telecommunication",RoUS,743469119146,743.5 Billion,778054,778.1 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,724855215577,724.9 Billion,809189,809.2 K
Federal general government (defense),RoUS,692248354402,692.2 Billion,549471,549.5 K
"Financial investments, exchanges, and advising",RoUS,691298421289,691.3 Billion,990879,990.9 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,682508988149,682.5 Billion,945207,945.2 K
Company and enterprise management,RoUS,656728744511,656.7 Billion,2240038,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,618971966928,619.0 Billion,875760,875.8 K
Computer programming and systems design,RoUS,581392133683,581.4 Billion,2587410,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,481555390303,481.6 Billion,868386,868.4 K
Federal general government (nondefense),RoUS,453718810803,453.7 Billion,1097335,1.1 Million
Educational institutions and services,RoUS,402850745697,402.9 Billion,10274385,10.3 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,392629175132,392.6 Billion,788499,788.5 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,384159994292,384.2 Billion,116062,116.1 K
Legal services,RoUS,370697385474,370.7 Billion,1125718,1.1 Million
Truck transport,RoUS,369495771443,369.5 Billion,1449391,1.4 Million
"Media, literature, and software",RoUS,352203157535,352.2 Billion,611839,611.8 K
Machinery (except computers),RoUS,348407700977,348.4 Billion,963670,963.7 K
"Data processing, internet publishing, and other information services",RoUS,341567655058,341.6 Billion,597942,597.9 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,336935469187,336.9 Billion,1297601,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,315717584967,315.7 Billion,883722,883.7 K
"Couriers, messengers, transportation for leisure activities",RoUS,285472783968,285.5 Billion,1745906,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,257740733845,257.7 Billion,3384857,3.4 Million
Food and beverage stores,RoUS,253740570024,253.7 Billion,2747898,2.7 Million
General merchandise stores,RoUS,244501044252,244.5 Billion,2753245,2.8 Million
"Child day care, community food services, housing services, and other relief services",RoUS,236950223604,237.0 Billion,3997104,4 Million
Vehicles and parts sales,RoUS,236700214460,236.7 Billion,1367983,1.4 Million
Plastics and rubber products,RoUS,236335867185,236.3 Billion,681825,681.8 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,221716291007,221.7 Billion,673897,673.9 K
Primary and secondary ferrous and nonferrous metals,RoUS,213659891062,213.7 Billion,353387,353.4 K
Unrefined oil and gas,RoUS,195621820007,195.6 Billion,97533,97.5 K
"Funds, trusts, and financial vehicles",RoUS,192720039306,192.7 Billion,81756,81.8 K
Paper products and paper production facilities,RoUS,184710573385,184.7 Billion,351967,352 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,173658713477,173.7 Billion,545520,545.5 K
Warehouses,RoUS,159085253409,159.1 Billion,1481953,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,155317968327,155.3 Billion,1452475,1.5 Million
Hotels and campgrounds,RoUS,144385368071,144.4 Billion,1407618,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,129951427435,130.0 Billion,381730,381.7 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,128950323967,129.0 Billion,383989,384 K
Waste management and remediation services,RoUS,127854052911,127.9 Billion,497824,497.8 K
"Performing arts, spectator sports, museums, and related activities",RoUS,126021056332,126.0 Billion,560863,560.9 K
Air transport,RoUS,124715774882,124.7 Billion,456681,456.7 K
Film and sound-based entertainment,RoUS,124430931833,124.4 Billion,275018,275 K
"Wood products (e.g. plywood, veneer)",RoUS,113499021365,113.5 Billion,396972,397 K
Other state and local government enterprises including transit and utilities,RoUS,110633894513,110.6 Billion,46549,46.5 K
Well drilling and support activities for mining,RoUS,85462707742,85.5 Billion,219959,220 K
Passenger ground transport,RoUS,82894371116,82.9 Billion,619768,619.8 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,76670815839,76.7 Billion,136355,136.4 K
Rail transport,RoUS,71071824843,71.1 Billion,752,752
Federal electric utilities and postal service,RoUS,69759761034,69.8 Billion,505528,505.5 K
Furniture and shelving,RoUS,67522343176,67.5 Billion,347722,347.7 K
Print media and printing support,RoUS,65537659659,65.5 Billion,314443,314.4 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,62322956959,62.3 Billion,455958,456 K
Pipeline transport,RoUS,60005738166,60.0 Billion,57099,57.1 K
Textiles and textile-dervied products (except clothes),RoUS,45631276451,45.6 Billion,185060,185.1 K
"Water transport (boats, ships, ferries)",RoUS,39863647648,39.9 Billion,66160,66.2 K
Clothing and leather,RoUS,21475058274,21.5 Billion,123451,123.5 K
State and local general government,US-NM,14488960677,14.5 Billion,5546,5.5 K
Housing,US-NM,13296875801,13.3 Billion,1563,1.6 K
"Miscellaneous professional, scientific, and technical services",US-NM,12725351907,12.7 Billion,61694,61.7 K
Construction,US-NM,9684059769,9.7 Billion,55439,55.4 K
Unrefined oil and gas,US-NM,8954179993,9.0 Billion,3837,3.8 K
"Scrap, used and secondhand goods",RoUS,8274365454,8.3 Billion,22625,22.6 K
Federal general government (defense),US-NM,8228645598,8.2 Billion,5896,5.9 K
Federal general government (nondefense),US-NM,7250189197,7.3 Billion,325,325
Hospitals,US-NM,6014675675,6.0 Billion,38821,38.8 K
"Healthcare professions, laboratories, and ambulances",US-NM,5536104002,5.5 Billion,49660,49.7 K
Wholesale trade,US-NM,5498306093,5.5 Billion,19709,19.7 K
Food and beverage establishments,US-NM,5187993686,5.2 Billion,68011,68 K
Other retail,US-NM,5064626912,5.1 Billion,37257,37.3 K
"Insurance agencies, carriers, and brokerages",US-NM,4375803967,4.4 Billion,10512,10.5 K
"Other services, except government",US-NM,4374326126,4.4 Billion,23625,23.6 K
Administrative and support services,US-NM,4266487568,4.3 Billion,38259,38.3 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-NM,3618011851,3.6 Billion,7164,7.2 K
Other real estate,US-NM,3470319639,3.5 Billion,5574,5.6 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-NM,3427824868,3.4 Billion,8245,8.2 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3207741962,3.2 Billion,7758,7.8 K
Well drilling and support activities for mining,US-NM,3151292258,3.2 Billion,11371,11.4 K
Food and beverage and tobacco products,US-NM,2611037175,2.6 Billion,8657,8.7 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-NM,2537005708,2.5 Billion,1031,1 K
"Radio, TV, telecommunication",US-NM,2063880854,2.1 Billion,4168,4.2 K
Truck transport,US-NM,2053228557,2.1 Billion,8071,8.1 K
General merchandise stores,US-NM,1995955748,2.0 Billion,18877,18.9 K
"Child day care, community food services, housing services, and other relief services",US-NM,1737776396,1.7 Billion,35243,35.2 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-NM,1670196980,1.7 Billion,9553,9.6 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-NM,1588609697,1.6 Billion,4739,4.7 K
Educational institutions and services,US-NM,1371254303,1.4 Billion,60075,60.1 K
Food and beverage stores,US-NM,1353429976,1.4 Billion,13231,13.2 K
Computer programming and systems design,US-NM,1323866317,1.3 Billion,8517,8.5 K
"Metal ores, dimensional stone, nonmetallic minerals",US-NM,1230184161,1.2 Billion,1826,1.8 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-NM,1172415033,1.2 Billion,4286,4.3 K
Federal electric utilities and postal service,US-NM,1170238966,1.2 Billion,2508,2.5 K
Rail transport,US-NM,1134175157,1.1 Billion,14,14.0
"Nursing, community, mental health, and substance abuse facilities",US-NM,1047266155,1.0 Billion,14946,14.9 K
Company and enterprise management,US-NM,1030255489,1.0 Billion,5378,5.4 K
Waste management and remediation services,US-NM,1024947089,1.0 Billion,4250,4.2 K
Vehicles and parts sales,US-NM,959785540,959.8 Million,8921,8.9 K
"Couriers, messengers, transportation for leisure activities",US-NM,942216032,942.2 Million,6149,6.1 K
Legal services,US-NM,887614526,887.6 Million,4919,4.9 K
"Financial investments, exchanges, and advising",US-NM,756578711,756.6 Million,1928,1.9 K
Hotels and campgrounds,US-NM,745631929,745.6 Million,13207,13.2 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-NM,687031673,687 Million,10103,10.1 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-NM,667784423,667.8 Million,1526,1.5 K
Film and sound-based entertainment,US-NM,488068167,488.1 Million,1577,1.6 K
Fabricated metal products (e.g. architectural and structural metal products),US-NM,485530813,485.5 Million,2361,2.4 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-NM,464676033,464.7 Million,1687,1.7 K
Other state and local government enterprises including transit and utilities,US-NM,457105487,457.1 Million,26,26.0
"Media, literature, and software",US-NM,382842465,382.8 Million,1296,1.3 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-NM,320043041,320 Million,2207,2.2 K
Plastics and rubber products,US-NM,315132815,315.1 Million,931,931
"Funds, trusts, and financial vehicles",US-NM,310960694,311 Million,105,105
"Data processing, internet publishing, and other information services",US-NM,302344942,302.3 Million,1410,1.4 K
"Performing arts, spectator sports, museums, and related activities",US-NM,298943668,298.9 Million,2909,2.9 K
Paper products and paper production facilities,US-NM,275426615,275.4 Million,587,587
Machinery (except computers),US-NM,275299023,275.3 Million,861,861
Pipeline transport,US-NM,252261834,252.3 Million,731,731
Air transport,US-NM,230225118,230.2 Million,879,879
Warehouses,US-NM,219746591,219.7 Million,1971,2 K
Passenger ground transport,US-NM,214628884,214.6 Million,2768,2.8 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-NM,203286523,203.3 Million,1129,1.1 K
Primary and secondary ferrous and nonferrous metals,US-NM,169108938,169.1 Million,370,370
"Wood products (e.g. plywood, veneer)",US-NM,142978635,143 Million,977,977
"Lights and light fixtures, switch boards, transformers, and home appliances",US-NM,133572565,133.6 Million,495,495
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-NM,116708993,116.7 Million,719,719
Print media and printing support,US-NM,109340341,109.3 Million,642,642
Furniture and shelving,US-NM,72656824,72.7 Million,512,512
On-road vehicles (excluding motorcycles) and accompanying parts,US-NM,69033072,69 Million,120,120
Noncomparable imports and rest-of-the-world adjustment,US-NM,51258038,51.3 Million,2,2.0
"Scrap, used and secondhand goods",US-NM,48634546,48.6 Million,97,97.0
Textiles and textile-dervied products (except clothes),US-NM,28723549,28.7 Million,151,151
Clothing and leather,US-NM,18941726,18.9 Million,129,129
"Water transport (boats, ships, ferries)",US-NM,14352352,14.4 Million,27,27.0
