Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2320585487907,2.3 Trillion,8900612,8.9 Million
Housing,RoUS,2305698939230,2.3 Trillion,379467,379.5 K
Wholesale trade,RoUS,2054858064253,2.1 Trillion,5519973,5.5 Million
State and local general government,RoUS,1910463413138,1.9 Trillion,4265827,4.3 Million
Construction,RoUS,1863009784008,1.9 Trillion,7566201,7.6 Million
Other real estate,RoUS,1399987028609,1.4 Trillion,1347705,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1354742060803,1.4 Trillion,2433502,2.4 Million
Hospitals,RoUS,1146041940006,1.1 Trillion,6780039,6.8 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1128265173739,1.1 Trillion,7641092,7.6 Million
Other retail,RoUS,1100916812345,1.1 Trillion,6627104,6.6 Million
Administrative and support services,RoUS,1032737984134,1.0 Trillion,7981045,8 Million
Food and beverage and tobacco products,RoUS,966272579379,966.3 Billion,2000921,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,949195399719,949.2 Billion,2410555,2.4 Million
"Other services, except government",RoUS,874041015016,874.0 Billion,4777921,4.8 Million
Food and beverage establishments,RoUS,866801441321,866.8 Billion,10670812,10.7 Million
"Radio, TV, telecommunication",RoUS,744348363942,744.3 Billion,779716,779.7 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,724879647444,724.9 Billion,809399,809.4 K
Federal general government (defense),RoUS,699304941160,699.3 Billion,553982,554 K
"Financial investments, exchanges, and advising",RoUS,691418707160,691.4 Billion,991138,991.1 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,684033996951,684.0 Billion,949351,949.4 K
Company and enterprise management,RoUS,657364942099,657.4 Billion,2243473,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,618874898214,618.9 Billion,875400,875.4 K
Computer programming and systems design,RoUS,581824431501,581.8 Billion,2590594,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,482086502244,482.1 Billion,870337,870.3 K
Federal general government (nondefense),RoUS,459290321581,459.3 Billion,1111632,1.1 Million
Educational institutions and services,RoUS,403607275984,403.6 Billion,10303040,10.3 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,391547453903,391.5 Billion,792517,792.5 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,383640440619,383.6 Billion,115688,115.7 K
Legal services,RoUS,370990406203,371.0 Billion,1127516,1.1 Million
Truck transport,RoUS,370403547074,370.4 Billion,1452723,1.5 Million
"Media, literature, and software",RoUS,352238303147,352.2 Billion,611776,611.8 K
Machinery (except computers),RoUS,348393017014,348.4 Billion,963347,963.3 K
"Data processing, internet publishing, and other information services",RoUS,341707898382,341.7 Billion,598749,598.7 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,337010008862,337.0 Billion,1297682,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,316778265342,316.8 Billion,887258,887.3 K
"Couriers, messengers, transportation for leisure activities",RoUS,285687261502,285.7 Billion,1747094,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,257981271278,258.0 Billion,3387545,3.4 Million
Food and beverage stores,RoUS,254221563711,254.2 Billion,2751105,2.8 Million
General merchandise stores,RoUS,245719044574,245.7 Billion,2763518,2.8 Million
"Child day care, community food services, housing services, and other relief services",RoUS,238115575219,238.1 Billion,4021097,4 Million
Vehicles and parts sales,RoUS,237116049946,237.1 Billion,1370874,1.4 Million
Plastics and rubber products,RoUS,236541421434,236.5 Billion,682269,682.3 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,221807180638,221.8 Billion,674231,674.2 K
Primary and secondary ferrous and nonferrous metals,RoUS,213735199895,213.7 Billion,353497,353.5 K
Unrefined oil and gas,RoUS,203974494793,204.0 Billion,101045,101 K
"Funds, trusts, and financial vehicles",RoUS,192921836133,192.9 Billion,82173,82.2 K
Paper products and paper production facilities,RoUS,184943856738,184.9 Billion,352457,352.5 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,173564713021,173.6 Billion,545104,545.1 K
