Commodity,Location,Output,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2298 Billion,8.8 Million
Housing,RoUS,2275.2 Billion,375.7 K
Wholesale trade,RoUS,2037.1 Billion,5.5 Million
State and local general government,RoUS,1886.3 Billion,4.2 Million
Construction,RoUS,1845.2 Billion,7.5 Million
Other real estate,RoUS,1392.1 Billion,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1344.4 Billion,2.4 Million
Hospitals,RoUS,1135.8 Billion,6.7 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1116.3 Billion,7.6 Million
Other retail,RoUS,1092.9 Billion,6.6 Million
Administrative and support services,RoUS,1023.6 Billion,7.9 Million
Food and beverage and tobacco products,RoUS,954.6 Billion,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,945.9 Billion,2.4 Million
"Other services, except government",RoUS,866.2 Billion,4.7 Million
Food and beverage establishments,RoUS,857.8 Billion,10.6 Million
"Radio, TV, telecommunication",RoUS,742.4 Billion,776.1 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,723 Billion,804.1 K
Federal general government (defense),RoUS,699.1 Billion,553.9 K
"Financial investments, exchanges, and advising",RoUS,689.1 Billion,986.1 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,679.8 Billion,942.4 K
Company and enterprise management,RoUS,643.1 Billion,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,616.5 Billion,870.8 K
Computer programming and systems design,RoUS,577.4 Billion,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,477.8 Billion,864.2 K
Federal general government (nondefense),RoUS,456.8 Billion,1.1 Million
Educational institutions and services,RoUS,400.3 Billion,10.2 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,388.4 Billion,766 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,386 Billion,116.2 K
Legal services,RoUS,368.8 Billion,1.1 Million
Truck transport,RoUS,366.8 Billion,1.4 Million
"Media, literature, and software",RoUS,347 Billion,600.6 K
Machinery (except computers),RoUS,344.5 Billion,952 K
"Data processing, internet publishing, and other information services",RoUS,338.8 Billion,592.4 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,333.7 Billion,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,305.3 Billion,866.8 K
"Couriers, messengers, transportation for leisure activities",RoUS,283.1 Billion,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,254.6 Billion,3.3 Million
Food and beverage stores,RoUS,251.3 Billion,2.7 Million
General merchandise stores,RoUS,243 Billion,2.7 Million
Vehicles and parts sales,RoUS,235.9 Billion,1.4 Million
Plastics and rubber products,RoUS,234.8 Billion,676.5 K
"Child day care, community food services, housing services, and other relief services",RoUS,234.7 Billion,4 Million
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,220.1 Billion,668.2 K
Primary and secondary ferrous and nonferrous metals,RoUS,209.9 Billion,347.1 K
Unrefined oil and gas,RoUS,204.6 Billion,101.4 K
"Funds, trusts, and financial vehicles",RoUS,192.5 Billion,81 K
Paper products and paper production facilities,RoUS,182.6 Billion,348.5 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,172 Billion,538.7 K
Warehouses,RoUS,157.3 Billion,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,154.4 Billion,1.4 Million
Hotels and campgrounds,RoUS,143.7 Billion,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,128.9 Billion,379 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,128.2 Billion,381.1 K
Waste management and remediation services,RoUS,127.3 Billion,495.5 K
"Performing arts, spectator sports, museums, and related activities",RoUS,125.2 Billion,557 K
Film and sound-based entertainment,RoUS,124.2 Billion,274.3 K
Air transport,RoUS,123.9 Billion,452.7 K
Other state and local government enterprises including transit and utilities,RoUS,110.1 Billion,46.2 K
"Wood products (e.g. plywood, veneer)",RoUS,106.6 Billion,376 K
Well drilling and support activities for mining,RoUS,88.6 Billion,231.2 K
Passenger ground transport,RoUS,82.1 Billion,610.8 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,77.5 Billion,136.7 K
Rail transport,RoUS,71.5 Billion,758
Federal electric utilities and postal service,RoUS,70.2 Billion,502.8 K
Furniture and shelving,RoUS,66.7 Billion,342.6 K
Print media and printing support,RoUS,65.1 Billion,311.8 K
Pipeline transport,RoUS,60.2 Billion,57.7 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,60 Billion,434.3 K
Textiles and textile-dervied products (except clothes),RoUS,45.5 Billion,184.2 K
"Water transport (boats, ships, ferries)",RoUS,39.6 Billion,65.8 K
Housing,US-OR,38.6 Billion,4.6 K
State and local general government,US-OR,30.3 Billion,2.7 K
"Miscellaneous professional, scientific, and technical services",US-OR,26.2 Billion,109.7 K
Construction,US-OR,24.3 Billion,115.5 K
Wholesale trade,US-OR,22.5 Billion,73.1 K
Clothing and leather,RoUS,21.3 Billion,122.1 K
Hospitals,US-OR,15.5 Billion,67 K
"Healthcare professions, laboratories, and ambulances",US-OR,15 Billion,94.3 K
Company and enterprise management,US-OR,14.7 Billion,47.2 K
Food and beverage and tobacco products,US-OR,12.8 Billion,34.2 K
"Insurance agencies, carriers, and brokerages",US-OR,12.2 Billion,24.9 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-OR,11.6 Billion,23.8 K
Food and beverage establishments,US-OR,11.5 Billion,137.3 K
Other retail,US-OR,11.4 Billion,87.4 K
Administrative and support services,US-OR,11 Billion,88.5 K
"Other services, except government",US-OR,10.2 Billion,72.2 K
Other real estate,US-OR,10 Billion,19.4 K
"Scrap, used and secondhand goods",RoUS,8.2 Billion,22.4 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-OR,7.6 Billion,30.7 K
"Wood products (e.g. plywood, veneer)",US-OR,7 Billion,21.9 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-OR,6.3 Billion,9.6 K
"Media, literature, and software",US-OR,5.6 Billion,12.8 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-OR,5.3 Billion,8.9 K
Computer programming and systems design,US-OR,5.3 Billion,23.1 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-OR,5.1 Billion,24.6 K
Truck transport,US-OR,4.8 Billion,18.4 K
Federal general government (nondefense),US-OR,4.2 Billion,1.1 K
Machinery (except computers),US-OR,4.2 Billion,12.5 K
"Nursing, community, mental health, and substance abuse facilities",US-OR,4.1 Billion,53.7 K
"Child day care, community food services, housing services, and other relief services",US-OR,4 Billion,70.7 K
Educational institutions and services,US-OR,3.9 Billion,117.6 K
Primary and secondary ferrous and nonferrous metals,US-OR,3.9 Billion,6.7 K
Food and beverage stores,US-OR,3.8 Billion,39.8 K
Fabricated metal products (e.g. architectural and structural metal products),US-OR,3.7 Billion,14.4 K
General merchandise stores,US-OR,3.5 Billion,42.2 K
"Couriers, messengers, transportation for leisure activities",US-OR,3.3 Billion,21.7 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3.2 Billion,7.8 K
"Radio, TV, telecommunication",US-OR,3.1 Billion,6.1 K
"Data processing, internet publishing, and other information services",US-OR,3 Billion,6.9 K
"Financial investments, exchanges, and advising",US-OR,2.9 Billion,6.7 K
Legal services,US-OR,2.8 Billion,11.7 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-OR,2.6 Billion,23.9 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-OR,2.6 Billion,5 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-OR,2.5 Billion,6.9 K
Paper products and paper production facilities,US-OR,2.4 Billion,4 K
Warehouses,US-OR,2 Billion,18.8 K
Plastics and rubber products,US-OR,1.9 Billion,6.3 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-OR,1.9 Billion,8.1 K
Vehicles and parts sales,US-OR,1.8 Billion,17.9 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-OR,1.7 Billion,6.3 K
Waste management and remediation services,US-OR,1.6 Billion,6.1 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-OR,1.6 Billion,17.3 K
Hotels and campgrounds,US-OR,1.4 Billion,20 K
Federal general government (defense),US-OR,1.4 Billion,1.5 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-OR,1.2 Billion,4.6 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-OR,1.2 Billion,3.1 K
"Performing arts, spectator sports, museums, and related activities",US-OR,1.1 Billion,6.7 K
Air transport,US-OR,1 Billion,4.9 K
Passenger ground transport,US-OR,978.5 Million,11.7 K
Other state and local government enterprises including transit and utilities,US-OR,954.8 Million,36.0
Furniture and shelving,US-OR,890.9 Million,5.6 K
Film and sound-based entertainment,US-OR,715.6 Million,2.3 K
Federal electric utilities and postal service,US-OR,680.7 Million,5.4 K
Rail transport,US-OR,671.8 Million,7.0
"Petroleum fuels, asphalt, and other petroleum and coal products",US-OR,658 Million,883
Print media and printing support,US-OR,593.3 Million,3.2 K
"Funds, trusts, and financial vehicles",US-OR,579.2 Million,112
"Metal ores, dimensional stone, nonmetallic minerals",US-OR,437.6 Million,1.4 K
"Water transport (boats, ships, ferries)",US-OR,265.3 Million,391
Clothing and leather,US-OR,231.1 Million,1.4 K
Textiles and textile-dervied products (except clothes),US-OR,205.6 Million,1.1 K
"Scrap, used and secondhand goods",US-OR,123.9 Million,191
Pipeline transport,US-OR,91.9 Million,104
Well drilling and support activities for mining,US-OR,39.5 Million,144
Noncomparable imports and rest-of-the-world adjustment,US-OR,29.8 Million,8.0
Unrefined oil and gas,US-OR,1.4 Million,3.0
