Commodity,Location,Output,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2245.9 Billion,8.6 Million
Housing,RoUS,2232.8 Billion,371.5 K
Wholesale trade,RoUS,2019.6 Billion,5.4 Million
State and local general government,RoUS,1864.5 Billion,4.1 Million
Construction,RoUS,1817.6 Billion,7.4 Million
Other real estate,RoUS,1381.2 Billion,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1334.5 Billion,2.4 Million
Hospitals,RoUS,1128 Billion,6.7 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1103.2 Billion,7.5 Million
Other retail,RoUS,1079.6 Billion,6.5 Million
Administrative and support services,RoUS,1000 Billion,7.8 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,929.4 Billion,2.4 Million
Food and beverage and tobacco products,RoUS,912 Billion,2 Million
"Other services, except government",RoUS,851.2 Billion,4.7 Million
Food and beverage establishments,RoUS,847.7 Billion,10.4 Million
"Radio, TV, telecommunication",RoUS,731 Billion,758.6 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,717.8 Billion,793.4 K
"Financial investments, exchanges, and advising",RoUS,683.3 Billion,977.5 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,670.5 Billion,930.1 K
Federal general government (defense),RoUS,662.9 Billion,483.7 K
Company and enterprise management,RoUS,634.6 Billion,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,612.6 Billion,866.8 K
Computer programming and systems design,RoUS,546.8 Billion,2.4 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,474.5 Billion,853.2 K
Federal general government (nondefense),RoUS,429.1 Billion,1 Million
Educational institutions and services,RoUS,395.5 Billion,10 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,392.4 Billion,788.5 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,385.7 Billion,115.9 K
Truck transport,RoUS,364.5 Billion,1.4 Million
Legal services,RoUS,364 Billion,1.1 Million
"Media, literature, and software",RoUS,346 Billion,598.9 K
Machinery (except computers),RoUS,344.2 Billion,950.9 K
"Data processing, internet publishing, and other information services",RoUS,333.5 Billion,579.2 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,332.2 Billion,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,313.5 Billion,875 K
"Couriers, messengers, transportation for leisure activities",RoUS,279.9 Billion,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,252.9 Billion,3.3 Million
Food and beverage stores,RoUS,246.7 Billion,2.7 Million
General merchandise stores,RoUS,238.2 Billion,2.7 Million
"Child day care, community food services, housing services, and other relief services",RoUS,234 Billion,3.9 Million
Vehicles and parts sales,RoUS,233.2 Billion,1.3 Million
Plastics and rubber products,RoUS,230.8 Billion,668.1 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,215.7 Billion,631.1 K
Primary and secondary ferrous and nonferrous metals,RoUS,211.7 Billion,350 K
Unrefined oil and gas,RoUS,204.6 Billion,101.4 K
"Funds, trusts, and financial vehicles",RoUS,190.5 Billion,78.4 K
Paper products and paper production facilities,RoUS,180.8 Billion,344.5 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,171.9 Billion,538 K
Warehouses,RoUS,155.6 Billion,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,153.2 Billion,1.4 Million
Hotels and campgrounds,RoUS,142.2 Billion,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,127.7 Billion,375 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,126.5 Billion,377.4 K
Waste management and remediation services,RoUS,126.3 Billion,489 K
"Performing arts, spectator sports, museums, and related activities",RoUS,124.2 Billion,549.4 K
Film and sound-based entertainment,RoUS,123.9 Billion,273.2 K
Air transport,RoUS,122 Billion,445.1 K
"Wood products (e.g. plywood, veneer)",RoUS,109.8 Billion,384.5 K
Other state and local government enterprises including transit and utilities,RoUS,109.4 Billion,44.4 K
Well drilling and support activities for mining,RoUS,88.3 Billion,230.5 K
Passenger ground transport,RoUS,81.6 Billion,609.3 K
Housing,US-VA,80.9 Billion,8.7 K
"Miscellaneous professional, scientific, and technical services",US-VA,78.3 Billion,317.1 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,75.9 Billion,134.3 K
Rail transport,RoUS,70.6 Billion,762
Furniture and shelving,RoUS,65.9 Billion,340.2 K
Federal electric utilities and postal service,RoUS,65.8 Billion,492 K
Print media and printing support,RoUS,64.4 Billion,308.1 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,61.5 Billion,453 K
Pipeline transport,RoUS,60 Billion,57.3 K
Food and beverage and tobacco products,US-VA,55.5 Billion,38.8 K
State and local general government,US-VA,52 Billion,3 K
Construction,US-VA,51.9 Billion,214.5 K
Textiles and textile-dervied products (except clothes),RoUS,44.3 Billion,179.8 K
Wholesale trade,US-VA,40 Billion,104.2 K
"Water transport (boats, ships, ferries)",RoUS,38.3 Billion,64.7 K
Federal general government (defense),US-VA,37.6 Billion,71.7 K
Computer programming and systems design,US-VA,35.9 Billion,169.2 K
Administrative and support services,US-VA,34.5 Billion,222.5 K
Federal general government (nondefense),US-VA,31.9 Billion,4.6 K
"Healthcare professions, laboratories, and ambulances",US-VA,28.1 Billion,188.8 K
"Other services, except government",US-VA,25.1 Billion,144.9 K
Other retail,US-VA,24.6 Billion,165.5 K
Hospitals,US-VA,23.3 Billion,125.8 K
Company and enterprise management,US-VA,23.1 Billion,77.5 K
"Insurance agencies, carriers, and brokerages",US-VA,22.1 Billion,52.8 K
Food and beverage establishments,US-VA,21.7 Billion,273.8 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-VA,21.6 Billion,67.6 K
Clothing and leather,RoUS,21.1 Billion,121.7 K
Other real estate,US-VA,20.9 Billion,35.8 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-VA,15.6 Billion,18.9 K
"Radio, TV, telecommunication",US-VA,14.5 Billion,23.6 K
"Financial investments, exchanges, and advising",US-VA,8.8 Billion,15.3 K
Educational institutions and services,US-VA,8.8 Billion,289.4 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-VA,8.7 Billion,20 K
Food and beverage stores,US-VA,8.3 Billion,75.8 K
"Data processing, internet publishing, and other information services",US-VA,8.3 Billion,19.8 K
General merchandise stores,US-VA,8.3 Billion,76.4 K
"Scrap, used and secondhand goods",RoUS,8.2 Billion,22.2 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-VA,7.7 Billion,17 K
Legal services,US-VA,7.6 Billion,24.8 K
Truck transport,US-VA,7 Billion,31 K
"Media, literature, and software",US-VA,6.6 Billion,14.7 K
"Couriers, messengers, transportation for leisure activities",US-VA,6.5 Billion,43.5 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-VA,6.5 Billion,8.9 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-VA,6.1 Billion,44.1 K
"Nursing, community, mental health, and substance abuse facilities",US-VA,5.9 Billion,79.2 K
Plastics and rubber products,US-VA,5.8 Billion,14.6 K
Fabricated metal products (e.g. architectural and structural metal products),US-VA,5.2 Billion,16.8 K
Federal electric utilities and postal service,US-VA,5.1 Billion,13.9 K
"Child day care, community food services, housing services, and other relief services",US-VA,4.7 Billion,91.1 K
Vehicles and parts sales,US-VA,4.5 Billion,38.9 K
Machinery (except computers),US-VA,4.4 Billion,13.7 K
Paper products and paper production facilities,US-VA,4.2 Billion,7.9 K
"Wood products (e.g. plywood, veneer)",US-VA,3.8 Billion,13.4 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-VA,3.7 Billion,8.2 K
Warehouses,US-VA,3.7 Billion,33.2 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-VA,3.3 Billion,13.3 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3 Billion,7.2 K
Air transport,US-VA,3 Billion,12.5 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-VA,2.9 Billion,8.2 K
Hotels and campgrounds,US-VA,2.9 Billion,32.4 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-VA,2.8 Billion,41.3 K
Waste management and remediation services,US-VA,2.6 Billion,11.7 K
"Funds, trusts, and financial vehicles",US-VA,2.5 Billion,1.1 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-VA,2.4 Billion,7.2 K
Primary and secondary ferrous and nonferrous metals,US-VA,2.1 Billion,3.8 K
"Performing arts, spectator sports, museums, and related activities",US-VA,2.1 Billion,14.1 K
"Metal ores, dimensional stone, nonmetallic minerals",US-VA,2 Billion,3.7 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-VA,2 Billion,8.9 K
Furniture and shelving,US-VA,1.7 Billion,8 K
Other state and local government enterprises including transit and utilities,US-VA,1.7 Billion,91.0
"Water transport (boats, ships, ferries)",US-VA,1.6 Billion,1.5 K
Rail transport,US-VA,1.6 Billion,0.0
Passenger ground transport,US-VA,1.5 Billion,13 K
Textiles and textile-dervied products (except clothes),US-VA,1.4 Billion,5.4 K
Print media and printing support,US-VA,1.2 Billion,6.9 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-VA,1.1 Billion,4.6 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-VA,1 Billion,1.2 K
Film and sound-based entertainment,US-VA,1 Billion,3.4 K
Clothing and leather,US-VA,345.1 Million,1.7 K
Pipeline transport,US-VA,297.2 Million,565
Well drilling and support activities for mining,US-VA,280.9 Million,827
Noncomparable imports and rest-of-the-world adjustment,US-VA,225.5 Million,33.0
"Scrap, used and secondhand goods",US-VA,164.1 Million,217
Unrefined oil and gas,US-VA,9.7 K,0.0
