Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2318536627798,2.3 Trillion,8899607,8.9 Million
Housing,RoUS,2304257850507,2.3 Trillion,379901,379.9 K
Wholesale trade,RoUS,2053984875476,2.1 Trillion,5521137,5.5 Million
State and local general government,RoUS,1910375045612,1.9 Trillion,4277500,4.3 Million
Construction,RoUS,1864553860843,1.9 Trillion,7580187,7.6 Million
Other real estate,RoUS,1399624184625,1.4 Trillion,1347611,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1350028734345,1.4 Trillion,2430004,2.4 Million
Hospitals,RoUS,1146515633093,1.1 Trillion,6784505,6.8 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1127615373679,1.1 Trillion,7636937,7.6 Million
Other retail,RoUS,1101154046726,1.1 Trillion,6633989,6.6 Million
Administrative and support services,RoUS,1031487828370,1.0 Trillion,7972830,8 Million
Food and beverage and tobacco products,RoUS,966356201679,966.4 Billion,2001174,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,948207981977,948.2 Billion,2407928,2.4 Million
"Other services, except government",RoUS,874017774680,874.0 Billion,4780795,4.8 Million
Food and beverage establishments,RoUS,865988734087,866.0 Billion,10674857,10.7 Million
"Radio, TV, telecommunication",RoUS,744345114077,744.3 Billion,780270,780.3 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,725286721034,725.3 Billion,809108,809.1 K
Federal general government (defense),RoUS,698141466919,698.1 Billion,550289,550.3 K
"Financial investments, exchanges, and advising",RoUS,689735999272,689.7 Billion,988046,988 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,684291075835,684.3 Billion,951383,951.4 K
Company and enterprise management,RoUS,654297732571,654.3 Billion,2233203,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,618901530026,618.9 Billion,875579,875.6 K
Computer programming and systems design,RoUS,581159779013,581.2 Billion,2587408,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,482222602664,482.2 Billion,870383,870.4 K
Federal general government (nondefense),RoUS,459263404473,459.3 Billion,1113585,1.1 Million
Educational institutions and services,RoUS,401591766007,401.6 Billion,10299404,10.3 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,395961750374,396.0 Billion,795989,796 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,386518159015,386.5 Billion,116726,116.7 K
Truck transport,RoUS,371003994498,371.0 Billion,1455379,1.5 Million
Legal services,RoUS,370592246900,370.6 Billion,1126512,1.1 Million
"Media, literature, and software",RoUS,352139476587,352.1 Billion,611882,611.9 K
Machinery (except computers),RoUS,348109178876,348.1 Billion,962853,962.9 K
"Data processing, internet publishing, and other information services",RoUS,341532163146,341.5 Billion,598312,598.3 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,336718367196,336.7 Billion,1296011,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,316217968200,316.2 Billion,884746,884.7 K
"Couriers, messengers, transportation for leisure activities",RoUS,285758204837,285.8 Billion,1747053,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,257247308423,257.2 Billion,3383257,3.4 Million
Food and beverage stores,RoUS,253895587853,253.9 Billion,2751144,2.8 Million
General merchandise stores,RoUS,245747305142,245.7 Billion,2765808,2.8 Million
"Child day care, community food services, housing services, and other relief services",RoUS,237928975087,237.9 Billion,4020619,4 Million
Vehicles and parts sales,RoUS,237175288235,237.2 Billion,1373022,1.4 Million
Plastics and rubber products,RoUS,235979066153,236.0 Billion,680574,680.6 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,221200200564,221.2 Billion,670467,670.5 K
Primary and secondary ferrous and nonferrous metals,RoUS,213052034912,213.1 Billion,352436,352.4 K
Unrefined oil and gas,RoUS,204575825371,204.6 Billion,101439,101.4 K
"Funds, trusts, and financial vehicles",RoUS,192896285370,192.9 Billion,82374,82.4 K
Paper products and paper production facilities,RoUS,184672689805,184.7 Billion,351446,351.4 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,173148270859,173.1 Billion,544500,544.5 K
Warehouses,RoUS,159116289940,159.1 Billion,1482228,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,155499371339,155.5 Billion,1458392,1.5 Million
Hotels and campgrounds,RoUS,144456458403,144.5 Billion,1416749,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,129739472384,129.7 Billion,381532,381.5 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,129253596870,129.3 Billion,385060,385.1 K
Waste management and remediation services,RoUS,128348058364,128.3 Billion,500253,500.3 K
"Performing arts, spectator sports, museums, and related activities",RoUS,126091415354,126.1 Billion,561722,561.7 K
Air transport,RoUS,124886044405,124.9 Billion,457205,457.2 K
Film and sound-based entertainment,RoUS,124838674812,124.8 Billion,276161,276.2 K
"Wood products (e.g. plywood, veneer)",RoUS,113527111225,113.5 Billion,397346,397.3 K
Other state and local government enterprises including transit and utilities,RoUS,110891038124,110.9 Billion,46982,47 K
Well drilling and support activities for mining,RoUS,88610118970,88.6 Billion,231344,231.3 K
Passenger ground transport,RoUS,82855116586,82.9 Billion,620440,620.4 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,77831002310,77.8 Billion,137882,137.9 K
Rail transport,RoUS,72133975439,72.1 Billion,758,758
Federal electric utilities and postal service,RoUS,70654585610,70.7 Billion,506530,506.5 K
Furniture and shelving,RoUS,67375165004,67.4 Billion,347199,347.2 K
Print media and printing support,RoUS,65406071838,65.4 Billion,313862,313.9 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,62441845169,62.4 Billion,457851,457.9 K
Pipeline transport,RoUS,60238696287,60.2 Billion,57805,57.8 K
Textiles and textile-dervied products (except clothes),RoUS,45224527912,45.2 Billion,183198,183.2 K
"Water transport (boats, ships, ferries)",RoUS,39771249814,39.8 Billion,66026,66 K
Clothing and leather,RoUS,21440445055,21.4 Billion,123284,123.3 K
Housing,US-RI,9502149493,9.5 Billion,480,480
"Scrap, used and secondhand goods",RoUS,8302351361,8.3 Billion,22761,22.8 K
"Insurance agencies, carriers, and brokerages",US-RI,6641265655,6.6 Billion,9460,9.5 K
State and local general government,US-RI,6168954388,6.2 Billion,73,73.0
"Miscellaneous professional, scientific, and technical services",US-RI,5646372202,5.6 Billion,24424,24.4 K
Wholesale trade,US-RI,5641124524,5.6 Billion,15311,15.3 K
Construction,US-RI,4935139157,4.9 Billion,20305,20.3 K
Hospitals,US-RI,4781366907,4.8 Billion,24171,24.2 K
"Healthcare professions, laboratories, and ambulances",US-RI,3676626321,3.7 Billion,25386,25.4 K
Company and enterprise management,US-RI,3461267429,3.5 Billion,12212,12.2 K
Food and beverage establishments,US-RI,3408265913,3.4 Billion,37896,37.9 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3246941628,3.2 Billion,7873,7.9 K
Other retail,US-RI,3085953274,3.1 Billion,20268,20.3 K
Administrative and support services,US-RI,3057171630,3.1 Billion,24797,24.8 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-RI,2859018023,2.9 Billion,10511,10.5 K
Educational institutions and services,US-RI,2630233993,2.6 Billion,36848,36.8 K
Other real estate,US-RI,2445815375,2.4 Billion,3939,3.9 K
"Other services, except government",US-RI,2338225320,2.3 Billion,17635,17.6 K
Federal general government (defense),US-RI,2335533081,2.3 Billion,5078,5.1 K
"Financial investments, exchanges, and advising",US-RI,2319000728,2.3 Billion,4762,4.8 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-RI,1835924165,1.8 Billion,1660,1.7 K
Federal general government (nondefense),US-RI,1705595527,1.7 Billion,402,402
Computer programming and systems design,US-RI,1556220987,1.6 Billion,8730,8.7 K
"Nursing, community, mental health, and substance abuse facilities",US-RI,1540691577,1.5 Billion,16546,16.5 K
Food and beverage stores,US-RI,1198412147,1.2 Billion,9974,10 K
"Radio, TV, telecommunication",US-RI,1187885923,1.2 Billion,1952,2 K
Food and beverage and tobacco products,US-RI,1094798321,1.1 Billion,4697,4.7 K
Legal services,US-RI,992753100,992.8 Million,4124,4.1 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-RI,921397336,921.4 Million,2741,2.7 K
Primary and secondary ferrous and nonferrous metals,US-RI,776965088,777 Million,1321,1.3 K
"Child day care, community food services, housing services, and other relief services",US-RI,759024913,759 Million,11796,11.8 K
General merchandise stores,US-RI,749694858,749.7 Million,6308,6.3 K
