Commodity,Location,Commodities,Output,Employees,Jobs
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-RI,713729141,713.7 Million,2270,2.3 K
Fabricated metal products (e.g. architectural and structural metal products),US-RI,702632804,702.6 Million,3968,4 K
Hotels and campgrounds,US-RI,674541597,674.5 Million,4264,4.3 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-RI,672031800,672 Million,3262,3.3 K
Plastics and rubber products,US-RI,671933847,671.9 Million,2212,2.2 K
"Couriers, messengers, transportation for leisure activities",US-RI,656795163,656.8 Million,5057,5.1 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-RI,632799436,632.8 Million,4202,4.2 K
Machinery (except computers),US-RI,573821124,573.8 Million,1674,1.7 K
Truck transport,US-RI,545005502,545 Million,2083,2.1 K
Waste management and remediation services,US-RI,530941636,530.9 Million,1775,1.8 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-RI,505628661,505.6 Million,4341,4.3 K
Vehicles and parts sales,US-RI,484711765,484.7 Million,3882,3.9 K
"Media, literature, and software",US-RI,446523413,446.5 Million,1240,1.2 K
Textiles and textile-dervied products (except clothes),US-RI,435472088,435.5 Million,2029,2 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-RI,345527616,345.5 Million,682,682
"Data processing, internet publishing, and other information services",US-RI,337836854,337.8 Million,1083,1.1 K
Paper products and paper production facilities,US-RI,313310195,313.3 Million,1131,1.1 K
Federal electric utilities and postal service,US-RI,275414390,275.4 Million,1986,2 K
Passenger ground transport,US-RI,253883414,253.9 Million,2157,2.2 K
Print media and printing support,US-RI,240928162,240.9 Million,1254,1.3 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-RI,236278966,236.3 Million,546,546
"Performing arts, spectator sports, museums, and related activities",US-RI,228584646,228.6 Million,2110,2.1 K
Furniture and shelving,US-RI,219834996,219.8 Million,1030,1 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-RI,201154831,201.2 Million,326,326
Other state and local government enterprises including transit and utilities,US-RI,199961876,200 Million,5,5.0
Warehouses,US-RI,188710060,188.7 Million,1697,1.7 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-RI,178840985,178.8 Million,353,353
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-RI,161403130,161.4 Million,615,615
On-road vehicles (excluding motorcycles) and accompanying parts,US-RI,139469974,139.5 Million,293,293
"Funds, trusts, and financial vehicles",US-RI,134714630,134.7 Million,24,24.0
"Wood products (e.g. plywood, veneer)",US-RI,114888775,114.9 Million,605,605
"Water transport (boats, ships, ferries)",US-RI,106750186,106.8 Million,162,162
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-RI,95249626,95.2 Million,666,666
Film and sound-based entertainment,US-RI,80325188,80.3 Million,434,434
Rail transport,US-RI,72024561,72 Million,8,8.0
"Metal ores, dimensional stone, nonmetallic minerals",US-RI,69997690,70 Million,154,154
Air transport,US-RI,59955595,60 Million,352,352
Clothing and leather,US-RI,53554945,53.6 Million,312,312
"Scrap, used and secondhand goods",US-RI,20648639,20.6 Million,34,34.0
Pipeline transport,US-RI,19303713,19.3 Million,25,25.0
Noncomparable imports and rest-of-the-world adjustment,US-RI,12058372,12.1 Million,3,3.0
Well drilling and support activities for mining,US-RI,3881030,3.9 Million,9,9.0
Unrefined oil and gas,US-RI,174629,174.6 K,0,0.0
