Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2321191301752,2.3 Trillion,8906610,8.9 Million
Housing,RoUS,2308299911560,2.3 Trillion,379491,379.5 K
Wholesale trade,RoUS,2052431572319,2.1 Trillion,5514009,5.5 Million
State and local general government,RoUS,1910907753571,1.9 Trillion,4276900,4.3 Million
Construction,RoUS,1862868740728,1.9 Trillion,7573103,7.6 Million
Other real estate,RoUS,1400646921484,1.4 Trillion,1348697,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1353968028477,1.4 Trillion,2432430,2.4 Million
Hospitals,RoUS,1147132533041,1.1 Trillion,6783437,6.8 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1128483243398,1.1 Trillion,7647565,7.6 Million
Other retail,RoUS,1101259849171,1.1 Trillion,6632962,6.6 Million
Administrative and support services,RoUS,1033251928002,1.0 Trillion,7986394,8 Million
Food and beverage and tobacco products,RoUS,965060486364,965.1 Billion,1999816,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,948990295189,949.0 Billion,2410074,2.4 Million
"Other services, except government",RoUS,874230991243,874.2 Billion,4784511,4.8 Million
Food and beverage establishments,RoUS,867554254175,867.6 Billion,10684928,10.7 Million
"Radio, TV, telecommunication",RoUS,744380532006,744.4 Billion,779982,780 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,725211627043,725.2 Billion,810207,810.2 K
Federal general government (defense),RoUS,698512629480,698.5 Billion,553569,553.6 K
"Financial investments, exchanges, and advising",RoUS,691604750163,691.6 Billion,991471,991.5 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,683690970698,683.7 Billion,949180,949.2 K
Company and enterprise management,RoUS,656952936054,657.0 Billion,2241724,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,618445317807,618.4 Billion,874478,874.5 K
Computer programming and systems design,RoUS,582106119647,582.1 Billion,2591465,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,481787830415,481.8 Billion,870264,870.3 K
Federal general government (nondefense),RoUS,460303620087,460.3 Billion,1116046,1.1 Million
Educational institutions and services,RoUS,403718928936,403.7 Billion,10307999,10.3 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,387281183044,387.3 Billion,793282,793.3 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,385916190995,385.9 Billion,116965,117 K
Legal services,RoUS,371279369474,371.3 Billion,1128698,1.1 Million
Truck transport,RoUS,369064017927,369.1 Billion,1448629,1.4 Million
"Media, literature, and software",RoUS,351759498184,351.8 Billion,611083,611.1 K
Machinery (except computers),RoUS,345506392455,345.5 Billion,959271,959.3 K
"Data processing, internet publishing, and other information services",RoUS,341713210450,341.7 Billion,598840,598.8 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,337003617680,337.0 Billion,1297834,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,316716606359,316.7 Billion,886906,886.9 K
"Couriers, messengers, transportation for leisure activities",RoUS,285726848548,285.7 Billion,1748189,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,257708602654,257.7 Billion,3384070,3.4 Million
Food and beverage stores,RoUS,254441446763,254.4 Billion,2754906,2.8 Million
General merchandise stores,RoUS,245763702138,245.8 Billion,2765015,2.8 Million
"Child day care, community food services, housing services, and other relief services",RoUS,238162158041,238.2 Billion,4021599,4 Million
Vehicles and parts sales,RoUS,237139263969,237.1 Billion,1371935,1.4 Million
Plastics and rubber products,RoUS,236298167490,236.3 Billion,681328,681.3 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,221650931934,221.7 Billion,673907,673.9 K
Primary and secondary ferrous and nonferrous metals,RoUS,213512396679,213.5 Billion,353546,353.5 K
Unrefined oil and gas,RoUS,194692340121,194.7 Billion,98466,98.5 K
"Funds, trusts, and financial vehicles",RoUS,192902341851,192.9 Billion,82372,82.4 K
Paper products and paper production facilities,RoUS,184936984431,184.9 Billion,352348,352.3 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,173795029473,173.8 Billion,546397,546.4 K
Warehouses,RoUS,159194159388,159.2 Billion,1483082,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,155698355817,155.7 Billion,1455615,1.5 Million
Hotels and campgrounds,RoUS,144836028773,144.8 Billion,1416785,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,130021523474,130.0 Billion,382061,382.1 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,128971660214,129.0 Billion,384470,384.5 K
Waste management and remediation services,RoUS,128646636725,128.6 Billion,501424,501.4 K
"Performing arts, spectator sports, museums, and related activities",RoUS,126244093669,126.2 Billion,562499,562.5 K
Air transport,RoUS,124908093973,124.9 Billion,457455,457.5 K
Film and sound-based entertainment,RoUS,124894913674,124.9 Billion,276250,276.2 K
"Wood products (e.g. plywood, veneer)",RoUS,113077973714,113.1 Billion,396026,396 K
Other state and local government enterprises including transit and utilities,RoUS,110908115425,110.9 Billion,47098,47.1 K
Well drilling and support activities for mining,RoUS,85490184610,85.5 Billion,222392,222.4 K
Passenger ground transport,RoUS,82993768105,83.0 Billion,621504,621.5 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,77017076228,77.0 Billion,136620,136.6 K
Rail transport,RoUS,71219158950,71.2 Billion,766,766
Federal electric utilities and postal service,RoUS,70822601838,70.8 Billion,507257,507.3 K
Furniture and shelving,RoUS,67499546242,67.5 Billion,347473,347.5 K
Print media and printing support,RoUS,65583620166,65.6 Billion,314566,314.6 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,62280899629,62.3 Billion,457288,457.3 K
Pipeline transport,RoUS,59741823949,59.7 Billion,56290,56.3 K
Textiles and textile-dervied products (except clothes),RoUS,45596263917,45.6 Billion,184770,184.8 K
"Water transport (boats, ships, ferries)",RoUS,39840989517,39.8 Billion,66172,66.2 K
Clothing and leather,RoUS,21481072962,21.5 Billion,123366,123.4 K
Unrefined oil and gas,US-ND,9883659879,9.9 Billion,2545,2.5 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-ND,8775816956,8.8 Billion,3503,3.5 K
"Scrap, used and secondhand goods",RoUS,8305368503,8.3 Billion,22773,22.8 K
Wholesale trade,US-ND,7194427681,7.2 Billion,22313,22.3 K
Construction,US-ND,6620259272,6.6 Billion,27400,27.4 K
State and local general government,US-ND,5636246429,5.6 Billion,1988,2 K
Housing,US-ND,5460088440,5.5 Billion,899,899
Hospitals,US-ND,4164466959,4.2 Billion,25393,25.4 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3254295837,3.3 Billion,7890,7.9 K
Machinery (except computers),US-ND,3176607545,3.2 Billion,5200,5.2 K
Well drilling and support activities for mining,US-ND,3123815390,3.1 Billion,9214,9.2 K
"Miscellaneous professional, scientific, and technical services",US-ND,2991698248,3.0 Billion,16841,16.8 K
Other retail,US-ND,2980150829,3.0 Billion,21297,21.3 K
"Healthcare professions, laboratories, and ambulances",US-ND,2808756602,2.8 Billion,14782,14.8 K
"Insurance agencies, carriers, and brokerages",US-ND,2701971523,2.7 Billion,7036,7 K
Truck transport,US-ND,2484982073,2.5 Billion,8834,8.8 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-ND,2436029302,2.4 Billion,4055,4.1 K
Food and beverage and tobacco products,US-ND,2390513636,2.4 Billion,5944,5.9 K
"Other services, except government",US-ND,2125008757,2.1 Billion,13925,13.9 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-ND,2076704811,2.1 Billion,8365,8.4 K
Federal general government (defense),US-ND,1964370520,2.0 Billion,1798,1.8 K
Food and beverage establishments,US-ND,1842745825,1.8 Billion,27834,27.8 K
Other real estate,US-ND,1423078516,1.4 Billion,2880,2.9 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-ND,1356169585,1.4 Billion,2860,2.9 K
Administrative and support services,US-ND,1293071998,1.3 Billion,11240,11.2 K
"Radio, TV, telecommunication",US-ND,1152467994,1.2 Billion,2240,2.2 K
"Nursing, community, mental health, and substance abuse facilities",US-ND,1079397346,1.1 Billion,15733,15.7 K
Rail transport,US-ND,986841050,986.8 Million,0,0.0
"Metal ores, dimensional stone, nonmetallic minerals",US-ND,883923772,883.9 Million,1432,1.4 K
"Media, literature, and software",US-ND,826501816,826.5 Million,2072,2.1 K
Company and enterprise management,US-ND,806063946,806.1 Million,3691,3.7 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-ND,780809005,780.8 Million,230,230
General merchandise stores,US-ND,733297862,733.3 Million,7107,7.1 K
"Couriers, messengers, transportation for leisure activities",US-ND,688151452,688.2 Million,3938,3.9 K
Federal general government (nondefense),US-ND,665379913,665.4 Million,256,256
Food and beverage stores,US-ND,652553237,652.6 Million,6218,6.2 K
Computer programming and systems design,US-ND,609880353,609.9 Million,4683,4.7 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-ND,595682193,595.7 Million,1414,1.4 K
"Wood products (e.g. plywood, veneer)",US-ND,564026286,564 Million,1925,1.9 K
"Child day care, community food services, housing services, and other relief services",US-ND,525841959,525.8 Million,10818,10.8 K
Vehicles and parts sales,US-ND,520736031,520.7 Million,4969,5 K
Pipeline transport,US-ND,516176051,516.2 Million,1539,1.5 K
Educational institutions and services,US-ND,503071064,503.1 Million,28316,28.3 K
"Financial investments, exchanges, and advising",US-ND,450249837,450.2 Million,1336,1.3 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-ND,443339786,443.3 Million,1203,1.2 K
Fabricated metal products (e.g. architectural and structural metal products),US-ND,417382320,417.4 Million,2148,2.1 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-ND,362100371,362.1 Million,897,897
Plastics and rubber products,US-ND,352832510,352.8 Million,1433,1.4 K
Primary and secondary ferrous and nonferrous metals,US-ND,316603321,316.6 Million,205,205
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-ND,311372957,311.4 Million,532,532
"Amusement facilities, gambling facilities, resort and recreation facilities",US-ND,306644183,306.6 Million,7150,7.2 K
Legal services,US-ND,305630526,305.6 Million,1938,1.9 K
Hotels and campgrounds,US-ND,294971227,295 Million,4234,4.2 K
Waste management and remediation services,US-ND,232363275,232.4 Million,755,755
Other state and local government enterprises including transit and utilities,US-ND,182884575,182.9 Million,14,14.0
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-ND,182068066,182.1 Million,707,707
"Computers and relevant parts, conductors, measuring devices, communication devices",US-ND,173393641,173.4 Million,1091,1.1 K
"Data processing, internet publishing, and other information services",US-ND,156789550,156.8 Million,554,554
"Funds, trusts, and financial vehicles",US-ND,128658149,128.7 Million,45,45.0
Passenger ground transport,US-ND,115231895,115.2 Million,1111,1.1 K
Warehouses,US-ND,110840612,110.8 Million,842,842
Federal electric utilities and postal service,US-ND,107398162,107.4 Million,1369,1.4 K
Furniture and shelving,US-ND,95453758,95.5 Million,761,761
