Commodity,Location,Output,Jobs
Food and beverage stores,RoUS,254.6 Billion,2.8 Million
General merchandise stores,RoUS,246 Billion,2.8 Million
"Child day care, community food services, housing services, and other relief services",RoUS,238.3 Billion,4 Million
Vehicles and parts sales,RoUS,237.3 Billion,1.4 Million
Plastics and rubber products,RoUS,236.5 Billion,682.5 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,221.8 Billion,674.6 K
Primary and secondary ferrous and nonferrous metals,RoUS,213.8 Billion,353.6 K
Unrefined oil and gas,RoUS,201.5 Billion,99 K
"Funds, trusts, and financial vehicles",RoUS,192.6 Billion,82.4 K
Paper products and paper production facilities,RoUS,185 Billion,352.5 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,173.8 Billion,546.5 K
Warehouses,RoUS,159.1 Billion,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,155.6 Billion,1.5 Million
Hotels and campgrounds,RoUS,144.5 Billion,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,130 Billion,381.9 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,129.1 Billion,384.8 K
Waste management and remediation services,RoUS,128.7 Billion,501.4 K
"Performing arts, spectator sports, museums, and related activities",RoUS,126.2 Billion,562.2 K
Air transport,RoUS,124.9 Billion,457.3 K
Film and sound-based entertainment,RoUS,124.9 Billion,276.4 K
"Wood products (e.g. plywood, veneer)",RoUS,113.5 Billion,397.5 K
Other state and local government enterprises including transit and utilities,RoUS,110.9 Billion,47.1 K
Well drilling and support activities for mining,RoUS,86.9 Billion,225.1 K
Passenger ground transport,RoUS,83 Billion,622.2 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,74.6 Billion,133.3 K
Federal electric utilities and postal service,RoUS,70.8 Billion,507.8 K
Rail transport,RoUS,70.3 Billion,766
Furniture and shelving,RoUS,67.6 Billion,348 K
Print media and printing support,RoUS,65.6 Billion,314.9 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,62.5 Billion,457.9 K
Pipeline transport,RoUS,58.2 Billion,57 K
Textiles and textile-dervied products (except clothes),RoUS,45.6 Billion,185 K
"Water transport (boats, ships, ferries)",RoUS,39.8 Billion,66.2 K
Clothing and leather,RoUS,21.5 Billion,123.5 K
"Scrap, used and secondhand goods",RoUS,8.3 Billion,22.8 K
State and local general government,US-WY,5.7 Billion,512
Construction,US-WY,5.4 Billion,23.5 K
Housing,US-WY,4.3 Billion,532
"Petroleum fuels, asphalt, and other petroleum and coal products",US-WY,3.6 Billion,1.3 K
"Metal ores, dimensional stone, nonmetallic minerals",US-WY,3.3 Billion,4.9 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3.3 Billion,7.9 K
Unrefined oil and gas,US-WY,3 Billion,2.5 K
Wholesale trade,US-WY,2.3 Billion,7.5 K
Pipeline transport,US-WY,2 Billion,797
Other retail,US-WY,2 Billion,13.6 K
"Miscellaneous professional, scientific, and technical services",US-WY,2 Billion,10.8 K
Rail transport,US-WY,1.9 Billion,0.0
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-WY,1.9 Billion,2.4 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-WY,1.8 Billion,2.8 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-WY,1.7 Billion,2 K
Well drilling and support activities for mining,US-WY,1.7 Billion,6.1 K
"Healthcare professions, laboratories, and ambulances",US-WY,1.5 Billion,11.1 K
Food and beverage establishments,US-WY,1.5 Billion,22.6 K
"Other services, except government",US-WY,1.3 Billion,8.8 K
Hospitals,US-WY,1.2 Billion,12.1 K
Other real estate,US-WY,1.1 Billion,2 K
Federal general government (defense),US-WY,959 Million,1.1 K
Federal general government (nondefense),US-WY,907 Million,159
Administrative and support services,US-WY,851.8 Million,7.4 K
Truck transport,US-WY,849.3 Million,3.5 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-WY,819.6 Million,2.1 K
"Insurance agencies, carriers, and brokerages",US-WY,803.3 Million,2.2 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-WY,779.7 Million,3.7 K
"Radio, TV, telecommunication",US-WY,693.6 Million,1.5 K
Hotels and campgrounds,US-WY,632.3 Million,7.6 K
"Couriers, messengers, transportation for leisure activities",US-WY,581.4 Million,3 K
General merchandise stores,US-WY,509.8 Million,4.8 K
"Funds, trusts, and financial vehicles",US-WY,479.8 Million,36.0
Food and beverage stores,US-WY,447.8 Million,4.3 K
Educational institutions and services,US-WY,438.3 Million,19.6 K
"Child day care, community food services, housing services, and other relief services",US-WY,424.8 Million,7.5 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-WY,420.6 Million,3.3 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-WY,351.5 Million,867
"Nursing, community, mental health, and substance abuse facilities",US-WY,349 Million,5.2 K
Fabricated metal products (e.g. architectural and structural metal products),US-WY,338.6 Million,1.6 K
Vehicles and parts sales,US-WY,322.7 Million,3.1 K
Computer programming and systems design,US-WY,302.1 Million,1.6 K
Food and beverage and tobacco products,US-WY,297 Million,1.6 K
Legal services,US-WY,280.6 Million,1.4 K
Company and enterprise management,US-WY,223.4 Million,712
Warehouses,US-WY,205.5 Million,1.9 K
"Financial investments, exchanges, and advising",US-WY,200.1 Million,720
Other state and local government enterprises including transit and utilities,US-WY,183.1 Million,10.0
Machinery (except computers),US-WY,181.3 Million,643
Waste management and remediation services,US-WY,175.2 Million,826
Federal electric utilities and postal service,US-WY,146.4 Million,815
"Wood products (e.g. plywood, veneer)",US-WY,142.3 Million,429
"Media, literature, and software",US-WY,139.2 Million,726
Plastics and rubber products,US-WY,134 Million,303
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-WY,129.6 Million,356
"Performing arts, spectator sports, museums, and related activities",US-WY,92.1 Million,1.7 K
"Data processing, internet publishing, and other information services",US-WY,88.8 Million,477
On-road vehicles (excluding motorcycles) and accompanying parts,US-WY,69.7 Million,86.0
Passenger ground transport,US-WY,66.6 Million,426
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-WY,63.2 Million,299
Primary and secondary ferrous and nonferrous metals,US-WY,62 Million,124
"Lights and light fixtures, switch boards, transformers, and home appliances",US-WY,61.9 Million,317
"Water transport (boats, ships, ferries)",US-WY,53.8 Million,24.0
"Computers and relevant parts, conductors, measuring devices, communication devices",US-WY,44.3 Million,216
Film and sound-based entertainment,US-WY,40 Million,235
Textiles and textile-dervied products (except clothes),US-WY,31.1 Million,178
Furniture and shelving,US-WY,27.5 Million,222
Print media and printing support,US-WY,22.5 Million,174
Air transport,US-WY,20.8 Million,273
"Scrap, used and secondhand goods",US-WY,14.4 Million,15.0
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-WY,13.7 Million,54.0
Paper products and paper production facilities,US-WY,11.3 Million,29.0
Noncomparable imports and rest-of-the-world adjustment,US-WY,6.4 Million,1.0
Clothing and leather,US-WY,4.2 Million,105
