Commodity,Location,Output,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2322.2 Billion,8.9 Million
Housing,RoUS,2309.4 Billion,379.9 K
Wholesale trade,RoUS,2057.3 Billion,5.5 Million
State and local general government,RoUS,1910.8 Billion,4.3 Million
Construction,RoUS,1864.1 Billion,7.6 Million
Other real estate,RoUS,1400.9 Billion,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1355.9 Billion,2.4 Million
Hospitals,RoUS,1150.1 Billion,6.8 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1129.8 Billion,7.7 Million
Other retail,RoUS,1102.2 Billion,6.6 Million
Administrative and support services,RoUS,1033.7 Billion,8 Million
Food and beverage and tobacco products,RoUS,967.2 Billion,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,950.3 Billion,2.4 Million
"Other services, except government",RoUS,875.1 Billion,4.8 Million
Food and beverage establishments,RoUS,867.9 Billion,10.7 Million
"Radio, TV, telecommunication",RoUS,744.8 Billion,780.7 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,723.8 Billion,808.7 K
Federal general government (defense),RoUS,699.5 Billion,554.2 K
"Financial investments, exchanges, and advising",RoUS,691.9 Billion,992.1 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,684.3 Billion,950.5 K
Company and enterprise management,RoUS,657.5 Billion,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,619 Billion,875.8 K
Computer programming and systems design,RoUS,582.4 Billion,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,482.3 Billion,871 K
Federal general government (nondefense),RoUS,460.1 Billion,1.1 Million
Educational institutions and services,RoUS,403.8 Billion,10.3 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,394.2 Billion,794.4 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,383.1 Billion,115.7 K
Legal services,RoUS,371.3 Billion,1.1 Million
Truck transport,RoUS,370.7 Billion,1.5 Million
"Media, literature, and software",RoUS,352.4 Billion,612.5 K
Machinery (except computers),RoUS,348.5 Billion,963.9 K
"Data processing, internet publishing, and other information services",RoUS,341.8 Billion,598.9 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,337.1 Billion,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,316.8 Billion,887.8 K
"Couriers, messengers, transportation for leisure activities",RoUS,285.8 Billion,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,258.4 Billion,3.4 Million
