Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2313763599430,2.3 Trillion,8861806,8.9 Million
Housing,RoUS,2292462337636,2.3 Trillion,377921,377.9 K
Wholesale trade,RoUS,2040126437420,2.0 Trillion,5470837,5.5 Million
State and local general government,RoUS,1894585351880,1.9 Trillion,4214779,4.2 Million
Construction,RoUS,1851639910949,1.9 Trillion,7520130,7.5 Million
Other real estate,RoUS,1396537717839,1.4 Trillion,1343178,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1312934281496,1.3 Trillion,2392902,2.4 Million
Hospitals,RoUS,1143105307175,1.1 Trillion,6737254,6.7 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1122278190821,1.1 Trillion,7603327,7.6 Million
Other retail,RoUS,1095444543884,1.1 Trillion,6582202,6.6 Million
Administrative and support services,RoUS,1028315819022,1.0 Trillion,7939898,7.9 Million
Food and beverage and tobacco products,RoUS,941246831456,941.2 Billion,1942963,1.9 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,941066439710,941.1 Billion,2380016,2.4 Million
"Other services, except government",RoUS,868650498986,868.7 Billion,4751331,4.8 Million
Food and beverage establishments,RoUS,863215429156,863.2 Billion,10613798,10.6 Million
"Radio, TV, telecommunication",RoUS,742183557442,742.2 Billion,775826,775.8 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,715890463873,715.9 Billion,798839,798.8 K
Federal general government (defense),RoUS,698535165186,698.5 Billion,554105,554.1 K
"Financial investments, exchanges, and advising",RoUS,689984060653,690.0 Billion,986293,986.3 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,679779918472,679.8 Billion,943442,943.4 K
Company and enterprise management,RoUS,653412183989,653.4 Billion,2225081,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,615251388974,615.3 Billion,865726,865.7 K
Computer programming and systems design,RoUS,580055228895,580.1 Billion,2579764,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,480317900078,480.3 Billion,863991,864 K
Federal general government (nondefense),RoUS,458767419261,458.8 Billion,1105514,1.1 Million
Educational institutions and services,RoUS,401185100116,401.2 Billion,10213152,10.2 Million
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,385855593214,385.9 Billion,116465,116.5 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,375796722933,375.8 Billion,779500,779.5 K
Legal services,RoUS,370087391891,370.1 Billion,1123639,1.1 Million
Truck transport,RoUS,364535842738,364.5 Billion,1428275,1.4 Million
"Media, literature, and software",RoUS,350517813370,350.5 Billion,607000,607 K
"Data processing, internet publishing, and other information services",RoUS,340829127193,340.8 Billion,596505,596.5 K
Machinery (except computers),RoUS,333855252606,333.9 Billion,933808,933.8 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,332512549368,332.5 Billion,1280392,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,314655472381,314.7 Billion,878067,878.1 K
"Couriers, messengers, transportation for leisure activities",RoUS,284663514931,284.7 Billion,1740277,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,255089151154,255.1 Billion,3341096,3.3 Million
Food and beverage stores,RoUS,252015367400,252.0 Billion,2726157,2.7 Million
General merchandise stores,RoUS,243957772300,244.0 Billion,2744178,2.7 Million
"Child day care, community food services, housing services, and other relief services",RoUS,236746312710,236.7 Billion,3996310,4 Million
Vehicles and parts sales,RoUS,236169234728,236.2 Billion,1360729,1.4 Million
Plastics and rubber products,RoUS,233105166120,233.1 Billion,671212,671.2 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,221232906321,221.2 Billion,672195,672.2 K
