Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2233803127697,2.2 Trillion,8676686,8.7 Million
Housing,RoUS,2231901971058,2.2 Trillion,367576,367.6 K
Wholesale trade,RoUS,2002454121693,2.0 Trillion,5399712,5.4 Million
State and local general government,RoUS,1854252475256,1.9 Trillion,4066977,4.1 Million
Construction,RoUS,1816489041012,1.8 Trillion,7393928,7.4 Million
Other real estate,RoUS,1380965082744,1.4 Trillion,1316904,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1334878229739,1.3 Trillion,2399996,2.4 Million
Hospitals,RoUS,1124480135870,1.1 Trillion,6652571,6.7 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1104848739511,1.1 Trillion,7502180,7.5 Million
Other retail,RoUS,1048931241262,1.0 Trillion,6459532,6.5 Million
Administrative and support services,RoUS,1011524199507,1.0 Trillion,7853646,7.9 Million
Food and beverage and tobacco products,RoUS,950173517017,950.2 Billion,1955266,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,935711645597,935.7 Billion,2380611,2.4 Million
"Other services, except government",RoUS,852997437624,853.0 Billion,4689601,4.7 Million
Food and beverage establishments,RoUS,846507759503,846.5 Billion,10491986,10.5 Million
"Radio, TV, telecommunication",RoUS,726654849097,726.7 Billion,763871,763.9 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,719571964843,719.6 Billion,802065,802.1 K
Federal general government (defense),RoUS,685210518672,685.2 Billion,545956,546 K
"Financial investments, exchanges, and advising",RoUS,684166208353,684.2 Billion,978458,978.5 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,675794453897,675.8 Billion,931063,931.1 K
Company and enterprise management,RoUS,645977486035,646.0 Billion,2203272,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,615895962542,615.9 Billion,872503,872.5 K
Computer programming and systems design,RoUS,556536974650,556.5 Billion,2514543,2.5 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,475201329759,475.2 Billion,857307,857.3 K
Federal general government (nondefense),RoUS,449094428901,449.1 Billion,1070417,1.1 Million
Educational institutions and services,RoUS,392206913667,392.2 Billion,10096675,10.1 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,377875446120,377.9 Billion,727742,727.7 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,376282499886,376.3 Billion,114295,114.3 K
Truck transport,RoUS,364372693951,364.4 Billion,1434233,1.4 Million
Legal services,RoUS,362970533647,363.0 Billion,1111769,1.1 Million
Machinery (except computers),RoUS,345032739131,345.0 Billion,951937,951.9 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,332657348853,332.7 Billion,1281990,1.3 Million
"Media, literature, and software",RoUS,323378746587,323.4 Billion,619123,619.1 K
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,311489585346,311.5 Billion,871282,871.3 K
"Data processing, internet publishing, and other information services",RoUS,310785967299,310.8 Billion,559704,559.7 K
"Couriers, messengers, transportation for leisure activities",RoUS,277965373408,278.0 Billion,1710858,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,253676959140,253.7 Billion,3335261,3.3 Million
Food and beverage stores,RoUS,241456935943,241.5 Billion,2701215,2.7 Million
Plastics and rubber products,RoUS,234439474229,234.4 Billion,674840,674.8 K
General merchandise stores,RoUS,232517912892,232.5 Billion,2699964,2.7 Million
"Child day care, community food services, housing services, and other relief services",RoUS,230873212323,230.9 Billion,3903955,3.9 Million
Vehicles and parts sales,RoUS,230862578814,230.9 Billion,1347801,1.3 Million
Primary and secondary ferrous and nonferrous metals,RoUS,211084640688,211.1 Billion,349113,349.1 K
Unrefined oil and gas,RoUS,204563445864,204.6 Billion,101412,101.4 K
"Funds, trusts, and financial vehicles",RoUS,191211588492,191.2 Billion,79122,79.1 K
Paper products and paper production facilities,RoUS,180753694743,180.8 Billion,345486,345.5 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,173281501876,173.3 Billion,594041,594 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,170259019982,170.3 Billion,534034,534 K
Warehouses,RoUS,157074828308,157.1 Billion,1466702,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,152207619284,152.2 Billion,1423983,1.4 Million
Hotels and campgrounds,RoUS,141519133969,141.5 Billion,1394805,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,128172604940,128.2 Billion,376967,377 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,126779443830,126.8 Billion,377394,377.4 K
"Performing arts, spectator sports, museums, and related activities",RoUS,124219714029,124.2 Billion,550841,550.8 K
