Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2318815369804,2.3 Trillion,8895590,8.9 Million
Housing,RoUS,2297760545849,2.3 Trillion,378862,378.9 K
Wholesale trade,RoUS,2055287653291,2.1 Trillion,5520717,5.5 Million
State and local general government,RoUS,1906996577173,1.9 Trillion,4261476,4.3 Million
Construction,RoUS,1858405727829,1.9 Trillion,7562752,7.6 Million
Other real estate,RoUS,1397932361955,1.4 Trillion,1344997,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1352487358410,1.4 Trillion,2432289,2.4 Million
Hospitals,RoUS,1146466413762,1.1 Trillion,6785607,6.8 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1126175711085,1.1 Trillion,7631766,7.6 Million
Other retail,RoUS,1099222647690,1.1 Trillion,6628157,6.6 Million
Administrative and support services,RoUS,1030644384240,1.0 Trillion,7965529,8 Million
Food and beverage and tobacco products,RoUS,965894192158,965.9 Billion,1998251,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,949419271302,949.4 Billion,2411762,2.4 Million
"Other services, except government",RoUS,872660583749,872.7 Billion,4772664,4.8 Million
Food and beverage establishments,RoUS,864046396195,864.0 Billion,10658116,10.7 Million
"Radio, TV, telecommunication",RoUS,743520222608,743.5 Billion,778754,778.8 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,725266121948,725.3 Billion,810208,810.2 K
"Financial investments, exchanges, and advising",RoUS,691415945418,691.4 Billion,991510,991.5 K
Federal general government (defense),RoUS,690251168979,690.3 Billion,547142,547.1 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,682815842737,682.8 Billion,947875,947.9 K
Company and enterprise management,RoUS,656014184047,656.0 Billion,2237404,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,618990607025,619.0 Billion,875694,875.7 K
Computer programming and systems design,RoUS,581613886620,581.6 Billion,2590009,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,480751693948,480.8 Billion,869105,869.1 K
Federal general government (nondefense),RoUS,456436050913,456.4 Billion,1104203,1.1 Million
Educational institutions and services,RoUS,402660354775,402.7 Billion,10293035,10.3 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,395287261645,395.3 Billion,792191,792.2 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,385818643777,385.8 Billion,116953,117 K
Truck transport,RoUS,370903046103,370.9 Billion,1454330,1.5 Million
Legal services,RoUS,370525432830,370.5 Billion,1127463,1.1 Million
"Media, literature, and software",RoUS,352254902924,352.3 Billion,612022,612 K
Machinery (except computers),RoUS,348651140924,348.7 Billion,964393,964.4 K
"Data processing, internet publishing, and other information services",RoUS,341632767996,341.6 Billion,598536,598.5 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,337362693924,337.4 Billion,1299667,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,316834341108,316.8 Billion,887634,887.6 K
"Couriers, messengers, transportation for leisure activities",RoUS,285021391767,285.0 Billion,1743789,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,257960274858,258.0 Billion,3390808,3.4 Million
Food and beverage stores,RoUS,253289812221,253.3 Billion,2747375,2.7 Million
General merchandise stores,RoUS,244930504156,244.9 Billion,2758327,2.8 Million
"Child day care, community food services, housing services, and other relief services",RoUS,237551961595,237.6 Billion,4016158,4 Million
Vehicles and parts sales,RoUS,237025697363,237.0 Billion,1372161,1.4 Million
Plastics and rubber products,RoUS,236575709408,236.6 Billion,682473,682.5 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,221682498397,221.7 Billion,667830,667.8 K
Primary and secondary ferrous and nonferrous metals,RoUS,213821198886,213.8 Billion,353664,353.7 K
Unrefined oil and gas,RoUS,204575475922,204.6 Billion,101374,101.4 K
"Funds, trusts, and financial vehicles",RoUS,192831277348,192.8 Billion,82106,82.1 K
Paper products and paper production facilities,RoUS,184911328951,184.9 Billion,352342,352.3 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,173735444005,173.7 Billion,546106,546.1 K
Warehouses,RoUS,159206092832,159.2 Billion,1482973,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,154749904395,154.7 Billion,1453837,1.5 Million
Hotels and campgrounds,RoUS,141327731582,141.3 Billion,1403553,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,130071851457,130.1 Billion,382118,382.1 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,129150263727,129.2 Billion,384938,384.9 K
Waste management and remediation services,RoUS,128251245323,128.3 Billion,499432,499.4 K
"Performing arts, spectator sports, museums, and related activities",RoUS,125756174448,125.8 Billion,560441,560.4 K
Film and sound-based entertainment,RoUS,124639582357,124.6 Billion,275219,275.2 K
Air transport,RoUS,121952781718,122.0 Billion,451914,451.9 K
"Wood products (e.g. plywood, veneer)",RoUS,113595791916,113.6 Billion,397683,397.7 K
Other state and local government enterprises including transit and utilities,RoUS,110783340694,110.8 Billion,46808,46.8 K
Well drilling and support activities for mining,RoUS,88605535807,88.6 Billion,231273,231.3 K
Passenger ground transport,RoUS,82737231304,82.7 Billion,620501,620.5 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,77806692962,77.8 Billion,137968,138 K
Rail transport,RoUS,72205572110,72.2 Billion,766,766
Federal electric utilities and postal service,RoUS,70197958155,70.2 Billion,506432,506.4 K
Furniture and shelving,RoUS,67528120797,67.5 Billion,347932,347.9 K
Print media and printing support,RoUS,65569198245,65.6 Billion,314644,314.6 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,62284357867,62.3 Billion,456963,457 K
Pipeline transport,RoUS,60240442245,60.2 Billion,57798,57.8 K
Textiles and textile-dervied products (except clothes),RoUS,45622125384,45.6 Billion,184957,185 K
"Water transport (boats, ships, ferries)",RoUS,39235710869,39.2 Billion,65222,65.2 K
Clothing and leather,RoUS,21460262750,21.5 Billion,123297,123.3 K
Housing,US-HI,15999454151,16.0 Billion,1508,1.5 K
Construction,US-HI,11083272171,11.1 Billion,37539,37.5 K
Federal general government (defense),US-HI,10225831021,10.2 Billion,8225,8.2 K
State and local general government,US-HI,9547422827,9.5 Billion,104,104
"Scrap, used and secondhand goods",RoUS,8298662405,8.3 Billion,22733,22.7 K
"Miscellaneous professional, scientific, and technical services",US-HI,5367630196,5.4 Billion,26403,26.4 K
Food and beverage establishments,US-HI,5350603805,5.4 Billion,54549,54.5 K
"Healthcare professions, laboratories, and ambulances",US-HI,5116288915,5.1 Billion,30261,30.3 K
Other retail,US-HI,5017352310,5.0 Billion,26099,26.1 K
Hospitals,US-HI,4830586238,4.8 Billion,21224,21.2 K
Federal general government (nondefense),US-HI,4532949087,4.5 Billion,1548,1.5 K
Wholesale trade,US-HI,4338346709,4.3 Billion,15501,15.5 K
"Insurance agencies, carriers, and brokerages",US-HI,4182641590,4.2 Billion,7170,7.2 K
Other real estate,US-HI,4137638045,4.1 Billion,6515,6.5 K
Administrative and support services,US-HI,3900615760,3.9 Billion,32024,32 K
Hotels and campgrounds,US-HI,3803268418,3.8 Billion,17377,17.4 K
"Other services, except government",US-HI,3695416251,3.7 Billion,25751,25.8 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-HI,3311157263,3.3 Billion,4897,4.9 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3226952550,3.2 Billion,7807,7.8 K
Air transport,US-HI,2993218282,3.0 Billion,5712,5.7 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-HI,2392306052,2.4 Billion,4018,4 K
"Radio, TV, telecommunication",US-HI,2012777392,2.0 Billion,3468,3.5 K
Food and beverage stores,US-HI,1804187779,1.8 Billion,13816,13.8 K
Company and enterprise management,US-HI,1744815953,1.7 Billion,8011,8 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-HI,1647728698,1.6 Billion,6677,6.7 K
General merchandise stores,US-HI,1566495844,1.6 Billion,13796,13.8 K
Educational institutions and services,US-HI,1561645225,1.6 Billion,42415,42.4 K
Food and beverage and tobacco products,US-HI,1556807842,1.6 Billion,7339,7.3 K
"Couriers, messengers, transportation for leisure activities",US-HI,1393608233,1.4 Billion,8300,8.3 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-HI,1255095605,1.3 Billion,8835,8.8 K
