Commodity,Location,TotalCommodityOutput,Jobs
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-MO,9.6 Billion,9.5 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-MO,758.5 Million,3.5 K
Unrefined oil and gas,US-MO,5.2 Million,14.0
"Metal ores, dimensional stone, nonmetallic minerals",US-MO,1.5 Billion,3.3 K
Well drilling and support activities for mining,US-MO,157.2 Million,451.0
"Electricity, natural gas, drinking water, and wastewater treatment",US-MO,9.9 Billion,19.9 K
Construction,US-MO,29.8 Billion,137.5 K
"Wood products (e.g. plywood, veneer)",US-MO,1.9 Billion,7.3 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-MO,2.7 Billion,7.9 K
Primary and secondary ferrous and nonferrous metals,US-MO,3.0 Billion,7.3 K
Fabricated metal products (e.g. architectural and structural metal products),US-MO,6.5 Billion,27.6 K
Machinery (except computers),US-MO,6.0 Billion,24.2 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-MO,2.4 Billion,10.8 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-MO,3.1 Billion,10.8 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-MO,16.9 Billion,20.6 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-MO,1.5 Billion,18.2 K
Furniture and shelving,US-MO,1.2 Billion,6.7 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-MO,2.3 Billion,9.7 K
Food and beverage and tobacco products,US-MO,27.0 Billion,46.9 K
Textiles and textile-dervied products (except clothes),US-MO,518.9 Million,2.1 K
Clothing and leather,US-MO,312.8 Million,2.2 K
Paper products and paper production facilities,US-MO,4.1 Billion,7.1 K
Print media and printing support,US-MO,2.0 Billion,7.8 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-MO,1.4 Billion,1.3 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-MO,13.5 Billion,21.4 K
Plastics and rubber products,US-MO,5.0 Billion,15.4 K
Wholesale trade,US-MO,36.2 Billion,116.9 K
Vehicles and parts sales,US-MO,3.1 Billion,28.9 K
Food and beverage stores,US-MO,4.1 Billion,41.1 K
General merchandise stores,US-MO,6.0 Billion,59.7 K
Other retail,US-MO,17.7 Billion,134.1 K
Air transport,US-MO,622.5 Million,3.9 K
Rail transport,US-MO,3.0 Billion,21.0
"Water transport (boats, ships, ferries)",US-MO,336.2 Million,537.0
Truck transport,US-MO,8.9 Billion,37.5 K
Passenger ground transport,US-MO,779.2 Million,11.6 K
Pipeline transport,US-MO,191.0 Million,444.0
"Couriers, messengers, transportation for leisure activities",US-MO,4.1 Billion,28.8 K
Warehouses,US-MO,2.4 Billion,21.4 K
"Media, literature, and software",US-MO,4.7 Billion,15.3 K
Film and sound-based entertainment,US-MO,437.2 Million,2.1 K
"Radio, TV, telecommunication",US-MO,8.6 Billion,17.4 K
"Data processing, internet publishing, and other information services",US-MO,2.9 Billion,9.4 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-MO,16.5 Billion,52.9 K
"Financial investments, exchanges, and advising",US-MO,10.8 Billion,18.5 K
"Insurance agencies, carriers, and brokerages",US-MO,22.6 Billion,53.2 K
"Funds, trusts, and financial vehicles",US-MO,1.3 Billion,1.1 K
Housing,US-MO,41.0 Billion,7.0 K
Other real estate,US-MO,10.6 Billion,20.5 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-MO,7.4 Billion,18.0 K
Legal services,US-MO,6.3 Billion,20.6 K
Computer programming and systems design,US-MO,8.8 Billion,49.5 K
"Miscellaneous professional, scientific, and technical services",US-MO,27.4 Billion,137.9 K
Company and enterprise management,US-MO,15.0 Billion,59.9 K
Administrative and support services,US-MO,16.1 Billion,134.2 K
Waste management and remediation services,US-MO,1.9 Billion,7.8 K
Educational institutions and services,US-MO,6.5 Billion,174.7 K
"Healthcare professions, laboratories, and ambulances",US-MO,18.5 Billion,123.1 K
Hospitals,US-MO,25.3 Billion,162.4 K
"Nursing, community, mental health, and substance abuse facilities",US-MO,5.2 Billion,79.3 K
"Child day care, community food services, housing services, and other relief services",US-MO,4.7 Billion,92.3 K
"Performing arts, spectator sports, museums, and related activities",US-MO,2.2 Billion,11.8 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-MO,2.2 Billion,28.5 K
Hotels and campgrounds,US-MO,2.0 Billion,24.0 K
