Commodity,Location,Commodities,Output,Employees,Jobs
Furniture and shelving,RoUS,67456877652,67.5 Billion,347368,347.4 K
Print media and printing support,RoUS,65333677817,65.3 Billion,313486,313.5 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,62476829863,62.5 Billion,457522,457.5 K
Pipeline transport,RoUS,60216592946,60.2 Billion,57807,57.8 K
Textiles and textile-dervied products (except clothes),RoUS,45198816574,45.2 Billion,183432,183.4 K
"Water transport (boats, ships, ferries)",RoUS,39845069948,39.8 Billion,66157,66.2 K
Clothing and leather,RoUS,21369372982,21.4 Billion,122895,122.9 K
Housing,US-NH,14657814591,14.7 Billion,741,741
Wholesale trade,US-NH,10003232535,10.0 Billion,27625,27.6 K
"Miscellaneous professional, scientific, and technical services",US-NH,9800293606,9.8 Billion,37543,37.5 K
"Scrap, used and secondhand goods",RoUS,8285983441,8.3 Billion,22699,22.7 K
"Insurance agencies, carriers, and brokerages",US-NH,8167173681,8.2 Billion,12017,12 K
State and local general government,US-NH,7555071395,7.6 Billion,75,75.0
"Healthcare professions, laboratories, and ambulances",US-NH,5995463157,6.0 Billion,32988,33 K
Construction,US-NH,5951275830,6.0 Billion,29403,29.4 K
Hospitals,US-NH,5919842707,5.9 Billion,29602,29.6 K
Other retail,US-NH,5186857369,5.2 Billion,40320,40.3 K
Administrative and support services,US-NH,4903171909,4.9 Billion,31193,31.2 K
Food and beverage establishments,US-NH,4392638752,4.4 Billion,46896,46.9 K
"Financial investments, exchanges, and advising",US-NH,3782483068,3.8 Billion,6496,6.5 K
Other real estate,US-NH,3758973483,3.8 Billion,4165,4.2 K
"Other services, except government",US-NH,3747043020,3.7 Billion,23760,23.8 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3249135155,3.2 Billion,7866,7.9 K
Computer programming and systems design,US-NH,3025178479,3.0 Billion,13580,13.6 K
Fabricated metal products (e.g. architectural and structural metal products),US-NH,2943183366,2.9 Billion,10561,10.6 K
Educational institutions and services,US-NH,2797455546,2.8 Billion,45341,45.3 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-NH,2516752397,2.5 Billion,2500,2.5 K
Food and beverage and tobacco products,US-NH,2492287996,2.5 Billion,4903,4.9 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-NH,2398352219,2.4 Billion,14388,14.4 K
"Radio, TV, telecommunication",US-NH,2212709828,2.2 Billion,3599,3.6 K
"Media, literature, and software",US-NH,2196623344,2.2 Billion,4663,4.7 K
Company and enterprise management,US-NH,2173968885,2.2 Billion,8675,8.7 K
Machinery (except computers),US-NH,2168265204,2.2 Billion,6234,6.2 K
Food and beverage stores,US-NH,2025537109,2.0 Billion,20406,20.4 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-NH,1853579864,1.9 Billion,7198,7.2 K
Federal general government (defense),US-NH,1797225741,1.8 Billion,743,743
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-NH,1433642530,1.4 Billion,3057,3.1 K
Federal general government (nondefense),US-NH,1395332170,1.4 Billion,379,379
"Nursing, community, mental health, and substance abuse facilities",US-NH,1381585524,1.4 Billion,16809,16.8 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-NH,1367287038,1.4 Billion,3221,3.2 K
