Commodity,Location,TotalCommodityOutput,Jobs
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-NV,894.6 Million,4.1 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-NV,94.1 Million,366.0
Unrefined oil and gas,US-NV,9.3 K,0.0
"Metal ores, dimensional stone, nonmetallic minerals",US-NV,4.6 Billion,7.0 K
Well drilling and support activities for mining,US-NV,1.3 Billion,3.1 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-NV,4.7 Billion,5.1 K
Construction,US-NV,28.9 Billion,97.6 K
"Wood products (e.g. plywood, veneer)",US-NV,365.6 Million,1.4 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-NV,1.3 Billion,3.4 K
Primary and secondary ferrous and nonferrous metals,US-NV,566.2 Million,911.0
Fabricated metal products (e.g. architectural and structural metal products),US-NV,1.6 Billion,6.1 K
Machinery (except computers),US-NV,608.5 Million,2.2 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-NV,725.1 Million,3.5 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-NV,2.5 Billion,8.7 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-NV,442.4 Million,1.4 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-NV,176.5 Million,610.0
Furniture and shelving,US-NV,411.2 Million,1.7 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-NV,3.5 Billion,5.2 K
Food and beverage and tobacco products,US-NV,2.9 Billion,8.8 K
Textiles and textile-dervied products (except clothes),US-NV,177.3 Million,862.0
Clothing and leather,US-NV,166.0 Million,381.0
Paper products and paper production facilities,US-NV,481.7 Million,1.1 K
Print media and printing support,US-NV,496.3 Million,2.8 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-NV,253.3 Million,236.0
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-NV,1.7 Billion,3.4 K
Plastics and rubber products,US-NV,980.5 Million,3.1 K
Wholesale trade,US-NV,12.8 Billion,35.2 K
Vehicles and parts sales,US-NV,1.7 Billion,11.9 K
Food and beverage stores,US-NV,3.1 Billion,23.2 K
General merchandise stores,US-NV,3.2 Billion,24.0 K
Other retail,US-NV,11.8 Billion,68.9 K
