Commodity,Location,Commodities,Output,Employees,Jobs
Housing,RoUS,1884488582626,1.9 Trillion,346219,346.2 K
"Miscellaneous professional, scientific, and technical services",RoUS,1882710646950,1.9 Trillion,7685046,7.7 Million
Wholesale trade,RoUS,1790615184533,1.8 Trillion,4903043,4.9 Million
Construction,RoUS,1618912198130,1.6 Trillion,6704377,6.7 Million
State and local general government,RoUS,1611066562010,1.6 Trillion,3208297,3.2 Million
Other real estate,RoUS,1291313017937,1.3 Trillion,1151770,1.2 Million
"Insurance agencies, carriers, and brokerages",RoUS,1265706042157,1.3 Trillion,2233918,2.2 Million
Hospitals,RoUS,1022330305608,1.0 Trillion,6121644,6.1 Million
"Healthcare professions, laboratories, and ambulances",RoUS,978244261408,978.2 Billion,6787511,6.8 Million
Other retail,RoUS,963539752197,963.5 Billion,5950731,6 Million
Administrative and support services,RoUS,889202781063,889.2 Billion,7009028,7 Million
Food and beverage and tobacco products,RoUS,867322751418,867.3 Billion,1776107,1.8 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,848247389164,848.2 Billion,2200592,2.2 Million
"Other services, except government",RoUS,770900643761,770.9 Billion,4258418,4.3 Million
Food and beverage establishments,RoUS,744471901280,744.5 Billion,9470911,9.5 Million
Federal general government (defense),RoUS,643340555480,643.3 Billion,502921,502.9 K
"Radio, TV, telecommunication",RoUS,622628064130,622.6 Billion,696934,696.9 K
"Financial investments, exchanges, and advising",RoUS,610002358451,610.0 Billion,895452,895.5 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,606297253643,606.3 Billion,840032,840 K
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,581516646760,581.5 Billion,841871,841.9 K
Company and enterprise management,RoUS,578891492060,578.9 Billion,2009422,2 Million
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,574074216575,574.1 Billion,714434,714.4 K
Computer programming and systems design,RoUS,456578166638,456.6 Billion,2206915,2.2 Million
"Miscellaneous professional, scientific, and technical services",US-CA,441472353050,441.5 Billion,1193598,1.2 Million
Housing,US-CA,429271417374,429.3 Billion,33670,33.7 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,425608054722,425.6 Billion,781838,781.8 K
Federal general government (nondefense),RoUS,416068606693,416.1 Billion,904274,904.3 K
Educational institutions and services,RoUS,347643415238,347.6 Billion,9145680,9.1 Million
Truck transport,RoUS,328974788855,329.0 Billion,1321882,1.3 Million
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,320333844736,320.3 Billion,104832,104.8 K
Legal services,RoUS,319970960904,320.0 Billion,990333,990.3 K
Machinery (except computers),RoUS,317615121342,317.6 Billion,895993,896 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,315576242902,315.6 Billion,610584,610.6 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,306607327808,306.6 Billion,1182490,1.2 Million
State and local general government,US-CA,305477437990,305.5 Billion,85273,85.3 K
"Media, literature, and software",RoUS,273739194796,273.7 Billion,532544,532.5 K
Wholesale trade,US-CA,269010815467,269.0 Billion,633448,633.4 K
Construction,US-CA,250576801870,250.6 Billion,885128,885.1 K
"Couriers, messengers, transportation for leisure activities",RoUS,243631156220,243.6 Billion,1502825,1.5 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,231022913570,231.0 Billion,3091374,3.1 Million
Plastics and rubber products,RoUS,222222282672,222.2 Billion,639815,639.8 K
Vehicles and parts sales,RoUS,217537839617,217.5 Billion,1248511,1.2 Million
General merchandise stores,RoUS,210400974691,210.4 Billion,2521239,2.5 Million
"Data processing, internet publishing, and other information services",RoUS,207583656069,207.6 Billion,460803,460.8 K
Food and beverage stores,RoUS,206552528263,206.6 Billion,2438230,2.4 Million
Primary and secondary ferrous and nonferrous metals,RoUS,206073524946,206.1 Billion,337000,337 K
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,198840393792,198.8 Billion,682650,682.6 K
Unrefined oil and gas,RoUS,197759212462,197.8 Billion,97832,97.8 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,196026945256,196.0 Billion,584683,584.7 K
"Child day care, community food services, housing services, and other relief services",RoUS,194230220203,194.2 Billion,3222144,3.2 Million
Paper products and paper production facilities,RoUS,175237056987,175.2 Billion,330686,330.7 K
"Funds, trusts, and financial vehicles",RoUS,171378426076,171.4 Billion,63834,63.8 K
"Healthcare professions, laboratories, and ambulances",US-CA,153047738592,153.0 Billion,856612,856.6 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-CA,151448783425,151.4 Billion,84727,84.7 K
Administrative and support services,US-CA,145342218937,145.3 Billion,983964,984 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,144131675926,144.1 Billion,465083,465.1 K
Other retail,US-CA,140700247803,140.7 Billion,703427,703.4 K
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,136980558894,137.0 Billion,1285034,1.3 Million
Warehouses,RoUS,135877765964,135.9 Billion,1285802,1.3 Million
"Data processing, internet publishing, and other information services",US-CA,134286343931,134.3 Billion,133517,133.5 K
Hospitals,US-CA,128966694392,129.0 Billion,573861,573.9 K
Computer programming and systems design,US-CA,126137833362,126.1 Billion,383302,383.3 K
Food and beverage establishments,US-CA,124925098720,124.9 Billion,1236091,1.2 Million
Hotels and campgrounds,RoUS,124703833664,124.7 Billion,1249614,1.2 Million
"Radio, TV, telecommunication",US-CA,122904935870,122.9 Billion,85284,85.3 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,118566309363,118.6 Billion,355491,355.5 K
