Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2215507637041,2.2 Trillion,8623259,8.6 Million
Housing,RoUS,2207214878633,2.2 Trillion,370039,370 K
Wholesale trade,RoUS,1970267820815,2.0 Trillion,5335134,5.3 Million
State and local general government,RoUS,1856043902282,1.9 Trillion,4053945,4.1 Million
Construction,RoUS,1823999784017,1.8 Trillion,7439077,7.4 Million
Other real estate,RoUS,1374730069882,1.4 Trillion,1318761,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1315303014756,1.3 Trillion,2367326,2.4 Million
Hospitals,RoUS,1114355069103,1.1 Trillion,6622547,6.6 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1094152545006,1.1 Trillion,7435025,7.4 Million
Other retail,RoUS,1073324685750,1.1 Trillion,6470111,6.5 Million
Administrative and support services,RoUS,996938145011,996.9 Billion,7752682,7.8 Million
Food and beverage and tobacco products,RoUS,942460264634,942.5 Billion,1943973,1.9 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,935434023312,935.4 Billion,2354723,2.4 Million
"Other services, except government",RoUS,853030211185,853.0 Billion,4662442,4.7 Million
Food and beverage establishments,RoUS,849303518353,849.3 Billion,10480476,10.5 Million
"Radio, TV, telecommunication",RoUS,724103798395,724.1 Billion,759405,759.4 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,721965465504,722.0 Billion,810419,810.4 K
Federal general government (defense),RoUS,694532471672,694.5 Billion,545474,545.5 K
"Financial investments, exchanges, and advising",RoUS,669632426255,669.6 Billion,954248,954.2 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,667936783984,667.9 Billion,929083,929.1 K
Company and enterprise management,RoUS,625183600250,625.2 Billion,2164174,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,617981586729,618.0 Billion,873844,873.8 K
Computer programming and systems design,RoUS,564247925664,564.2 Billion,2513708,2.5 Million
