Commodity,Location,Output,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2265.5 Billion,8.6 Million
Housing,RoUS,2237.9 Billion,370.5 K
Wholesale trade,RoUS,2001.8 Billion,5.4 Million
State and local general government,RoUS,1867.3 Billion,4.1 Million
Construction,RoUS,1830.3 Billion,7.4 Million
Other real estate,RoUS,1382.5 Billion,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1327.9 Billion,2.4 Million
Hospitals,RoUS,1110.8 Billion,6.6 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1104.1 Billion,7.5 Million
Other retail,RoUS,1077 Billion,6.5 Million
Administrative and support services,RoUS,1009.3 Billion,7.8 Million
Food and beverage and tobacco products,RoUS,948.3 Billion,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,936.6 Billion,2.3 Million
"Other services, except government",RoUS,853.5 Billion,4.7 Million
Food and beverage establishments,RoUS,850.3 Billion,10.4 Million
"Radio, TV, telecommunication",RoUS,736.5 Billion,765.9 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,708.8 Billion,780.8 K
Federal general government (defense),RoUS,697 Billion,546.8 K
"Financial investments, exchanges, and advising",RoUS,685.4 Billion,977.2 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,666.9 Billion,925.2 K
Company and enterprise management,RoUS,638.7 Billion,2.2 Million
Computer programming and systems design,RoUS,572.5 Billion,2.5 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,483.2 Billion,725.2 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,471.9 Billion,850.3 K
Federal general government (nondefense),RoUS,453.2 Billion,1.1 Million
Educational institutions and services,RoUS,397.2 Billion,10.1 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,387.2 Billion,772.2 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,383.5 Billion,115.3 K
Legal services,RoUS,364.7 Billion,1.1 Million
Truck transport,RoUS,361.3 Billion,1.4 Million
"Media, literature, and software",RoUS,347.2 Billion,600 K
"Data processing, internet publishing, and other information services",RoUS,337.2 Billion,586.2 K
Machinery (except computers),RoUS,330.3 Billion,903.4 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,321.9 Billion,1.2 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,313.4 Billion,869.9 K
"Couriers, messengers, transportation for leisure activities",RoUS,280.9 Billion,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,251.6 Billion,3.3 Million
Food and beverage stores,RoUS,247.8 Billion,2.7 Million
General merchandise stores,RoUS,236.5 Billion,2.7 Million
"Child day care, community food services, housing services, and other relief services",RoUS,234.1 Billion,4 Million
Vehicles and parts sales,RoUS,232.8 Billion,1.3 Million
Plastics and rubber products,RoUS,225.6 Billion,646.6 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,219.7 Billion,666.2 K
Primary and secondary ferrous and nonferrous metals,RoUS,204.7 Billion,335.6 K
Unrefined oil and gas,RoUS,204.4 Billion,101 K
"Funds, trusts, and financial vehicles",RoUS,190.5 Billion,79 K
Paper products and paper production facilities,RoUS,179.7 Billion,341.4 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,166.1 Billion,522.9 K
Warehouses,RoUS,155.4 Billion,1.4 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,153.1 Billion,1.4 Million
Hotels and campgrounds,RoUS,141.7 Billion,1.4 Million
On-road vehicles (excluding motorcycles) and accompanying parts,US-MI,135.9 Billion,150.9 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,125.2 Billion,376.2 K
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,125.1 Billion,367.7 K
Waste management and remediation services,RoUS,125.1 Billion,487.2 K
Film and sound-based entertainment,RoUS,124.3 Billion,273.3 K
"Performing arts, spectator sports, museums, and related activities",RoUS,124.1 Billion,552.9 K
Air transport,RoUS,120.6 Billion,444.1 K
"Wood products (e.g. plywood, veneer)",RoUS,110.7 Billion,387.9 K
Other state and local government enterprises including transit and utilities,RoUS,109.5 Billion,46 K
Well drilling and support activities for mining,RoUS,88.3 Billion,230.1 K
Passenger ground transport,RoUS,82.1 Billion,611.7 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,76.1 Billion,134.9 K
Housing,US-MI,75.8 Billion,9.8 K
Rail transport,RoUS,71.4 Billion,764
Federal electric utilities and postal service,RoUS,69.7 Billion,491.9 K
Print media and printing support,RoUS,63.7 Billion,305.4 K
Furniture and shelving,RoUS,62.5 Billion,328.4 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,61.7 Billion,452.1 K
Pipeline transport,RoUS,59.2 Billion,56.1 K
"Miscellaneous professional, scientific, and technical services",US-MI,58.7 Billion,276.7 K
Wholesale trade,US-MI,57.8 Billion,159.7 K
State and local general government,US-MI,49.3 Billion,4.7 K
Textiles and textile-dervied products (except clothes),RoUS,45 Billion,182.4 K
Hospitals,US-MI,40.5 Billion,232.4 K
"Water transport (boats, ships, ferries)",RoUS,39.5 Billion,65.3 K
Construction,US-MI,39.2 Billion,172.8 K
"Insurance agencies, carriers, and brokerages",US-MI,28.8 Billion,60.6 K
Other retail,US-MI,27.2 Billion,188.1 K
"Healthcare professions, laboratories, and ambulances",US-MI,27.2 Billion,195.1 K
Administrative and support services,US-MI,25.2 Billion,224.2 K
"Other services, except government",US-MI,22.9 Billion,139 K
Clothing and leather,RoUS,21 Billion,121.4 K
Other real estate,US-MI,19.5 Billion,30.4 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-MI,19.2 Billion,26.4 K
Food and beverage and tobacco products,US-MI,19.1 Billion,48.6 K
Food and beverage establishments,US-MI,19.1 Billion,285.2 K
Company and enterprise management,US-MI,19.1 Billion,68.4 K
Machinery (except computers),US-MI,18.4 Billion,61.1 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-MI,16.7 Billion,31.3 K
Fabricated metal products (e.g. architectural and structural metal products),US-MI,15.5 Billion,64.1 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-MI,14.5 Billion,73.7 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-MI,11.2 Billion,22.8 K
Plastics and rubber products,US-MI,11 Billion,36.1 K
Truck transport,US-MI,10.2 Billion,43.9 K
Computer programming and systems design,US-MI,10.2 Billion,58.9 K
General merchandise stores,US-MI,10 Billion,101.2 K
Primary and secondary ferrous and nonferrous metals,US-MI,9.1 Billion,18.1 K
"Radio, TV, telecommunication",US-MI,9 Billion,16.3 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-MI,8.8 Billion,24.5 K
"Scrap, used and secondhand goods",RoUS,7.9 Billion,21.7 K
Federal general government (nondefense),US-MI,7.8 Billion,2.5 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-MI,7.8 Billion,23.7 K
Food and beverage stores,US-MI,7.3 Billion,66.2 K
"Nursing, community, mental health, and substance abuse facilities",US-MI,7.2 Billion,115.1 K
Educational institutions and services,US-MI,7 Billion,268.3 K
Legal services,US-MI,6.9 Billion,26.3 K
"Financial investments, exchanges, and advising",US-MI,6.7 Billion,15.7 K
"Couriers, messengers, transportation for leisure activities",US-MI,5.5 Billion,34.3 K
"Media, literature, and software",US-MI,5.4 Billion,14.2 K
Paper products and paper production facilities,US-MI,5.3 Billion,11.1 K
Furniture and shelving,US-MI,5.1 Billion,19.9 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-MI,5 Billion,14.4 K
Vehicles and parts sales,US-MI,4.9 Billion,42.8 K
"Data processing, internet publishing, and other information services",US-MI,4.7 Billion,12.7 K
"Child day care, community food services, housing services, and other relief services",US-MI,4.6 Billion,79.3 K
Air transport,US-MI,4.4 Billion,13.5 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-MI,4.2 Billion,9.5 K
Warehouses,US-MI,3.9 Billion,34.8 K
Waste management and remediation services,US-MI,3.8 Billion,13.1 K
Federal general government (defense),US-MI,3.5 Billion,8.6 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-MI,3.5 Billion,19.3 K
Hotels and campgrounds,US-MI,3.4 Billion,36.7 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3.2 Billion,7.6 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-MI,3.2 Billion,1.7 K
"Wood products (e.g. plywood, veneer)",US-MI,2.9 Billion,10 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-MI,2.9 Billion,29.2 K
"Funds, trusts, and financial vehicles",US-MI,2.6 Billion,703
"Performing arts, spectator sports, museums, and related activities",US-MI,2.2 Billion,10.7 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-MI,2.1 Billion,8.7 K
Print media and printing support,US-MI,2 Billion,9.6 K
"Metal ores, dimensional stone, nonmetallic minerals",US-MI,1.8 Billion,3 K
Other state and local government enterprises including transit and utilities,US-MI,1.6 Billion,93.0
Federal electric utilities and postal service,US-MI,1.3 Billion,16 K
Pipeline transport,US-MI,1 Billion,1.7 K
Passenger ground transport,US-MI,996.7 Million,10.8 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-MI,957.1 Million,5.9 K
Rail transport,US-MI,772.6 Million,1.0
Film and sound-based entertainment,US-MI,652.3 Million,3.3 K
Textiles and textile-dervied products (except clothes),US-MI,640.2 Million,2.8 K
Clothing and leather,US-MI,456.2 Million,2.1 K
