Commodity,Location,Output,Jobs
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,129.6 Billion,380.9 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,128.6 Billion,382.7 K
Waste management and remediation services,RoUS,128.2 Billion,498.9 K
"Performing arts, spectator sports, museums, and related activities",RoUS,126 Billion,560.4 K
Air transport,RoUS,124.9 Billion,457.1 K
Film and sound-based entertainment,RoUS,124.9 Billion,276.2 K
"Wood products (e.g. plywood, veneer)",RoUS,113.1 Billion,395.7 K
Other state and local government enterprises including transit and utilities,RoUS,110.6 Billion,46.9 K
Well drilling and support activities for mining,RoUS,88.5 Billion,231.2 K
Passenger ground transport,RoUS,82.9 Billion,620.8 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,77.7 Billion,137.4 K
Federal electric utilities and postal service,RoUS,70.6 Billion,505 K
Furniture and shelving,RoUS,67.3 Billion,346.9 K
Rail transport,RoUS,66 Billion,766
Print media and printing support,RoUS,65.3 Billion,312.8 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,61.9 Billion,455.7 K
Pipeline transport,RoUS,58.9 Billion,57.6 K
Textiles and textile-dervied products (except clothes),RoUS,45.5 Billion,184.7 K
"Water transport (boats, ships, ferries)",RoUS,39.9 Billion,66.2 K
"Insurance agencies, carriers, and brokerages",US-NE,26.7 Billion,26.5 K
Clothing and leather,RoUS,21.3 Billion,123.2 K
Food and beverage and tobacco products,US-NE,18.6 Billion,38.3 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-NE,17.7 Billion,12.5 K
State and local general government,US-NE,15 Billion,951
Housing,US-NE,14.3 Billion,1.7 K
Wholesale trade,US-NE,13.6 Billion,39.2 K
Construction,US-NE,12.2 Billion,56.3 K
"Scrap, used and secondhand goods",RoUS,8.3 Billion,22.6 K
"Miscellaneous professional, scientific, and technical services",US-NE,7.9 Billion,44.7 K
Hospitals,US-NE,7.3 Billion,39.9 K
"Healthcare professions, laboratories, and ambulances",US-NE,7.1 Billion,44 K
Rail transport,US-NE,6.2 Billion,0.0
Other retail,US-NE,6.2 Billion,46.6 K
Truck transport,US-NE,6.1 Billion,23.7 K
Administrative and support services,US-NE,5.7 Billion,45.4 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-NE,5.6 Billion,6.2 K
"Other services, except government",US-NE,5.2 Billion,30.1 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-NE,4.9 Billion,8 K
Food and beverage establishments,US-NE,4.8 Billion,67.8 K
Company and enterprise management,US-NE,4.6 Billion,20.6 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-NE,4.5 Billion,21.6 K
Other real estate,US-NE,3.7 Billion,6.8 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3.2 Billion,7.8 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-NE,2.8 Billion,5.4 K
Computer programming and systems design,US-NE,2.5 Billion,15.8 K
Machinery (except computers),US-NE,2.4 Billion,8.5 K
"Radio, TV, telecommunication",US-NE,2.3 Billion,4.5 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-NE,2.3 Billion,4 K
Federal general government (defense),US-NE,2.2 Billion,3.2 K
"Nursing, community, mental health, and substance abuse facilities",US-NE,2.2 Billion,31.2 K
Fabricated metal products (e.g. architectural and structural metal products),US-NE,2.1 Billion,8 K
Federal general government (nondefense),US-NE,2 Billion,1.9 K
Educational institutions and services,US-NE,1.9 Billion,73 K
"Financial investments, exchanges, and advising",US-NE,1.9 Billion,6.3 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-NE,1.8 Billion,5.1 K
Food and beverage stores,US-NE,1.7 Billion,18 K
General merchandise stores,US-NE,1.7 Billion,19.3 K
"Media, literature, and software",US-NE,1.6 Billion,5.1 K
"Data processing, internet publishing, and other information services",US-NE,1.6 Billion,3.5 K
Legal services,US-NE,1.4 Billion,5.4 K
Pipeline transport,US-NE,1.4 Billion,182
"Couriers, messengers, transportation for leisure activities",US-NE,1.4 Billion,8.3 K
"Child day care, community food services, housing services, and other relief services",US-NE,1.3 Billion,24.8 K
Vehicles and parts sales,US-NE,1 Billion,10.3 K
Plastics and rubber products,US-NE,1 Billion,4.5 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-NE,859.7 Million,3 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-NE,763.2 Million,8.5 K
Warehouses,US-NE,739.6 Million,6.4 K
Waste management and remediation services,US-NE,707.3 Million,3.1 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-NE,694.9 Million,2.5 K
Primary and secondary ferrous and nonferrous metals,US-NE,682.1 Million,958
"Computers and relevant parts, conductors, measuring devices, communication devices",US-NE,642.1 Million,3.6 K
Paper products and paper production facilities,US-NE,583.5 Million,1.5 K
Hotels and campgrounds,US-NE,502 Million,6.9 K
"Wood products (e.g. plywood, veneer)",US-NE,495.5 Million,2.2 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-NE,484 Million,1.3 K
Other state and local government enterprises including transit and utilities,US-NE,479.6 Million,27.0
"Funds, trusts, and financial vehicles",US-NE,379.5 Million,103
"Performing arts, spectator sports, museums, and related activities",US-NE,327.1 Million,3.4 K
Federal electric utilities and postal service,US-NE,319 Million,3.5 K
Print media and printing support,US-NE,306.3 Million,2.3 K
Furniture and shelving,US-NE,248.3 Million,1.4 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-NE,237.9 Million,2.3 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-NE,220.2 Million,337
"Metal ores, dimensional stone, nonmetallic minerals",US-NE,202.6 Million,637
Passenger ground transport,US-NE,175.3 Million,1.8 K
Clothing and leather,US-NE,147.7 Million,422
Textiles and textile-dervied products (except clothes),US-NE,133.3 Million,541
Well drilling and support activities for mining,US-NE,83.8 Million,155
Air transport,US-NE,77.5 Million,428
Film and sound-based entertainment,US-NE,53 Million,418
"Scrap, used and secondhand goods",US-NE,51.6 Million,83.0
Unrefined oil and gas,US-NE,17 Million,71.0
Noncomparable imports and rest-of-the-world adjustment,US-NE,14 Million,14.0
"Water transport (boats, ships, ferries)",US-NE,7.8 Million,36.0
