Commodity,Location,Output,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2154.1 Billion,8.2 Million
Housing,RoUS,2082.3 Billion,336.8 K
Wholesale trade,RoUS,1823.9 Billion,5 Million
State and local general government,RoUS,1744.8 Billion,3.7 Million
Construction,RoUS,1680.1 Billion,6.8 Million
Other real estate,RoUS,1342.2 Billion,1.2 Million
"Insurance agencies, carriers, and brokerages",RoUS,1262.3 Billion,2.2 Million
Hospitals,RoUS,1073.9 Billion,6.3 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1037.6 Billion,6.9 Million
Other retail,RoUS,1016.6 Billion,6.1 Million
Administrative and support services,RoUS,934.5 Billion,7.3 Million
Food and beverage and tobacco products,RoUS,908.5 Billion,1.9 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,893.7 Billion,2.2 Million
"Other services, except government",RoUS,802.7 Billion,4.4 Million
Food and beverage establishments,RoUS,790.2 Billion,9.7 Million
"Radio, TV, telecommunication",RoUS,676 Billion,705.3 K
Federal general government (defense),RoUS,666.8 Billion,523.4 K
"Financial investments, exchanges, and advising",RoUS,651.8 Billion,912.7 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,629.5 Billion,848.6 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,628.6 Billion,722.8 K
Company and enterprise management,RoUS,616.6 Billion,2.1 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,554.4 Billion,838.2 K
Computer programming and systems design,RoUS,531.4 Billion,2.4 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,436.2 Billion,775.7 K
Federal general government (nondefense),RoUS,432.1 Billion,990.3 K
Educational institutions and services,RoUS,379.3 Billion,9.3 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,379.1 Billion,749.6 K
Legal services,RoUS,343.4 Billion,1 Million
"Media, literature, and software",RoUS,335.2 Billion,575.1 K
Truck transport,RoUS,334.7 Billion,1.3 Million
"Data processing, internet publishing, and other information services",RoUS,327 Billion,556.9 K
Machinery (except computers),RoUS,312.9 Billion,884 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,306.5 Billion,1.2 Million
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,290.1 Billion,91.1 K
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,286.7 Billion,802.5 K
"Couriers, messengers, transportation for leisure activities",RoUS,261 Billion,1.6 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,245.1 Billion,3.2 Million
Wholesale trade,US-TX,235.7 Billion,570.2 K
Housing,US-TX,231.4 Billion,43.1 K
Food and beverage stores,RoUS,228.7 Billion,2.5 Million
"Child day care, community food services, housing services, and other relief services",RoUS,227 Billion,3.8 Million
Vehicles and parts sales,RoUS,221.3 Billion,1.2 Million
Plastics and rubber products,RoUS,220.3 Billion,639.4 K
General merchandise stores,RoUS,218.6 Billion,2.5 Million
Primary and secondary ferrous and nonferrous metals,RoUS,203.3 Billion,333.9 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,196 Billion,611.9 K
Construction,US-TX,189.4 Billion,797.4 K
Paper products and paper production facilities,RoUS,177 Billion,334.9 K
State and local general government,US-TX,171.7 Billion,24 K
"Miscellaneous professional, scientific, and technical services",US-TX,170.1 Billion,742.4 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,165.4 Billion,512.6 K
Warehouses,RoUS,147.1 Billion,1.4 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,146.9 Billion,1.4 Million
"Funds, trusts, and financial vehicles",RoUS,137.1 Billion,71.9 K
Hotels and campgrounds,RoUS,137 Billion,1.3 Million
Unrefined oil and gas,US-TX,126.3 Billion,57.8 K
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,122.6 Billion,360 K
Film and sound-based entertainment,RoUS,122.3 Billion,261.1 K
"Performing arts, spectator sports, museums, and related activities",RoUS,119.2 Billion,512.1 K
Waste management and remediation services,RoUS,116.8 Billion,453.3 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,116.6 Billion,349.3 K
Air transport,RoUS,107.9 Billion,393.3 K
"Wood products (e.g. plywood, veneer)",RoUS,107.4 Billion,373.1 K
Other state and local government enterprises including transit and utilities,RoUS,105.6 Billion,39 K
Administrative and support services,US-TX,100 Billion,736.9 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-TX,96.9 Billion,85.2 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-TX,96.6 Billion,25.9 K
"Insurance agencies, carriers, and brokerages",US-TX,94.3 Billion,213.9 K
"Healthcare professions, laboratories, and ambulances",US-TX,93.7 Billion,753.2 K
Other retail,US-TX,87.6 Billion,560.2 K
Passenger ground transport,RoUS,80.8 Billion,589.9 K
Food and beverage establishments,US-TX,79.2 Billion,1 Million
Unrefined oil and gas,RoUS,78.2 Billion,43 K
Hospitals,US-TX,77.4 Billion,449.1 K
"Other services, except government",US-TX,73.7 Billion,390.7 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,72.6 Billion,128.1 K
"Radio, TV, telecommunication",US-TX,69.5 Billion,77 K
Federal electric utilities and postal service,RoUS,66.3 Billion,468.6 K
Rail transport,RoUS,65.7 Billion,738
On-road vehicles (excluding motorcycles) and accompanying parts,US-TX,64.7 Billion,38.5 K
Furniture and shelving,RoUS,63.7 Billion,325.1 K
Print media and printing support,RoUS,62.3 Billion,295.4 K
Other real estate,US-TX,59.8 Billion,120.5 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,59.7 Billion,443.9 K
Food and beverage and tobacco products,US-TX,58.9 Billion,128.4 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-TX,57.3 Billion,245.6 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-TX,56.6 Billion,93.3 K
"Funds, trusts, and financial vehicles",US-TX,56 Billion,2 K
Well drilling and support activities for mining,RoUS,51.6 Billion,132 K
Computer programming and systems design,US-TX,51.3 Billion,237 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-TX,47 Billion,97.4 K
Pipeline transport,RoUS,45.8 Billion,37.2 K
Textiles and textile-dervied products (except clothes),RoUS,44.1 Billion,177.6 K
Company and enterprise management,US-TX,41.1 Billion,136.5 K
"Financial investments, exchanges, and advising",US-TX,40.2 Billion,80.1 K
"Water transport (boats, ships, ferries)",RoUS,37.2 Billion,61.3 K
Well drilling and support activities for mining,US-TX,37 Billion,99.9 K
Truck transport,US-TX,36.8 Billion,141.5 K
Machinery (except computers),US-TX,35.8 Billion,80.7 K
Federal general government (defense),US-TX,33.7 Billion,32 K
Fabricated metal products (e.g. architectural and structural metal products),US-TX,30.9 Billion,117.5 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-TX,30.2 Billion,85.6 K
Federal general government (nondefense),US-TX,28.9 Billion,11.3 K
Legal services,US-TX,28.2 Billion,91.2 K
General merchandise stores,US-TX,27.9 Billion,246.9 K
Food and beverage stores,US-TX,26.4 Billion,228.8 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-TX,25.8 Billion,62.8 K
"Couriers, messengers, transportation for leisure activities",US-TX,25.4 Billion,169.8 K
Educational institutions and services,US-TX,24.9 Billion,1 Million
Clothing and leather,RoUS,20.4 Billion,114.2 K
"Media, literature, and software",US-TX,17.3 Billion,39.6 K
Air transport,US-TX,17 Billion,64.2 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-TX,17 Billion,47 K
Plastics and rubber products,US-TX,16.4 Billion,42.9 K
Vehicles and parts sales,US-TX,16.3 Billion,130.8 K
"Data processing, internet publishing, and other information services",US-TX,14.9 Billion,41.6 K
Pipeline transport,US-TX,14.4 Billion,20.7 K
"Nursing, community, mental health, and substance abuse facilities",US-TX,13.7 Billion,199.9 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-TX,12.8 Billion,36.4 K
Warehouses,US-TX,12.2 Billion,122.9 K
Waste management and remediation services,US-TX,12.1 Billion,44.6 K
"Child day care, community food services, housing services, and other relief services",US-TX,11.7 Billion,246.8 K
Primary and secondary ferrous and nonferrous metals,US-TX,10.5 Billion,19.9 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-TX,9.1 Billion,87.7 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-TX,8.5 Billion,34.6 K
Hotels and campgrounds,US-TX,8.2 Billion,103.6 K
Paper products and paper production facilities,US-TX,8 Billion,17.5 K
"Scrap, used and secondhand goods",RoUS,7.7 Billion,20.7 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-TX,7.5 Billion,22 K
"Performing arts, spectator sports, museums, and related activities",US-TX,7.1 Billion,50.8 K
Rail transport,US-TX,6.5 Billion,18.0
"Wood products (e.g. plywood, veneer)",US-TX,6.2 Billion,24.8 K
Other state and local government enterprises including transit and utilities,US-TX,5.5 Billion,610
"Metal ores, dimensional stone, nonmetallic minerals",US-TX,5.3 Billion,9.8 K
Federal electric utilities and postal service,US-TX,4.7 Billion,35.5 K
Furniture and shelving,US-TX,3.9 Billion,23.1 K
Print media and printing support,US-TX,3.3 Billion,19.1 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3.1 Billion,7 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-TX,2.9 Billion,13.5 K
"Water transport (boats, ships, ferries)",US-TX,2.7 Billion,4.8 K
Film and sound-based entertainment,US-TX,2.6 Billion,15.5 K
Passenger ground transport,US-TX,2.3 Billion,31.6 K
Textiles and textile-dervied products (except clothes),US-TX,1.5 Billion,7.8 K
Clothing and leather,US-TX,1.1 Billion,9 K
"Scrap, used and secondhand goods",US-TX,623.3 Million,866
Noncomparable imports and rest-of-the-world adjustment,US-TX,204.2 Million,80.0
