Commodity,Location,Output,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2310.8 Billion,8.8 Million
Housing,RoUS,2287.8 Billion,376.5 K
Wholesale trade,RoUS,2033.8 Billion,5.5 Million
State and local general government,RoUS,1894.7 Billion,4.2 Million
Construction,RoUS,1852.1 Billion,7.5 Million
Other real estate,RoUS,1395.4 Billion,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1341.4 Billion,2.4 Million
Hospitals,RoUS,1136.3 Billion,6.7 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1118.1 Billion,7.6 Million
Other retail,RoUS,1093.1 Billion,6.6 Million
Administrative and support services,RoUS,1024 Billion,7.9 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,945.1 Billion,2.4 Million
Food and beverage and tobacco products,RoUS,941.9 Billion,2 Million
"Other services, except government",RoUS,867.1 Billion,4.7 Million
Food and beverage establishments,RoUS,859.1 Billion,10.6 Million
"Radio, TV, telecommunication",RoUS,740.4 Billion,773.2 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,718.5 Billion,797.1 K
Federal general government (defense),RoUS,691.6 Billion,548.5 K
"Financial investments, exchanges, and advising",RoUS,689.1 Billion,984.5 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,679.3 Billion,938.5 K
Company and enterprise management,RoUS,653.1 Billion,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,588.1 Billion,825.4 K
Computer programming and systems design,RoUS,579.9 Billion,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,480.1 Billion,862 K
Federal general government (nondefense),RoUS,456.7 Billion,1.1 Million
Educational institutions and services,RoUS,401.5 Billion,10.2 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,389.7 Billion,791.5 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,381.7 Billion,116 K
Legal services,RoUS,369.3 Billion,1.1 Million
Truck transport,RoUS,366.3 Billion,1.4 Million
"Media, literature, and software",RoUS,351.1 Billion,608.5 K
Machinery (except computers),RoUS,343.6 Billion,946.2 K
"Data processing, internet publishing, and other information services",RoUS,341.2 Billion,594.8 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,332.2 Billion,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,315.8 Billion,884.2 K
"Couriers, messengers, transportation for leisure activities",RoUS,278.1 Billion,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,255.7 Billion,3.4 Million
Food and beverage stores,RoUS,252.1 Billion,2.7 Million
General merchandise stores,RoUS,242.3 Billion,2.7 Million
"Child day care, community food services, housing services, and other relief services",RoUS,236.4 Billion,4 Million
Vehicles and parts sales,RoUS,235.8 Billion,1.4 Million
Plastics and rubber products,RoUS,231.3 Billion,668.9 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,220.8 Billion,670.4 K
Primary and secondary ferrous and nonferrous metals,RoUS,206.1 Billion,341.7 K
Unrefined oil and gas,RoUS,204.4 Billion,101.1 K
"Funds, trusts, and financial vehicles",RoUS,192.3 Billion,81.2 K
Paper products and paper production facilities,RoUS,180.9 Billion,344.4 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,172.7 Billion,540.8 K
Warehouses,RoUS,155.6 Billion,1.4 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,155 Billion,1.5 Million
Hotels and campgrounds,RoUS,144.2 Billion,1.4 Million
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,127.5 Billion,379.4 K
Waste management and remediation services,RoUS,127.4 Billion,495.7 K
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,126.5 Billion,375 K
"Performing arts, spectator sports, museums, and related activities",RoUS,125.6 Billion,555.7 K
Film and sound-based entertainment,RoUS,124.8 Billion,275.4 K
Air transport,RoUS,124.5 Billion,455.2 K
"Wood products (e.g. plywood, veneer)",RoUS,111.6 Billion,388.2 K
Other state and local government enterprises including transit and utilities,RoUS,110.4 Billion,46.5 K
Well drilling and support activities for mining,RoUS,88.1 Billion,229.8 K
Passenger ground transport,RoUS,82.8 Billion,619.5 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,75.9 Billion,133.9 K
Rail transport,RoUS,71.1 Billion,749
Federal electric utilities and postal service,RoUS,70.2 Billion,502.1 K
Furniture and shelving,RoUS,67 Billion,344.3 K
Print media and printing support,RoUS,64.7 Billion,309.6 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,61.8 Billion,454.4 K
Pipeline transport,RoUS,59.9 Billion,56.9 K
Textiles and textile-dervied products (except clothes),RoUS,45.1 Billion,182.9 K
"Water transport (boats, ships, ferries)",RoUS,38.4 Billion,62.6 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-KY,30.9 Billion,50.6 K
Housing,US-KY,25.9 Billion,3.8 K
Wholesale trade,US-KY,25.8 Billion,71.2 K
Food and beverage and tobacco products,US-KY,25.6 Billion,35.5 K
State and local general government,US-KY,21.9 Billion,582
Clothing and leather,RoUS,21.3 Billion,122.1 K
Construction,US-KY,17.4 Billion,80.6 K
"Insurance agencies, carriers, and brokerages",US-KY,15.3 Billion,31.8 K
Hospitals,US-KY,15 Billion,91.9 K
"Miscellaneous professional, scientific, and technical services",US-KY,13.4 Billion,79.2 K
"Healthcare professions, laboratories, and ambulances",US-KY,13.1 Billion,93.8 K
