Commodity,Location,Commodities,Output,Employees,Jobs
Food and beverage establishments,US-FL,61566366554,61.6 Billion,764611,764.6 K
Hospitals,US-FL,60549626155,60.5 Billion,377918,377.9 K
Pipeline transport,RoUS,59896285901,59.9 Billion,57157,57.2 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,59149240825,59.1 Billion,440207,440.2 K
Other real estate,US-FL,57671252933,57.7 Billion,130198,130.2 K
"Other services, except government",US-FL,54448111473,54.4 Billion,314302,314.3 K
Textiles and textile-dervied products (except clothes),RoUS,44693780118,44.7 Billion,179960,180 K
"Radio, TV, telecommunication",US-FL,37980761018,38.0 Billion,51187,51.2 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-FL,33850548747,33.9 Billion,36520,36.5 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-FL,30891888497,30.9 Billion,64082,64.1 K
"Water transport (boats, ships, ferries)",RoUS,30455646916,30.5 Billion,52497,52.5 K
Company and enterprise management,US-FL,28595719425,28.6 Billion,108161,108.2 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-FL,26949121842,26.9 Billion,154033,154 K
"Financial investments, exchanges, and advising",US-FL,26334414460,26.3 Billion,52148,52.1 K
Legal services,US-FL,24537468157,24.5 Billion,102266,102.3 K
Federal general government (defense),US-FL,24422648994,24.4 Billion,28131,28.1 K
Food and beverage stores,US-FL,23483295852,23.5 Billion,208742,208.7 K
Food and beverage and tobacco products,US-FL,23103704319,23.1 Billion,58690,58.7 K
Computer programming and systems design,US-FL,23008040304,23.0 Billion,129311,129.3 K
Clothing and leather,RoUS,20905558312,20.9 Billion,119118,119.1 K
General merchandise stores,US-FL,20509866620,20.5 Billion,201716,201.7 K
Federal general government (nondefense),US-FL,19055622471,19.1 Billion,9488,9.5 K
"Couriers, messengers, transportation for leisure activities",US-FL,18382874032,18.4 Billion,119533,119.5 K
Educational institutions and services,US-FL,17372844887,17.4 Billion,495262,495.3 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-FL,16724943446,16.7 Billion,25922,25.9 K
Truck transport,US-FL,15430145189,15.4 Billion,59677,59.7 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-FL,14890551312,14.9 Billion,146160,146.2 K
"Nursing, community, mental health, and substance abuse facilities",US-FL,14104948910,14.1 Billion,185212,185.2 K
Hotels and campgrounds,US-FL,13213794582,13.2 Billion,111919,111.9 K
Vehicles and parts sales,US-FL,12584197859,12.6 Billion,104742,104.7 K
"Media, literature, and software",US-FL,12458030449,12.5 Billion,30124,30.1 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-FL,11583127874,11.6 Billion,50533,50.5 K
Machinery (except computers),US-FL,10155253367,10.2 Billion,27752,27.8 K
Air transport,US-FL,9880265238,9.9 Billion,45586,45.6 K
"Data processing, internet publishing, and other information services",US-FL,9496852877,9.5 Billion,20656,20.7 K
"Water transport (boats, ships, ferries)",US-FL,9422353084,9.4 Billion,13678,13.7 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-FL,9390519703,9.4 Billion,42693,42.7 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-FL,9310156665,9.3 Billion,30769,30.8 K
"Child day care, community food services, housing services, and other relief services",US-FL,8832849179,8.8 Billion,133428,133.4 K
Fabricated metal products (e.g. architectural and structural metal products),US-FL,8483535343,8.5 Billion,38616,38.6 K
"Performing arts, spectator sports, museums, and related activities",US-FL,8464100468,8.5 Billion,40166,40.2 K
"Scrap, used and secondhand goods",RoUS,7980287960,8.0 Billion,21274,21.3 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-FL,7724994552,7.7 Billion,36483,36.5 K
Warehouses,US-FL,7146899328,7.1 Billion,69933,69.9 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-FL,6936882188,6.9 Billion,21906,21.9 K
Primary and secondary ferrous and nonferrous metals,US-FL,6625650767,6.6 Billion,4488,4.5 K
Waste management and remediation services,US-FL,6126353961,6.1 Billion,26706,26.7 K
"Funds, trusts, and financial vehicles",US-FL,6035229448,6.0 Billion,1601,1.6 K
Paper products and paper production facilities,US-FL,4984419294,5.0 Billion,8579,8.6 K
"Wood products (e.g. plywood, veneer)",US-FL,4155722147,4.2 Billion,13870,13.9 K
Plastics and rubber products,US-FL,4066653476,4.1 Billion,13338,13.3 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-FL,3528701301,3.5 Billion,3340,3.3 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-FL,3493759175,3.5 Billion,17445,17.4 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-FL,3294637431,3.3 Billion,8230,8.2 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3124278850,3.1 Billion,7142,7.1 K
Federal electric utilities and postal service,US-FL,3075961570,3.1 Billion,28937,28.9 K
Other state and local government enterprises including transit and utilities,US-FL,3027415161,3.0 Billion,188,188
"Lights and light fixtures, switch boards, transformers, and home appliances",US-FL,2821640854,2.8 Billion,10563,10.6 K
Print media and printing support,US-FL,2690524251,2.7 Billion,13681,13.7 K
Film and sound-based entertainment,US-FL,2619196189,2.6 Billion,10988,11 K
"Metal ores, dimensional stone, nonmetallic minerals",US-FL,2087734840,2.1 Billion,3456,3.5 K
Furniture and shelving,US-FL,1912130121,1.9 Billion,12265,12.3 K
Passenger ground transport,US-FL,1888863129,1.9 Billion,14851,14.9 K
Rail transport,US-FL,1463461932,1.5 Billion,39,39.0
Textiles and textile-dervied products (except clothes),US-FL,966219882,966.2 Million,5346,5.3 K
Clothing and leather,US-FL,588441688,588.4 Million,4183,4.2 K
Pipeline transport,US-FL,361714099,361.7 Million,673,673
"Scrap, used and secondhand goods",US-FL,342712040,342.7 Million,620,620
Noncomparable imports and rest-of-the-world adjustment,US-FL,134721150,134.7 Million,67,67.0
Well drilling and support activities for mining,US-FL,127996923,128 Million,476,476
Unrefined oil and gas,US-FL,42810046,42.8 Million,34,34.0
