Commodity,Location,Output,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2273.1 Billion,8.7 Million
Housing,RoUS,2248.5 Billion,373.3 K
Wholesale trade,RoUS,2030.2 Billion,5.5 Million
State and local general government,RoUS,1879.4 Billion,4.1 Million
Construction,RoUS,1819.4 Billion,7.4 Million
Other real estate,RoUS,1385.2 Billion,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1335.6 Billion,2.4 Million
Hospitals,RoUS,1128.7 Billion,6.7 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1108.7 Billion,7.5 Million
Other retail,RoUS,1087.5 Billion,6.5 Million
Administrative and support services,RoUS,1014.5 Billion,7.9 Million
Food and beverage and tobacco products,RoUS,956.8 Billion,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,941.5 Billion,2.4 Million
"Other services, except government",RoUS,859.2 Billion,4.7 Million
Food and beverage establishments,RoUS,852.8 Billion,10.5 Million
"Radio, TV, telecommunication",RoUS,731 Billion,769.9 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,711.9 Billion,796.7 K
"Financial investments, exchanges, and advising",RoUS,682.3 Billion,975.5 K
Federal general government (defense),RoUS,679.6 Billion,518.4 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,672.2 Billion,938.7 K
Company and enterprise management,RoUS,650.4 Billion,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,618.4 Billion,874.4 K
Computer programming and systems design,RoUS,565.6 Billion,2.5 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,474.2 Billion,858.4 K
Federal general government (nondefense),RoUS,420 Billion,999.7 K
Educational institutions and services,RoUS,394.8 Billion,10.1 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,394.3 Billion,792 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,384.8 Billion,116.4 K
Truck transport,RoUS,367.4 Billion,1.4 Million
Legal services,RoUS,365.7 Billion,1.1 Million
"Media, literature, and software",RoUS,347.7 Billion,602.8 K
Machinery (except computers),RoUS,346 Billion,958.8 K
"Data processing, internet publishing, and other information services",RoUS,339.6 Billion,591.1 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,335.3 Billion,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,310.7 Billion,873.4 K
