Commodity,Location,Output,Jobs
"Couriers, messengers, transportation for leisure activities",RoUS,281.5 Billion,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,253 Billion,3.3 Million
Food and beverage stores,RoUS,248.3 Billion,2.7 Million
General merchandise stores,RoUS,241.5 Billion,2.7 Million
"Child day care, community food services, housing services, and other relief services",RoUS,235.1 Billion,4 Million
Vehicles and parts sales,RoUS,234.7 Billion,1.4 Million
Plastics and rubber products,RoUS,233.8 Billion,677 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,220.6 Billion,670.4 K
Primary and secondary ferrous and nonferrous metals,RoUS,213.3 Billion,352.8 K
Unrefined oil and gas,RoUS,204.6 Billion,101.4 K
"Funds, trusts, and financial vehicles",RoUS,186.2 Billion,79.2 K
Paper products and paper production facilities,RoUS,184.2 Billion,350.2 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,171.7 Billion,541.6 K
Warehouses,RoUS,156.3 Billion,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,153.1 Billion,1.4 Million
Hotels and campgrounds,RoUS,142.4 Billion,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,129.5 Billion,379.9 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,127.9 Billion,382 K
Waste management and remediation services,RoUS,126.4 Billion,490.5 K
"Performing arts, spectator sports, museums, and related activities",RoUS,124.7 Billion,555.3 K
Film and sound-based entertainment,RoUS,124.3 Billion,274.5 K
Air transport,RoUS,123.3 Billion,453.6 K
"Wood products (e.g. plywood, veneer)",RoUS,112.6 Billion,395.4 K
Other state and local government enterprises including transit and utilities,RoUS,109.9 Billion,46.3 K
Well drilling and support activities for mining,RoUS,88.6 Billion,231.1 K
Passenger ground transport,RoUS,81.5 Billion,603.9 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,77.5 Billion,137.2 K
Rail transport,RoUS,71.4 Billion,743
Furniture and shelving,RoUS,66.8 Billion,344.9 K
Housing,US-MD,65.2 Billion,7.1 K
Print media and printing support,RoUS,64.6 Billion,309.7 K
Federal electric utilities and postal service,RoUS,64.3 Billion,494.5 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,62.2 Billion,456.3 K
Pipeline transport,RoUS,60.1 Billion,57.7 K
"Miscellaneous professional, scientific, and technical services",US-MD,51.1 Billion,205.8 K
Construction,US-MD,50 Billion,162.3 K
Textiles and textile-dervied products (except clothes),RoUS,45.3 Billion,184.1 K
Federal general government (nondefense),US-MD,41 Billion,4.9 K
"Water transport (boats, ships, ferries)",RoUS,39.2 Billion,65.1 K
State and local general government,US-MD,37.2 Billion,2.7 K
Wholesale trade,US-MD,29.5 Billion,78.4 K
Hospitals,US-MD,22.6 Billion,112.3 K
"Healthcare professions, laboratories, and ambulances",US-MD,22.6 Billion,142.9 K
Clothing and leather,RoUS,21.3 Billion,122.4 K
"Insurance agencies, carriers, and brokerages",US-MD,21.1 Billion,32.2 K
Federal general government (defense),US-MD,20.9 Billion,37 K
Administrative and support services,US-MD,20.1 Billion,146.5 K
"Other services, except government",US-MD,17.2 Billion,92.4 K
Computer programming and systems design,US-MD,17.1 Billion,82.2 K
Other real estate,US-MD,16.8 Billion,26.7 K
Other retail,US-MD,16.7 Billion,107.2 K
Food and beverage establishments,US-MD,16.6 Billion,178.2 K
"Radio, TV, telecommunication",US-MD,14.6 Billion,12.3 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-MD,13.9 Billion,12.8 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-MD,13.6 Billion,14 K
Food and beverage and tobacco products,US-MD,10.7 Billion,23.8 K
"Financial investments, exchanges, and advising",US-MD,9.7 Billion,17.3 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-MD,9.6 Billion,35 K
Educational institutions and services,US-MD,9.5 Billion,209.6 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-MD,8.9 Billion,14.7 K
"Scrap, used and secondhand goods",RoUS,8.2 Billion,22.3 K
Company and enterprise management,US-MD,7.4 Billion,26.4 K
"Funds, trusts, and financial vehicles",US-MD,6.9 Billion,458
Food and beverage stores,US-MD,6.7 Billion,58.3 K
Federal electric utilities and postal service,US-MD,6.6 Billion,11.7 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-MD,6.2 Billion,14.6 K
Legal services,US-MD,5.9 Billion,17.7 K
"Nursing, community, mental health, and substance abuse facilities",US-MD,5.8 Billion,67.3 K
General merchandise stores,US-MD,5 Billion,44.7 K
"Media, literature, and software",US-MD,4.9 Billion,10.6 K
"Couriers, messengers, transportation for leisure activities",US-MD,4.9 Billion,32.6 K
Truck transport,US-MD,4.1 Billion,16.3 K
"Child day care, community food services, housing services, and other relief services",US-MD,3.6 Billion,45.5 K
Warehouses,US-MD,3.1 Billion,31.1 K
Vehicles and parts sales,US-MD,3 Billion,24.9 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3 Billion,7.1 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-MD,2.9 Billion,23.5 K
Plastics and rubber products,US-MD,2.9 Billion,5.9 K
Hotels and campgrounds,US-MD,2.8 Billion,21.9 K
Machinery (except computers),US-MD,2.7 Billion,5.8 K
Waste management and remediation services,US-MD,2.4 Billion,10.4 K
"Data processing, internet publishing, and other information services",US-MD,2.3 Billion,8 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-MD,2.2 Billion,4.9 K
Fabricated metal products (e.g. architectural and structural metal products),US-MD,2.1 Billion,7.4 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-MD,1.9 Billion,700
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-MD,1.7 Billion,4.7 K
"Performing arts, spectator sports, museums, and related activities",US-MD,1.6 Billion,8.2 K
Air transport,US-MD,1.6 Billion,4 K
Passenger ground transport,US-MD,1.6 Billion,18.6 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-MD,1.6 Billion,3.7 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-MD,1.2 Billion,4.2 K
Other state and local government enterprises including transit and utilities,US-MD,1.2 Billion,44.0
Print media and printing support,US-MD,1.1 Billion,5.3 K
"Wood products (e.g. plywood, veneer)",US-MD,1.1 Billion,2.6 K
Paper products and paper production facilities,US-MD,786.5 Million,2.3 K
Rail transport,US-MD,774.6 Million,22.0
Furniture and shelving,US-MD,767.6 Million,3.3 K
"Water transport (boats, ships, ferries)",US-MD,661.1 Million,1.1 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-MD,660.3 Million,1.4 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-MD,630.8 Million,2.3 K
Film and sound-based entertainment,US-MD,624.3 Million,2.1 K
Primary and secondary ferrous and nonferrous metals,US-MD,515.8 Million,943
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-MD,418.7 Million,1.4 K
"Metal ores, dimensional stone, nonmetallic minerals",US-MD,404.4 Million,765
Textiles and textile-dervied products (except clothes),US-MD,310.1 Million,1.1 K
Noncomparable imports and rest-of-the-world adjustment,US-MD,289.7 Million,35.0
Clothing and leather,US-MD,181.6 Million,1.1 K
Pipeline transport,US-MD,116.9 Million,121
"Scrap, used and secondhand goods",US-MD,99 Million,111
Well drilling and support activities for mining,US-MD,55.9 Million,265
Unrefined oil and gas,US-MD,4.1 Million,14.0
