Commodity,Location,TotalCommodityOutput,Jobs
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,128.6 Billion,382.7 K
Primary and secondary ferrous and nonferrous metals,RoUS,211.0 Billion,349.6 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,335.4 Billion,1.3 Million
Machinery (except computers),RoUS,345.6 Billion,954.0 K
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,316.2 Billion,884.6 K
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,128.7 Billion,376.3 K
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,611.6 Billion,864.5 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,219.8 Billion,663.7 K
Furniture and shelving,RoUS,65.5 Billion,332.5 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,173.1 Billion,543.7 K
Food and beverage and tobacco products,RoUS,961.8 Billion,2.0 Million
Textiles and textile-dervied products (except clothes),RoUS,44.8 Billion,184.1 K
Clothing and leather,RoUS,21.3 Billion,122.0 K
Paper products and paper production facilities,RoUS,183.0 Billion,349.3 K
Print media and printing support,RoUS,65.4 Billion,314.1 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,381.6 Billion,115.1 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,721.7 Billion,802.4 K
Plastics and rubber products,RoUS,234.5 Billion,676.2 K
Wholesale trade,RoUS,2049.5 Billion,5.5 Million
Vehicles and parts sales,RoUS,236.2 Billion,1.4 Million
Food and beverage stores,RoUS,253.3 Billion,2.7 Million
General merchandise stores,RoUS,243.3 Billion,2.7 Million
Other retail,RoUS,1096.3 Billion,6.6 Million
Air transport,RoUS,124.9 Billion,457.4 K
Rail transport,RoUS,71.6 Billion,766.0
"Water transport (boats, ships, ferries)",RoUS,39.3 Billion,65.2 K
Truck transport,RoUS,367.1 Billion,1.4 Million
Passenger ground transport,RoUS,82.9 Billion,620.7 K
Pipeline transport,RoUS,59.9 Billion,56.9 K
"Couriers, messengers, transportation for leisure activities",RoUS,284.7 Billion,1.7 Million
Warehouses,RoUS,157.5 Billion,1.5 Million
"Media, literature, and software",RoUS,352.2 Billion,611.7 K
Film and sound-based entertainment,RoUS,124.8 Billion,276.0 K
"Radio, TV, telecommunication",RoUS,742.7 Billion,776.6 K
"Data processing, internet publishing, and other information services",RoUS,341.6 Billion,597.9 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,947.1 Billion,2.4 Million
"Financial investments, exchanges, and advising",RoUS,691.5 Billion,991.0 K
"Insurance agencies, carriers, and brokerages",RoUS,1351.3 Billion,2.4 Million
"Funds, trusts, and financial vehicles",RoUS,192.5 Billion,81.6 K
Housing,RoUS,2298.9 Billion,377.7 K
Other real estate,RoUS,1398.2 Billion,1.3 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,481.0 Billion,866.8 K
Legal services,RoUS,370.3 Billion,1.1 Million
Computer programming and systems design,RoUS,581.5 Billion,2.6 Million
"Miscellaneous professional, scientific, and technical services",RoUS,2318.5 Billion,8.9 Million
Company and enterprise management,RoUS,655.4 Billion,2.2 Million
Administrative and support services,RoUS,1029.6 Billion,7.9 Million
Waste management and remediation services,RoUS,128.1 Billion,498.4 K
Educational institutions and services,RoUS,402.5 Billion,10.2 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1123.9 Billion,7.6 Million
Hospitals,RoUS,1145.3 Billion,6.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,257.1 Billion,3.4 Million
"Child day care, community food services, housing services, and other relief services",RoUS,237.3 Billion,4.0 Million
"Performing arts, spectator sports, museums, and related activities",RoUS,126.2 Billion,561.8 K
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,155.1 Billion,1.5 Million
Hotels and campgrounds,RoUS,143.7 Billion,1.4 Million
Food and beverage establishments,RoUS,863.0 Billion,10.6 Million
"Other services, except government",RoUS,871.0 Billion,4.8 Million
Federal general government (defense),RoUS,695.7 Billion,549.1 K
Federal general government (nondefense),RoUS,457.6 Billion,1.1 Million
Federal electric utilities and postal service,RoUS,70.4 Billion,504.3 K
State and local general government,RoUS,1900.3 Billion,4.2 Million
Other state and local government enterprises including transit and utilities,RoUS,110.6 Billion,46.9 K
"Scrap, used and secondhand goods",RoUS,8.3 Billion,22.6 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3.2 Billion,7.8 K
