Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2316658418338,2.3 Trillion,8879609,8.9 Million
Housing,RoUS,2301127941871,2.3 Trillion,379388,379.4 K
Wholesale trade,RoUS,2050695753650,2.1 Trillion,5506433,5.5 Million
State and local general government,RoUS,1907389391850,1.9 Trillion,4254912,4.3 Million
Construction,RoUS,1859841880296,1.9 Trillion,7545915,7.5 Million
Other real estate,RoUS,1398814754692,1.4 Trillion,1345576,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1353228002282,1.4 Trillion,2428934,2.4 Million
Hospitals,RoUS,1145951498120,1.1 Trillion,6773508,6.8 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1126288226951,1.1 Trillion,7617684,7.6 Million
Other retail,RoUS,1097930478004,1.1 Trillion,6614782,6.6 Million
Administrative and support services,RoUS,1029813181737,1.0 Trillion,7954332,8 Million
Food and beverage and tobacco products,RoUS,958260768202,958.3 Billion,1985336,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,948702734645,948.7 Billion,2407270,2.4 Million
"Other services, except government",RoUS,872882330201,872.9 Billion,4773968,4.8 Million
Food and beverage establishments,RoUS,865601209315,865.6 Billion,10652123,10.7 Million
"Radio, TV, telecommunication",RoUS,744346663240,744.3 Billion,779697,779.7 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,724502697732,724.5 Billion,807561,807.6 K
Federal general government (defense),RoUS,699178760407,699.2 Billion,553754,553.8 K
"Financial investments, exchanges, and advising",RoUS,691025255189,691.0 Billion,989673,989.7 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,683479740766,683.5 Billion,949363,949.4 K
Company and enterprise management,RoUS,656081169083,656.1 Billion,2238421,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,618477239348,618.5 Billion,873373,873.4 K
Computer programming and systems design,RoUS,581328302671,581.3 Billion,2587319,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,481799199505,481.8 Billion,869230,869.2 K
Federal general government (nondefense),RoUS,459041378874,459.0 Billion,1109365,1.1 Million
Educational institutions and services,RoUS,402948094157,402.9 Billion,10285040,10.3 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,386630540629,386.6 Billion,779134,779.1 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,386544021651,386.5 Billion,116843,116.8 K
Legal services,RoUS,370884225357,370.9 Billion,1126892,1.1 Million
Truck transport,RoUS,369202109263,369.2 Billion,1447313,1.4 Million
"Media, literature, and software",RoUS,352058972676,352.1 Billion,611230,611.2 K
Machinery (except computers),RoUS,347993579407,348.0 Billion,961223,961.2 K
"Data processing, internet publishing, and other information services",RoUS,341372800569,341.4 Billion,597680,597.7 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,336081683478,336.1 Billion,1294898,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,314457607832,314.5 Billion,878884,878.9 K
"Couriers, messengers, transportation for leisure activities",RoUS,285421679166,285.4 Billion,1745352,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,257722767397,257.7 Billion,3384026,3.4 Million
Food and beverage stores,RoUS,253547772509,253.5 Billion,2747164,2.7 Million
General merchandise stores,RoUS,244797773728,244.8 Billion,2754609,2.8 Million
"Child day care, community food services, housing services, and other relief services",RoUS,237858735349,237.9 Billion,4016620,4 Million
Vehicles and parts sales,RoUS,236557594704,236.6 Billion,1367248,1.4 Million
Plastics and rubber products,RoUS,235928585939,235.9 Billion,680802,680.8 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,221613724843,221.6 Billion,673541,673.5 K
Primary and secondary ferrous and nonferrous metals,RoUS,213393259418,213.4 Billion,353442,353.4 K
Unrefined oil and gas,RoUS,204575999346,204.6 Billion,101437,101.4 K
"Funds, trusts, and financial vehicles",RoUS,191686696871,191.7 Billion,81975,82 K
Paper products and paper production facilities,RoUS,184075838720,184.1 Billion,350708,350.7 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,173487324931,173.5 Billion,544486,544.5 K
Warehouses,RoUS,159022303522,159.0 Billion,1481546,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,155157498428,155.2 Billion,1452669,1.5 Million
Hotels and campgrounds,RoUS,144495682017,144.5 Billion,1412193,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,129701836115,129.7 Billion,380705,380.7 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,129066712974,129.1 Billion,383950,383.9 K
Waste management and remediation services,RoUS,127727327735,127.7 Billion,498185,498.2 K
"Performing arts, spectator sports, museums, and related activities",RoUS,126160999647,126.2 Billion,561986,562 K
Film and sound-based entertainment,RoUS,124855168391,124.9 Billion,275988,276 K
Air transport,RoUS,124744606043,124.7 Billion,456536,456.5 K
"Wood products (e.g. plywood, veneer)",RoUS,111573668190,111.6 Billion,391305,391.3 K
Other state and local government enterprises including transit and utilities,RoUS,110800608897,110.8 Billion,46977,47 K
Well drilling and support activities for mining,RoUS,88472714421,88.5 Billion,230981,231 K
Passenger ground transport,RoUS,82941387462,82.9 Billion,620704,620.7 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,77128754917,77.1 Billion,136540,136.5 K
Rail transport,RoUS,71618397707,71.6 Billion,766,766
Federal electric utilities and postal service,RoUS,70618829770,70.6 Billion,506483,506.5 K
Furniture and shelving,RoUS,67339033509,67.3 Billion,346438,346.4 K
Print media and printing support,RoUS,65460223794,65.5 Billion,314033,314 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,61690413803,61.7 Billion,452223,452.2 K
Pipeline transport,RoUS,60224125178,60.2 Billion,57776,57.8 K
Textiles and textile-dervied products (except clothes),RoUS,45576556267,45.6 Billion,184877,184.9 K
"Water transport (boats, ships, ferries)",RoUS,39848855597,39.8 Billion,66122,66.1 K
Clothing and leather,RoUS,21448470204,21.4 Billion,123235,123.2 K
Housing,US-ID,12632058129,12.6 Billion,994,994
Construction,US-ID,9647119704,9.6 Billion,54318,54.3 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-ID,9426459371,9.4 Billion,17617,17.6 K
Food and beverage and tobacco products,US-ID,9190231798,9.2 Billion,20376,20.4 K
State and local general government,US-ID,9154608150,9.2 Billion,1433,1.4 K
Wholesale trade,US-ID,8930246350,8.9 Billion,29785,29.8 K
"Scrap, used and secondhand goods",RoUS,8268345100,8.3 Billion,22614,22.6 K
"Miscellaneous professional, scientific, and technical services",US-ID,7524581662,7.5 Billion,42509,42.5 K
Other retail,US-ID,6309521996,6.3 Billion,39468,39.5 K
Hospitals,US-ID,5345501880,5.3 Billion,32727,32.7 K
"Healthcare professions, laboratories, and ambulances",US-ID,5003773049,5.0 Billion,44247,44.2 K
Administrative and support services,US-ID,4731818263,4.7 Billion,43197,43.2 K
Food and beverage establishments,US-ID,3795790685,3.8 Billion,60507,60.5 K
"Other services, except government",US-ID,3473669799,3.5 Billion,24450,24.4 K
"Insurance agencies, carriers, and brokerages",US-ID,3441997718,3.4 Billion,10530,10.5 K
Other real estate,US-ID,3255245308,3.3 Billion,5974,6 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3245371931,3.2 Billion,7843,7.8 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-ID,2647259234,2.6 Billion,3671,3.7 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-ID,2432392168,2.4 Billion,9041,9 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-ID,2364265355,2.4 Billion,11169,11.2 K
Truck transport,US-ID,2346890737,2.3 Billion,10153,10.2 K
"Wood products (e.g. plywood, veneer)",US-ID,2068331810,2.1 Billion,6642,6.6 K
Federal general government (nondefense),US-ID,1927621126,1.9 Billion,598,598
General merchandise stores,US-ID,1699226272,1.7 Billion,17506,17.5 K
Company and enterprise management,US-ID,1677830917,1.7 Billion,6994,7 K
Food and beverage stores,US-ID,1546227491,1.5 Billion,13953,14 K
Computer programming and systems design,US-ID,1387697329,1.4 Billion,8697,8.7 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-ID,1344800495,1.3 Billion,3888,3.9 K
"Funds, trusts, and financial vehicles",US-ID,1344303129,1.3 Billion,106,106
Fabricated metal products (e.g. architectural and structural metal products),US-ID,1339316522,1.3 Billion,5053,5.1 K
Federal general government (defense),US-ID,1298239593,1.3 Billion,1613,1.6 K
Educational institutions and services,US-ID,1273905843,1.3 Billion,50142,50.1 K
"Radio, TV, telecommunication",US-ID,1186336760,1.2 Billion,2525,2.5 K
Waste management and remediation services,US-ID,1151672265,1.2 Billion,3982,4 K
Vehicles and parts sales,US-ID,1102405296,1.1 Billion,9656,9.7 K
"Nursing, community, mental health, and substance abuse facilities",US-ID,1065232603,1.1 Billion,15777,15.8 K
"Financial investments, exchanges, and advising",US-ID,1029744811,1.0 Billion,3135,3.1 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-ID,1020302268,1.0 Billion,3416,3.4 K
"Couriers, messengers, transportation for leisure activities",US-ID,993320834,993.3 Million,6758,6.8 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-ID,952586197,952.6 Million,5955,6 K
Paper products and paper production facilities,US-ID,910161280,910.2 Million,1849,1.8 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-ID,847501572,847.5 Million,10034,10 K
"Child day care, community food services, housing services, and other relief services",US-ID,829264651,829.3 Million,15755,15.8 K
"Metal ores, dimensional stone, nonmetallic minerals",US-ID,772245083,772.2 Million,1478,1.5 K
Plastics and rubber products,US-ID,722414061,722.4 Million,1939,1.9 K
Legal services,US-ID,700774643,700.8 Million,3744,3.7 K
Machinery (except computers),US-ID,689420593,689.4 Million,3327,3.3 K
Hotels and campgrounds,US-ID,635317983,635.3 Million,8710,8.7 K
Rail transport,US-ID,587602293,587.6 Million,0,0.0
On-road vehicles (excluding motorcycles) and accompanying parts,US-ID,563760652,563.8 Million,2539,2.5 K
"Media, literature, and software",US-ID,527027324,527 Million,2033,2 K
"Data processing, internet publishing, and other information services",US-ID,497199431,497.2 Million,1669,1.7 K
Primary and secondary ferrous and nonferrous metals,US-ID,435740582,435.7 Million,400,400
"Lights and light fixtures, switch boards, transformers, and home appliances",US-ID,383163885,383.2 Million,1540,1.5 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-ID,374675069,374.7 Million,2437,2.4 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-ID,348287026,348.3 Million,1733,1.7 K
Federal electric utilities and postal service,US-ID,311170230,311.2 Million,2041,2 K
Other state and local government enterprises including transit and utilities,US-ID,290391103,290.4 Million,12,12.0
Warehouses,US-ID,282696478,282.7 Million,2378,2.4 K
Furniture and shelving,US-ID,255966491,256 Million,1792,1.8 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-ID,219275157,219.3 Million,1108,1.1 K
Air transport,US-ID,201393957,201.4 Million,1024,1 K
Print media and printing support,US-ID,186776206,186.8 Million,1061,1.1 K
Passenger ground transport,US-ID,167612538,167.6 Million,1893,1.9 K
"Performing arts, spectator sports, museums, and related activities",US-ID,159000353,159 Million,1811,1.8 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-ID,152978349,153 Million,144,144
Well drilling and support activities for mining,US-ID,141285579,141.3 Million,374,374
Textiles and textile-dervied products (except clothes),US-ID,83443733,83.4 Million,328,328
Film and sound-based entertainment,US-ID,63831609,63.8 Million,607,607
"Scrap, used and secondhand goods",US-ID,54654900,54.7 Million,127,127
Clothing and leather,US-ID,45529796,45.5 Million,345,345
Pipeline transport,US-ID,33874822,33.9 Million,54,54.0
"Water transport (boats, ships, ferries)",US-ID,29144403,29.1 Million,67,67.0
Noncomparable imports and rest-of-the-world adjustment,US-ID,13628069,13.6 Million,4,4.0
Unrefined oil and gas,US-ID,654,654,0,0.0
