Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2319581883045,2.3 Trillion,8903496,8.9 Million
Housing,RoUS,2304062406592,2.3 Trillion,379656,379.7 K
Wholesale trade,RoUS,2056297968183,2.1 Trillion,5525825,5.5 Million
State and local general government,RoUS,1909437001792,1.9 Trillion,4275340,4.3 Million
Construction,RoUS,1863645210195,1.9 Trillion,7576295,7.6 Million
Other real estate,RoUS,1399524842178,1.4 Trillion,1347798,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1345460696610,1.3 Trillion,2433640,2.4 Million
Hospitals,RoUS,1145683763523,1.1 Trillion,6781321,6.8 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1128369720172,1.1 Trillion,7641755,7.6 Million
Other retail,RoUS,1101658806413,1.1 Trillion,6631756,6.6 Million
Administrative and support services,RoUS,1031353349150,1.0 Trillion,7971821,8 Million
Food and beverage and tobacco products,RoUS,963834273617,963.8 Billion,1995791,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,934424968342,934.4 Billion,2392015,2.4 Million
"Other services, except government",RoUS,874438858982,874.4 Billion,4785267,4.8 Million
Food and beverage establishments,RoUS,867002771184,867.0 Billion,10679405,10.7 Million
"Radio, TV, telecommunication",RoUS,744657762692,744.7 Billion,780607,780.6 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,722267975055,722.3 Billion,807665,807.7 K
Federal general government (defense),RoUS,699172207827,699.2 Billion,553946,553.9 K
"Financial investments, exchanges, and advising",RoUS,688519067930,688.5 Billion,984752,984.8 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,684150298905,684.2 Billion,950600,950.6 K
Company and enterprise management,RoUS,654905565682,654.9 Billion,2237366,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,618947512411,618.9 Billion,875670,875.7 K
Computer programming and systems design,RoUS,581590050850,581.6 Billion,2590093,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,474412371202,474.4 Billion,869025,869 K
Federal general government (nondefense),RoUS,460145477178,460.1 Billion,1115759,1.1 Million
Educational institutions and services,RoUS,403379373233,403.4 Billion,10306293,10.3 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,394889390074,394.9 Billion,795712,795.7 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,385439680501,385.4 Billion,116390,116.4 K
Truck transport,RoUS,370933562337,370.9 Billion,1454886,1.5 Million
Legal services,RoUS,369079438413,369.1 Billion,1124556,1.1 Million
"Media, literature, and software",RoUS,352248427817,352.2 Billion,612219,612.2 K
Machinery (except computers),RoUS,348333161390,348.3 Billion,963505,963.5 K
"Data processing, internet publishing, and other information services",RoUS,341551966278,341.6 Billion,598838,598.8 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,337049252596,337.0 Billion,1298739,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,316281143337,316.3 Billion,885574,885.6 K
"Couriers, messengers, transportation for leisure activities",RoUS,285625356087,285.6 Billion,1746949,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,257810753105,257.8 Billion,3388283,3.4 Million
Food and beverage stores,RoUS,254250918222,254.3 Billion,2751952,2.8 Million
General merchandise stores,RoUS,245833947592,245.8 Billion,2764249,2.8 Million
"Child day care, community food services, housing services, and other relief services",RoUS,237970836158,238.0 Billion,4017567,4 Million
Vehicles and parts sales,RoUS,237230216368,237.2 Billion,1372245,1.4 Million
Plastics and rubber products,RoUS,236048941638,236.0 Billion,681343,681.3 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,221681402740,221.7 Billion,674141,674.1 K
Primary and secondary ferrous and nonferrous metals,RoUS,213712613203,213.7 Billion,353566,353.6 K
Unrefined oil and gas,RoUS,204575128044,204.6 Billion,101436,101.4 K
"Funds, trusts, and financial vehicles",RoUS,192670173664,192.7 Billion,82342,82.3 K
Paper products and paper production facilities,RoUS,184524816307,184.5 Billion,352394,352.4 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,173484549205,173.5 Billion,545782,545.8 K
Warehouses,RoUS,158646464940,158.6 Billion,1477949,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,155536349973,155.5 Billion,1456934,1.5 Million
Hotels and campgrounds,RoUS,144847022441,144.8 Billion,1417501,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,129829846171,129.8 Billion,381335,381.3 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,129198666444,129.2 Billion,385036,385 K
Waste management and remediation services,RoUS,128562815597,128.6 Billion,500900,500.9 K
"Performing arts, spectator sports, museums, and related activities",RoUS,126204394934,126.2 Billion,562562,562.6 K
Air transport,RoUS,124883954847,124.9 Billion,457405,457.4 K
Film and sound-based entertainment,RoUS,124881894192,124.9 Billion,276350,276.4 K
"Wood products (e.g. plywood, veneer)",RoUS,113567123095,113.6 Billion,397634,397.6 K
Other state and local government enterprises including transit and utilities,RoUS,110865273181,110.9 Billion,47026,47 K
Well drilling and support activities for mining,RoUS,88613858213,88.6 Billion,231322,231.3 K
Passenger ground transport,RoUS,82932855376,82.9 Billion,620965,621 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,77877928422,77.9 Billion,137975,138 K
Rail transport,RoUS,71913716508,71.9 Billion,760,760
Federal electric utilities and postal service,RoUS,70797024724,70.8 Billion,507092,507.1 K
Furniture and shelving,RoUS,67513456671,67.5 Billion,347594,347.6 K
Print media and printing support,RoUS,65581278680,65.6 Billion,314731,314.7 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,62553013781,62.6 Billion,457965,458 K
Pipeline transport,RoUS,60244083988,60.2 Billion,57808,57.8 K
Textiles and textile-dervied products (except clothes),RoUS,45513243620,45.5 Billion,184846,184.8 K
"Water transport (boats, ships, ferries)",RoUS,39812379989,39.8 Billion,66130,66.1 K
Clothing and leather,RoUS,21457324470,21.5 Billion,122792,122.8 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-DE,16642031658,16.6 Billion,26424,26.4 K
"Insurance agencies, carriers, and brokerages",US-DE,11209303390,11.2 Billion,5826,5.8 K
Housing,US-DE,9697593408,9.7 Billion,729,729
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-DE,8731628798,8.7 Billion,4101,4.1 K
"Scrap, used and secondhand goods",RoUS,8293710236,8.3 Billion,22737,22.7 K
State and local general government,US-DE,7106998208,7.1 Billion,45,45.0
Construction,US-DE,5843789805,5.8 Billion,24165,24.2 K
Hospitals,US-DE,5613236477,5.6 Billion,27106,27.1 K
"Miscellaneous professional, scientific, and technical services",US-DE,4601116955,4.6 Billion,19831,19.8 K
Food and beverage and tobacco products,US-DE,3616726383,3.6 Billion,9940,9.9 K
"Financial investments, exchanges, and advising",US-DE,3535932070,3.5 Billion,8056,8.1 K
Wholesale trade,US-DE,3328031817,3.3 Billion,10490,10.5 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-DE,3255024945,3.3 Billion,2994,3 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3253177784,3.3 Billion,7888,7.9 K
Administrative and support services,US-DE,3191650850,3.2 Billion,25797,25.8 K
"Healthcare professions, laboratories, and ambulances",US-DE,2922279828,2.9 Billion,20528,20.5 K
Company and enterprise management,US-DE,2853434318,2.9 Billion,8049,8 K
Other retail,US-DE,2581193587,2.6 Billion,22489,22.5 K
Other real estate,US-DE,2545157822,2.5 Billion,3762,3.8 K
Legal services,US-DE,2505561587,2.5 Billion,6080,6.1 K
Food and beverage establishments,US-DE,2394228816,2.4 Billion,33335,33.3 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-DE,1976701095,2.0 Billion,2525,2.5 K
"Other services, except government",US-DE,1917141018,1.9 Billion,13164,13.2 K
Federal general government (defense),US-DE,1304792173,1.3 Billion,1420,1.4 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-DE,1257319499,1.3 Billion,657,657
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-DE,1167609926,1.2 Billion,1057,1.1 K
Computer programming and systems design,US-DE,1125949150,1.1 Billion,6029,6 K
"Nursing, community, mental health, and substance abuse facilities",US-DE,977246895,977.2 Million,11521,11.5 K
"Radio, TV, telecommunication",US-DE,875237308,875.2 Million,1615,1.6 K
Food and beverage stores,US-DE,843081778,843.1 Million,9160,9.2 K
Educational institutions and services,US-DE,842626767,842.6 Million,29850,29.9 K
Federal general government (nondefense),US-DE,823522822,823.5 Million,128,128
"Couriers, messengers, transportation for leisure activities",US-DE,789643913,789.6 Million,5167,5.2 K
"Child day care, community food services, housing services, and other relief services",US-DE,717163842,717.2 Million,14843,14.8 K
General merchandise stores,US-DE,663052408,663.1 Million,7869,7.9 K
Warehouses,US-DE,658535060,658.5 Million,5975,6 K
Truck transport,US-DE,615437663,615.4 Million,2576,2.6 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-DE,608856663,608.9 Million,2483,2.5 K
Plastics and rubber products,US-DE,602058362,602.1 Million,1368,1.4 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-DE,468650027,468.7 Million,5807,5.8 K
Paper products and paper production facilities,US-DE,461183693,461.2 Million,289,289
Vehicles and parts sales,US-DE,429783632,429.8 Million,4659,4.7 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-DE,377450795,377.5 Million,1006,1 K
Fabricated metal products (e.g. architectural and structural metal products),US-DE,371747404,371.7 Million,1222,1.2 K
"Funds, trusts, and financial vehicles",US-DE,360826336,360.8 Million,23,23.0
Machinery (except computers),US-DE,349838610,349.8 Million,1028,1 K
"Media, literature, and software",US-DE,337572183,337.6 Million,900,900
"Data processing, internet publishing, and other information services",US-DE,318033722,318 Million,561,561
Waste management and remediation services,US-DE,316184403,316.2 Million,1382,1.4 K
Rail transport,US-DE,292283492,292.3 Million,6,6.0
Hotels and campgrounds,US-DE,283977559,284 Million,3500,3.5 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-DE,255153829,255.2 Million,889,889
Other state and local government enterprises including transit and utilities,US-DE,225726819,225.7 Million,8,8.0
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-DE,216333556,216.3 Million,634,634
Passenger ground transport,US-DE,176144624,176.1 Million,1639,1.6 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-DE,151597260,151.6 Million,464,464
Textiles and textile-dervied products (except clothes),US-DE,146756380,146.8 Million,374,374
Federal electric utilities and postal service,US-DE,132975276,133 Million,1519,1.5 K
Primary and secondary ferrous and nonferrous metals,US-DE,116386797,116.4 Million,192,192
"Performing arts, spectator sports, museums, and related activities",US-DE,115605066,115.6 Million,1267,1.3 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-DE,93487589,93.5 Million,208,208
