Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2237992133622,2.2 Trillion,8544187,8.5 Million
Housing,RoUS,2196901050197,2.2 Trillion,369041,369 K
Wholesale trade,RoUS,1953164970257,2.0 Trillion,5262175,5.3 Million
State and local general government,RoUS,1841836057418,1.8 Trillion,3991344,4 Million
Construction,RoUS,1807663904957,1.8 Trillion,7373817,7.4 Million
Other real estate,RoUS,1371949086199,1.4 Trillion,1304310,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1266892471424,1.3 Trillion,2314234,2.3 Million
Hospitals,RoUS,1098005924429,1.1 Trillion,6513969,6.5 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1092981392280,1.1 Trillion,7404574,7.4 Million
Other retail,RoUS,1065738502913,1.1 Trillion,6407937,6.4 Million
Administrative and support services,RoUS,986525351033,986.5 Billion,7622770,7.6 Million
Food and beverage and tobacco products,RoUS,922242906168,922.2 Billion,1910301,1.9 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,908359119139,908.4 Billion,2307495,2.3 Million
"Other services, except government",RoUS,838458241356,838.5 Billion,4582153,4.6 Million
Food and beverage establishments,RoUS,834499859434,834.5 Billion,10308616,10.3 Million
"Radio, TV, telecommunication",RoUS,724332190859,724.3 Billion,755460,755.5 K
Federal general government (defense),RoUS,691918581978,691.9 Billion,546127,546.1 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,676553797187,676.6 Billion,761358,761.4 K
"Financial investments, exchanges, and advising",RoUS,661324491827,661.3 Billion,940242,940.2 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,659218136360,659.2 Billion,917628,917.6 K
Company and enterprise management,RoUS,632691853542,632.7 Billion,2164390,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,600504699911,600.5 Billion,837578,837.6 K
Computer programming and systems design,RoUS,561800712905,561.8 Billion,2495700,2.5 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,462812523095,462.8 Billion,835963,836 K
Federal general government (nondefense),RoUS,448738174328,448.7 Billion,1055503,1.1 Million
Educational institutions and services,RoUS,385796790999,385.8 Billion,9896486,9.9 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,378175718327,378.2 Billion,782104,782.1 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,367717357390,367.7 Billion,111228,111.2 K
Truck transport,RoUS,351957477852,352.0 Billion,1384001,1.4 Million
Legal services,RoUS,348344016936,348.3 Billion,1078398,1.1 Million
"Media, literature, and software",RoUS,340424958226,340.4 Billion,586151,586.2 K
"Data processing, internet publishing, and other information services",RoUS,332495103076,332.5 Billion,576342,576.3 K
Machinery (except computers),RoUS,320729725982,320.7 Billion,903475,903.5 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,316169093972,316.2 Billion,1219298,1.2 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,308259246254,308.3 Billion,861154,861.2 K
"Couriers, messengers, transportation for leisure activities",RoUS,272375646531,272.4 Billion,1670848,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,247796962494,247.8 Billion,3267685,3.3 Million
Food and beverage stores,RoUS,242672869253,242.7 Billion,2658569,2.7 Million
General merchandise stores,RoUS,233049513056,233.0 Billion,2651882,2.7 Million
Vehicles and parts sales,RoUS,231621891354,231.6 Billion,1328779,1.3 Million
"Child day care, community food services, housing services, and other relief services",RoUS,229946579819,229.9 Billion,3898272,3.9 Million
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,220146038324,220.1 Billion,667477,667.5 K
Plastics and rubber products,RoUS,219510222988,219.5 Billion,641790,641.8 K
Primary and secondary ferrous and nonferrous metals,RoUS,205907421550,205.9 Billion,335244,335.2 K
Unrefined oil and gas,RoUS,204262555211,204.3 Billion,100811,100.8 K
"Funds, trusts, and financial vehicles",RoUS,183385838933,183.4 Billion,77249,77.2 K
Paper products and paper production facilities,RoUS,178599946709,178.6 Billion,334355,334.4 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,164204788696,164.2 Billion,520088,520.1 K
Warehouses,RoUS,152355478563,152.4 Billion,1418364,1.4 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,149539919716,149.5 Billion,1401620,1.4 Million
Hotels and campgrounds,RoUS,140566641509,140.6 Billion,1382069,1.4 Million
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,124526090617,124.5 Billion,372634,372.6 K
Waste management and remediation services,RoUS,123615184541,123.6 Billion,483017,483 K
Film and sound-based entertainment,RoUS,122895158743,122.9 Billion,270593,270.6 K
