Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2310975200910,2.3 Trillion,8842145,8.8 Million
Housing,RoUS,2291811841240,2.3 Trillion,377818,377.8 K
Wholesale trade,RoUS,2043664071598,2.0 Trillion,5482161,5.5 Million
State and local general government,RoUS,1889491935645,1.9 Trillion,4183179,4.2 Million
Construction,RoUS,1853713988236,1.9 Trillion,7512684,7.5 Million
Other real estate,RoUS,1396327377007,1.4 Trillion,1340579,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1349646359593,1.3 Trillion,2420533,2.4 Million
Hospitals,RoUS,1139573009510,1.1 Trillion,6727158,6.7 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1120464908874,1.1 Trillion,7580234,7.6 Million
Other retail,RoUS,1093175256729,1.1 Trillion,6570093,6.6 Million
Administrative and support services,RoUS,1024419020792,1.0 Trillion,7909878,7.9 Million
Food and beverage and tobacco products,RoUS,960233947821,960.2 Billion,1985202,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,946013907706,946.0 Billion,2390788,2.4 Million
"Other services, except government",RoUS,868006963526,868.0 Billion,4753394,4.8 Million
Food and beverage establishments,RoUS,859144289143,859.1 Billion,10569908,10.6 Million
"Radio, TV, telecommunication",RoUS,739880497777,739.9 Billion,772498,772.5 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,722941764700,722.9 Billion,806115,806.1 K
Federal general government (defense),RoUS,694367820351,694.4 Billion,533987,534 K
"Financial investments, exchanges, and advising",RoUS,690401098855,690.4 Billion,987403,987.4 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,678527813014,678.5 Billion,935216,935.2 K
Company and enterprise management,RoUS,653034952473,653.0 Billion,2225492,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,615939930782,615.9 Billion,870797,870.8 K
Computer programming and systems design,RoUS,580532490999,580.5 Billion,2581127,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,479484649213,479.5 Billion,861416,861.4 K
Federal general government (nondefense),RoUS,454841576984,454.8 Billion,1093973,1.1 Million
Educational institutions and services,RoUS,401456657963,401.5 Billion,10217516,10.2 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,389475756126,389.5 Billion,788812,788.8 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,379244625772,379.2 Billion,113562,113.6 K
Legal services,RoUS,369372434210,369.4 Billion,1118460,1.1 Million
Truck transport,RoUS,366938613903,366.9 Billion,1438471,1.4 Million
"Media, literature, and software",RoUS,351173935011,351.2 Billion,610016,610 K
Machinery (except computers),RoUS,342529187613,342.5 Billion,943925,943.9 K
"Data processing, internet publishing, and other information services",RoUS,341364513359,341.4 Billion,596562,596.6 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,332089330649,332.1 Billion,1277595,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,315901233336,315.9 Billion,883866,883.9 K
"Couriers, messengers, transportation for leisure activities",RoUS,284092316358,284.1 Billion,1736381,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,256494477286,256.5 Billion,3364481,3.4 Million
Food and beverage stores,RoUS,252939234179,252.9 Billion,2739997,2.7 Million
General merchandise stores,RoUS,242662979455,242.7 Billion,2734266,2.7 Million
"Child day care, community food services, housing services, and other relief services",RoUS,236767380789,236.8 Billion,3999607,4 Million
Vehicles and parts sales,RoUS,235736715799,235.7 Billion,1358634,1.4 Million
Plastics and rubber products,RoUS,233920958397,233.9 Billion,673972,674 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,219428893734,219.4 Billion,659219,659.2 K
Primary and secondary ferrous and nonferrous metals,RoUS,212605584765,212.6 Billion,350389,350.4 K
"Funds, trusts, and financial vehicles",RoUS,191463288393,191.5 Billion,80886,80.9 K
Unrefined oil and gas,RoUS,187997885838,188.0 Billion,92047,92 K
Paper products and paper production facilities,RoUS,181929502672,181.9 Billion,348859,348.9 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,172849743880,172.8 Billion,542411,542.4 K
Warehouses,RoUS,157496376141,157.5 Billion,1462626,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,154804024550,154.8 Billion,1432238,1.4 Million
Hotels and campgrounds,RoUS,144392760139,144.4 Billion,1407532,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,129275626163,129.3 Billion,378566,378.6 K
Waste management and remediation services,RoUS,127800188415,127.8 Billion,496765,496.8 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,127332665326,127.3 Billion,378956,379 K
"Performing arts, spectator sports, museums, and related activities",RoUS,125867388891,125.9 Billion,559186,559.2 K
Film and sound-based entertainment,RoUS,124771765150,124.8 Billion,275685,275.7 K
Air transport,RoUS,123559516179,123.6 Billion,456167,456.2 K
"Wood products (e.g. plywood, veneer)",RoUS,112996496118,113.0 Billion,396020,396 K
Other state and local government enterprises including transit and utilities,RoUS,110229021014,110.2 Billion,46138,46.1 K
Passenger ground transport,RoUS,82895770376,82.9 Billion,621318,621.3 K
Well drilling and support activities for mining,RoUS,81181134012,81.2 Billion,215254,215.3 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,77104057195,77.1 Billion,136208,136.2 K
Rail transport,RoUS,70894200316,70.9 Billion,765,765
Federal electric utilities and postal service,RoUS,69940843577,69.9 Billion,502635,502.6 K
Furniture and shelving,RoUS,67276697217,67.3 Billion,346018,346 K
Print media and printing support,RoUS,65312522268,65.3 Billion,313077,313.1 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,62147512055,62.1 Billion,456544,456.5 K
Pipeline transport,RoUS,52187123353,52.2 Billion,54737,54.7 K
Textiles and textile-dervied products (except clothes),RoUS,45492934343,45.5 Billion,184396,184.4 K
"Water transport (boats, ships, ferries)",RoUS,39864656570,39.9 Billion,66116,66.1 K
State and local general government,US-OK,27052064355,27.1 Billion,15512,15.5 K
Housing,US-OK,21948158760,21.9 Billion,2509,2.5 K
Clothing and leather,RoUS,21356348493,21.4 Billion,122911,122.9 K
Unrefined oil and gas,US-OK,16578114162,16.6 Billion,9205,9.2 K
Wholesale trade,US-OK,15961928402,16.0 Billion,54098,54.1 K
Construction,US-OK,15775011764,15.8 Billion,86856,86.9 K
"Miscellaneous professional, scientific, and technical services",US-OK,13207799090,13.2 Billion,77684,77.7 K
Hospitals,US-OK,11723990490,11.7 Billion,72443,72.4 K
Other retail,US-OK,11064743271,11.1 Billion,84111,84.1 K
"Healthcare professions, laboratories, and ambulances",US-OK,10827091126,10.8 Billion,80630,80.6 K
Food and beverage establishments,US-OK,10252710857,10.3 Billion,142377,142.4 K
Administrative and support services,US-OK,10125979208,10.1 Billion,87382,87.4 K
"Other services, except government",US-OK,8349036474,8.3 Billion,44964,45 K
"Scrap, used and secondhand goods",RoUS,8228803264,8.2 Billion,22442,22.4 K
Pipeline transport,US-OK,8070876647,8.1 Billion,3092,3.1 K
