Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2274636815085,2.3 Trillion,8717585,8.7 Million
Housing,RoUS,2250678989736,2.3 Trillion,372518,372.5 K
Wholesale trade,RoUS,2023265204856,2.0 Trillion,5431751,5.4 Million
State and local general government,RoUS,1879442770274,1.9 Trillion,4132938,4.1 Million
Construction,RoUS,1820690809873,1.8 Trillion,7417112,7.4 Million
Other real estate,RoUS,1385854873607,1.4 Trillion,1316785,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1336988336897,1.3 Trillion,2395777,2.4 Million
Hospitals,RoUS,1136228696056,1.1 Trillion,6691552,6.7 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1110764082290,1.1 Trillion,7519255,7.5 Million
Other retail,RoUS,1084979420289,1.1 Trillion,6535685,6.5 Million
Administrative and support services,RoUS,1015860422703,1.0 Trillion,7859658,7.9 Million
Food and beverage and tobacco products,RoUS,952235414304,952.2 Billion,1972296,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,938929406051,938.9 Billion,2375273,2.4 Million
"Other services, except government",RoUS,859598000746,859.6 Billion,4705904,4.7 Million
Food and beverage establishments,RoUS,850940137532,850.9 Billion,10498763,10.5 Million
"Radio, TV, telecommunication",RoUS,729759032381,729.8 Billion,755121,755.1 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,720942607399,720.9 Billion,801523,801.5 K
Federal general government (defense),RoUS,689071423202,689.1 Billion,547621,547.6 K
"Financial investments, exchanges, and advising",RoUS,682694702680,682.7 Billion,969710,969.7 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,676937755276,676.9 Billion,936995,937 K
Company and enterprise management,RoUS,644226099780,644.2 Billion,2204975,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,618136527032,618.1 Billion,872732,872.7 K
Computer programming and systems design,RoUS,566799775253,566.8 Billion,2523774,2.5 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,476094241805,476.1 Billion,855016,855 K
Federal general government (nondefense),RoUS,451931918142,451.9 Billion,1078133,1.1 Million
Educational institutions and services,RoUS,398184322395,398.2 Billion,10145283,10.1 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,389219219183,389.2 Billion,779811,779.8 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,383761451158,383.8 Billion,115923,115.9 K
Truck transport,RoUS,366337101100,366.3 Billion,1437452,1.4 Million
Legal services,RoUS,366243358422,366.2 Billion,1110653,1.1 Million
Machinery (except computers),RoUS,345198909796,345.2 Billion,952787,952.8 K
"Media, literature, and software",RoUS,343593117666,343.6 Billion,595304,595.3 K
"Data processing, internet publishing, and other information services",RoUS,334865536979,334.9 Billion,584522,584.5 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,333494677808,333.5 Billion,1286122,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,311068006230,311.1 Billion,868421,868.4 K
"Couriers, messengers, transportation for leisure activities",RoUS,282345706415,282.3 Billion,1725168,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,255130525244,255.1 Billion,3355162,3.4 Million
Food and beverage stores,RoUS,249429112223,249.4 Billion,2712443,2.7 Million
General merchandise stores,RoUS,240902702431,240.9 Billion,2718173,2.7 Million
"Child day care, community food services, housing services, and other relief services",RoUS,234653880825,234.7 Billion,3973031,4 Million
Vehicles and parts sales,RoUS,234630037436,234.6 Billion,1351946,1.4 Million
Plastics and rubber products,RoUS,234173967786,234.2 Billion,677062,677.1 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,219121355691,219.1 Billion,667873,667.9 K
Primary and secondary ferrous and nonferrous metals,RoUS,212681367790,212.7 Billion,351692,351.7 K
Unrefined oil and gas,RoUS,194063024137,194.1 Billion,94964,95 K
"Funds, trusts, and financial vehicles",RoUS,191076759687,191.1 Billion,80008,80 K
Paper products and paper production facilities,RoUS,184299753019,184.3 Billion,350869,350.9 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,170499630818,170.5 Billion,536701,536.7 K
Warehouses,RoUS,157431512307,157.4 Billion,1464375,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,151126260034,151.1 Billion,1424687,1.4 Million
Hotels and campgrounds,RoUS,141854794059,141.9 Billion,1389420,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,129282243409,129.3 Billion,380131,380.1 K
Waste management and remediation services,RoUS,126481797051,126.5 Billion,491948,491.9 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,126459592672,126.5 Billion,377781,377.8 K
Film and sound-based entertainment,RoUS,124170470759,124.2 Billion,273766,273.8 K
"Performing arts, spectator sports, museums, and related activities",RoUS,124048774971,124.0 Billion,553604,553.6 K
Air transport,RoUS,120857818453,120.9 Billion,441032,441 K
"Wood products (e.g. plywood, veneer)",RoUS,112429321646,112.4 Billion,394325,394.3 K
Other state and local government enterprises including transit and utilities,RoUS,109917794678,109.9 Billion,46204,46.2 K
Well drilling and support activities for mining,RoUS,84679370485,84.7 Billion,221864,221.9 K
Passenger ground transport,RoUS,82119911718,82.1 Billion,615072,615.1 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,76254789927,76.3 Billion,134898,134.9 K
Rail transport,RoUS,71084630880,71.1 Billion,765,765
Federal electric utilities and postal service,RoUS,69471309916,69.5 Billion,499959,500 K
Furniture and shelving,RoUS,66394406195,66.4 Billion,343338,343.3 K
Print media and printing support,RoUS,64925099713,64.9 Billion,311247,311.2 K
Housing,US-CO,63081010264,63.1 Billion,7813,7.8 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,61957124230,62.0 Billion,454196,454.2 K
Pipeline transport,RoUS,57942966254,57.9 Billion,56427,56.4 K
"Miscellaneous professional, scientific, and technical services",US-CO,49546184915,49.5 Billion,199206,199.2 K
Construction,US-CO,48798190127,48.8 Billion,181669,181.7 K
Textiles and textile-dervied products (except clothes),RoUS,45415958795,45.4 Billion,183858,183.9 K
"Water transport (boats, ships, ferries)",RoUS,39851856768,39.9 Billion,66065,66.1 K
State and local general government,US-CO,37101229726,37.1 Billion,2210,2.2 K
Wholesale trade,US-CO,36360795144,36.4 Billion,104485,104.5 K
Clothing and leather,RoUS,21361635653,21.4 Billion,122808,122.8 K
"Healthcare professions, laboratories, and ambulances",US-CO,20527917710,20.5 Billion,140434,140.4 K
"Insurance agencies, carriers, and brokerages",US-CO,19681663103,19.7 Billion,43677,43.7 K
Other retail,US-CO,19260579711,19.3 Billion,118568,118.6 K
Administrative and support services,US-CO,18684577297,18.7 Billion,137305,137.3 K
Food and beverage establishments,US-CO,18456862468,18.5 Billion,213143,213.1 K
"Other services, except government",US-CO,16757999254,16.8 Billion,92418,92.4 K
Other real estate,US-CO,16215126393,16.2 Billion,34603,34.6 K
Computer programming and systems design,US-CO,15916224747,15.9 Billion,71719,71.7 K
"Radio, TV, telecommunication",US-CO,15773967619,15.8 Billion,27101,27.1 K
Food and beverage and tobacco products,US-CO,15215585696,15.2 Billion,33468,33.5 K
Hospitals,US-CO,15068303944,15.1 Billion,100736,100.7 K
Company and enterprise management,US-CO,13532900220,13.5 Billion,40441,40.4 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-CO,12137593949,12.1 Billion,43166,43.2 K
Federal general government (defense),US-CO,11405576798,11.4 Billion,7745,7.7 K
Unrefined oil and gas,US-CO,10512975863,10.5 Billion,6545,6.5 K
"Financial investments, exchanges, and advising",US-CO,9360297320,9.4 Billion,23097,23.1 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-CO,9189244724,9.2 Billion,14866,14.9 K
Federal general government (nondefense),US-CO,9037081858,9.0 Billion,1847,1.8 K
"Media, literature, and software",US-CO,8992882334,9.0 Billion,17810,17.8 K
"Scrap, used and secondhand goods",RoUS,8209905630,8.2 Billion,22332,22.3 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-CO,7049758195,7.0 Billion,18108,18.1 K
"Data processing, internet publishing, and other information services",US-CO,7004463021,7.0 Billion,14736,14.7 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-CO,6837780817,6.8 Billion,16906,16.9 K
Educational institutions and services,US-CO,6037677605,6.0 Billion,183861,183.9 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-CO,5821993770,5.8 Billion,19695,19.7 K
Food and beverage stores,US-CO,5664887777,5.7 Billion,48465,48.5 K
General merchandise stores,US-CO,5594297569,5.6 Billion,53890,53.9 K
Legal services,US-CO,5341641578,5.3 Billion,19983,20 K
Truck transport,US-CO,5211898900,5.2 Billion,20008,20 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-CO,4878739966,4.9 Billion,37657,37.7 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-CO,4580392601,4.6 Billion,9709,9.7 K
Air transport,US-CO,4088181547,4.1 Billion,16530,16.5 K
"Couriers, messengers, transportation for leisure activities",US-CO,4069293585,4.1 Billion,26844,26.8 K
"Child day care, community food services, housing services, and other relief services",US-CO,4034119175,4.0 Billion,59116,59.1 K
Well drilling and support activities for mining,US-CO,3934629515,3.9 Billion,9453,9.5 K
Fabricated metal products (e.g. architectural and structural metal products),US-CO,3926322192,3.9 Billion,13822,13.8 K
"Nursing, community, mental health, and substance abuse facilities",US-CO,3657474756,3.7 Billion,44641,44.6 K
Machinery (except computers),US-CO,3484090204,3.5 Billion,11802,11.8 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-CO,3362369182,3.4 Billion,9949,9.9 K
Hotels and campgrounds,US-CO,3276205941,3.3 Billion,30852,30.9 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3195108828,3.2 Billion,7622,7.6 K
Vehicles and parts sales,US-CO,3029962564,3.0 Billion,24958,25 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-CO,2955407328,3.0 Billion,7892,7.9 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-CO,2935548842,2.9 Billion,1086,1.1 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-CO,2711644309,2.7 Billion,6834,6.8 K
Plastics and rubber products,US-CO,2477032214,2.5 Billion,5667,5.7 K
Waste management and remediation services,US-CO,2397202949,2.4 Billion,9457,9.5 K
Pipeline transport,US-CO,2315033746,2.3 Billion,1403,1.4 K
"Performing arts, spectator sports, museums, and related activities",US-CO,2271225029,2.3 Billion,9991,10 K
"Funds, trusts, and financial vehicles",US-CO,1954240313,2.0 Billion,264,264
Warehouses,US-CO,1873487693,1.9 Billion,19550,19.6 K
"Metal ores, dimensional stone, nonmetallic minerals",US-CO,1646210073,1.6 Billion,3107,3.1 K
Federal electric utilities and postal service,US-CO,1458690084,1.5 Billion,8004,8 K
"Wood products (e.g. plywood, veneer)",US-CO,1212678354,1.2 Billion,3588,3.6 K
Furniture and shelving,US-CO,1200593805,1.2 Billion,4908,4.9 K
Other state and local government enterprises including transit and utilities,US-CO,1173205322,1.2 Billion,54,54.0
Primary and secondary ferrous and nonferrous metals,US-CO,1147632210,1.1 Billion,2069,2.1 K
Rail transport,US-CO,1121369120,1.1 Billion,0,0.0
Passenger ground transport,US-CO,989088282,989.1 Million,7417,7.4 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-CO,904472968,904.5 Million,3145,3.1 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-CO,802756591,802.8 Million,2068,2.1 K
Film and sound-based entertainment,US-CO,748529241,748.5 Million,2829,2.8 K
Print media and printing support,US-CO,721900287,721.9 Million,3738,3.7 K
Paper products and paper production facilities,US-CO,686246981,686.2 Million,1656,1.7 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-CO,685875770,685.9 Million,3805,3.8 K
Textiles and textile-dervied products (except clothes),US-CO,244041205,244 Million,1376,1.4 K
Clothing and leather,US-CO,132364347,132.4 Million,695,695
"Scrap, used and secondhand goods",US-CO,113094370,113.1 Million,164,164
Noncomparable imports and rest-of-the-world adjustment,US-CO,63891172,63.9 Million,13,13.0
"Water transport (boats, ships, ferries)",US-CO,26143232,26.1 Million,120,120
