Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2321194497778,2.3 Trillion,8908266,8.9 Million
Housing,RoUS,2308408217123,2.3 Trillion,379977,380 K
Wholesale trade,RoUS,2056809009952,2.1 Trillion,5527657,5.5 Million
State and local general government,RoUS,1912392938021,1.9 Trillion,4284280,4.3 Million
Construction,RoUS,1867056020053,1.9 Trillion,7585445,7.6 Million
Other real estate,RoUS,1400686917742,1.4 Trillion,1349650,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1354378950843,1.4 Trillion,2435721,2.4 Million
Hospitals,RoUS,1148324938606,1.1 Trillion,6796120,6.8 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1128957266071,1.1 Trillion,7646030,7.6 Million
Other retail,RoUS,1101920101549,1.1 Trillion,6638224,6.6 Million
Administrative and support services,RoUS,1033108850380,1.0 Trillion,7987323,8 Million
Food and beverage and tobacco products,RoUS,965079949069,965.1 Billion,1998530,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,950355005972,950.4 Billion,2414989,2.4 Million
"Other services, except government",RoUS,874878527967,874.9 Billion,4788957,4.8 Million
Food and beverage establishments,RoUS,867830220724,867.8 Billion,10694859,10.7 Million
"Radio, TV, telecommunication",RoUS,744983852319,745.0 Billion,781010,781 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,725146221840,725.1 Billion,809170,809.2 K
Federal general government (defense),RoUS,700072655332,700.1 Billion,554755,554.8 K
"Financial investments, exchanges, and advising",RoUS,691562824230,691.6 Billion,991858,991.9 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,684846148881,684.8 Billion,951563,951.6 K
Company and enterprise management,RoUS,657284816458,657.3 Billion,2243418,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,618863216255,618.9 Billion,875623,875.6 K
Computer programming and systems design,RoUS,581812895742,581.8 Billion,2590965,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,482784005075,482.8 Billion,871888,871.9 K
Federal general government (nondefense),RoUS,459971401567,460.0 Billion,1114391,1.1 Million
Educational institutions and services,RoUS,403014918238,403.0 Billion,10307636,10.3 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,394964641403,395.0 Billion,793811,793.8 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,386636960037,386.6 Billion,116973,117 K
Legal services,RoUS,371153730915,371.2 Billion,1128866,1.1 Million
Truck transport,RoUS,371048049665,371.0 Billion,1455468,1.5 Million
"Media, literature, and software",RoUS,352175754378,352.2 Billion,611799,611.8 K
Machinery (except computers),RoUS,347941663253,347.9 Billion,962437,962.4 K
"Data processing, internet publishing, and other information services",RoUS,341647610323,341.6 Billion,598661,598.7 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,337065135830,337.1 Billion,1298220,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,316191664350,316.2 Billion,884624,884.6 K
"Couriers, messengers, transportation for leisure activities",RoUS,286094651508,286.1 Billion,1749626,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,258170209888,258.2 Billion,3392407,3.4 Million
Food and beverage stores,RoUS,254267386208,254.3 Billion,2753421,2.8 Million
General merchandise stores,RoUS,246204819898,246.2 Billion,2769470,2.8 Million
"Child day care, community food services, housing services, and other relief services",RoUS,237985167162,238.0 Billion,4019524,4 Million
Vehicles and parts sales,RoUS,237286548420,237.3 Billion,1373501,1.4 Million
Plastics and rubber products,RoUS,236318766146,236.3 Billion,681537,681.5 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,221645425964,221.6 Billion,673106,673.1 K
Primary and secondary ferrous and nonferrous metals,RoUS,213753644672,213.8 Billion,353664,353.7 K
Unrefined oil and gas,RoUS,204574992507,204.6 Billion,101436,101.4 K
"Funds, trusts, and financial vehicles",RoUS,192915304931,192.9 Billion,82483,82.5 K
Paper products and paper production facilities,RoUS,184756097840,184.8 Billion,351822,351.8 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,173554961513,173.6 Billion,545281,545.3 K
Warehouses,RoUS,159178994248,159.2 Billion,1482679,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,155640172576,155.6 Billion,1459732,1.5 Million
Hotels and campgrounds,RoUS,144285839106,144.3 Billion,1414593,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,129820176543,129.8 Billion,381237,381.2 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,129153377537,129.2 Billion,384367,384.4 K
Waste management and remediation services,RoUS,128629895691,128.6 Billion,501311,501.3 K
"Performing arts, spectator sports, museums, and related activities",RoUS,126157461271,126.2 Billion,562715,562.7 K
Air transport,RoUS,124931275757,124.9 Billion,457475,457.5 K
Film and sound-based entertainment,RoUS,124884755668,124.9 Billion,276380,276.4 K
