Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2110932357322,2.1 Trillion,8280002,8.3 Million
Housing,RoUS,2064357918117,2.1 Trillion,309416,309.4 K
Wholesale trade,RoUS,1941256757381,1.9 Trillion,5246029,5.2 Million
Construction,RoUS,1760301928853,1.8 Trillion,7222499,7.2 Million
State and local general government,RoUS,1743342969676,1.7 Trillion,3624387,3.6 Million
Other real estate,RoUS,1337796620302,1.3 Trillion,1244904,1.2 Million
"Insurance agencies, carriers, and brokerages",RoUS,1198934258010,1.2 Trillion,2292212,2.3 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1054504658039,1.1 Trillion,7060936,7.1 Million
Hospitals,RoUS,1047037020921,1.0 Trillion,6281536,6.3 Million
Other retail,RoUS,1037637952272,1.0 Trillion,6263714,6.3 Million
Administrative and support services,RoUS,960388289149,960.4 Billion,7568427,7.6 Million
Food and beverage and tobacco products,RoUS,928120422117,928.1 Billion,1930511,1.9 Million
"Other services, except government",RoUS,818650955420,818.7 Billion,4457179,4.5 Million
Food and beverage establishments,RoUS,814467627033,814.5 Billion,10187809,10.2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,729147527608,729.1 Billion,2260878,2.3 Million
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,712279714088,712.3 Billion,790949,790.9 K
Federal general government (defense),RoUS,689393562035,689.4 Billion,547002,547 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,638582755202,638.6 Billion,893247,893.2 K
"Radio, TV, telecommunication",RoUS,632860601906,632.9 Billion,722098,722.1 K
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,613363447584,613.4 Billion,865481,865.5 K
Company and enterprise management,RoUS,612030335316,612.0 Billion,2117872,2.1 Million
Computer programming and systems design,RoUS,543897017813,543.9 Billion,2452075,2.5 Million
"Financial investments, exchanges, and advising",RoUS,460047284488,460.0 Billion,799802,799.8 K
Federal general government (nondefense),RoUS,441987623244,442.0 Billion,1001514,1 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,438968537875,439.0 Billion,827758,827.8 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,388862370469,388.9 Billion,773027,773 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,384570582251,384.6 Billion,114951,115 K
Truck transport,RoUS,362117736565,362.1 Billion,1419771,1.4 Million
Educational institutions and services,RoUS,354143079069,354.1 Billion,9541341,9.5 Million
Machinery (except computers),RoUS,336825844371,336.8 Billion,933444,933.4 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,326340203857,326.3 Billion,1256790,1.3 Million
"Media, literature, and software",RoUS,315829376757,315.8 Billion,549630,549.6 K
Legal services,RoUS,313670959628,313.7 Billion,1011448,1 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,306573928275,306.6 Billion,841669,841.7 K
"Data processing, internet publishing, and other information services",RoUS,299314904868,299.3 Billion,540201,540.2 K
"Couriers, messengers, transportation for leisure activities",RoUS,273402860320,273.4 Billion,1665768,1.7 Million
Housing,US-NY,249402081883,249.4 Billion,70558,70.6 K
"Nursing, community, mental health, and substance abuse facilities",RoUS,237628065790,237.6 Billion,3138792,3.1 Million
"Financial investments, exchanges, and advising",US-NY,232007715512,232.0 Billion,193006,193 K
General merchandise stores,RoUS,230934521474,230.9 Billion,2652563,2.7 Million
Vehicles and parts sales,RoUS,230005974059,230.0 Billion,1324802,1.3 Million
Food and beverage stores,RoUS,229251816504,229.3 Billion,2577302,2.6 Million
Plastics and rubber products,RoUS,225376932693,225.4 Billion,661019,661 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-NY,221919472392,221.9 Billion,157560,157.6 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,220245446876,220.2 Billion,666428,666.4 K
