Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2290318551468,2.3 Trillion,8762625,8.8 Million
Housing,RoUS,2265866720668,2.3 Trillion,373980,374 K
Wholesale trade,RoUS,2017955654272,2.0 Trillion,5419444,5.4 Million
State and local general government,RoUS,1883924651827,1.9 Trillion,4143492,4.1 Million
Construction,RoUS,1841025880838,1.8 Trillion,7461327,7.5 Million
Other real estate,RoUS,1389692209886,1.4 Trillion,1328937,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1331219360473,1.3 Trillion,2388300,2.4 Million
Hospitals,RoUS,1125820134349,1.1 Trillion,6652781,6.7 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1105024487001,1.1 Trillion,7505949,7.5 Million
Other retail,RoUS,1081785229527,1.1 Trillion,6507932,6.5 Million
Administrative and support services,RoUS,1010878547574,1.0 Trillion,7794678,7.8 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,939928113978,939.9 Billion,2370448,2.4 Million
Food and beverage and tobacco products,RoUS,930777322907,930.8 Billion,1964462,2 Million
"Other services, except government",RoUS,858097738829,858.1 Billion,4706510,4.7 Million
Food and beverage establishments,RoUS,848834195060,848.8 Billion,10460704,10.5 Million
"Radio, TV, telecommunication",RoUS,737971847188,738.0 Billion,769002,769 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,712494110618,712.5 Billion,782552,782.6 K
Federal general government (defense),RoUS,697481293442,697.5 Billion,551414,551.4 K
"Financial investments, exchanges, and advising",RoUS,685350698244,685.4 Billion,979750,979.8 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,680894349535,680.9 Billion,928924,928.9 K
Company and enterprise management,RoUS,646255682260,646.3 Billion,2196952,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,579371718458,579.4 Billion,817759,817.8 K
Computer programming and systems design,RoUS,577264670586,577.3 Billion,2564791,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,476429666303,476.4 Billion,852800,852.8 K
Federal general government (nondefense),RoUS,452313089647,452.3 Billion,1078803,1.1 Million
Educational institutions and services,RoUS,397855068914,397.9 Billion,10138989,10.1 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,393094066695,393.1 Billion,790861,790.9 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,383976343938,384.0 Billion,115825,115.8 K
Legal services,RoUS,367224904202,367.2 Billion,1115852,1.1 Million
Truck transport,RoUS,358789920884,358.8 Billion,1398792,1.4 Million
"Media, literature, and software",RoUS,348648413037,348.6 Billion,602703,602.7 K
Machinery (except computers),RoUS,341985918223,342.0 Billion,942476,942.5 K
"Data processing, internet publishing, and other information services",RoUS,339876652596,339.9 Billion,593919,593.9 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,327845623651,327.8 Billion,1265604,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,314956944412,315.0 Billion,880621,880.6 K
"Couriers, messengers, transportation for leisure activities",RoUS,273719807685,273.7 Billion,1690596,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,254180092959,254.2 Billion,3336612,3.3 Million
Food and beverage stores,RoUS,249115518354,249.1 Billion,2709005,2.7 Million
General merchandise stores,RoUS,239208865975,239.2 Billion,2709118,2.7 Million
"Child day care, community food services, housing services, and other relief services",RoUS,235713295461,235.7 Billion,3979723,4 Million
Vehicles and parts sales,RoUS,233629606520,233.6 Billion,1344005,1.3 Million
Plastics and rubber products,RoUS,229577393179,229.6 Billion,659887,659.9 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,220771570467,220.8 Billion,667967,668 K
Primary and secondary ferrous and nonferrous metals,RoUS,207853151955,207.9 Billion,343043,343 K
Unrefined oil and gas,RoUS,204566404202,204.6 Billion,101407,101.4 K
"Funds, trusts, and financial vehicles",RoUS,190773637291,190.8 Billion,80143,80.1 K
Paper products and paper production facilities,RoUS,177490166323,177.5 Billion,341624,341.6 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,168372955870,168.4 Billion,530474,530.5 K
Warehouses,RoUS,154198267781,154.2 Billion,1434558,1.4 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,153662853634,153.7 Billion,1440521,1.4 Million
Hotels and campgrounds,RoUS,142300374707,142.3 Billion,1393332,1.4 Million
Waste management and remediation services,RoUS,126229314239,126.2 Billion,490929,490.9 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,125325294793,125.3 Billion,372781,372.8 K
Air transport,RoUS,124623983391,124.6 Billion,454816,454.8 K
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,124103374405,124.1 Billion,364914,364.9 K
Film and sound-based entertainment,RoUS,122073243766,122.1 Billion,268200,268.2 K
"Performing arts, spectator sports, museums, and related activities",RoUS,121974094574,122.0 Billion,550739,550.7 K
"Wood products (e.g. plywood, veneer)",RoUS,110352018430,110.4 Billion,385340,385.3 K
Other state and local government enterprises including transit and utilities,RoUS,110068315328,110.1 Billion,46448,46.4 K
Well drilling and support activities for mining,RoUS,88455881015,88.5 Billion,230964,231 K
Passenger ground transport,RoUS,82332513061,82.3 Billion,615266,615.3 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,76551886276,76.6 Billion,135334,135.3 K
Rail transport,RoUS,70811275836,70.8 Billion,764,764
Federal electric utilities and postal service,RoUS,69532439614,69.5 Billion,498248,498.2 K
Furniture and shelving,RoUS,66245060392,66.2 Billion,339296,339.3 K
Print media and printing support,RoUS,64081369047,64.1 Billion,308111,308.1 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,62078156336,62.1 Billion,456045,456 K
Pipeline transport,RoUS,59766325285,59.8 Billion,57146,57.1 K
Housing,US-TN,47893279332,47.9 Billion,6369,6.4 K
Textiles and textile-dervied products (except clothes),RoUS,44241527942,44.2 Billion,179589,179.6 K
Wholesale trade,US-TN,41670345728,41.7 Billion,116367,116.4 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-TN,39669281542,39.7 Billion,58065,58.1 K
"Water transport (boats, ships, ferries)",RoUS,38600977174,38.6 Billion,63856,63.9 K
Food and beverage and tobacco products,US-TN,36673677093,36.7 Billion,42487,42.5 K
"Miscellaneous professional, scientific, and technical services",US-TN,33864448532,33.9 Billion,152858,152.9 K
State and local general government,US-TN,32619348173,32.6 Billion,1552,1.6 K
Construction,US-TN,28463119162,28.5 Billion,137563,137.6 K
"Healthcare professions, laboratories, and ambulances",US-TN,26267512999,26.3 Billion,153921,153.9 K
Hospitals,US-TN,25476865651,25.5 Billion,140644,140.6 K
"Insurance agencies, carriers, and brokerages",US-TN,25450639527,25.5 Billion,51155,51.2 K
Administrative and support services,US-TN,23666452426,23.7 Billion,202326,202.3 K
Other retail,US-TN,22454770473,22.5 Billion,146313,146.3 K
Clothing and leather,RoUS,20975278967,21.0 Billion,118862,118.9 K
Food and beverage establishments,US-TN,20562804940,20.6 Billion,251241,251.2 K
"Other services, except government",US-TN,18258261171,18.3 Billion,91824,91.8 K
