Commodity,Location,Output,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2319.1 Billion,8.9 Million
Housing,RoUS,2301.1 Billion,379.1 K
Wholesale trade,RoUS,2053.7 Billion,5.5 Million
State and local general government,RoUS,1909.5 Billion,4.3 Million
Construction,RoUS,1864.5 Billion,7.6 Million
Other real estate,RoUS,1398.8 Billion,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1351 Billion,2.4 Million
Hospitals,RoUS,1144.5 Billion,6.8 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1126.9 Billion,7.6 Million
Other retail,RoUS,1099.4 Billion,6.6 Million
Administrative and support services,RoUS,1031.3 Billion,8 Million
Food and beverage and tobacco products,RoUS,963.7 Billion,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,948.5 Billion,2.4 Million
"Other services, except government",RoUS,873.4 Billion,4.8 Million
Food and beverage establishments,RoUS,865.6 Billion,10.7 Million
"Radio, TV, telecommunication",RoUS,744.5 Billion,779.8 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,723.5 Billion,807.5 K
Federal general government (defense),RoUS,699.6 Billion,553.4 K
"Financial investments, exchanges, and advising",RoUS,691.2 Billion,991 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,684.2 Billion,949.8 K
Company and enterprise management,RoUS,655.3 Billion,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,618.6 Billion,874 K
Computer programming and systems design,RoUS,581.4 Billion,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,482.1 Billion,869.9 K
Federal general government (nondefense),RoUS,458.9 Billion,1.1 Million
Educational institutions and services,RoUS,402.6 Billion,10.3 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,395.1 Billion,792.7 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,386.4 Billion,116.7 K
Legal services,RoUS,370.7 Billion,1.1 Million
Truck transport,RoUS,370.3 Billion,1.5 Million
"Media, literature, and software",RoUS,352 Billion,611.2 K
Machinery (except computers),RoUS,348 Billion,962.5 K
"Data processing, internet publishing, and other information services",RoUS,341.7 Billion,598.2 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,336.3 Billion,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,316.3 Billion,886 K
"Couriers, messengers, transportation for leisure activities",RoUS,285.7 Billion,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,257 Billion,3.4 Million
Food and beverage stores,RoUS,253.3 Billion,2.7 Million
General merchandise stores,RoUS,245.3 Billion,2.8 Million
"Child day care, community food services, housing services, and other relief services",RoUS,237.4 Billion,4 Million
Vehicles and parts sales,RoUS,236.8 Billion,1.4 Million
Plastics and rubber products,RoUS,235.9 Billion,680.6 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,220.6 Billion,661.6 K
Primary and secondary ferrous and nonferrous metals,RoUS,213.7 Billion,353.4 K
Unrefined oil and gas,RoUS,204.6 Billion,101.4 K
"Funds, trusts, and financial vehicles",RoUS,192.8 Billion,82.2 K
Paper products and paper production facilities,RoUS,182.8 Billion,348.6 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,173.5 Billion,545.3 K
Warehouses,RoUS,158.9 Billion,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,155.4 Billion,1.5 Million
Hotels and campgrounds,RoUS,144.4 Billion,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,130 Billion,381.7 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,129.1 Billion,384.3 K
Waste management and remediation services,RoUS,128.4 Billion,499.7 K
"Performing arts, spectator sports, museums, and related activities",RoUS,126.1 Billion,561.9 K
Air transport,RoUS,124.9 Billion,457.4 K
Film and sound-based entertainment,RoUS,124.8 Billion,276.2 K
"Wood products (e.g. plywood, veneer)",RoUS,112.5 Billion,393.3 K
Other state and local government enterprises including transit and utilities,RoUS,110.9 Billion,46.9 K
Well drilling and support activities for mining,RoUS,88.6 Billion,231.3 K
Passenger ground transport,RoUS,82.9 Billion,620.5 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,77.8 Billion,137.8 K
Rail transport,RoUS,72.1 Billion,764
Federal electric utilities and postal service,RoUS,70.6 Billion,505.9 K
Furniture and shelving,RoUS,67.4 Billion,347 K
Print media and printing support,RoUS,65.5 Billion,314 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,61.7 Billion,454.4 K
Pipeline transport,RoUS,60.2 Billion,57.7 K
Textiles and textile-dervied products (except clothes),RoUS,45.4 Billion,183.8 K
"Water transport (boats, ships, ferries)",RoUS,39.8 Billion,66.1 K
Clothing and leather,RoUS,21.3 Billion,122.2 K
Housing,US-ME,12.6 Billion,1.2 K
"Scrap, used and secondhand goods",RoUS,8.3 Billion,22.7 K
State and local general government,US-ME,7.1 Billion,532
Hospitals,US-ME,6.8 Billion,34.1 K
Wholesale trade,US-ME,5.9 Billion,18.5 K
"Insurance agencies, carriers, and brokerages",US-ME,5.6 Billion,10.8 K
"Miscellaneous professional, scientific, and technical services",US-ME,5.1 Billion,29 K
Construction,US-ME,5 Billion,33.3 K
Other retail,US-ME,4.8 Billion,33.4 K
"Healthcare professions, laboratories, and ambulances",US-ME,4.4 Billion,30.1 K
Food and beverage establishments,US-ME,3.8 Billion,41.7 K
Food and beverage and tobacco products,US-ME,3.7 Billion,7.8 K
