Commodity,Location,Output,Jobs
Noncomparable imports and rest-of-the-world adjustment,RoUS,3.2 Billion,7.9 K
Other real estate,US-ME,3.2 Billion,4.4 K
Administrative and support services,US-ME,3.2 Billion,25.9 K
"Other services, except government",US-ME,2.9 Billion,20.1 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-ME,2.6 Billion,10.3 K
Company and enterprise management,US-ME,2.4 Billion,11.7 K
Paper products and paper production facilities,US-ME,2.2 Billion,4 K
Federal general government (nondefense),US-ME,2.1 Billion,488
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-ME,2.1 Billion,3.3 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-ME,1.9 Billion,3.2 K
Food and beverage stores,US-ME,1.8 Billion,17 K
"Nursing, community, mental health, and substance abuse facilities",US-ME,1.8 Billion,23 K
Educational institutions and services,US-ME,1.6 Billion,46.9 K
Computer programming and systems design,US-ME,1.3 Billion,7.6 K
"Child day care, community food services, housing services, and other relief services",US-ME,1.3 Billion,20.2 K
Truck transport,US-ME,1.2 Billion,5.5 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-ME,1.2 Billion,12.7 K
General merchandise stores,US-ME,1.2 Billion,10.6 K
"Wood products (e.g. plywood, veneer)",US-ME,1.1 Billion,4.6 K
Fabricated metal products (e.g. architectural and structural metal products),US-ME,1.1 Billion,4.3 K
"Radio, TV, telecommunication",US-ME,1 Billion,2.5 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-ME,1 Billion,3.2 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-ME,979.4 Million,3.7 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-ME,947.5 Million,3.9 K
Legal services,US-ME,892 Million,3.7 K
Federal general government (defense),US-ME,877.1 Million,1.9 K
"Financial investments, exchanges, and advising",US-ME,866.3 Million,1.9 K
Vehicles and parts sales,US-ME,832.8 Million,7.4 K
Plastics and rubber products,US-ME,757.9 Million,2.1 K
Hotels and campgrounds,US-ME,701.3 Million,7.3 K
"Couriers, messengers, transportation for leisure activities",US-ME,667.2 Million,4.9 K
Machinery (except computers),US-ME,650.7 Million,2 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-ME,639.7 Million,6.9 K
"Media, literature, and software",US-ME,571.5 Million,2.4 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-ME,552.8 Million,1.9 K
Waste management and remediation services,US-ME,510.9 Million,2.5 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-ME,438.5 Million,1.9 K
Warehouses,US-ME,437.3 Million,3.7 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-ME,369.1 Million,1.5 K
Federal electric utilities and postal service,US-ME,340.7 Million,2.6 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-ME,294.9 Million,1.4 K
Textiles and textile-dervied products (except clothes),US-ME,294.2 Million,1.5 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-ME,281.5 Million,405
"Performing arts, spectator sports, museums, and related activities",US-ME,259.5 Million,1.9 K
Other state and local government enterprises including transit and utilities,US-ME,226.1 Million,10.0
"Funds, trusts, and financial vehicles",US-ME,213 Million,86.0
"Data processing, internet publishing, and other information services",US-ME,194.5 Million,1 K
Passenger ground transport,US-ME,193.9 Million,2.1 K
Furniture and shelving,US-ME,185.7 Million,1.2 K
Clothing and leather,US-ME,173.2 Million,1.3 K
Print media and printing support,US-ME,173 Million,1.1 K
Rail transport,US-ME,133.8 Million,2.0
"Lights and light fixtures, switch boards, transformers, and home appliances",US-ME,108.9 Million,558
Primary and secondary ferrous and nonferrous metals,US-ME,99.6 Million,320
"Metal ores, dimensional stone, nonmetallic minerals",US-ME,98.8 Million,201
Film and sound-based entertainment,US-ME,83.7 Million,366
Air transport,US-ME,44.5 Million,191
Pipeline transport,US-ME,43.5 Million,93.0
"Water transport (boats, ships, ferries)",US-ME,35.5 Million,118
"Scrap, used and secondhand goods",US-ME,33.9 Million,77.0
Noncomparable imports and rest-of-the-world adjustment,US-ME,14.9 Million,3.0
Well drilling and support activities for mining,US-ME,6.2 Million,13.0
Unrefined oil and gas,US-ME,397 K,2.0
