Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2300419630798,2.3 Trillion,8796296,8.8 Million
Housing,RoUS,2269578662117,2.3 Trillion,375034,375 K
Wholesale trade,RoUS,2025052567603,2.0 Trillion,5415140,5.4 Million
State and local general government,RoUS,1881156253758,1.9 Trillion,4145094,4.1 Million
Construction,RoUS,1839790082929,1.8 Trillion,7470207,7.5 Million
Other real estate,RoUS,1390664271754,1.4 Trillion,1335864,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1318750678658,1.3 Trillion,2373614,2.4 Million
Hospitals,RoUS,1129390752524,1.1 Trillion,6666331,6.7 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1109834324244,1.1 Trillion,7533905,7.5 Million
Other retail,RoUS,1086760226028,1.1 Trillion,6520760,6.5 Million
Administrative and support services,RoUS,1021553262628,1.0 Trillion,7874360,7.9 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,942166681776,942.2 Billion,2377122,2.4 Million
Food and beverage and tobacco products,RoUS,932724078667,932.7 Billion,1924078,1.9 Million
"Other services, except government",RoUS,861705233842,861.7 Billion,4707372,4.7 Million
Food and beverage establishments,RoUS,856623477391,856.6 Billion,10521020,10.5 Million
"Radio, TV, telecommunication",RoUS,738526930932,738.5 Billion,771028,771 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,715753129077,715.8 Billion,789659,789.7 K
Federal general government (defense),RoUS,698715419312,698.7 Billion,552642,552.6 K
"Financial investments, exchanges, and advising",RoUS,685662298045,685.7 Billion,979775,979.8 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,676288107689,676.3 Billion,939436,939.4 K
Company and enterprise management,RoUS,642353563555,642.4 Billion,2182902,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,608111680638,608.1 Billion,859317,859.3 K
Computer programming and systems design,RoUS,577019000926,577.0 Billion,2562823,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,478935427340,478.9 Billion,860272,860.3 K
Federal general government (nondefense),RoUS,456924711563,456.9 Billion,1091282,1.1 Million
Educational institutions and services,RoUS,398210119136,398.2 Billion,10157340,10.2 Million
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,385954351613,386.0 Billion,116252,116.3 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,382926534273,382.9 Billion,773613,773.6 K
Legal services,RoUS,367787675325,367.8 Billion,1116938,1.1 Million
Truck transport,RoUS,360952015450,361.0 Billion,1414820,1.4 Million
"Media, literature, and software",RoUS,344454104706,344.5 Billion,594043,594 K
"Data processing, internet publishing, and other information services",RoUS,339460824794,339.5 Billion,591774,591.8 K
Machinery (except computers),RoUS,329404737139,329.4 Billion,907276,907.3 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,322079557228,322.1 Billion,1235249,1.2 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,312558931502,312.6 Billion,872028,872 K
"Couriers, messengers, transportation for leisure activities",RoUS,283450933263,283.5 Billion,1730779,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,253571922024,253.6 Billion,3318635,3.3 Million
Food and beverage stores,RoUS,250303184515,250.3 Billion,2712117,2.7 Million
General merchandise stores,RoUS,241685100975,241.7 Billion,2717073,2.7 Million
Vehicles and parts sales,RoUS,234817971668,234.8 Billion,1348458,1.3 Million
"Child day care, community food services, housing services, and other relief services",RoUS,233873698272,233.9 Billion,3947006,3.9 Million
Plastics and rubber products,RoUS,227576634779,227.6 Billion,652178,652.2 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,220016231580,220.0 Billion,668002,668 K
Primary and secondary ferrous and nonferrous metals,RoUS,208173943503,208.2 Billion,339152,339.2 K
Unrefined oil and gas,RoUS,204574973153,204.6 Billion,101437,101.4 K
"Funds, trusts, and financial vehicles",RoUS,192198949590,192.2 Billion,80372,80.4 K
Paper products and paper production facilities,RoUS,170034281992,170.0 Billion,323761,323.8 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,169816654192,169.8 Billion,531259,531.3 K
Warehouses,RoUS,156617118346,156.6 Billion,1459162,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,153953005579,154.0 Billion,1433725,1.4 Million
Hotels and campgrounds,RoUS,143460083867,143.5 Billion,1395707,1.4 Million
Waste management and remediation services,RoUS,126783335392,126.8 Billion,493493,493.5 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,125920994340,125.9 Billion,375773,375.8 K
"Performing arts, spectator sports, museums, and related activities",RoUS,124795455665,124.8 Billion,555000,555 K
Air transport,RoUS,124647641839,124.6 Billion,456319,456.3 K
Film and sound-based entertainment,RoUS,124593989635,124.6 Billion,274518,274.5 K
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,123333239655,123.3 Billion,360578,360.6 K
Other state and local government enterprises including transit and utilities,RoUS,109959108053,110.0 Billion,46055,46.1 K
"Wood products (e.g. plywood, veneer)",RoUS,109356089661,109.4 Billion,381048,381 K
Well drilling and support activities for mining,RoUS,88583629650,88.6 Billion,231176,231.2 K
Passenger ground transport,RoUS,81060732025,81.1 Billion,609818,609.8 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,77053416379,77.1 Billion,135422,135.4 K
Rail transport,RoUS,70748414235,70.7 Billion,765,765
Federal electric utilities and postal service,RoUS,70277080753,70.3 Billion,499343,499.3 K
Furniture and shelving,RoUS,65469320560,65.5 Billion,335652,335.7 K
Print media and printing support,RoUS,61755392147,61.8 Billion,295100,295.1 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,61618257939,61.6 Billion,453412,453.4 K
Pipeline transport,RoUS,60036449537,60.0 Billion,57414,57.4 K
Textiles and textile-dervied products (except clothes),RoUS,44718446995,44.7 Billion,181940,181.9 K
Housing,US-WI,44181337883,44.2 Billion,5285,5.3 K
"Water transport (boats, ships, ferries)",RoUS,39811916728,39.8 Billion,65976,66 K
"Insurance agencies, carriers, and brokerages",US-WI,37919321342,37.9 Billion,65845,65.8 K
State and local general government,US-WI,35387746242,35.4 Billion,3873,3.9 K
Food and beverage and tobacco products,US-WI,34726921333,34.7 Billion,81551,81.6 K
Wholesale trade,US-WI,34573432397,34.6 Billion,120858,120.9 K
Construction,US-WI,29698917071,29.7 Billion,128629,128.6 K
"Miscellaneous professional, scientific, and technical services",US-WI,23763369202,23.8 Billion,120066,120.1 K
Hospitals,US-WI,21906247476,21.9 Billion,127558,127.6 K
"Healthcare professions, laboratories, and ambulances",US-WI,21457675756,21.5 Billion,126039,126 K
Clothing and leather,RoUS,21201760323,21.2 Billion,121626,121.6 K
Machinery (except computers),US-WI,19278262861,19.3 Billion,57233,57.2 K
Other retail,US-WI,17479773972,17.5 Billion,133482,133.5 K
Company and enterprise management,US-WI,15405436445,15.4 Billion,62513,62.5 K
Fabricated metal products (e.g. architectural and structural metal products),US-WI,15341442772,15.3 Billion,64500,64.5 K
Paper products and paper production facilities,US-WI,14951718008,15.0 Billion,28739,28.7 K
"Other services, except government",US-WI,14650766158,14.7 Billion,90955,91 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-WI,13130465727,13.1 Billion,23111,23.1 K
Administrative and support services,US-WI,12991737372,13.0 Billion,122656,122.7 K
Food and beverage establishments,US-WI,12773522609,12.8 Billion,190985,191 K
Other real estate,US-WI,11405728246,11.4 Billion,15492,15.5 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-WI,10929319362,10.9 Billion,16564,16.6 K
Truck transport,US-WI,10596984550,10.6 Billion,42636,42.6 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-WI,9838892311,9.8 Billion,12250,12.2 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-WI,9769870923,9.8 Billion,22262,22.3 K
Plastics and rubber products,US-WI,9074365221,9.1 Billion,30326,30.3 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-WI,8900318224,8.9 Billion,41317,41.3 K
"Media, literature, and software",US-WI,8131895294,8.1 Billion,20728,20.7 K
"Scrap, used and secondhand goods",RoUS,8069910892,8.1 Billion,21898,21.9 K
"Radio, TV, telecommunication",US-WI,7006069068,7.0 Billion,11194,11.2 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-WI,6751760345,6.8 Billion,21451,21.5 K
"Financial investments, exchanges, and advising",US-WI,6392701955,6.4 Billion,13033,13 K
Educational institutions and services,US-WI,6011880864,6.0 Billion,172375,172.4 K
Computer programming and systems design,US-WI,5696999074,5.7 Billion,32538,32.5 K
Primary and secondary ferrous and nonferrous metals,US-WI,5655056497,5.7 Billion,14621,14.6 K
"Nursing, community, mental health, and substance abuse facilities",US-WI,5216077976,5.2 Billion,81168,81.2 K
"Child day care, community food services, housing services, and other relief services",US-WI,4814301728,4.8 Billion,85167,85.2 K
General merchandise stores,US-WI,4811899025,4.8 Billion,55020,55 K
Food and beverage stores,US-WI,4790815485,4.8 Billion,48968,49 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-WI,4331068498,4.3 Billion,16325,16.3 K
"Wood products (e.g. plywood, veneer)",US-WI,4285910339,4.3 Billion,16883,16.9 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-WI,4208572660,4.2 Billion,12849,12.8 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-WI,4045345808,4.0 Billion,15766,15.8 K
Federal general government (nondefense),US-WI,4044288437,4.0 Billion,1725,1.7 K
Print media and printing support,US-WI,3891607853,3.9 Billion,19909,19.9 K
Legal services,US-WI,3797324675,3.8 Billion,13698,13.7 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-WI,3494005660,3.5 Billion,9907,9.9 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3230407327,3.2 Billion,7715,7.7 K
"Couriers, messengers, transportation for leisure activities",US-WI,2964066737,3.0 Billion,21213,21.2 K
Vehicles and parts sales,US-WI,2842028332,2.8 Billion,28446,28.4 K
Warehouses,US-WI,2687881654,2.7 Billion,24762,24.8 K
"Data processing, internet publishing, and other information services",US-WI,2409175206,2.4 Billion,7155,7.2 K
Furniture and shelving,US-WI,2125679440,2.1 Billion,12581,12.6 K
Waste management and remediation services,US-WI,2095664608,2.1 Billion,7385,7.4 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-WI,2051994421,2.1 Billion,28604,28.6 K
Passenger ground transport,US-WI,2048267975,2.0 Billion,12648,12.6 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-WI,1816768420,1.8 Billion,6626,6.6 K
Federal general government (defense),US-WI,1761580688,1.8 Billion,2724,2.7 K
Hotels and campgrounds,US-WI,1670916133,1.7 Billion,24637,24.6 K
"Performing arts, spectator sports, museums, and related activities",US-WI,1524544335,1.5 Billion,8618,8.6 K
Rail transport,US-WI,1457585765,1.5 Billion,0,0.0
Other state and local government enterprises including transit and utilities,US-WI,1131891947,1.1 Billion,46,46.0
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-WI,1024742061,1.0 Billion,4603,4.6 K
