Commodity,Location,TotalCommodityOutput,Jobs
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-NC,7.2 Billion,19.3 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-NC,1.3 Billion,7.1 K
Unrefined oil and gas,US-NC,5.8 Million,28.0
"Metal ores, dimensional stone, nonmetallic minerals",US-NC,1.1 Billion,2.3 K
Well drilling and support activities for mining,US-NC,119.9 Million,396.0
"Electricity, natural gas, drinking water, and wastewater treatment",US-NC,17.0 Billion,19.3 K
Construction,US-NC,53.1 Billion,233.4 K
"Wood products (e.g. plywood, veneer)",US-NC,4.7 Billion,18.0 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-NC,4.1 Billion,15.2 K
Primary and secondary ferrous and nonferrous metals,US-NC,4.1 Billion,7.7 K
Fabricated metal products (e.g. architectural and structural metal products),US-NC,9.6 Billion,34.3 K
Machinery (except computers),US-NC,14.0 Billion,33.0 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-NC,11.2 Billion,27.6 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-NC,8.0 Billion,20.7 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-NC,11.7 Billion,22.3 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-NC,10.6 Billion,9.1 K
Furniture and shelving,US-NC,4.8 Billion,32.8 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-NC,2.2 Billion,9.3 K
Food and beverage and tobacco products,US-NC,75.3 Billion,66.9 K
Textiles and textile-dervied products (except clothes),US-NC,6.2 Billion,28.2 K
Clothing and leather,US-NC,650.6 Million,6.8 K
Paper products and paper production facilities,US-NC,8.4 Billion,18.0 K
Print media and printing support,US-NC,2.0 Billion,9.4 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-NC,1.0 Billion,1.5 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-NC,17.9 Billion,19.1 K
Plastics and rubber products,US-NC,11.2 Billion,34.1 K
Wholesale trade,US-NC,62.0 Billion,184.9 K
Vehicles and parts sales,US-NC,5.1 Billion,49.0 K
Food and beverage stores,US-NC,8.9 Billion,93.1 K
General merchandise stores,US-NC,8.8 Billion,91.9 K
Other retail,US-NC,27.5 Billion,217.4 K
Air transport,US-NC,3.2 Billion,16.2 K
Rail transport,US-NC,681.8 Million,0.0
"Water transport (boats, ships, ferries)",US-NC,118.7 Million,443.0
Truck transport,US-NC,10.7 Billion,46.1 K
Passenger ground transport,US-NC,848.2 Million,7.7 K
Pipeline transport,US-NC,209.8 Million,510.0
