Commodity,Location,Output,Jobs
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-CT,11.8 Billion,29.3 K
Administrative and support services,US-CT,11.4 Billion,75.1 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-CT,10.5 Billion,8 K
Food and beverage establishments,US-CT,10.5 Billion,101.2 K
Company and enterprise management,US-CT,10.3 Billion,30.6 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-CT,10.2 Billion,8 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-CT,9.9 Billion,20.7 K
"Other services, except government",US-CT,9.8 Billion,56.3 K
Other real estate,US-CT,9.6 Billion,11.8 K
Educational institutions and services,US-CT,8.8 Billion,129.4 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-CT,8.6 Billion,7.9 K
"Scrap, used and secondhand goods",RoUS,8.2 Billion,22.4 K
Fabricated metal products (e.g. architectural and structural metal products),US-CT,7.5 Billion,24 K
Computer programming and systems design,US-CT,6.1 Billion,26.8 K
Food and beverage and tobacco products,US-CT,5.8 Billion,11.9 K
"Nursing, community, mental health, and substance abuse facilities",US-CT,5.7 Billion,59.7 K
Federal general government (defense),US-CT,5.6 Billion,1.8 K
Food and beverage stores,US-CT,4.8 Billion,36.3 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-CT,4.5 Billion,7.4 K
Machinery (except computers),US-CT,4.2 Billion,13.1 K
Legal services,US-CT,4.1 Billion,11.7 K
"Child day care, community food services, housing services, and other relief services",US-CT,4.1 Billion,65.4 K
"Media, literature, and software",US-CT,3.6 Billion,8 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3.2 Billion,7.8 K
General merchandise stores,US-CT,3.1 Billion,25.6 K
Federal general government (nondefense),US-CT,3 Billion,322
"Computers and relevant parts, conductors, measuring devices, communication devices",US-CT,2.9 Billion,10.8 K
Film and sound-based entertainment,US-CT,2.6 Billion,3.3 K
"Couriers, messengers, transportation for leisure activities",US-CT,2.6 Billion,15.2 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-CT,2.6 Billion,6 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-CT,2.4 Billion,9.6 K
"Data processing, internet publishing, and other information services",US-CT,2.1 Billion,5.7 K
Primary and secondary ferrous and nonferrous metals,US-CT,2.1 Billion,4.6 K
Truck transport,US-CT,2 Billion,7.6 K
Plastics and rubber products,US-CT,2 Billion,6 K
Warehouses,US-CT,2 Billion,19.6 K
Vehicles and parts sales,US-CT,1.9 Billion,14.2 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-CT,1.8 Billion,18 K
Waste management and remediation services,US-CT,1.8 Billion,6.4 K
Paper products and paper production facilities,US-CT,1.5 Billion,3 K
"Funds, trusts, and financial vehicles",US-CT,1.4 Billion,39.0
Passenger ground transport,US-CT,1.4 Billion,11.8 K
Hotels and campgrounds,US-CT,1.3 Billion,9.5 K
Pipeline transport,US-CT,1.2 Billion,210
"Performing arts, spectator sports, museums, and related activities",US-CT,999.8 Million,5 K
Print media and printing support,US-CT,827.1 Million,3.7 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-CT,825.5 Million,4.2 K
Other state and local government enterprises including transit and utilities,US-CT,771.5 Million,30.0
Furniture and shelving,US-CT,506.5 Million,2.6 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-CT,495.7 Million,2.3 K
Federal electric utilities and postal service,US-CT,488.8 Million,6.3 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-CT,427.5 Million,323
Textiles and textile-dervied products (except clothes),US-CT,354.1 Million,1.4 K
"Water transport (boats, ships, ferries)",US-CT,349.1 Million,558
"Wood products (e.g. plywood, veneer)",US-CT,346.1 Million,1.4 K
Air transport,US-CT,307.2 Million,805
"Metal ores, dimensional stone, nonmetallic minerals",US-CT,281.7 Million,465
Rail transport,US-CT,223.2 Million,11.0
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-CT,171 Million,485
"Scrap, used and secondhand goods",US-CT,117.3 Million,225
Clothing and leather,US-CT,113.5 Million,255
Noncomparable imports and rest-of-the-world adjustment,US-CT,21.4 Million,2.0
Well drilling and support activities for mining,US-CT,17.5 Million,42.0
Unrefined oil and gas,US-CT,1.5 Million,4.0
