Commodity,Location,Output,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2292.6 Billion,8.8 Million
Housing,RoUS,2253.2 Billion,374.6 K
Wholesale trade,RoUS,2026.1 Billion,5.4 Million
State and local general government,RoUS,1878.7 Billion,4.1 Million
Construction,RoUS,1827.3 Billion,7.4 Million
Other real estate,RoUS,1386.5 Billion,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1334.3 Billion,2.4 Million
Hospitals,RoUS,1128.7 Billion,6.7 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1105.7 Billion,7.5 Million
Other retail,RoUS,1080.4 Billion,6.5 Million
Administrative and support services,RoUS,1006.9 Billion,7.8 Million
Food and beverage and tobacco products,RoUS,959.2 Billion,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,932.7 Billion,2.3 Million
"Other services, except government",RoUS,861.8 Billion,4.7 Million
Food and beverage establishments,RoUS,849.2 Billion,10.5 Million
"Radio, TV, telecommunication",RoUS,732.1 Billion,767 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,721.7 Billion,801.1 K
Federal general government (defense),RoUS,692 Billion,546.7 K
"Financial investments, exchanges, and advising",RoUS,685 Billion,971.1 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,672.9 Billion,927.1 K
Company and enterprise management,RoUS,650.7 Billion,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,615.5 Billion,872.3 K
Computer programming and systems design,RoUS,574.8 Billion,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,473.3 Billion,849 K
Federal general government (nondefense),RoUS,453.1 Billion,1.1 Million
Educational institutions and services,RoUS,397.3 Billion,10.1 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,389.9 Billion,783.9 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,386.3 Billion,116.7 K
Legal services,RoUS,367.5 Billion,1.1 Million
Truck transport,RoUS,365.5 Billion,1.4 Million
"Media, literature, and software",RoUS,348.2 Billion,603.2 K
Machinery (except computers),RoUS,345.9 Billion,956.9 K
"Data processing, internet publishing, and other information services",RoUS,338.5 Billion,589.2 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,332.3 Billion,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,306.6 Billion,859.9 K
"Couriers, messengers, transportation for leisure activities",RoUS,281.5 Billion,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,254.1 Billion,3.3 Million
Food and beverage stores,RoUS,248.3 Billion,2.7 Million
General merchandise stores,RoUS,239.3 Billion,2.7 Million
"Child day care, community food services, housing services, and other relief services",RoUS,234.8 Billion,4 Million
Plastics and rubber products,RoUS,234.2 Billion,677.2 K
Vehicles and parts sales,RoUS,233.1 Billion,1.3 Million
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,212.3 Billion,652.7 K
Primary and secondary ferrous and nonferrous metals,RoUS,210.7 Billion,350.3 K
Unrefined oil and gas,RoUS,204.5 Billion,101.4 K
"Funds, trusts, and financial vehicles",RoUS,185.9 Billion,80 K
Paper products and paper production facilities,RoUS,184 Billion,349.9 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,170.2 Billion,534.8 K
Warehouses,RoUS,155.6 Billion,1.4 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,153.5 Billion,1.4 Million
Hotels and campgrounds,RoUS,142.3 Billion,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,128.6 Billion,378.5 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,127.1 Billion,378.5 K
Waste management and remediation services,RoUS,126.9 Billion,493.1 K
Film and sound-based entertainment,RoUS,124.6 Billion,273.8 K
"Performing arts, spectator sports, museums, and related activities",RoUS,124.2 Billion,552.6 K
Air transport,RoUS,122.1 Billion,448.2 K
"Wood products (e.g. plywood, veneer)",RoUS,112.5 Billion,393.1 K
Other state and local government enterprises including transit and utilities,RoUS,109.9 Billion,45.4 K
Well drilling and support activities for mining,RoUS,87.8 Billion,229.8 K
Passenger ground transport,RoUS,81.8 Billion,614.4 K
