Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2304883751930,2.3 Trillion,8817754,8.8 Million
Housing,RoUS,2289192018003,2.3 Trillion,378121,378.1 K
Wholesale trade,RoUS,2043028959953,2.0 Trillion,5483517,5.5 Million
State and local general government,RoUS,1898251228541,1.9 Trillion,4222213,4.2 Million
Construction,RoUS,1839115239034,1.8 Trillion,7480079,7.5 Million
Other real estate,RoUS,1395692603896,1.4 Trillion,1336517,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1347294496068,1.3 Trillion,2417936,2.4 Million
Hospitals,RoUS,1142786321962,1.1 Trillion,6754578,6.8 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1123317934455,1.1 Trillion,7594678,7.6 Million
Other retail,RoUS,1090999424396,1.1 Trillion,6567840,6.6 Million
Administrative and support services,RoUS,1024913730042,1.0 Trillion,7910839,7.9 Million
Food and beverage and tobacco products,RoUS,958925137707,958.9 Billion,1984738,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,935383599854,935.4 Billion,2381171,2.4 Million
"Other services, except government",RoUS,866389650630,866.4 Billion,4752931,4.8 Million
Food and beverage establishments,RoUS,862364465249,862.4 Billion,10605712,10.6 Million
"Radio, TV, telecommunication",RoUS,741173380843,741.2 Billion,774023,774 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,720922369895,720.9 Billion,800195,800.2 K
Federal general government (defense),RoUS,697349784646,697.3 Billion,540073,540.1 K
"Financial investments, exchanges, and advising",RoUS,688959099612,689.0 Billion,983832,983.8 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,680737001938,680.7 Billion,945881,945.9 K
Company and enterprise management,RoUS,653689578958,653.7 Billion,2227086,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,616141517073,616.1 Billion,870564,870.6 K
Computer programming and systems design,RoUS,576876550866,576.9 Billion,2563227,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,475694454031,475.7 Billion,863024,863 K
Federal general government (nondefense),RoUS,455909466088,455.9 Billion,1099039,1.1 Million
Educational institutions and services,RoUS,399781652866,399.8 Billion,10214569,10.2 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,393690388826,393.7 Billion,791874,791.9 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,380171345783,380.2 Billion,115402,115.4 K
Legal services,RoUS,369676509386,369.7 Billion,1120602,1.1 Million
Truck transport,RoUS,367245090500,367.2 Billion,1436488,1.4 Million
Machinery (except computers),RoUS,347026730506,347.0 Billion,958789,958.8 K
"Media, literature, and software",RoUS,346513592033,346.5 Billion,599879,599.9 K
"Data processing, internet publishing, and other information services",RoUS,339306474550,339.3 Billion,592292,592.3 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,334135006743,334.1 Billion,1285940,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,314218723393,314.2 Billion,876566,876.6 K
"Couriers, messengers, transportation for leisure activities",RoUS,283066871374,283.1 Billion,1730959,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,256743766114,256.7 Billion,3365341,3.4 Million
Food and beverage stores,RoUS,252468049847,252.5 Billion,2738334,2.7 Million
General merchandise stores,RoUS,243258872809,243.3 Billion,2739456,2.7 Million
"Child day care, community food services, housing services, and other relief services",RoUS,237271822712,237.3 Billion,4006228,4 Million
Vehicles and parts sales,RoUS,235609183180,235.6 Billion,1359725,1.4 Million
Plastics and rubber products,RoUS,234375700955,234.4 Billion,676348,676.3 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,219753853321,219.8 Billion,668569,668.6 K
Primary and secondary ferrous and nonferrous metals,RoUS,208503019629,208.5 Billion,350267,350.3 K
Unrefined oil and gas,RoUS,204000598141,204.0 Billion,100655,100.7 K
"Funds, trusts, and financial vehicles",RoUS,190483352367,190.5 Billion,81023,81 K
Paper products and paper production facilities,RoUS,182925490133,182.9 Billion,349723,349.7 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,169008023366,169.0 Billion,529386,529.4 K
Warehouses,RoUS,158019314199,158.0 Billion,1472423,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,154563390324,154.6 Billion,1443431,1.4 Million
Hotels and campgrounds,RoUS,143703692745,143.7 Billion,1404675,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,129229731683,129.2 Billion,380259,380.3 K
Waste management and remediation services,RoUS,127926833438,127.9 Billion,497447,497.4 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,127844627364,127.8 Billion,380825,380.8 K
"Performing arts, spectator sports, museums, and related activities",RoUS,125482556848,125.5 Billion,556457,556.5 K
Film and sound-based entertainment,RoUS,124285417119,124.3 Billion,273403,273.4 K
Air transport,RoUS,123002424591,123.0 Billion,450670,450.7 K
"Wood products (e.g. plywood, veneer)",RoUS,112794873512,112.8 Billion,395043,395 K
Other state and local government enterprises including transit and utilities,RoUS,110506857412,110.5 Billion,46528,46.5 K
Well drilling and support activities for mining,RoUS,87462405343,87.5 Billion,227901,227.9 K
Passenger ground transport,RoUS,82632440130,82.6 Billion,615078,615.1 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,75086453808,75.1 Billion,135567,135.6 K
Rail transport,RoUS,71683977183,71.7 Billion,765,765
Federal electric utilities and postal service,RoUS,70113321981,70.1 Billion,503712,503.7 K
Furniture and shelving,RoUS,66163375413,66.2 Billion,342269,342.3 K
Print media and printing support,RoUS,64874623783,64.9 Billion,311263,311.3 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,62419619366,62.4 Billion,457031,457 K
Pipeline transport,RoUS,60125792145,60.1 Billion,57512,57.5 K
Textiles and textile-dervied products (except clothes),RoUS,45325222575,45.3 Billion,183698,183.7 K
"Water transport (boats, ships, ferries)",RoUS,39850459370,39.9 Billion,66073,66.1 K
Construction,US-UT,30373760966,30.4 Billion,119420,119.4 K
Housing,US-UT,24567981997,24.6 Billion,2230,2.2 K
Clothing and leather,RoUS,21305700380,21.3 Billion,122544,122.5 K
"Miscellaneous professional, scientific, and technical services",US-UT,19299248070,19.3 Billion,102217,102.2 K
State and local general government,US-UT,18292771459,18.3 Billion,1194,1.2 K
Wholesale trade,US-UT,16597040047,16.6 Billion,52572,52.6 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-UT,15683400146,15.7 Billion,37268,37.3 K
Other retail,US-UT,13240575604,13.2 Billion,86416,86.4 K
"Other services, except government",US-UT,9966349370,10.0 Billion,45454,45.5 K
Administrative and support services,US-UT,9631269958,9.6 Billion,86533,86.5 K
"Insurance agencies, carriers, and brokerages",US-UT,9375503932,9.4 Billion,21522,21.5 K
Food and beverage and tobacco products,US-UT,8525862293,8.5 Billion,20887,20.9 K
Hospitals,US-UT,8510678038,8.5 Billion,47864,47.9 K
"Scrap, used and secondhand goods",RoUS,8232127348,8.2 Billion,22543,22.5 K
"Healthcare professions, laboratories, and ambulances",US-UT,7974065545,8.0 Billion,66643,66.6 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-UT,7449545969,7.4 Billion,10097,10.1 K
Food and beverage establishments,US-UT,7032534751,7.0 Billion,106725,106.7 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-UT,6525654217,6.5 Billion,1650,1.6 K
Other real estate,US-UT,6377396104,6.4 Billion,14935,14.9 K
"Media, literature, and software",US-UT,6072407967,6.1 Billion,13675,13.7 K
Computer programming and systems design,US-UT,5839449134,5.8 Billion,32584,32.6 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-UT,5389998062,5.4 Billion,6476,6.5 K
Primary and secondary ferrous and nonferrous metals,US-UT,5325980371,5.3 Billion,3533,3.5 K
Federal general government (nondefense),US-UT,5059533912,5.1 Billion,982,982
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-UT,4853976634,4.9 Billion,17409,17.4 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-UT,4600630105,4.6 Billion,11185,11.2 K
Educational institutions and services,US-UT,4440347134,4.4 Billion,118941,118.9 K
"Radio, TV, telecommunication",US-UT,4359619157,4.4 Billion,8199,8.2 K
Truck transport,US-UT,4303909500,4.3 Billion,20967,21 K
Company and enterprise management,US-UT,4069421042,4.1 Billion,18330,18.3 K
"Couriers, messengers, transportation for leisure activities",US-UT,3348128626,3.3 Billion,21092,21.1 K
Fabricated metal products (e.g. architectural and structural metal products),US-UT,3285993257,3.3 Billion,14010,14 K
General merchandise stores,US-UT,3238127191,3.2 Billion,32649,32.6 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3223229653,3.2 Billion,7770,7.8 K
Federal general government (defense),US-UT,3127215354,3.1 Billion,15294,15.3 K
"Financial investments, exchanges, and advising",US-UT,3095900388,3.1 Billion,8976,9 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-UT,2899482927,2.9 Billion,5334,5.3 K
"Metal ores, dimensional stone, nonmetallic minerals",US-UT,2814546192,2.8 Billion,3095,3.1 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-UT,2671276607,2.7 Billion,11679,11.7 K
Food and beverage stores,US-UT,2625950153,2.6 Billion,22769,22.8 K
"Data processing, internet publishing, and other information services",US-UT,2563525450,2.6 Billion,6998,7 K
"Funds, trusts, and financial vehicles",US-UT,2547647633,2.5 Billion,566,566
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-UT,2366611174,2.4 Billion,4867,4.9 K
Plastics and rubber products,US-UT,2275299045,2.3 Billion,6380,6.4 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-UT,2079146679,2.1 Billion,6022,6 K
