Commodity,Location,Output,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2317.2 Billion,8.9 Million
Housing,RoUS,2298.1 Billion,377.5 K
Wholesale trade,RoUS,2042.7 Billion,5.5 Million
State and local general government,RoUS,1901.4 Billion,4.2 Million
Construction,RoUS,1858.8 Billion,7.5 Million
Other real estate,RoUS,1398 Billion,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1349.9 Billion,2.4 Million
Hospitals,RoUS,1143.4 Billion,6.7 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1122.7 Billion,7.6 Million
Other retail,RoUS,1096.6 Billion,6.6 Million
Administrative and support services,RoUS,1028.8 Billion,7.9 Million
Food and beverage and tobacco products,RoUS,950.8 Billion,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,946.7 Billion,2.4 Million
"Other services, except government",RoUS,870.1 Billion,4.8 Million
Food and beverage establishments,RoUS,862.8 Billion,10.6 Million
"Radio, TV, telecommunication",RoUS,743.5 Billion,778.1 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,722.5 Billion,804.6 K
Federal general government (defense),RoUS,698.6 Billion,552.3 K
"Financial investments, exchanges, and advising",RoUS,690.9 Billion,989.2 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,679.9 Billion,940.6 K
Company and enterprise management,RoUS,648.4 Billion,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,617.1 Billion,868.9 K
Computer programming and systems design,RoUS,580.8 Billion,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,480.9 Billion,866.6 K
Federal general government (nondefense),RoUS,458.5 Billion,1.1 Million
Educational institutions and services,RoUS,402.5 Billion,10.3 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,392.5 Billion,789.5 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,385.2 Billion,115.9 K
Legal services,RoUS,370.5 Billion,1.1 Million
Truck transport,RoUS,364.7 Billion,1.4 Million
"Media, literature, and software",RoUS,351.5 Billion,609.8 K
Machinery (except computers),RoUS,345.4 Billion,954.2 K
"Data processing, internet publishing, and other information services",RoUS,341.1 Billion,596.4 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,333.6 Billion,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,316.4 Billion,885.9 K
"Couriers, messengers, transportation for leisure activities",RoUS,284.7 Billion,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,256.7 Billion,3.4 Million
Food and beverage stores,RoUS,253.2 Billion,2.7 Million
General merchandise stores,RoUS,243 Billion,2.7 Million
"Child day care, community food services, housing services, and other relief services",RoUS,236.7 Billion,4 Million
Vehicles and parts sales,RoUS,236.2 Billion,1.4 Million
Plastics and rubber products,RoUS,233.2 Billion,673.2 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,220.5 Billion,668.4 K
Primary and secondary ferrous and nonferrous metals,RoUS,207.8 Billion,346.5 K
Unrefined oil and gas,RoUS,204.3 Billion,101 K
"Funds, trusts, and financial vehicles",RoUS,192.7 Billion,81.8 K
Paper products and paper production facilities,RoUS,180.4 Billion,343.7 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,173.2 Billion,543.2 K
Warehouses,RoUS,158.3 Billion,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,155.3 Billion,1.5 Million
Hotels and campgrounds,RoUS,144.5 Billion,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,128.9 Billion,378.2 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,128.5 Billion,382.2 K
Waste management and remediation services,RoUS,127.7 Billion,496.5 K
"Performing arts, spectator sports, museums, and related activities",RoUS,126 Billion,558.9 K
Air transport,RoUS,124.8 Billion,457 K
Film and sound-based entertainment,RoUS,124.8 Billion,276 K
"Wood products (e.g. plywood, veneer)",RoUS,111 Billion,388.7 K
Other state and local government enterprises including transit and utilities,RoUS,110.6 Billion,46.4 K
Well drilling and support activities for mining,RoUS,88.3 Billion,230.2 K
Passenger ground transport,RoUS,82.9 Billion,620.8 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,77.4 Billion,136.6 K
Rail transport,RoUS,71 Billion,765
Federal electric utilities and postal service,RoUS,70.5 Billion,504 K
Furniture and shelving,RoUS,67 Billion,345 K
Print media and printing support,RoUS,65.1 Billion,312.5 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,61.8 Billion,452.8 K
Pipeline transport,RoUS,60.1 Billion,57.3 K
