Commodity,Location,Output,Jobs
Housing,RoUS,2230.9 Billion,374.1 K
"Miscellaneous professional, scientific, and technical services",RoUS,2214.7 Billion,8.6 Million
Wholesale trade,RoUS,2013.9 Billion,5.4 Million
State and local general government,RoUS,1871.4 Billion,4.1 Million
Construction,RoUS,1824.3 Billion,7.4 Million
Other real estate,RoUS,1380.8 Billion,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1312.8 Billion,2.4 Million
Hospitals,RoUS,1105.6 Billion,6.6 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1102.3 Billion,7.5 Million
Other retail,RoUS,1083.8 Billion,6.5 Million
Administrative and support services,RoUS,1010.2 Billion,7.8 Million
Food and beverage and tobacco products,RoUS,956.3 Billion,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,926.8 Billion,2.4 Million
"Other services, except government",RoUS,856.6 Billion,4.7 Million
Food and beverage establishments,RoUS,848 Billion,10.5 Million
"Radio, TV, telecommunication",RoUS,734.4 Billion,764.9 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,700.6 Billion,794 K
Federal general government (defense),RoUS,686.7 Billion,550.3 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,670.9 Billion,932.3 K
"Financial investments, exchanges, and advising",RoUS,650.9 Billion,948.6 K
Company and enterprise management,RoUS,636.2 Billion,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,617.9 Billion,872.9 K
Computer programming and systems design,RoUS,556.4 Billion,2.5 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,472.9 Billion,856.1 K
Federal general government (nondefense),RoUS,452.3 Billion,1.1 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,395.5 Billion,789.2 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,385.8 Billion,116.1 K
Educational institutions and services,RoUS,381.3 Billion,10 Million
Truck transport,RoUS,367.3 Billion,1.4 Million
Legal services,RoUS,361 Billion,1.1 Million
Machinery (except computers),RoUS,342.7 Billion,949.1 K
"Media, literature, and software",RoUS,333.4 Billion,579.7 K
"Data processing, internet publishing, and other information services",RoUS,331.5 Billion,579.2 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,328.9 Billion,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,300.5 Billion,848.1 K
"Couriers, messengers, transportation for leisure activities",RoUS,282.6 Billion,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,249.8 Billion,3.3 Million
Food and beverage stores,RoUS,245.9 Billion,2.7 Million
General merchandise stores,RoUS,241.9 Billion,2.7 Million
