Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2316384336840,2.3 Trillion,8891432,8.9 Million
Housing,RoUS,2304566334633,2.3 Trillion,379089,379.1 K
Wholesale trade,RoUS,2052593743773,2.1 Trillion,5516884,5.5 Million
State and local general government,RoUS,1906528825557,1.9 Trillion,4251693,4.3 Million
Construction,RoUS,1861473338816,1.9 Trillion,7563938,7.6 Million
Other real estate,RoUS,1399673674138,1.4 Trillion,1348262,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1353170284874,1.4 Trillion,2431660,2.4 Million
Hospitals,RoUS,1143601474620,1.1 Trillion,6755572,6.8 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1126074331779,1.1 Trillion,7620894,7.6 Million
Other retail,RoUS,1099745177705,1.1 Trillion,6620353,6.6 Million
Administrative and support services,RoUS,1031457929326,1.0 Trillion,7967264,8 Million
Food and beverage and tobacco products,RoUS,965996095203,966.0 Billion,2001852,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,949691437038,949.7 Billion,2410248,2.4 Million
"Other services, except government",RoUS,873303230805,873.3 Billion,4778313,4.8 Million
Food and beverage establishments,RoUS,865909567879,865.9 Billion,10661744,10.7 Million
"Radio, TV, telecommunication",RoUS,744149215058,744.1 Billion,778995,779 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,725331277544,725.3 Billion,807748,807.7 K
Federal general government (defense),RoUS,699667285666,699.7 Billion,553938,553.9 K
"Financial investments, exchanges, and advising",RoUS,691577309582,691.6 Billion,991504,991.5 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,682128244855,682.1 Billion,945529,945.5 K
Company and enterprise management,RoUS,656402472902,656.4 Billion,2238057,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,615824878216,615.8 Billion,872726,872.7 K
Computer programming and systems design,RoUS,581748565210,581.7 Billion,2589733,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,482044163702,482.0 Billion,869754,869.8 K
Federal general government (nondefense),RoUS,457572956143,457.6 Billion,1105180,1.1 Million
Educational institutions and services,RoUS,403242748020,403.2 Billion,10289154,10.3 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,395437149331,395.4 Billion,795911,795.9 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,384612714857,384.6 Billion,115832,115.8 K
Legal services,RoUS,370137381302,370.1 Billion,1125895,1.1 Million
Truck transport,RoUS,370020865601,370.0 Billion,1450598,1.5 Million
"Media, literature, and software",RoUS,352257076721,352.3 Billion,611381,611.4 K
Machinery (except computers),RoUS,348266870439,348.3 Billion,963305,963.3 K
"Data processing, internet publishing, and other information services",RoUS,341627494853,341.6 Billion,597923,597.9 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,336393282852,336.4 Billion,1295931,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,316794844103,316.8 Billion,887296,887.3 K
"Couriers, messengers, transportation for leisure activities",RoUS,285534832066,285.5 Billion,1746318,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,257462410312,257.5 Billion,3381873,3.4 Million
Food and beverage stores,RoUS,254015237497,254.0 Billion,2750453,2.8 Million
General merchandise stores,RoUS,244846683181,244.8 Billion,2755894,2.8 Million
"Child day care, community food services, housing services, and other relief services",RoUS,237724309827,237.7 Billion,4007356,4 Million
Vehicles and parts sales,RoUS,236794909059,236.8 Billion,1368626,1.4 Million
Plastics and rubber products,RoUS,235385081418,235.4 Billion,679482,679.5 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,221577742819,221.6 Billion,672412,672.4 K
Primary and secondary ferrous and nonferrous metals,RoUS,211427088017,211.4 Billion,349819,349.8 K
Unrefined oil and gas,RoUS,203452925957,203.5 Billion,101481,101.5 K
"Funds, trusts, and financial vehicles",RoUS,192852540968,192.9 Billion,81984,82 K
Paper products and paper production facilities,RoUS,184819225107,184.8 Billion,352158,352.2 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,173697237806,173.7 Billion,546346,546.3 K
