Commodity,Location,Commodities,Output,Employees,Jobs
Owner-occupied housing,US,1276281000000,1.3 Trillion,264861,264.9 K
Other real estate,US,918306501100,918.3 Billion,1024104,1 Million
Hospitals,US,851835000000,851.8 Billion,5462296,5.5 Million
"Gasoline, fuels, and by-products of petroleum refining",US,753987572800,754.0 Billion,71460,71.5 K
State and local government other services,US,738204000000,738.2 Billion,3526599,3.5 Million
State and local government educational services,US,718720000000,718.7 Billion,40472,40.5 K
Federal general government (defense),US,650338000000,650.3 Billion,591387,591.4 K
Scientific research and development,US,475778992500,475.8 Billion,1574413,1.6 Million
Company and enterprise management,US,465620289000,465.6 Billion,1781464,1.8 Million
Electricity,US,428823888700,428.8 Billion,475894,475.9 K
Tenant-occupied housing,US,425960000000,426.0 Billion,95158,95.2 K
"Insurance carriers, except direct life",US,425120812500,425.1 Billion,650963,651 K
Physicians,US,415070000000,415.1 Billion,2155646,2.2 Million
Monetary authorities and depository credit intermediation,US,399620940900,399.6 Billion,1625019,1.6 Million
Federal general government (nondefense),US,348913000000,348.9 Billion,1930211,1.9 Million
"Investment advice, portfolio management, and other financial advising services",US,330650994900,330.7 Billion,604899,604.9 K
Telecommunications,US,328046936100,328.0 Billion,556134,556.1 K
Advertising and public relations,US,322019909400,322.0 Billion,1019943,1 Million
Legal services,US,306887887800,306.9 Billion,1121657,1.1 Million
Limited-service restaurants,US,299570978100,299.6 Billion,4237192,4.2 Million
Other nondurable goods merchant wholesalers,US,299159952900,299.2 Billion,970706,970.7 K
Insurance agencies and brokerages,US,297286986500,297.3 Billion,888459,888.5 K
Truck transport,US,291629903100,291.6 Billion,1274203,1.3 Million
Unrefined oil and gas,US,289816998800,289.8 Billion,91707,91.7 K
Nondepository credit intermediation and related activities,US,287342992800,287.3 Billion,952057,952.1 K
"Architectural, engineering, and related services",US,286940836500,286.9 Billion,1368493,1.4 Million
Full-service restaurants,US,281323893500,281.3 Billion,4717750,4.7 Million
Employment services,US,246378673300,246.4 Billion,2456520,2.5 Million
Other durable goods merchant wholesalers,US,234204850600,234.2 Billion,917305,917.3 K
"Colleges, universities, junior colleges, and professional schools",US,220985000000,221.0 Billion,2494339,2.5 Million
Custom computer programming,US,201871000000,201.9 Billion,1006087,1 Million
Wireless telecommunications,US,199883915400,199.9 Billion,70715,70.7 K
General merchandise stores,US,199112998800,199.1 Billion,2664876,2.7 Million
Management consulting,US,194808773200,194.8 Billion,882469,882.5 K
Air transport,US,193516861100,193.5 Billion,424422,424.4 K
Professional and commercial equipment and supplies,US,189761937600,189.8 Billion,570947,570.9 K
Food and beverage stores,US,189369000000,189.4 Billion,2730134,2.7 Million
Vehicle repair,US,185772830500,185.8 Billion,1279480,1.3 Million
Other retail,US,185173998500,185.2 Billion,2125741,2.1 Million
Nonresidential building repair and maintanence,US,176174988900,176.2 Billion,957914,957.9 K
Hotels and campgrounds,US,174913867700,174.9 Billion,1658290,1.7 Million
"Pickup trucks, vans, and SUVs",US,174069995500,174.1 Billion,51207,51.2 K
Other residential structures,US,168976000000,169.0 Billion,613014,613 K
Nursing and community care facilities,US,168293000000,168.3 Billion,2475587,2.5 Million
Petroleum and petroleum products,US,160716952000,160.7 Billion,118648,118.6 K
"Accounting, tax preparation, bookkeeping, and payroll",US,159053889600,159.1 Billion,812486,812.5 K
Nonstore retailers,US,158944997900,158.9 Billion,346766,346.8 K
"Machinery, equipment, and supplies",US,158568822100,158.6 Billion,641437,641.4 K
Lessors of nonfinancial intangible assets,US,156270898300,156.3 Billion,28002,28 K
Securities and commodities brokerage and exchanges,US,154622991600,154.6 Billion,340216,340.2 K
Vehicles and parts sales,US,153479992500,153.5 Billion,912614,912.6 K
All other food and drinking places,US,149812992500,149.8 Billion,2212491,2.2 Million
Software,US,148124998500,148.1 Billion,248920,248.9 K
Household appliances and electrical and electronic goods,US,144293940900,144.3 Billion,254247,254.2 K
Computer systems design,US,142202963100,142.2 Billion,671472,671.5 K
Buildings and dwellings services,US,141776926200,141.8 Billion,1724314,1.7 Million
Packaged meat (except poultry),US,140591000000,140.6 Billion,256756,256.8 K
"Funds, trusts, and financial vehicles",US,139734000000,139.7 Billion,119686,119.7 K
Drugs and druggists sundries,US,136216999400,136.2 Billion,147719,147.7 K
Single-family homes,US,132995000000,133.0 Billion,701952,702 K
Grocery and related product wholesalers,US,132799998200,132.8 Billion,604334,604.3 K
Other basic organic chemicals,US,131252820300,131.3 Billion,55975,56 K
Scenic and sightseeing transportation and support activities for transportation,US,127208815200,127.2 Billion,682360,682.4 K
Other support activities for mining,US,126975000000,127.0 Billion,347441,347.4 K
"Primary iron, steel, and ferroalloy products",US,126882872500,126.9 Billion,131428,131.4 K
Clothing and clothing accessories stores,US,123458000000,123.5 Billion,1255656,1.3 Million
"Highways, streets, and bridges",US,122037000000,122.0 Billion,471113,471.1 K
"Pharmaceutical products (pills, powders, solutions, etc.)",US,120588000000,120.6 Billion,140544,140.5 K
Movies and film,US,114729000000,114.7 Billion,358534,358.5 K
Utilities buildings and infrastructure,US,113571000000,113.6 Billion,831686,831.7 K
Warehousing,US,112115976000,112.1 Billion,882298,882.3 K
Data processing and hosting,US,111379905200,111.4 Billion,228190,228.2 K
