Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2320661416606,2.3 Trillion,8904537,8.9 Million
Housing,RoUS,2308314930760,2.3 Trillion,379410,379.4 K
Wholesale trade,RoUS,2053530813205,2.1 Trillion,5515037,5.5 Million
State and local general government,RoUS,1911358133933,1.9 Trillion,4274526,4.3 Million
Construction,RoUS,1865018675788,1.9 Trillion,7575315,7.6 Million
Other real estate,RoUS,1400657201069,1.4 Trillion,1349410,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1353730761520,1.4 Trillion,2432365,2.4 Million
Hospitals,RoUS,1146092351549,1.1 Trillion,6776950,6.8 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1128056648273,1.1 Trillion,7643765,7.6 Million
Other retail,RoUS,1100826684766,1.1 Trillion,6630705,6.6 Million
Administrative and support services,RoUS,1033144516895,1.0 Trillion,7985840,8 Million
Food and beverage and tobacco products,RoUS,964763965752,964.8 Billion,1994515,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,940996275623,941.0 Billion,2404331,2.4 Million
"Other services, except government",RoUS,874015903484,874.0 Billion,4784151,4.8 Million
Food and beverage establishments,RoUS,867528761089,867.5 Billion,10681396,10.7 Million
"Radio, TV, telecommunication",RoUS,743696537726,743.7 Billion,779278,779.3 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,724999140804,725.0 Billion,809757,809.8 K
Federal general government (defense),RoUS,699301654364,699.3 Billion,554327,554.3 K
"Financial investments, exchanges, and advising",RoUS,691144518033,691.1 Billion,990955,991 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,684478530126,684.5 Billion,950864,950.9 K
Company and enterprise management,RoUS,656537083979,656.5 Billion,2240495,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,617875188760,617.9 Billion,872645,872.6 K
Computer programming and systems design,RoUS,582011183771,582.0 Billion,2591769,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,481757105080,481.8 Billion,870399,870.4 K
Federal general government (nondefense),RoUS,459956057440,460.0 Billion,1114703,1.1 Million
Educational institutions and services,RoUS,403554181944,403.6 Billion,10306884,10.3 Million
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,386625897256,386.6 Billion,116951,117 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,385875973543,385.9 Billion,791330,791.3 K
Legal services,RoUS,371229627611,371.2 Billion,1128815,1.1 Million
Truck transport,RoUS,370184629295,370.2 Billion,1452336,1.5 Million
"Media, literature, and software",RoUS,352423724842,352.4 Billion,612272,612.3 K
Machinery (except computers),RoUS,347108773207,347.1 Billion,958887,958.9 K
"Data processing, internet publishing, and other information services",RoUS,341744084701,341.7 Billion,599053,599.1 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,336786963602,336.8 Billion,1296437,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,316635526324,316.6 Billion,886129,886.1 K
"Couriers, messengers, transportation for leisure activities",RoUS,285937817340,285.9 Billion,1748921,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,257828727573,257.8 Billion,3386353,3.4 Million
