Commodity,Location,TotalCommodityOutput,Jobs
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-PA,7.3 Billion,20.1 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-PA,1.2 Billion,4.6 K
Unrefined oil and gas,US-PA,1.2 Billion,536.0
"Metal ores, dimensional stone, nonmetallic minerals",US-PA,3.7 Billion,7.3 K
Well drilling and support activities for mining,US-PA,8.7 Billion,11.2 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-PA,22.8 Billion,36.7 K
Construction,US-PA,62.8 Billion,255.5 K
"Wood products (e.g. plywood, veneer)",US-PA,5.6 Billion,21.6 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-PA,5.8 Billion,18.7 K
Primary and secondary ferrous and nonferrous metals,US-PA,22.5 Billion,31.5 K
Fabricated metal products (e.g. architectural and structural metal products),US-PA,17.0 Billion,73.6 K
Machinery (except computers),US-PA,13.8 Billion,39.5 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-PA,6.8 Billion,26.9 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-PA,7.2 Billion,23.7 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-PA,6.8 Billion,14.4 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-PA,3.8 Billion,17.8 K
Furniture and shelving,US-PA,2.9 Billion,13.5 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-PA,7.7 Billion,26.0 K
Food and beverage and tobacco products,US-PA,36.4 Billion,87.6 K
Textiles and textile-dervied products (except clothes),US-PA,1.3 Billion,6.5 K
Clothing and leather,US-PA,613.6 Million,4.3 K
Paper products and paper production facilities,US-PA,13.5 Billion,21.9 K
Print media and printing support,US-PA,3.4 Billion,15.4 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-PA,21.3 Billion,4.4 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-PA,45.2 Billion,44.6 K
Plastics and rubber products,US-PA,12.9 Billion,36.9 K
Wholesale trade,US-PA,72.1 Billion,200.2 K
Vehicles and parts sales,US-PA,5.8 Billion,53.3 K
Food and beverage stores,US-PA,12.7 Billion,125.3 K
General merchandise stores,US-PA,9.4 Billion,90.1 K
Other retail,US-PA,35.0 Billion,249.3 K
Air transport,US-PA,3.3 Billion,12.6 K
Rail transport,US-PA,2.5 Billion,0.0
"Water transport (boats, ships, ferries)",US-PA,379.9 Million,953.0
Truck transport,US-PA,16.8 Billion,64.7 K
Passenger ground transport,US-PA,2.8 Billion,38.9 K
Pipeline transport,US-PA,8.3 Billion,2.5 K
"Couriers, messengers, transportation for leisure activities",US-PA,8.3 Billion,67.1 K
Warehouses,US-PA,11.0 Billion,97.6 K
"Media, literature, and software",US-PA,12.2 Billion,27.0 K
Film and sound-based entertainment,US-PA,1.8 Billion,4.9 K
"Radio, TV, telecommunication",US-PA,51.8 Billion,28.3 K
"Data processing, internet publishing, and other information services",US-PA,5.6 Billion,15.3 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-PA,20.6 Billion,83.6 K
"Financial investments, exchanges, and advising",US-PA,18.4 Billion,45.3 K
"Insurance agencies, carriers, and brokerages",US-PA,58.2 Billion,126.6 K
"Funds, trusts, and financial vehicles",US-PA,2.1 Billion,517.0
Housing,US-PA,105.4 Billion,12.1 K
Other real estate,US-PA,27.1 Billion,32.7 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-PA,13.5 Billion,31.5 K
Legal services,US-PA,16.8 Billion,48.6 K
Computer programming and systems design,US-PA,16.4 Billion,85.1 K
"Miscellaneous professional, scientific, and technical services",US-PA,80.3 Billion,323.5 K
Company and enterprise management,US-PA,37.8 Billion,123.0 K
Administrative and support services,US-PA,31.1 Billion,261.5 K
Waste management and remediation services,US-PA,5.2 Billion,19.3 K
Educational institutions and services,US-PA,25.3 Billion,390.8 K
"Healthcare professions, laboratories, and ambulances",US-PA,50.9 Billion,330.0 K
Hospitals,US-PA,54.4 Billion,282.6 K
"Nursing, community, mental health, and substance abuse facilities",US-PA,15.7 Billion,204.1 K
"Child day care, community food services, housing services, and other relief services",US-PA,14.6 Billion,223.1 K
"Performing arts, spectator sports, museums, and related activities",US-PA,5.0 Billion,19.0 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-PA,5.1 Billion,49.5 K
Hotels and campgrounds,US-PA,4.0 Billion,42.2 K
Food and beverage establishments,US-PA,27.2 Billion,353.6 K
"Other services, except government",US-PA,32.0 Billion,201.1 K
Federal general government (defense),US-PA,6.5 Billion,22.7 K
Federal general government (nondefense),US-PA,14.5 Billion,4.4 K
Federal electric utilities and postal service,US-PA,2.3 Billion,21.1 K
State and local general government,US-PA,64.8 Billion,4.5 K
Other state and local government enterprises including transit and utilities,US-PA,2.1 Billion,147.0
"Scrap, used and secondhand goods",US-PA,320.9 Million,554.0
Noncomparable imports and rest-of-the-world adjustment,US-PA,102.8 Million,31.0
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,388.8 Billion,776.6 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,61.5 Billion,453.3 K
Unrefined oil and gas,RoUS,203.4 Billion,101.1 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,74.2 Billion,130.7 K
Well drilling and support activities for mining,RoUS,79.9 Billion,219.9 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,663.3 Billion,913.2 K
Construction,RoUS,1806.7 Billion,7.3 Million
"Wood products (e.g. plywood, veneer)",RoUS,108.1 Billion,376.3 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,123.6 Billion,367.0 K
Primary and secondary ferrous and nonferrous metals,RoUS,191.3 Billion,322.2 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,320.4 Billion,1.2 Million
Machinery (except computers),RoUS,334.9 Billion,925.0 K
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,310.1 Billion,862.1 K
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,122.8 Billion,358.4 K
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,612.3 Billion,861.6 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,218.1 Billion,656.6 K
Furniture and shelving,RoUS,64.7 Billion,334.7 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,166.2 Billion,520.8 K
Food and beverage and tobacco products,RoUS,931.1 Billion,1.9 Million
Textiles and textile-dervied products (except clothes),RoUS,44.4 Billion,178.9 K
Clothing and leather,RoUS,20.9 Billion,119.1 K
Paper products and paper production facilities,RoUS,171.5 Billion,330.5 K
Print media and printing support,RoUS,62.2 Billion,299.5 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,365.4 Billion,112.8 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,680.3 Billion,765.4 K
Plastics and rubber products,RoUS,223.8 Billion,645.9 K
Wholesale trade,RoUS,1987.6 Billion,5.3 Million
Vehicles and parts sales,RoUS,231.8 Billion,1.3 Million
Food and beverage stores,RoUS,242.4 Billion,2.6 Million
General merchandise stores,RoUS,237.1 Billion,2.7 Million
Other retail,RoUS,1069.2 Billion,6.4 Million
Air transport,RoUS,121.7 Billion,445.0 K
Rail transport,RoUS,69.7 Billion,763.0
"Water transport (boats, ships, ferries)",RoUS,39.5 Billion,65.2 K
Truck transport,RoUS,354.8 Billion,1.4 Million
Passenger ground transport,RoUS,80.4 Billion,583.4 K
Pipeline transport,RoUS,51.9 Billion,55.3 K
"Couriers, messengers, transportation for leisure activities",RoUS,278.1 Billion,1.7 Million
Warehouses,RoUS,148.3 Billion,1.4 Million
"Media, literature, and software",RoUS,340.4 Billion,587.8 K
Film and sound-based entertainment,RoUS,123.2 Billion,271.7 K
"Radio, TV, telecommunication",RoUS,693.7 Billion,753.9 K
"Data processing, internet publishing, and other information services",RoUS,336.2 Billion,583.4 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,930.5 Billion,2.3 Million
"Financial investments, exchanges, and advising",RoUS,673.6 Billion,947.5 K
"Insurance agencies, carriers, and brokerages",RoUS,1298.5 Billion,2.3 Million
"Funds, trusts, and financial vehicles",RoUS,190.9 Billion,78.3 K
Housing,RoUS,2208.4 Billion,368.2 K
Other real estate,RoUS,1374.9 Billion,1.3 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,469.7 Billion,841.6 K
Legal services,RoUS,354.8 Billion,1.1 Million
Computer programming and systems design,RoUS,566.4 Billion,2.5 Million
"Miscellaneous professional, scientific, and technical services",RoUS,2243.9 Billion,8.6 Million
Company and enterprise management,RoUS,620.0 Billion,2.1 Million
Administrative and support services,RoUS,1003.5 Billion,7.7 Million
Waste management and remediation services,RoUS,123.7 Billion,481.0 K
Educational institutions and services,RoUS,378.9 Billion,9.9 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1080.4 Billion,7.3 Million
Hospitals,RoUS,1096.9 Billion,6.5 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,243.1 Billion,3.2 Million
"Child day care, community food services, housing services, and other relief services",RoUS,224.1 Billion,3.8 Million
"Performing arts, spectator sports, museums, and related activities",RoUS,121.3 Billion,544.5 K
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,150.9 Billion,1.4 Million
Hotels and campgrounds,RoUS,141.1 Billion,1.4 Million
Food and beverage establishments,RoUS,842.2 Billion,10.4 Million
"Other services, except government",RoUS,844.4 Billion,4.6 Million
Federal general government (defense),RoUS,694.0 Billion,532.7 K
Federal general government (nondefense),RoUS,446.4 Billion,1.1 Million
Federal electric utilities and postal service,RoUS,68.6 Billion,485.9 K
State and local general government,RoUS,1851.7 Billion,4.0 Million
Other state and local government enterprises including transit and utilities,RoUS,109.0 Billion,44.8 K
"Scrap, used and secondhand goods",RoUS,8.0 Billion,21.7 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3.2 Billion,7.5 K
